,ETN
2014-01-02,57.22746658325195
2014-01-03,57.39423370361328
2014-01-06,57.14405059814453
2014-01-07,57.26535415649414
2014-01-08,57.0682487487793
2014-01-09,57.272918701171875
2014-01-10,57.856651306152344
2014-01-13,56.15096664428711
2014-01-14,57.386634826660156
2014-01-15,57.9476432800293
2014-01-16,58.023414611816406
2014-01-17,58.25841522216797
2014-01-21,58.88003921508789
2014-01-22,58.51618576049805
2014-01-23,57.56858825683594
2014-01-24,55.43837356567383
2014-01-27,55.18062210083008
2014-01-28,55.75677490234375
2014-01-29,55.703712463378906
2014-01-30,56.0296745300293
2014-01-31,55.408050537109375
2014-02-03,53.27027130126953
2014-02-04,52.04218292236328
2014-02-05,52.38330841064453
2014-02-06,52.360572814941406
2014-02-07,53.53559494018555
2014-02-10,52.71685791015625
2014-02-11,53.07316970825195
2014-02-12,53.89946746826172
2014-02-13,54.240623474121094
2014-02-14,55.127567291259766
2014-02-18,54.93803787231445
2014-02-19,54.6802978515625
2014-02-20,55.31709289550781
2014-02-21,55.71886444091797
2014-02-24,56.840824127197266
2014-02-25,57.12889862060547
2014-02-26,57.447288513183594
2014-02-27,57.19711685180664
2014-02-28,56.63615417480469
2014-03-03,55.696136474609375
2014-03-04,56.00694274902344
2014-03-05,56.4011344909668
2014-03-06,57.492374420166016
2014-03-07,58.11048889160156
2014-03-10,57.13371276855469
2014-03-11,56.87425231933594
2014-03-12,56.317195892333984
2014-03-13,55.36332321166992
2014-03-14,54.38654327392578
2014-03-17,55.248863220214844
2014-03-18,55.95853805541992
2014-03-19,54.9893684387207
2014-03-20,55.53120040893555
2014-03-21,55.439632415771484
2014-03-24,55.46250915527344
2014-03-25,56.41639709472656
2014-03-26,55.69144821166992
2014-03-27,55.935646057128906
2014-03-28,56.64534378051758
2014-03-31,57.32449722290039
2014-04-01,57.820526123046875
2014-04-02,58.507293701171875
2014-04-03,58.77439880371094
2014-04-04,57.667903900146484
2014-04-07,56.00432205200195
2014-04-08,55.99668502807617
2014-04-09,57.07265853881836
2014-04-10,55.58460998535156
2014-04-11,54.11943435668945
2014-04-14,54.2033805847168
2014-04-15,54.85966491699219
2014-04-16,55.668556213378906
2014-04-17,56.33244705200195
2014-04-21,56.41639709472656
2014-04-22,56.79794692993164
2014-04-23,56.75979995727539
2014-04-24,57.20241165161133
2014-04-25,56.43166732788086
2014-04-28,56.85137176513672
2014-04-29,55.058067321777344
2014-04-30,55.43198013305664
2014-05-01,56.19258117675781
2014-05-02,55.97747039794922
2014-05-05,55.95442581176758
2014-05-06,55.60101318359375
2014-05-07,55.700889587402344
2014-05-08,55.25529479980469
2014-05-09,55.024810791015625
2014-05-12,56.11577606201172
2014-05-13,56.23868942260742
2014-05-14,55.88528060913086
2014-05-15,55.61638259887695
2014-05-16,55.478084564208984
2014-05-19,55.808441162109375
2014-05-20,55.38590621948242
2014-05-21,56.0389404296875
2014-05-22,56.31552505493164
2014-05-23,56.6381950378418
2014-05-27,57.0530891418457
2014-05-28,56.83794403076172
2014-05-29,56.876380920410156
2014-05-30,56.61517333984375
2014-06-02,56.54600524902344
2014-06-03,56.49991989135742
2014-06-04,56.376983642578125
2014-06-05,56.51527786254883
2014-06-06,57.53710174560547
2014-06-09,58.051856994628906
2014-06-10,57.736873626708984
2014-06-11,57.821372985839844
2014-06-12,57.567813873291016
2014-06-13,57.74453353881836
2014-06-16,58.25161361694336
2014-06-17,58.51282501220703
2014-06-18,58.84318542480469
2014-06-19,59.027587890625
2014-06-20,59.58840560913086
2014-06-23,60.8791389465332
2014-06-24,59.5116081237793
2014-06-25,59.1505126953125
2014-06-26,59.13512420654297
2014-06-27,59.35795593261719
2014-06-30,59.296485900878906
2014-07-01,59.43476486206055
2014-07-02,59.619171142578125
2014-07-03,60.14927673339844
2014-07-07,60.27219009399414
2014-07-08,59.48854446411133
2014-07-09,59.84966278076172
2014-07-10,59.66526412963867
2014-07-11,59.7881965637207
2014-07-14,60.73318099975586
2014-07-15,60.40279769897461
2014-07-16,61.03282165527344
2014-07-17,60.11856460571289
2014-07-18,60.364402770996094
2014-07-21,59.865028381347656
2014-07-22,60.172325134277344
2014-07-23,59.94953155517578
2014-07-24,59.45014572143555
2014-07-25,59.51929473876953
2014-07-28,58.96611022949219
2014-07-29,54.17200469970703
2014-07-30,53.70336151123047
2014-07-31,52.550506591796875
2014-08-01,51.97797393798828
2014-08-04,52.36481857299805
2014-08-05,52.225555419921875
2014-08-06,51.65299606323242
2014-08-07,51.6220703125
2014-08-08,52.38803482055664
2014-08-11,52.558250427246094
2014-08-12,52.58146667480469
2014-08-13,53.146278381347656
2014-08-14,53.05343246459961
2014-08-15,52.69751739501953
2014-08-18,53.3861198425293
2014-08-19,53.54085159301758
2014-08-20,54.46931838989258
2014-08-21,54.198516845703125
2014-08-22,54.01283264160156
2014-08-25,54.38420486450195
2014-08-26,54.15981674194336
2014-08-27,53.98189163208008
2014-08-28,53.8271484375
2014-08-29,54.01283264160156
2014-09-02,54.36874008178711
2014-09-03,54.01283264160156
2014-09-04,53.672393798828125
2014-09-05,53.517669677734375
2014-09-08,53.27006912231445
2014-09-09,52.79037094116211
2014-09-10,52.68977355957031
2014-09-11,52.442195892333984
2014-09-12,51.908329010009766
2014-09-15,51.83870315551758
2014-09-16,51.61431884765625
2014-09-17,51.34352111816406
2014-09-18,51.49824142456055
2014-09-19,51.351261138916016
2014-09-22,50.34543228149414
2014-09-23,50.399593353271484
2014-09-24,50.77871322631836
2014-09-25,49.86574172973633
2014-09-26,50.5311279296875
2014-09-29,50.051429748535156
2014-09-30,49.030128479003906
2014-10-01,48.49626159667969
2014-10-02,48.0010871887207
2014-10-03,48.85991668701172
2014-10-06,49.06106948852539
2014-10-07,47.730289459228516
2014-10-08,48.596839904785156
2014-10-09,46.05133819580078
2014-10-10,45.587100982666016
2014-10-13,45.08419418334961
2014-10-14,45.687686920166016
2014-10-15,45.625797271728516
2014-10-16,46.360816955566406
2014-10-17,47.536869049072266
2014-10-20,47.27378463745117
2014-10-21,48.66647720336914
2014-10-22,47.27378463745117
2014-10-23,48.54267883300781
2014-10-24,48.79027557373047
2014-10-27,48.39568328857422
2014-10-28,50.12104415893555
2014-10-29,51.00310134887695
2014-10-30,51.6607551574707
2014-10-31,52.914161682128906
2014-11-03,52.945098876953125
2014-11-04,52.542781829833984
2014-11-05,52.85999298095703
2014-11-06,53.43254470825195
2014-11-07,53.517669677734375
2014-11-10,53.68012619018555
2014-11-11,52.95285415649414
2014-11-12,52.711265563964844
2014-11-13,51.822872161865234
2014-11-14,52.16576385498047
2014-11-17,52.27486801147461
2014-11-18,52.53203582763672
2014-11-19,52.087825775146484
2014-11-20,52.49306869506836
2014-11-21,53.29573440551758
2014-11-24,53.82564163208008
2014-11-25,54.13736343383789
2014-11-26,53.93475341796875
2014-11-28,52.85933303833008
2014-12-01,52.360595703125
2014-12-02,53.381446838378906
2014-12-03,54.71404266357422
2014-12-04,54.145164489746094
2014-12-05,54.09062194824219
2014-12-08,52.92946243286133
2014-12-09,53.381446838378906
2014-12-10,52.06444549560547
2014-12-11,52.080039978027344
2014-12-12,50.435733795166016
2014-12-15,50.18636703491211
2014-12-16,50.786399841308594
2014-12-17,50.56041717529297
2014-12-18,52.563194274902344
2014-12-19,53.89579772949219
2014-12-22,53.82564163208008
2014-12-23,54.07502746582031
2014-12-24,54.004878997802734
2014-12-26,54.10618209838867
2014-12-29,54.03607177734375
2014-12-30,53.59186553955078
2014-12-31,52.960636138916016
2015-01-02,52.937255859375
2015-01-05,50.74745559692383
2015-01-06,50.17856979370117
2015-01-07,50.32661819458008
2015-01-08,52.126792907714844
2015-01-09,51.47998046875
2015-01-12,51.02800369262695
2015-01-13,51.01240539550781
2015-01-14,50.061668395996094
2015-01-15,49.929195404052734
2015-01-16,50.33442306518555
2015-01-20,50.49808120727539
2015-01-21,51.29294967651367
2015-01-22,52.7424201965332
