,NI
2014-01-02,8.966089248657227
2014-01-03,9.013293266296387
2014-01-06,9.149354934692383
2014-01-07,9.179898262023926
2014-01-08,9.135470390319824
2014-01-09,9.188227653503418
2014-01-10,9.34928035736084
2014-01-13,9.229878425598145
2014-01-14,9.252094268798828
2014-01-15,9.260425567626953
2014-01-16,9.388152122497559
2014-01-17,9.410369873046875
2014-01-21,9.529766082763672
2014-01-22,9.529766082763672
2014-01-23,9.504776000976562
2014-01-24,9.32706356048584
2014-01-27,9.34928035736084
2014-01-28,9.490890502929688
2014-01-29,9.410369873046875
2014-01-30,9.513106346130371
2014-01-31,9.543651580810547
2014-02-03,9.427027702331543
2014-02-04,9.368715286254883
2014-02-05,9.371492385864258
2014-02-06,9.444226264953613
2014-02-07,9.51416301727295
2014-02-10,9.65963077545166
2014-02-11,9.698797225952148
2014-02-12,9.693201065063477
2014-02-13,9.72676944732666
2014-02-14,9.838665962219238
2014-02-18,9.875035285949707
2014-02-19,9.903013229370117
2014-02-20,9.877833366394043
2014-02-21,9.903013229370117
2014-02-24,9.914202690124512
2014-02-25,9.9002103805542
2014-02-26,9.771526336669922
2014-02-27,9.735160827636719
2014-02-28,9.74075698852539
2014-03-03,9.665227890014648
2014-03-04,9.799507141113281
2014-03-05,9.701592445373535
2014-03-06,9.637255668640137
2014-03-07,9.71278190612793
2014-03-10,9.64284610748291
2014-03-11,9.564517974853516
2014-03-12,9.70718765258789
2014-03-13,9.82468318939209
2014-03-14,9.877833366394043
2014-03-17,9.928189277648926
2014-03-18,9.972944259643555
2014-03-19,9.821887016296387
2014-03-20,9.763137817382812
2014-03-21,9.81069564819336
2014-03-24,9.805098533630371
2014-03-25,9.788314819335938
2014-03-26,9.79111385345459
2014-03-27,9.89182186126709
2014-03-28,9.889021873474121
2014-03-31,9.939375877380371
2014-04-01,9.992527961730957
2014-04-02,9.908604621887207
2014-04-03,9.91140365600586
2014-04-04,9.872237205505371
2014-04-07,9.729570388793945
2014-04-08,9.827478408813477
2014-04-09,9.838665962219238
2014-04-10,9.757545471191406
2014-04-11,9.718379974365234
2014-04-14,9.765935897827148
2014-04-15,9.956164360046387
2014-04-16,10.15478229522705
2014-04-17,10.048480987548828
2014-04-21,9.989731788635254
2014-04-22,10.023300170898438
2014-04-23,10.051275253295898
2014-04-24,10.034490585327148
2014-04-25,10.090441703796387
2014-04-28,10.17213249206543
2014-04-29,10.222837448120117
2014-04-30,10.231289863586426
2014-05-01,10.428479194641113
2014-05-02,10.208755493164062
2014-05-05,10.355238914489746
2014-05-06,10.301713943481445
2014-05-07,10.442564010620117
2014-05-08,10.293266296386719
2014-05-09,10.124245643615723
2014-05-12,10.138331413269043
2014-05-13,10.101709365844727
2014-05-14,10.208755493164062
2014-05-15,10.194669723510742
2014-05-16,10.276361465454102
2014-05-19,10.377771377563477
2014-05-20,10.335518836975098
2014-05-21,10.363688468933105
2014-05-22,10.476365089416504
2014-05-23,10.53552532196045
2014-05-27,10.46509838104248
2014-05-28,10.490452766418457
2014-05-29,10.46509838104248
2014-05-30,10.52707576751709
2014-06-02,10.614398956298828
2014-06-03,10.58623218536377
2014-06-04,10.65947151184082
2014-06-05,10.676373481750488
2014-06-06,10.634119033813477
2014-06-09,10.558063507080078
2014-06-10,10.445383071899414
2014-06-11,10.332703590393066
2014-06-12,10.420025825500488
2014-06-13,10.476365089416504
2014-06-16,10.577780723571777
