,DHI
2014-01-02,19.44322967529297
2014-01-03,19.371973037719727
2014-01-06,18.944454193115234
2014-01-07,19.00680160522461
2014-01-08,19.220561981201172
2014-01-09,19.371973037719727
2014-01-10,19.728242874145508
2014-01-13,19.193843841552734
2014-01-14,19.229469299316406
2014-01-15,19.229469299316406
2014-01-16,19.523393630981445
2014-01-17,19.229469299316406
2014-01-21,19.13149642944336
2014-01-22,19.56792449951172
2014-01-23,19.55901527404785
2014-01-24,18.597097396850586
2014-01-27,18.65053367614746
2014-01-28,20.485307693481445
2014-01-29,20.583274841308594
2014-01-30,20.37842559814453
2014-01-31,20.912832260131836
2014-02-03,20.37842559814453
2014-02-04,20.547651290893555
2014-02-05,20.242544174194336
2014-02-06,21.02762222290039
2014-02-07,21.313106536865234
2014-02-10,21.00977897644043
2014-02-11,20.813508987426758
2014-02-12,20.724292755126953
2014-02-13,20.73321533203125
2014-02-14,21.072229385375977
2014-02-18,20.795665740966797
2014-02-19,20.661848068237305
2014-02-20,20.813508987426758
2014-02-21,21.098995208740234
2014-02-24,21.152523040771484
2014-02-25,21.536136627197266
2014-02-26,22.169553756713867
2014-02-27,22.187395095825195
2014-02-28,21.91084098815918
2014-03-03,21.669960021972656
2014-03-04,21.705642700195312
2014-03-05,21.37555694580078
2014-03-06,21.28634262084961
2014-03-07,20.938411712646484
2014-03-10,20.313913345336914
2014-03-11,20.180095672607422
2014-03-12,20.206859588623047
2014-03-13,19.769718170166016
2014-03-14,19.66265869140625
2014-03-17,19.671571731567383
2014-03-18,20.02842903137207
2014-03-19,20.064111709594727
2014-03-20,19.51099395751953
2014-03-21,19.109535217285156
2014-03-24,18.96678924560547
2014-03-25,19.13629913330078
2014-03-26,18.868654251098633
2014-03-27,18.948949813842773
2014-03-28,19.332565307617188
2014-03-31,19.314729690551758
2014-04-01,19.742944717407227
2014-04-02,19.850004196166992
2014-04-03,20.010589599609375
2014-04-04,19.903532028198242
2014-04-07,19.421785354614258
2014-04-08,19.48423194885254
2014-04-09,19.573440551757812
2014-04-10,19.439624786376953
2014-04-11,19.279037475585938
2014-04-14,19.412857055664062
2014-04-15,19.34148597717285
2014-04-16,19.502073287963867
2014-04-17,19.180898666381836
2014-04-21,19.252269744873047
2014-04-22,19.48423194885254
2014-04-23,19.04707908630371
2014-04-24,20.635082244873047
2014-04-25,20.064111709594727
2014-04-28,20.108728408813477
2014-04-29,19.965986251831055
2014-04-30,19.876771926879883
2014-05-01,20.367441177368164
2014-05-02,20.626163482666016
2014-05-05,20.50126075744629
2014-05-06,20.010589599609375
2014-05-07,20.001672744750977
2014-05-08,19.832164764404297
2014-05-09,19.635894775390625
2014-05-12,20.180095672607422
2014-05-13,20.616188049316406
2014-05-14,19.767234802246094
2014-05-15,19.883405685424805
2014-05-16,19.829792022705078
2014-05-19,19.62425422668457
2014-05-20,19.58850860595703
2014-05-21,19.767234802246094
2014-05-22,20.24085807800293
2014-05-23,21.063007354736328
2014-05-27,20.6698055267334
2014-05-28,20.848535537719727
2014-05-29,21.34003257751465
2014-05-30,21.161306381225586
2014-06-02,21.214920043945312
2014-06-03,21.214920043945312
2014-06-04,21.17024803161621
2014-06-05,21.44727325439453
2014-06-06,21.822595596313477
2014-06-09,21.99239158630371
2014-06-10,21.79578971862793
2014-06-11,21.42046546936035
2014-06-12,21.01831817626953
2014-06-13,20.946828842163086
2014-06-16,21.188119888305664
2014-06-17,20.98258399963379
2014-06-18,20.946828842163086
2014-06-19,20.928970336914062
2014-06-20,21.063007354736328
2014-06-23,21.08981704711914
2014-06-24,21.348970413208008
2014-06-25,21.500890731811523
2014-06-26,21.34003257751465
2014-06-27,21.295351028442383
2014-06-30,21.965585708618164
2014-07-01,22.43027114868164
2014-07-02,22.046003341674805
2014-07-03,22.180055618286133
2014-07-07,21.768980026245117
2014-07-08,21.760040283203125
2014-07-09,21.849409103393555
2014-07-10,21.822595596313477
2014-07-11,21.545574188232422
2014-07-14,21.536638259887695
2014-07-15,21.599191665649414
2014-07-16,22.063880920410156
2014-07-17,21.188119888305664
2014-07-18,21.35791015625
2014-07-21,21.304285049438477
2014-07-22,21.71536636352539
2014-07-23,22.16218376159668
2014-07-24,19.606374740600586
2014-07-25,19.311479568481445
2014-07-28,19.195308685302734
2014-07-29,18.739547729492188
2014-07-30,18.64125633239746
2014-07-31,18.498266220092773
2014-08-01,18.239120483398438
2014-08-04,18.391036987304688
2014-08-05,18.114009857177734
2014-08-06,18.071882247924805
2014-08-07,18.027057647705078
2014-08-08,18.484230041503906
2014-08-11,18.529056549072266
2014-08-12,18.17047882080078
2014-08-13,18.233234405517578
2014-08-14,18.708332061767578
2014-08-15,18.681440353393555
2014-08-18,18.941402435302734
2014-08-19,19.559938430786133
2014-08-20,19.622692108154297
2014-08-21,19.542001724243164
2014-08-22,19.57786750793457
2014-08-25,19.353763580322266
2014-08-26,19.36272621154785
2014-08-27,19.452363967895508
2014-08-28,19.416505813598633
2014-08-29,19.43443489074707
2014-09-02,19.39858627319336
2014-09-03,18.905550003051758
2014-09-04,19.1475830078125
2014-09-05,19.237220764160156
2014-09-08,19.380647659301758
2014-09-09,19.44339942932129
2014-09-10,19.685436248779297
2014-09-11,19.676469802856445
2014-09-12,19.237220764160156
2014-09-15,19.380647659301758
2014-09-16,19.36272621154785
2014-09-17,19.92746925354004
2014-09-18,19.864723205566406
2014-09-19,19.676469802856445
2014-09-22,19.156543731689453
2014-09-23,19.075878143310547
2014-09-24,19.004150390625
2014-09-25,18.65454864501953
2014-09-26,18.735231399536133
2014-09-29,18.58283233642578
2014-09-30,18.394590377807617
2014-10-01,18.215301513671875
2014-10-02,18.376657485961914
2014-10-03,18.58283233642578
2014-10-06,18.771087646484375
2014-10-07,18.591794967651367
2014-10-08,18.82487678527832
2014-10-09,18.502166748046875
2014-10-10,17.785022735595703
2014-10-13,17.471275329589844
2014-10-14,17.955339431762695
2014-10-15,18.493192672729492
2014-10-16,18.20633888244629
2014-10-17,19.32686424255371
2014-10-20,19.819894790649414
2014-10-21,20.169506072998047
2014-10-22,20.348787307739258
