,WFC
2014-01-02,32.857017517089844
2014-01-03,33.09056854248047
2014-01-06,33.148948669433594
2014-01-07,33.13436508178711
2014-01-08,33.513877868652344
2014-01-09,33.68904113769531
2014-01-10,33.52846908569336
2014-01-13,33.251129150390625
2014-01-14,33.27302551269531
2014-01-15,33.86418533325195
2014-01-16,33.856903076171875
2014-01-17,33.856903076171875
2014-01-21,33.937191009521484
2014-01-22,34.061241149902344
2014-01-23,33.827693939208984
2014-01-24,33.19274139404297
2014-01-27,33.22924041748047
2014-01-28,33.54307556152344
2014-01-29,33.27302551269531
2014-01-30,33.608760833740234
2014-01-31,33.09056854248047
2014-02-03,32.426429748535156
2014-02-04,32.67457580566406
2014-02-05,32.498226165771484
2014-02-06,32.9023323059082
2014-02-07,33.33584213256836
2014-02-10,33.4460563659668
2014-02-11,33.776702880859375
2014-02-12,33.79140090942383
2014-02-13,33.78404998779297
2014-02-14,33.894264221191406
2014-02-18,33.894264221191406
2014-02-19,33.453407287597656
2014-02-20,33.52688980102539
2014-02-21,33.50484085083008
2014-02-24,33.857521057128906
2014-02-25,33.857521057128906
2014-02-26,33.83547592163086
2014-02-27,33.83547592163086
2014-02-28,34.10734176635742
2014-03-03,33.90896224975586
2014-03-04,34.34246826171875
2014-03-05,34.5996208190918
2014-03-06,34.7833137512207
2014-03-07,35.23151779174805
2014-03-10,35.37847137451172
2014-03-11,35.1286506652832
2014-03-12,35.35641098022461
2014-03-13,35.15068435668945
2014-03-14,34.827396392822266
2014-03-17,35.36377716064453
2014-03-18,35.562164306640625
2014-03-19,35.1286506652832
2014-03-20,36.02505111694336
2014-03-21,36.09119415283203
2014-03-24,35.988319396972656
2014-03-25,35.97361755371094
2014-03-26,35.635623931884766
2014-03-27,36.076480865478516
2014-03-28,36.21609115600586
2014-03-31,36.546722412109375
2014-04-01,36.56876754760742
2014-04-02,36.561431884765625
2014-04-03,36.612857818603516
2014-04-04,36.414466857910156
2014-04-07,35.75319290161133
2014-04-08,35.87810134887695
2014-04-09,36.076480865478516
2014-04-10,35.05516815185547
2014-04-11,35.32703399658203
2014-04-14,35.34907913208008
2014-04-15,35.84135437011719
2014-04-16,36.06914520263672
2014-04-17,35.951576232910156
2014-04-21,36.09119415283203
2014-04-22,36.172000885009766
2014-04-23,36.436519622802734
2014-04-24,36.238136291503906
2014-04-25,36.03975296020508
2014-04-28,35.95891571044922
2014-04-29,36.348358154296875
2014-04-30,36.473243713378906
2014-05-01,36.473243713378906
2014-05-02,36.42916488647461
2014-05-05,36.414466857910156
2014-05-06,36.06914520263672
2014-05-07,36.5501594543457
2014-05-08,36.50575637817383
2014-05-09,36.32073974609375
2014-05-12,36.823974609375
2014-05-13,36.86096954345703
2014-05-14,36.476158142089844
2014-05-15,36.28374481201172
2014-05-16,36.32073974609375
2014-05-19,36.62416076660156
2014-05-20,36.23194885253906
2014-05-21,36.757362365722656
2014-05-22,36.99418640136719
2014-05-23,37.11996841430664
2014-05-27,37.408599853515625
2014-05-28,37.32718276977539
2014-05-29,37.201393127441406
2014-05-30,37.57879638671875
2014-06-02,37.80820846557617
2014-06-03,37.80820846557617
2014-06-04,37.771209716796875
2014-06-05,38.207828521728516
2014-06-06,38.46684265136719
2014-06-09,38.85905075073242
2014-06-10,38.91826629638672
2014-06-11,38.65925598144531
2014-06-12,38.26702880859375
2014-06-13,38.40763854980469
2014-06-16,37.80820846557617
2014-06-17,38.23003005981445
2014-06-18,38.51123809814453
2014-06-19,38.496437072753906
2014-06-20,39.140262603759766
2014-06-23,39.20688247680664
2014-06-24,38.8442497253418
2014-06-25,38.92565155029297
2014-06-26,38.75545883178711
2014-06-27,39.147666931152344
2014-06-30,38.89605712890625
2014-07-01,39.01447677612305
2014-07-02,38.97006607055664
2014-07-03,39.2216682434082
2014-07-07,38.8516731262207
2014-07-08,38.666656494140625
2014-07-09,38.62223815917969
2014-07-10,38.341033935546875
2014-07-11,38.10422897338867
2014-07-14,37.97101593017578
2014-07-15,38.00062561035156
2014-07-16,37.86741256713867
2014-07-17,37.504791259765625
2014-07-18,37.94881057739258
2014-07-21,37.77861404418945
2014-07-22,38.00062561035156
2014-07-23,37.98582077026367
2014-07-24,38.178218841552734
2014-07-25,38.185630798339844
2014-07-28,38.185630798339844
2014-07-29,38.141231536865234
2014-07-30,38.555641174316406
2014-07-31,37.667606353759766
2014-08-01,37.260581970214844
2014-08-04,37.734214782714844
2014-08-05,37.29759216308594
2014-08-06,37.305049896240234
2014-08-07,37.036766052246094
2014-08-08,37.260318756103516
2014-08-11,37.17835998535156
2014-08-12,37.09638595581055
2014-08-13,37.25288009643555
2014-08-14,37.54349899291992
2014-08-15,37.416812896728516
2014-08-18,37.77451705932617
2014-08-19,37.90120315551758
2014-08-20,37.89375686645508
2014-08-21,38.22164535522461
2014-08-22,38.13968276977539
2014-08-25,38.34087371826172
2014-08-26,38.42285919189453
2014-08-27,38.258907318115234
2014-08-28,38.117305755615234
2014-08-29,38.33342742919922
2014-09-02,38.430294036865234
2014-09-03,38.41539764404297
2014-09-04,38.430294036865234
2014-09-05,38.48991394042969
2014-09-08,38.35578536987305
2014-09-09,38.05769729614258
2014-09-10,38.393043518066406
2014-09-11,38.445213317871094
2014-09-12,38.527183532714844
2014-09-15,38.706031799316406
2014-09-16,38.98175811767578
2014-09-17,39.130794525146484
2014-09-18,39.67479705810547
2014-09-19,39.764217376708984
2014-09-22,39.421424865722656
2014-09-23,38.82525634765625
2014-09-24,38.847625732421875
2014-09-25,38.311073303222656
2014-09-26,38.65386199951172
2014-09-29,38.51972961425781
2014-09-30,38.65386199951172
2014-10-01,38.19929122924805
2014-10-02,38.303619384765625
2014-10-03,38.82525634765625
2014-10-06,38.77309799194336
2014-10-07,38.065155029296875
2014-10-08,38.86252212524414
2014-10-09,38.09495162963867
2014-10-10,37.73725509643555
2014-10-13,37.40935516357422
2014-10-14,36.3884391784668
2014-10-15,35.65813446044922
2014-10-16,35.86679458618164
2014-10-17,36.28411865234375
