,EBAY
2014-01-02,20.51279067993164
2014-01-03,20.254194259643555
2014-01-06,19.691364288330078
2014-01-07,20.105884552001953
2014-01-08,19.91573715209961
2014-01-09,19.801652908325195
2014-01-10,19.835878372192383
2014-01-13,19.980388641357422
2014-01-14,20.140104293823242
2014-01-15,20.45574951171875
2014-01-16,20.43673324584961
2014-01-17,20.231380462646484
2014-01-21,20.5926513671875
2014-01-22,20.691524505615234
2014-01-23,20.89307403564453
2014-01-24,20.676315307617188
2014-01-27,20.109682083129883
2014-01-28,20.216163635253906
2014-01-29,19.8472843170166
2014-01-30,20.223772048950195
2014-01-31,20.231380462646484
2014-02-03,19.9233455657959
2014-02-04,20.121089935302734
2014-02-05,20.35306739807129
2014-02-06,20.676315307617188
2014-02-07,20.759979248046875
2014-02-10,20.45194435119629
2014-02-11,20.65349769592285
2014-02-12,20.851247787475586
2014-02-13,20.88547134399414
2014-02-14,20.828432083129883
2014-02-18,20.97294044494629
2014-02-19,20.81702423095703
2014-02-20,20.90068817138672
2014-02-21,20.759979248046875
2014-02-24,21.4102725982666
2014-02-25,21.353227615356445
2014-02-26,21.805774688720703
2014-02-27,22.18606185913086
2014-02-28,22.349586486816406
2014-03-03,22.17465591430664
2014-03-04,22.459871292114258
2014-03-05,22.383808135986328
2014-03-06,22.551137924194336
2014-03-07,22.459871292114258
2014-03-10,22.140430450439453
2014-03-11,21.88182830810547
2014-03-12,22.049156188964844
2014-03-13,21.5623836517334
2014-03-14,21.577598571777344
2014-03-17,21.836200714111328
2014-03-18,21.99591636657715
2014-03-19,21.790563583374023
2014-03-20,21.722108840942383
2014-03-21,21.661264419555664
2014-03-24,21.501543045043945
2014-03-25,21.421682357788086
2014-03-26,21.144073486328125
2014-03-27,20.984350204467773
2014-03-28,20.98815155029297
2014-03-31,21.00716781616211
2014-04-01,21.311399459838867
2014-04-02,21.087026596069336
2014-04-03,20.756175994873047
2014-04-04,20.53561019897461
2014-04-07,20.136306762695312
2014-04-08,20.8398380279541
2014-04-09,21.254352569580078
2014-04-10,20.56602668762207
2014-04-11,20.33025360107422
2014-04-14,20.528003692626953
2014-04-15,20.497581481933594
2014-04-16,20.798006057739258
2014-04-17,20.904489517211914
2014-04-21,20.88927459716797
2014-04-22,21.094633102416992
2014-04-23,20.89307403564453
2014-04-24,20.855052947998047
2014-04-25,20.429126739501953
2014-04-28,20.39870262145996
2014-04-29,20.740964889526367
2014-04-30,19.710386276245117
2014-05-01,19.657140731811523
2014-05-02,19.778831481933594
2014-05-05,19.775033950805664
2014-05-06,19.375728607177734
2014-05-07,19.23121452331543
2014-05-08,19.11332130432129
2014-05-09,19.219810485839844
2014-05-12,19.52023696899414
2014-05-13,19.61530876159668
2014-05-14,19.641929626464844
2014-05-15,19.531646728515625
2014-05-16,19.756017684936523
2014-05-19,19.90052604675293
2014-05-20,19.75982093811035
2014-05-21,19.729394912719727
2014-05-22,19.584888458251953
2014-05-23,19.782630920410156
2014-05-27,19.687564849853516
2014-05-28,19.162765502929688
2014-05-29,19.06769371032715
2014-05-30,19.292062759399414
2014-06-02,19.200788497924805
2014-06-03,19.17417335510254
2014-06-04,19.185590744018555
2014-06-05,19.23501968383789
2014-06-06,18.900365829467773
2014-06-09,18.85472869873047
2014-06-10,18.348949432373047
2014-06-11,18.56951332092285
2014-06-12,18.466838836669922
2014-06-13,18.649372100830078
2014-06-16,18.63416290283203
2014-06-17,18.656980514526367
2014-06-18,18.88515281677246
2014-06-19,18.862335205078125
2014-06-20,18.763460159301758
2014-06-23,18.7824764251709
2014-06-24,18.577123641967773
2014-06-25,18.755859375
2014-06-26,18.81290054321289
2014-06-27,19.04487419128418
2014-06-30,19.03727149963379
2014-07-01,19.204593658447266
2014-07-02,19.223613739013672
2014-07-03,19.371925354003906
2014-07-07,19.295867919921875
2014-07-08,19.082904815673828
2014-07-09,19.368118286132812
2014-07-10,19.143753051757812
2014-07-11,19.584888458251953
2014-07-14,19.455589294433594
2014-07-15,19.3262882232666
2014-07-16,19.280651092529297
2014-07-17,19.406150817871094
2014-07-18,19.577281951904297
2014-07-21,19.66094398498535
2014-07-22,19.79404640197754
2014-07-23,20.026016235351562
2014-07-24,20.242786407470703
2014-07-25,20.060243606567383
2014-07-28,20.128694534301758
2014-07-29,20.235179901123047
2014-07-30,20.242786407470703
2014-07-31,20.09067153930664
2014-08-01,19.97658348083496
2014-08-04,20.178136825561523
2014-08-05,20.254194259643555
2014-08-06,20.33025360107422
2014-08-07,20.3682804107666
2014-08-08,20.569833755493164
2014-08-11,20.489974975585938
2014-08-12,20.3188419342041
2014-08-13,20.13250160217285
2014-08-14,20.128694534301758
2014-08-15,20.018417358398438
2014-08-18,20.197153091430664
2014-08-19,20.440536499023438
2014-08-20,20.307432174682617
2014-08-21,21.254352569580078
2014-08-22,21.106042861938477
2014-08-25,21.10224151611328
2014-08-26,21.391258239746094
2014-08-27,21.265764236450195
2014-08-28,21.079423904418945
2014-08-29,21.106042861938477
2014-09-02,20.870262145996094
2014-09-03,20.744768142700195
2014-09-04,20.702932357788086
2014-09-05,20.497581481933594
2014-09-08,20.62307357788086
2014-09-09,20.052642822265625
2014-09-10,19.43277359008789
2014-09-11,19.27305030822754
2014-09-12,19.8472843170166
2014-09-15,19.379528045654297
2014-09-16,19.626718521118164
