,AES
2014-01-02,9.945011138916016
2014-01-03,9.896222114562988
2014-01-06,9.993794441223145
2014-01-07,10.168020248413086
2014-01-08,9.965916633605957
2014-01-09,10.077424049377441
2014-01-10,10.126206398010254
2014-01-13,9.93803882598877
2014-01-14,10.063482284545898
2014-01-15,9.965916633605957
2014-01-16,9.972885131835938
2014-01-17,9.965916633605957
2014-01-21,10.05651569366455
2014-01-22,10.084391593933105
2014-01-23,9.889253616333008
2014-01-24,9.561705589294434
2014-01-27,9.505949020385742
2014-01-28,9.735934257507324
2014-01-29,9.582611083984375
2014-01-30,9.757475852966309
2014-01-31,9.83442211151123
2014-02-03,9.589605331420898
2014-02-04,9.673542022705078
2014-02-05,9.680536270141602
2014-02-06,9.764471054077148
2014-02-07,9.83442211151123
2014-02-10,9.827422142028809
2014-02-11,10.023271560668945
2014-02-12,10.009284973144531
2014-02-13,10.135187149047852
2014-02-14,10.226116180419922
2014-02-18,10.324040412902832
2014-02-19,10.079229354858398
2014-02-20,10.156170845031738
2014-02-21,10.233114242553711
2014-02-24,9.981303215026855
2014-02-25,9.995291709899902
2014-02-26,9.911358833312988
2014-02-27,9.638566970825195
2014-02-28,9.547637939453125
2014-03-03,9.694524765014648
2014-03-04,9.757475852966309
2014-03-05,9.820428848266602
2014-03-06,9.785455703735352
2014-03-07,9.827422142028809
2014-03-10,9.680536270141602
2014-03-11,9.519660949707031
2014-03-12,9.680536270141602
2014-03-13,9.680536270141602
2014-03-14,9.659550666809082
2014-03-17,9.729497909545898
2014-03-18,9.806439399719238
2014-03-19,9.673542022705078
2014-03-20,9.771467208862305
2014-03-21,9.715513229370117
2014-03-24,9.701522827148438
2014-03-25,9.743487358093262
2014-03-26,9.603594779968262
2014-03-27,9.806439399719238
2014-03-28,9.995291709899902
2014-03-31,9.988299369812012
2014-04-01,10.009284973144531
2014-04-02,9.967315673828125
2014-04-03,9.967315673828125
2014-04-04,10.023271560668945
2014-04-07,9.925347328186035
2014-04-08,10.058246612548828
2014-04-09,10.002288818359375
2014-04-10,10.093220710754395
2014-04-11,9.897368431091309
2014-04-14,10.009284973144531
2014-04-15,10.023271560668945
2014-04-16,10.037260055541992
2014-04-17,9.974312782287598
2014-04-21,9.890375137329102
2014-04-22,9.890375137329102
2014-04-23,9.988299369812012
2014-04-24,10.149176597595215
2014-04-25,10.100214004516602
2014-04-28,10.037260055541992
2014-04-29,10.051299095153809
2014-04-30,10.142546653747559
2014-05-01,10.339078903198242
2014-05-02,10.058318138122559
2014-05-05,10.030240058898926
2014-05-06,9.960051536560059
2014-05-07,10.156587600708008
2014-05-08,9.882841110229492
2014-05-09,9.854765892028809
2014-05-12,9.833708763122559
2014-05-13,9.889860153198242
2014-05-14,9.953033447265625
2014-05-15,9.967069625854492
2014-05-16,9.981108665466309
2014-05-19,9.826687812805176
2014-05-20,9.707365036010742
2014-05-21,9.53188705444336
2014-05-22,9.602079391479492
2014-05-23,9.552946090698242
2014-05-27,9.66524887084961
2014-05-28,9.735444068908691
2014-05-29,9.798612594604492
2014-05-30,9.896879196166992
2014-06-02,9.896879196166992
2014-06-03,9.960051536560059
2014-06-04,9.805632591247559
2014-06-05,10.023222923278809
2014-06-06,10.149567604064941
2014-06-09,10.100430488586426
2014-06-10,10.030240058898926
2014-06-11,9.988127708435059
2014-06-12,9.946013450622559
2014-06-13,9.967069625854492
2014-06-16,10.128511428833008
2014-06-17,10.219754219055176
2014-06-18,10.549654006958008
2014-06-19,10.675996780395508
2014-06-20,10.711091041564941
2014-06-23,10.725131034851074
2014-06-24,10.668977737426758
2014-06-25,10.753205299377441
2014-06-26,10.844453811645508
2014-06-27,10.900607109069824
2014-06-30,10.914643287658691
2014-07-01,10.928681373596191
2014-07-02,10.837434768676758
2014-07-03,10.851473808288574
2014-07-07,10.837434768676758
2014-07-08,10.872529983520508
2014-07-09,10.795318603515625
2014-07-10,10.900607109069824
2014-07-11,10.816377639770508
2014-07-14,10.661957740783691
2014-07-15,10.633880615234375
2014-07-16,10.704076766967773
2014-07-17,10.577727317810059
2014-07-18,10.661957740783691
2014-07-21,10.633880615234375
2014-07-22,10.683012008666992
2014-07-23,10.668977737426758
2014-07-24,10.725131034851074
2014-07-25,10.591771125793457
2014-07-28,10.675996780395508
2014-07-29,10.598784446716309
2014-07-30,10.55652904510498
2014-07-31,10.288921356201172
2014-08-01,10.352301597595215
2014-08-04,10.429769515991211
2014-08-05,10.21145248413086
2014-08-06,10.112863540649414
2014-08-07,10.133989334106445
2014-08-08,10.387513160705566
2014-08-11,10.253707885742188
2014-08-12,10.274835586547852
2014-08-13,10.338217735290527
2014-08-14,10.50019359588623
2014-08-15,10.429769515991211
2014-08-18,10.387513160705566
2014-08-19,10.493149757385254
2014-08-20,10.598785400390625
2014-08-21,10.612869262695312
2014-08-22,10.577658653259277
2014-08-25,10.676253318786621
2014-08-26,10.584702491760254
2014-08-27,10.591744422912598
2014-08-28,10.633997917175293
2014-08-29,10.690339088439941
2014-09-02,10.528360366821289
2014-09-03,10.253707885742188
2014-09-04,10.338217735290527
2014-09-05,10.48610782623291
2014-09-08,10.521320343017578
2014-09-09,10.380471229553223
2014-09-10,10.197369575500488
2014-09-11,10.225542068481445
2014-09-12,10.148077011108398
2014-09-15,10.141032218933105
2014-09-16,10.260751724243164
2014-09-17,10.190327644348145
2014-09-18,10.190327644348145
2014-09-19,10.352301597595215
2014-09-22,10.24666690826416
2014-09-23,10.218498229980469
2014-09-24,10.183284759521484
2014-09-25,9.964971542358398
2014-09-26,10.014267921447754
