,MAS
2014-01-02,16.97657012939453
2014-01-03,17.32822608947754
2014-01-06,17.08880615234375
2014-01-07,17.096281051635742
2014-01-08,17.287702560424805
2014-01-09,17.35525894165039
2014-01-10,17.610483169555664
2014-01-13,17.039981842041016
2014-01-14,17.41530990600586
2014-01-15,17.392799377441406
2014-01-16,17.325233459472656
2014-01-17,16.589590072631836
2014-01-21,16.5295352935791
2014-01-22,16.807275772094727
2014-01-23,16.69468116760254
2014-01-24,16.10165786743164
2014-01-27,16.304336547851562
2014-01-28,16.341867446899414
2014-01-29,16.07912826538086
2014-01-30,15.929001808166504
2014-01-31,15.8839693069458
2014-02-03,15.58370304107666
2014-02-04,15.688799858093262
2014-02-05,15.56869125366211
2014-02-06,16.071630477905273
2014-02-07,16.5295352935791
2014-02-10,16.289323806762695
2014-02-11,16.852317810058594
2014-02-12,16.822280883789062
2014-02-13,16.69468116760254
2014-02-14,16.85982322692871
2014-02-18,16.732213973999023
2014-02-19,16.5295352935791
2014-02-20,16.739715576171875
2014-02-21,16.844812393188477
2014-02-24,16.717195510864258
2014-02-25,17.039981842041016
2014-02-26,17.557941436767578
2014-02-27,17.497888565063477
2014-02-28,17.527912139892578
2014-03-03,17.190113067626953
2014-03-04,17.505395889282227
2014-03-05,17.610483169555664
2014-03-06,17.73809814453125
2014-03-07,17.550434112548828
2014-03-10,17.35525894165039
2014-03-11,17.520402908325195
2014-03-12,17.49038314819336
2014-03-13,17.039981842041016
2014-03-14,17.085023880004883
2014-03-17,17.092527389526367
2014-03-18,17.392799377441406
2014-03-19,17.325233459472656
2014-03-20,16.702190399169922
2014-03-21,16.43195152282715
2014-03-24,16.281816482543945
2014-03-25,16.49200439453125
2014-03-26,16.371896743774414
2014-03-27,16.364391326904297
2014-03-28,16.5445499420166
2014-03-31,16.672157287597656
2014-04-01,16.85982322692871
2014-04-02,17.18260383605957
2014-04-03,17.175107955932617
2014-04-04,17.047487258911133
2014-04-07,16.44696044921875
2014-04-08,16.409425735473633
2014-04-09,16.616573333740234
2014-04-10,16.26254653930664
2014-04-11,16.081768035888672
2014-04-14,16.217350006103516
2014-04-15,16.15709114074707
2014-04-16,16.563844680786133
2014-04-17,16.616573333740234
2014-04-21,16.541242599487305
2014-04-22,16.78227996826172
2014-04-23,16.684368133544922
2014-04-24,16.91033172607422
2014-04-25,15.65241527557373
2014-04-28,15.599692344665527
2014-04-29,15.238129615783691
2014-04-30,15.132678031921387
2014-05-01,15.140210151672363
2014-05-02,15.479175567626953
2014-05-05,15.200471878051758
2014-05-06,14.71839714050293
2014-05-07,14.846446990966797
2014-05-08,14.8615140914917
2014-05-09,15.057355880737305
2014-05-12,15.524365425109863
2014-05-13,15.531904220581055
2014-05-14,15.245667457580566
2014-05-15,15.177874565124512
2014-05-16,15.697609901428223
2014-05-19,15.953715324401855
2014-05-20,15.682551383972168
2014-05-21,15.742807388305664
2014-05-22,15.7578706741333
2014-05-23,16.02903938293457
2014-05-27,15.99138355255127
2014-05-28,16.021509170532227
2014-05-29,16.044105529785156
2014-05-30,16.044105529785156
2014-06-02,16.096826553344727
2014-06-03,16.322803497314453
2014-06-04,16.511117935180664
2014-06-05,16.413192749023438
2014-06-06,16.624107360839844
2014-06-09,16.895273208618164
2014-06-10,17.023317337036133
2014-06-11,16.88020133972168
2014-06-12,16.902902603149414
2014-06-13,16.524751663208008
2014-06-16,16.479372024536133
2014-06-17,16.426437377929688
2014-06-18,16.562570571899414
2014-06-19,16.71382713317871
2014-06-20,16.35837173461914
2014-06-23,16.434003829956055
2014-06-24,16.396188735961914
2014-06-25,16.668445587158203
2014-06-26,16.73651695251465
2014-06-27,16.79701805114746
2014-06-30,16.78946304321289
2014-07-01,16.865083694458008
2014-07-02,16.75921058654785
2014-07-03,16.948266983032227
2014-07-07,16.683578491210938
2014-07-08,16.41130828857422
2014-07-09,16.365930557250977
2014-07-10,16.063425064086914
2014-07-11,16.040733337402344
2014-07-14,16.078548431396484
2014-07-15,15.980223655700684
2014-07-16,16.1541805267334
2014-07-17,15.806286811828613
2014-07-18,15.866791725158691
2014-07-21,15.844103813171387
2014-07-22,15.980223655700684
2014-07-23,16.0029239654541
2014-07-24,15.579399108886719
2014-07-25,15.806286811828613
2014-07-28,15.329828262329102
2014-07-29,16.41887855529785
2014-07-30,16.116365432739258
2014-07-31,15.730658531188965
2014-08-01,16.040733337402344
2014-08-04,16.12392807006836
2014-08-05,15.965106964111328
2014-08-06,16.033172607421875
2014-08-07,15.92729377746582
2014-08-08,16.305435180664062
2014-08-11,16.539880752563477
2014-08-12,16.44912338256836
2014-08-13,16.471811294555664
2014-08-14,16.79701805114746
2014-08-15,16.91045570373535
2014-08-18,17.303728103637695
2014-08-19,17.538177490234375
2014-08-20,17.674299240112305
2014-08-21,17.780179977416992
2014-08-22,17.772624969482422
2014-08-25,17.795310974121094
2014-08-26,17.742366790771484
2014-08-27,17.780179977416992
2014-08-28,17.780179977416992
2014-08-29,17.74992561340332
2014-09-02,17.8406925201416
2014-09-03,17.76505470275879
2014-09-04,17.95412826538086
2014-09-05,17.916316986083984
2014-09-08,18.173450469970703
2014-09-09,17.984376907348633
2014-09-10,17.90875244140625
2014-09-11,18.143198013305664
2014-09-12,18.060007095336914
2014-09-15,18.060007095336914
2014-09-16,18.286888122558594
2014-09-17,18.4835262298584
2014-09-18,18.309579849243164
2014-09-19,18.022199630737305
2014-09-22,17.71967315673828
2014-09-23,17.742366790771484
2014-09-24,17.833120346069336
2014-09-25,17.64405059814453
2014-09-26,17.651613235473633
2014-09-29,17.636493682861328
2014-09-30,18.09025764465332
2014-10-01,17.772624969482422
2014-10-02,17.916316986083984
2014-10-03,17.89362335205078
2014-10-06,17.78774070739746
2014-10-07,17.447418212890625
2014-10-08,17.773893356323242
2014-10-09,17.28038215637207
2014-10-10,16.824844360351562
2014-10-13,15.921339988708496
2014-10-14,15.906156539916992
2014-10-15,15.837824821472168
2014-10-16,16.11115074157715
2014-10-17,16.452804565429688
2014-10-20,16.915943145751953
2014-10-21,17.02223777770996
2014-10-22,17.151308059692383
2014-10-23,17.409456253051758
2014-10-24,17.523340225219727
2014-10-27,17.439823150634766
2014-10-28,16.809654235839844
2014-10-29,16.559101104736328
2014-10-30,16.551515579223633
2014-10-31,16.75650978088379
2014-11-03,16.855215072631836
2014-11-04,16.84001922607422
2014-11-05,17.060205459594727
2014-11-06,17.56890296936035
2014-11-07,17.728342056274414
2014-11-10,17.59926414489746
2014-11-11,17.629638671875
2014-11-12,17.606863021850586
2014-11-13,17.59926414489746
2014-11-14,17.606863021850586
2014-11-17,17.447418212890625
2014-11-18,17.758708953857422
2014-11-19,17.773893356323242
2014-11-20,18.107959747314453
2014-11-21,18.274995803833008
2014-11-24,18.457218170166016
2014-11-25,18.39647102355957
2014-11-26,18.312955856323242
2014-11-28,18.373699188232422
2014-12-01,18.176298141479492
2014-12-02,18.479991912841797
2014-12-03,18.776094436645508
2014-12-04,18.81405258178711
2014-12-05,18.882387161254883
2014-12-08,18.654611587524414
2014-12-09,18.91275978088379
2014-12-10,18.46480369567871
2014-12-11,18.61665153503418
2014-12-12,18.25981330871582
2014-12-15,18.221847534179688
2014-12-16,18.032033920288086
2014-12-17,18.548320770263672
2014-12-18,19.034231185913086
2014-12-19,19.21645736694336
2014-12-22,19.24683380126953
2014-12-23,19.21645736694336
2014-12-24,19.11016082763672
2014-12-26,19.186079025268555
2014-12-29,19.284788131713867
2014-12-30,19.193674087524414
2014-12-31,19.132936477661133
2015-01-02,18.98868751525879
2015-01-05,18.662208557128906
2015-01-06,18.639432907104492
2015-01-07,18.921377182006836
2015-01-08,19.67579460144043
2015-01-09,19.340505599975586
2015-01-12,19.195720672607422
2015-01-13,18.86042594909668
2015-01-14,18.63181495666504
2015-01-15,18.106006622314453
2015-01-16,18.418437957763672
2015-01-20,18.06028175354004
2015-01-21,18.365097045898438
2015-01-22,18.761354446411133
2015-01-23,18.784217834472656
