,DRI
2014-01-02,34.06990432739258
2014-01-03,33.871829986572266
2014-01-06,33.23284149169922
2014-01-07,33.59706497192383
2014-01-08,33.325862884521484
2014-01-09,33.15152359008789
2014-01-10,33.65518569946289
2014-01-13,32.82220458984375
2014-01-14,33.03529739379883
2014-01-15,33.49375915527344
2014-01-16,33.732666015625
2014-01-17,32.90614318847656
2014-01-21,32.783470153808594
2014-01-22,32.85448455810547
2014-01-23,32.990081787109375
2014-01-24,32.35081481933594
2014-01-27,32.43476486206055
2014-01-28,32.389556884765625
2014-01-29,31.75029182434082
2014-01-30,31.96339225769043
2014-01-31,31.924636840820312
2014-02-03,30.555706024169922
2014-02-04,30.807533264160156
2014-02-05,30.555706024169922
2014-02-06,30.878568649291992
2014-02-07,31.162673950195312
2014-02-10,31.25954818725586
2014-02-11,31.530746459960938
2014-02-12,31.31121063232422
2014-02-13,31.104572296142578
2014-02-14,31.240177154541016
2014-02-18,31.64698028564453
2014-02-19,31.614700317382812
2014-02-20,32.60911178588867
2014-02-21,32.938438415527344
2014-02-24,32.938438415527344
2014-02-25,32.66722869873047
2014-02-26,32.2862434387207
2014-02-27,32.1571044921875
2014-02-28,32.97072219848633
2014-03-03,31.207889556884766
2014-03-04,31.3951473236084
2014-03-05,30.956058502197266
2014-03-06,31.58241844177246
2014-03-07,32.25395584106445
2014-03-10,32.33790588378906
2014-03-11,32.383113861083984
2014-03-12,32.499332427978516
2014-03-13,31.64698028564453
2014-03-14,31.7825927734375
2014-03-17,32.0925407409668
2014-03-18,31.944013595581055
2014-03-19,31.692184448242188
2014-03-20,31.83423614501953
2014-03-21,32.712425231933594
2014-03-24,32.725337982177734
2014-03-25,32.74470901489258
2014-03-26,32.80928039550781
2014-03-27,32.4089469909668
2014-03-28,32.68660354614258
2014-03-31,32.77700424194336
2014-04-01,33.24192428588867
2014-04-02,33.635807037353516
2014-04-03,33.55833053588867
2014-04-04,33.086952209472656
2014-04-07,32.58974075317383
2014-04-08,32.42653274536133
2014-04-09,32.831302642822266
2014-04-10,32.26985168457031
2014-04-11,31.636598587036133
2014-04-14,32.19804763793945
2014-04-15,31.59742546081543
2014-04-16,32.08052444458008
2014-04-17,31.643125534057617
2014-04-21,31.4603328704834
2014-04-22,32.557098388671875
2014-04-23,32.83781814575195
2014-04-24,32.71377944946289
2014-04-25,32.58973693847656
2014-04-28,32.55057907104492
2014-04-29,32.77906036376953
2014-04-30,32.45264434814453
2014-05-01,32.400421142578125
2014-05-02,32.42653274536133
2014-05-05,32.060943603515625
2014-05-06,32.13927459716797
2014-05-07,32.11970138549805
