,PG
2014-01-02,58.94064712524414
2014-01-03,58.8747673034668
2014-01-06,59.01381301879883
2014-01-07,59.584632873535156
2014-01-08,58.72109603881836
2014-01-09,58.85281753540039
2014-01-10,58.7650032043457
2014-01-13,58.55278778076172
2014-01-14,59.182132720947266
2014-01-15,59.12358856201172
2014-01-16,58.95528030395508
2014-01-17,58.45762634277344
2014-01-21,58.677181243896484
2014-01-22,58.42058563232422
2014-01-23,57.69060516357422
2014-01-24,58.38369369506836
2014-01-27,57.86020278930664
2014-01-28,58.33210372924805
2014-01-29,57.24818801879883
2014-01-30,56.6804313659668
2014-01-31,56.49608612060547
2014-02-03,55.81769943237305
2014-02-04,56.10527038574219
2014-02-05,56.370731353759766
2014-02-06,56.70254898071289
2014-02-07,57.00486373901367
2014-02-10,57.535762786865234
2014-02-11,58.13300323486328
2014-02-12,57.137596130371094
2014-02-13,57.36614990234375
2014-02-14,58.54594421386719
2014-02-18,57.491512298583984
2014-02-19,57.61687088012695
2014-02-20,57.45463180541992
2014-02-21,57.491512298583984
2014-02-24,57.41039276123047
2014-02-25,57.60213088989258
2014-02-26,57.41039276123047
2014-02-27,57.65373992919922
2014-02-28,58.00030517578125
2014-03-03,57.13020706176758
2014-03-04,57.8454475402832
2014-03-05,57.380924224853516
2014-03-06,57.55786895751953
2014-03-07,57.79383850097656
2014-03-10,57.90442657470703
2014-03-11,58.21411895751953
2014-03-12,58.427947998046875
2014-03-13,58.391117095947266
2014-03-14,58.236244201660156
2014-03-17,58.870361328125
2014-03-18,58.818748474121094
2014-03-19,58.08877182006836
2014-03-20,57.74959945678711
2014-03-21,57.42512893676758
2014-03-24,58.472198486328125
2014-03-25,58.8482666015625
2014-03-26,58.619659423828125
2014-03-27,58.73027038574219
2014-03-28,58.811370849609375
2014-03-31,59.430763244628906
2014-04-01,59.239051818847656
2014-04-02,59.08418273925781
2014-04-03,59.06208038330078
2014-04-04,58.818748474121094
2014-04-07,59.34965133666992
2014-04-08,59.98378372192383
2014-04-09,60.08698654174805
2014-04-10,59.79206848144531
2014-04-11,59.54872512817383
2014-04-14,59.585601806640625
2014-04-15,59.607704162597656
2014-04-16,60.20497131347656
2014-04-17,60.28606414794922
2014-04-21,60.13860321044922
2014-04-22,59.9100341796875
2014-04-23,59.72721481323242
2014-04-24,60.31436538696289
2014-04-25,60.507598876953125
2014-04-28,61.6447639465332
2014-04-29,61.27313995361328
2014-04-30,61.35490036010742
2014-05-01,61.19880294799805
2014-05-02,60.886653900146484
2014-05-05,60.723114013671875
2014-05-06,60.29948043823242
2014-05-07,61.01298904418945
2014-05-08,61.06504821777344
2014-05-09,61.2359733581543
2014-05-12,60.74544143676758
2014-05-13,60.6562614440918
2014-05-14,60.329254150390625
2014-05-15,59.853538513183594
2014-05-16,59.704891204833984
2014-05-19,59.407588958740234
2014-05-20,59.630584716796875
2014-05-21,59.82383346557617
2014-05-22,59.942745208740234
2014-05-23,59.846099853515625
2014-05-27,59.51908874511719
2014-05-28,59.53396987915039
2014-05-29,59.756935119628906
2014-05-30,60.04680252075195
2014-06-02,59.72721481323242
2014-06-03,59.407588958740234
2014-06-04,59.355560302734375
2014-06-05,59.5413818359375
2014-06-06,59.48193359375
2014-06-09,59.526493072509766
2014-06-10,59.57112503051758
2014-06-11,59.504234313964844
2014-06-12,59.28123474121094
2014-06-13,59.19206237792969
2014-06-16,59.22922134399414
2014-06-17,59.147483825683594
2014-06-18,59.30353546142578
2014-06-19,59.63800811767578
2014-06-20,59.407588958740234
2014-06-23,59.10289001464844
2014-06-24,58.72382736206055
2014-06-25,58.95425033569336
2014-06-26,58.43395233154297
2014-06-27,58.731258392333984
2014-06-30,58.411659240722656
2014-07-01,58.92449188232422
2014-07-02,59.13260269165039
2014-07-03,59.444759368896484
2014-07-07,59.600860595703125
2014-07-08,59.87583541870117
2014-07-09,60.700843811035156
2014-07-10,60.6562614440918
2014-07-11,60.32177734375
2014-07-14,60.44070816040039
2014-07-15,60.396114349365234
2014-07-16,60.63886260986328
2014-07-17,60.23429489135742
2014-07-18,60.346656799316406
2014-07-21,60.144386291503906
2014-07-22,60.00954055786133
2014-07-23,59.9271354675293
2014-07-24,60.12942123413086
2014-07-25,59.604984283447266
2014-07-28,59.38022232055664
2014-07-29,58.9232292175293
2014-07-30,58.556129455566406
2014-07-31,57.92681121826172
2014-08-01,59.67240905761719
2014-08-04,59.35024642944336
2014-08-05,59.49260711669922
