,CSCO
2014-01-02,15.709013938903809
2014-01-03,15.69473648071289
2014-01-06,15.716156005859375
2014-01-07,15.930371284484863
2014-01-08,15.91608715057373
2014-01-09,15.77328109741211
2014-01-10,15.86610221862793
2014-01-13,15.844685554504395
2014-01-14,16.00177574157715
2014-01-15,16.265975952148438
2014-01-16,16.265975952148438
2014-01-17,16.237407684326172
2014-01-21,16.301673889160156
2014-01-22,16.30881118774414
2014-01-23,16.108884811401367
2014-01-24,15.851827621459961
2014-01-27,15.709013938903809
2014-01-28,15.530506134033203
2014-01-29,15.45910358428955
2014-01-30,15.69473648071289
2014-01-31,15.64475154876709
2014-02-03,15.387691497802734
2014-02-04,15.566207885742188
2014-02-05,15.69473648071289
2014-02-06,16.05890464782715
2014-02-07,16.18743133544922
2014-02-10,16.301673889160156
2014-02-11,16.215984344482422
2014-02-12,16.315950393676758
2014-02-13,15.901803970336914
2014-02-14,16.108884811401367
2014-02-18,16.00177574157715
2014-02-19,15.908946990966797
2014-02-20,15.92322826385498
2014-02-21,15.801839828491211
2014-02-24,15.794702529907227
2014-02-25,15.594770431518555
2014-02-26,15.659028053283691
2014-02-27,15.651893615722656
2014-02-28,15.566207885742188
2014-03-03,15.401976585388184
2014-03-04,15.580488204956055
2014-03-05,15.616188049316406
2014-03-06,15.580488204956055
2014-03-07,15.516223907470703
2014-03-10,15.48765754699707
2014-03-11,15.43053150177002
2014-03-12,15.580488204956055
2014-03-13,15.366268157958984
2014-03-14,15.244882583618164
2014-03-17,15.359131813049316
2014-03-18,15.44482135772705
2014-03-19,15.44482135772705
2014-03-20,15.587628364562988
2014-03-21,15.45195484161377
2014-03-24,15.401976585388184
2014-03-25,15.951793670654297
2014-03-26,15.937509536743164
2014-03-27,15.723292350769043
2014-03-28,15.944652557373047
2014-03-31,16.0089168548584
2014-04-01,16.635440826416016
2014-04-02,16.556222915649414
2014-04-03,16.62824821472168
2014-04-04,16.354583740234375
2014-04-07,16.455406188964844
2014-04-08,16.520219802856445
2014-04-09,16.649850845336914
2014-04-10,16.311372756958008
2014-04-11,16.174541473388672
2014-04-14,16.455406188964844
2014-04-15,16.484209060668945
2014-04-16,16.585041046142578
2014-04-17,16.71466064453125
2014-04-21,16.851486206054688
2014-04-22,16.937904357910156
2014-04-23,16.923500061035156
2014-04-24,16.801076889038086
2014-04-25,16.563425064086914
2014-04-28,16.577831268310547
2014-04-29,16.678651809692383
2014-04-30,16.64264678955078
2014-05-01,16.570632934570312
2014-05-02,16.520219802856445
2014-05-05,16.534616470336914
2014-05-06,16.361785888671875
2014-05-07,16.469810485839844
2014-05-08,16.577831268310547
2014-05-09,16.577831268310547
2014-05-12,16.700258255004883
2014-05-13,16.462608337402344
2014-05-14,16.426597595214844
2014-05-15,17.4132080078125
2014-05-16,17.550029754638672
2014-05-19,17.535627365112305
2014-05-20,17.369991302490234
2014-05-21,17.629249572753906
2014-05-22,17.557233810424805
2014-05-23,17.658056259155273
2014-05-27,17.794885635375977
2014-05-28,17.874101638793945
2014-05-29,17.77328109741211
2014-05-30,17.73006820678711
2014-06-02,17.845300674438477
2014-06-03,17.77328109741211
2014-06-04,17.643657684326172
2014-06-05,17.787683486938477
2014-06-06,17.881298065185547
2014-06-09,17.859695434570312
2014-06-10,18.003734588623047
2014-06-11,18.032533645629883
2014-06-12,17.758878707885742
2014-06-13,17.787683486938477
2014-06-16,17.66525650024414
2014-06-17,17.643657684326172
2014-06-18,17.737268447875977
2014-06-19,17.794885635375977
2014-06-20,17.881298065185547
2014-06-23,17.787683486938477
2014-06-24,17.66525650024414
2014-06-25,17.802080154418945
2014-06-26,17.75167465209961
2014-06-27,17.787683486938477
2014-06-30,17.895706176757812
2014-07-01,18.061336517333984
2014-07-02,18.162925720214844
2014-07-03,18.279033660888672
2014-07-07,18.308059692382812
2014-07-08,18.191957473754883
2014-07-09,18.460445404052734
2014-07-10,18.460445404052734
2014-07-11,18.518497467041016
2014-07-14,18.460445404052734
2014-07-15,18.627347946166992
2014-07-16,18.852294921875
2014-07-17,18.598316192626953
2014-07-18,18.801502227783203
2014-07-21,18.75796127319336
2014-07-22,18.83052635192871
2014-07-23,18.634597778320312
2014-07-24,18.74344825744629
2014-07-25,18.84503936767578
2014-07-28,18.808759689331055
2014-07-29,18.656368255615234
2014-07-30,18.598316192626953
2014-07-31,18.308059692382812
2014-08-01,18.14116668701172
2014-08-04,18.2645206451416
2014-08-05,18.119394302368164
2014-08-06,18.09036636352539
2014-08-07,18.039567947387695
2014-08-08,18.162925720214844
2014-08-11,18.308059692382812
2014-08-12,18.25000762939453
2014-08-13,18.286291122436523
2014-08-14,17.807363510131836
2014-08-15,17.727537155151367
2014-08-18,17.872665405273438
2014-08-19,17.879926681518555
2014-08-20,17.930723190307617
2014-08-21,18.061338424682617
2014-08-22,17.887184143066406
2014-08-25,17.9234676361084
2014-08-26,18.003284454345703
2014-08-27,17.996028900146484
2014-08-28,18.032312393188477
2014-08-29,18.133901596069336
2014-09-02,18.054079055786133
2014-09-03,18.17018699645996
2014-09-04,18.075851440429688
2014-09-05,18.14116668701172
2014-09-08,18.104877471923828
2014-09-09,18.039567947387695
2014-09-10,18.09036636352539
2014-09-11,18.271778106689453
2014-09-12,18.25725746154785
2014-09-15,18.184694290161133
2014-09-16,18.300800323486328
2014-09-17,18.29354476928711
2014-09-18,18.300800323486328
2014-09-19,18.286291122436523
2014-09-22,18.119394302368164
2014-09-23,17.9234676361084
2014-09-24,18.126649856567383
2014-09-25,17.807363510131836
2014-09-26,18.14116668701172
2014-09-29,18.228239059448242
2014-09-30,18.403718948364258
2014-10-01,18.301359176635742
2014-10-02,18.32328987121582
2014-10-03,18.506088256835938
2014-10-06,18.28673553466797
2014-10-07,18.016199111938477
2014-10-08,18.03081703186035
2014-10-09,17.687166213989258
2014-10-10,17.065670013427734
2014-10-13,16.765886306762695
2014-10-14,16.86093521118164
2014-10-15,16.787809371948242
2014-10-16,16.685457229614258
2014-10-17,16.999858856201172
2014-10-20,16.765886306762695
2014-10-21,17.18996810913086
2014-10-22,17.007169723510742
2014-10-23,17.23383140563965
2014-10-24,17.38737678527832
2014-10-27,17.372764587402344
2014-10-28,17.59942626953125
2014-10-29,17.621360778808594
2014-10-30,17.606735229492188
2014-10-31,17.89189338684082
2014-11-03,17.972326278686523
2014-11-04,18.19167709350586
2014-11-05,18.38909149169922
2014-11-06,18.469526290893555
2014-11-07,18.52071189880371
2014-11-10,18.38909149169922
2014-11-11,18.38909149169922
2014-11-12,18.359848022460938
2014-11-13,18.77661895751953
2014-11-14,19.244571685791016
2014-11-17,19.354246139526367
2014-11-18,19.449302673339844
2014-11-19,19.441993713378906
2014-11-20,19.602848052978516
2014-11-21,19.654037475585938
2014-11-24,19.763704299926758
2014-11-25,19.946500778198242
2014-11-26,20.056182861328125
2014-11-28,20.20972442626953
2014-12-01,20.173166275024414
2014-12-02,20.341337203979492
2014-12-03,20.4363956451416
2014-12-04,20.304779052734375
2014-12-05,20.10736656188965
2014-12-08,19.90994644165039
2014-12-09,20.048866271972656
2014-12-10,19.6467227935791
2014-12-11,19.734464645385742
2014-12-12,19.63941192626953
2014-12-15,19.50779914855957
2014-12-16,19.441993713378906
2014-12-17,19.602848052978516
2014-12-18,20.217041015625
2014-12-19,20.304779052734375
2014-12-22,20.633808135986328
2014-12-23,20.65574836730957
2014-12-24,20.692298889160156
2014-12-26,20.72886848449707
2014-12-29,20.809293746948242
2014-12-30,20.736173629760742
2014-12-31,20.341337203979492
2015-01-02,20.326618194580078
2015-01-05,19.921703338623047
2015-01-06,19.914339065551758
2015-01-07,20.098390579223633
2015-01-08,20.252992630004883
2015-01-09,20.45913314819336
2015-01-12,20.650548934936523
2015-01-13,20.68735694885254
2015-01-14,20.554840087890625
2015-01-15,20.17936897277832
2015-01-16,20.378149032592773
2015-01-20,20.66526985168457
2015-01-21,20.49594497680664
2015-01-22,20.981836318969727
2015-01-23,20.768339157104492
2015-01-26,20.59164810180664
2015-01-27,19.803909301757812
2015-01-28,19.737648010253906
2015-01-29,20.03949737548828
2015-01-30,19.41372299194336
2015-02-02,19.75237274169922
2015-02-03,19.965877532958984
2015-02-04,19.64930534362793
2015-02-05,20.068941116333008
2015-02-06,20.054216384887695
2015-02-09,19.965877532958984
2015-02-10,20.238265991210938
2015-02-11,19.825998306274414
2015-02-12,21.6885929107666
2015-02-13,21.666505813598633
2015-02-17,21.578161239624023
2015-02-18,21.710678100585938
2015-02-19,21.578161239624023
2015-02-20,21.799030303955078
2015-02-23,21.813743591308594
2015-02-24,21.813743591308594
2015-02-25,21.710678100585938
2015-02-26,22.01988983154297
2015-02-27,21.725404739379883
2015-03-02,22.22602653503418
2015-03-03,21.74749183654785
2015-03-04,21.59288215637207
2015-03-05,21.570798873901367
2015-03-06,21.29840850830078
2015-03-09,21.61497688293457
2015-03-10,21.099632263183594
2015-03-11,20.80514907836914
2015-03-12,20.790420532226562
2015-03-13,20.569562911987305
2015-03-16,20.8345890045166
2015-03-17,20.724163055419922
2015-03-18,20.724163055419922
2015-03-19,20.80514907836914
2015-03-20,20.93766975402832
2015-03-23,20.915576934814453
2015-03-24,20.613740921020508
2015-03-25,20.21617889404297
2015-03-26,19.943790435791016
2015-03-27,19.973237991333008
2015-03-30,20.356063842773438
2015-03-31,20.422836303710938
2015-04-01,20.215116500854492
2015-04-02,20.12609100341797
2015-04-06,20.192859649658203
2015-04-07,20.318973541259766
2015-04-08,20.437660217285156
2015-04-09,20.497007369995117
2015-04-10,20.80116844177246
2015-04-13,20.756654739379883
2015-04-14,20.630538940429688
2015-04-15,20.956947326660156
2015-04-16,21.216598510742188
2015-04-17,20.712148666381836
2015-04-20,21.12757110595703
2015-04-21,21.283357620239258
2015-04-22,21.2314395904541
2015-04-23,21.27594566345215
2015-04-24,21.379798889160156
2015-04-27,21.431732177734375
2015-04-28,21.750720977783203
2015-04-29,21.550418853759766
2015-04-30,21.387224197387695
2015-05-01,21.609769821166992
2015-05-04,21.639442443847656
2015-05-05,21.431732177734375
2015-05-06,21.49107551574707
2015-05-07,21.37238883972168
2015-05-08,21.683958053588867
2015-05-11,21.66911506652832
2015-05-12,21.683958053588867
2015-05-13,21.77297592163086
2015-05-14,21.550418853759766
2015-05-15,21.921348571777344
2015-05-18,22.077131271362305
2015-05-19,22.06229591369629
2015-05-20,21.973276138305664
2015-05-21,21.832321166992188
2015-05-22,21.706207275390625
2015-05-26,21.476238250732422
2015-05-27,21.743303298950195
2015-05-28,21.77297592163086
2015-05-29,21.743303298950195
2015-06-01,21.64686393737793
2015-06-02,21.57267951965332
2015-06-03,21.58009910583496
2015-06-04,21.224010467529297
2015-06-05,21.201757431030273
2015-06-08,20.979209899902344
2015-06-09,20.949533462524414
2015-06-10,21.2611083984375
2015-06-11,21.409475326538086
2015-06-12,21.17208480834961
2015-06-15,21.12757110595703
2015-06-16,21.298198699951172
2015-06-17,21.46140480041504
2015-06-18,21.66911506652832
2015-06-19,21.535585403442383
2015-06-22,21.468826293945312
2015-06-23,21.357553482055664
2015-06-24,21.149829864501953
2015-06-25,21.068227767944336
2015-06-26,20.979209899902344
2015-06-29,20.430248260498047
2015-06-30,20.370893478393555
2015-07-01,20.445659637451172
2015-07-02,20.430700302124023
2015-07-06,20.348474502563477
2015-07-07,20.453128814697266
2015-07-08,20.176532745361328
2015-07-09,20.116729736328125
2015-07-10,20.393327713012695
2015-07-13,20.774587631225586
2015-07-14,20.953994750976562
2015-07-15,21.013797760009766
2015-07-16,21.170785903930664
2015-07-17,21.066125869750977
2015-07-20,20.953994750976562
2015-07-21,20.811960220336914
2015-07-22,20.580223083496094
2015-07-23,20.939043045043945
2015-07-24,21.230588912963867
2015-07-27,21.088558197021484
2015-07-28,21.088558197021484
2015-07-29,21.230588912963867
2015-07-30,21.155834197998047
2015-07-31,21.24554443359375
2015-08-03,21.200687408447266
2015-08-04,20.953994750976562
2015-08-05,21.133407592773438
2015-08-06,21.088558197021484
2015-08-07,21.043697357177734
2015-08-10,21.37262535095215
2015-08-11,20.946517944335938
2015-08-12,20.8568172454834
2015-08-13,21.45485496520996
2015-08-14,21.701549530029297
2015-08-17,21.552043914794922
2015-08-18,21.118450164794922
2015-08-19,20.782060623168945
2015-08-20,20.213916778564453
2015-08-21,19.787809371948242
2015-08-24,18.8309383392334
2015-08-25,18.404827117919922
2015-08-26,19.19723892211914
2015-08-27,19.563539505004883
2015-08-28,19.43645477294922
2015-08-31,19.34674835205078
2015-09-01,18.778610229492188
2015-09-02,19.174816131591797
2015-09-03,19.361698150634766
2015-09-04,19.07762908935547
2015-09-08,19.66071891784668
2015-09-09,19.391603469848633
2015-09-10,19.63081932067871
2015-09-11,19.451412200927734
2015-09-14,19.21218490600586
2015-09-15,19.421504974365234
2015-09-16,19.48878288269043
2015-09-17,19.34674835205078
2015-09-18,19.092580795288086
2015-09-21,19.092580795288086
2015-09-22,18.793554306030273
2015-09-23,18.898216247558594
2015-09-24,18.995399475097656
2015-09-25,19.458879470825195
2015-09-28,19.182281494140625
2015-09-29,19.16733169555664
2015-09-30,19.623340606689453
2015-10-01,19.389739990234375
2015-10-02,19.412343978881836
2015-10-05,20.233749389648438
2015-10-06,20.520109176635742
2015-10-07,20.753721237182617
2015-10-08,21.03255271911621
2015-10-09,21.03255271911621
2015-10-12,21.070222854614258
2015-10-13,20.987333297729492
2015-10-14,20.964725494384766
2015-10-15,21.213403701782227
2015-10-16,21.28876495361328
2015-10-19,21.28876495361328
2015-10-20,21.47715950012207
2015-10-21,21.311372756958008
2015-10-22,21.861492156982422
2015-10-23,22.11771011352539
2015-10-26,21.8162784576416
2015-10-27,21.891630172729492
2015-10-28,22.1252498626709
2015-10-29,21.95945930480957
2015-10-30,21.740917205810547
2015-11-02,21.680633544921875
2015-11-03,21.5600528717041
2015-11-04,21.45455551147461
2015-11-05,21.424407958984375
2015-11-06,21.439483642578125
2015-11-09,21.23601531982422
2015-11-10,21.085298538208008
2015-11-11,20.964725494384766
2015-11-12,20.972261428833008
2015-11-13,19.751449584960938
2015-11-16,20.188535690307617
2015-11-17,20.203603744506836
2015-11-18,20.437219619750977
2015-11-19,20.6256160736084
2015-11-20,20.776329040527344
2015-11-23,20.670827865600586
2015-11-24,20.55025863647461
2015-11-25,20.52764320373535
2015-11-27,20.587936401367188
2015-11-30,20.535184860229492
2015-12-01,20.776329040527344
2015-12-02,20.678363800048828
2015-12-03,20.309104919433594
2015-12-04,20.7085018157959
2015-12-07,20.716039657592773
2015-12-08,20.459823608398438
2015-12-09,20.143312454223633
2015-12-10,20.1734619140625
2015-12-11,19.713769912719727
2015-12-14,19.96246337890625
2015-12-15,20.233749389648438
2015-12-16,20.52764320373535
2015-12-17,20.135780334472656
2015-12-18,19.796669006347656
2015-12-21,20.075498580932617
2015-12-22,20.263891220092773
2015-12-23,20.648221969604492
2015-12-24,20.63314437866211
2015-12-28,20.580394744873047
2015-12-29,20.927045822143555
2015-12-30,20.746191024780273
2015-12-31,20.467357635498047
2016-01-04,20.05725860595703
2016-01-05,19.96611785888672
2016-01-06,19.75347137451172
2016-01-07,19.29779815673828
2016-01-08,18.819337844848633
2016-01-11,19.191471099853516
2016-01-12,19.252233505249023
2016-01-13,18.682636260986328
2016-01-14,18.72820472717285
2016-01-15,17.938373565673828
2016-01-19,18.113048553466797
2016-01-20,17.39156150817871
2016-01-21,17.39156150817871
2016-01-22,17.748502731323242
2016-01-25,17.59661293029785
2016-01-26,18.01431655883789
2016-01-27,17.794069290161133
2016-01-28,17.551042556762695
2016-01-29,18.06747817993164
2016-02-01,17.83204460144043
2016-02-02,17.338397979736328
2016-02-03,17.54345703125
2016-02-04,17.87761688232422
2016-02-05,17.38396644592285
2016-02-08,17.41434097290039
2016-02-09,17.20169448852539
2016-02-10,17.09537124633789
2016-02-11,18.743396759033203
2016-02-12,19.069961547851562
2016-02-16,19.624364852905273
2016-02-17,20.09522819519043
2016-02-18,20.072439193725586
2016-02-19,20.163576126098633
2016-02-22,20.22433090209961
2016-02-23,19.837017059326172
2016-02-24,19.98890495300293
2016-02-25,20.201549530029297
2016-02-26,20.05725860595703
2016-02-29,19.882577896118164
2016-03-01,20.3762264251709
2016-03-02,20.429386138916016
2016-03-03,20.40660285949707
2016-03-04,20.353445053100586
2016-03-07,20.611658096313477
2016-03-08,20.543306350708008
2016-03-09,20.968603134155273
