,KDP
2014-01-02,5.995372295379639
2014-01-03,5.986568450927734
2014-01-06,6.00166130065918
2014-01-07,6.049452304840088
2014-01-08,6.00166130065918
2014-01-09,6.033100605010986
2014-01-10,6.090956211090088
2014-01-13,5.965188503265381
2014-01-14,6.041906833648682
2014-01-15,6.045680046081543
2014-01-16,6.080894470214844
2014-01-17,6.0985026359558105
2014-01-21,6.244393825531006
2014-01-22,6.21798038482666
2014-01-23,6.173962593078613
2014-01-24,6.0959882736206055
2014-01-27,6.168933391571045
2014-01-28,6.160128593444824
2014-01-29,6.0243000984191895
2014-01-30,6.073349475860596
2014-01-31,6.021782398223877
2014-02-03,5.938776016235352
2014-02-04,5.950093746185303
2014-02-05,5.982795238494873
2014-02-06,6.019267559051514
2014-02-07,6.14880895614624
2014-02-10,6.124912738800049
2014-02-11,6.1500678062438965
2014-02-12,6.287153720855713
2014-02-13,6.297215461730957
2014-02-14,6.326141357421875
2014-02-18,6.36638879776001
2014-02-19,6.409147262573242
2014-02-20,6.47329044342041
2014-02-21,6.507248878479004
2014-02-24,6.508505344390869
2014-02-25,6.600317478179932
2014-02-26,6.488382816314697
2014-02-27,6.495931148529053
2014-02-28,6.5537824630737305
2014-03-03,6.499702453613281
2014-03-04,6.533659934997559
2014-03-05,6.550009250640869
2014-03-06,6.539946556091309
2014-03-07,6.57642126083374
2014-03-10,6.600317478179932
2014-03-11,6.664458751678467
2014-03-12,6.664458751678467
2014-03-13,6.573200225830078
2014-03-14,6.639109134674072
2014-03-17,6.682203769683838
2014-03-18,6.688541412353516
2014-03-19,6.630237102508545
2014-03-20,6.659387588500977
2014-03-21,6.688541412353516
2014-03-24,6.641644477844238
2014-03-25,6.687272548675537
2014-03-26,6.767124652862549
2014-03-27,6.808953762054443
2014-03-28,6.838105201721191
2014-03-31,6.90274715423584
2014-04-01,6.814022541046143
2014-04-02,6.8102192878723145
2014-04-03,6.815290927886963
2014-04-04,6.807685852050781
2014-04-07,6.803883075714111
2014-04-08,6.542779922485352
2014-04-09,6.664458751678467
2014-04-10,6.599817752838135
2014-04-11,6.488277435302734
2014-04-14,6.488277435302734
2014-04-15,6.550384998321533
2014-04-16,6.641644477844238
2014-04-17,6.659387588500977
2014-04-21,6.660655498504639
2014-04-22,6.640377521514893
2014-04-23,6.9052815437316895
2014-04-24,6.821627616882324
2014-04-25,6.791207313537598
2014-04-28,7.021892070770264
2014-04-29,6.98259973526001
2014-04-30,7.0244269371032715
2014-05-01,7.045973300933838
2014-05-02,7.094137668609619
2014-05-05,7.080194473266602
2014-05-06,7.116954326629639
2014-05-07,7.184130668640137
2014-05-08,7.168920040130615
2014-05-09,7.213281154632568
2014-05-12,7.243702411651611
2014-05-13,7.253842353820801
2014-05-14,7.255109786987305
2014-05-15,7.203141212463379
2014-05-16,7.25130558013916
2014-05-19,7.252573490142822
2014-05-20,7.237362861633301
2014-05-21,7.258910179138184
2014-05-22,7.250040531158447
2014-05-23,7.223422050476074
2014-05-27,7.198071479797363
2014-05-28,7.204408168792725
2014-05-29,7.332427024841309
2014-05-30,7.313413143157959
2014-06-02,7.2956671714782715
2014-06-03,7.206944942474365
2014-06-04,7.359043121337891
2014-06-05,7.413544654846191
2014-06-06,7.417349338531494
2014-06-09,7.4224162101745605
2014-06-10,7.4046711921691895
2014-06-11,7.379322052001953
2014-06-12,7.384429454803467
2014-06-13,7.375493049621582
2014-06-16,7.492929458618164
2014-06-17,7.444423675537109
2014-06-18,7.686952114105225
2014-06-19,7.68057107925415
2014-06-20,7.66270112991333
2014-06-23,7.572070121765137
2014-06-24,7.475058078765869
2014-06-25,7.468677520751953
2014-06-26,7.480163097381592
2014-06-27,7.435486316680908
2014-06-30,7.4776105880737305
2014-07-01,7.529947280883789
2014-07-02,7.528670787811279
2014-07-03,7.540157318115234
2014-07-07,7.510798454284668
2014-07-08,7.455910682678223
2014-07-09,7.473782062530518
2014-07-10,7.522290229797363
2014-07-11,7.53505277633667
2014-07-14,7.566964149475098
2014-07-15,7.579730987548828
2014-07-16,7.574624538421631
2014-07-17,7.518456935882568
2014-07-18,7.588664531707764
2014-07-21,7.513352870941162
2014-07-22,7.489099025726318
2014-07-23,7.459741115570068
2014-07-24,7.783965110778809
2014-07-25,7.85800313949585
2014-07-28,7.88353157043457
2014-07-29,7.748227119445801
2014-07-30,7.619301795959473
2014-07-31,7.5005903244018555
2014-08-01,7.492929458618164
2014-08-04,7.538884162902832
2014-08-05,7.53505277633667
2014-08-06,7.681848049163818
2014-08-07,7.651211738586426
2014-08-08,7.709929943084717
2014-08-11,7.7341837882995605
2014-08-12,7.709929943084717
2014-08-13,7.712482452392578
2014-08-14,7.725248336791992
2014-08-15,7.709929943084717
2014-08-18,7.764819622039795
2014-08-19,7.804390907287598
2014-08-20,7.776307106018066
2014-08-21,7.804390907287598
2014-08-22,7.720141887664795
2014-08-25,7.7814130783081055
2014-08-26,7.7712016105651855
2014-08-27,7.891192436218262
2014-08-28,7.976714134216309
2014-08-29,8.031603813171387
2014-09-02,8.04564380645752
2014-09-03,8.10180950164795
2014-09-04,7.989478588104248
2014-09-05,7.943525791168213
2014-09-08,7.953738212585449
2014-09-09,7.946079254150391
2014-09-10,8.004796981811523
2014-09-11,8.06904125213623
2014-09-12,7.950833797454834
2014-09-15,8.033062934875488
2014-09-16,8.16026782989502
2014-09-17,8.111442565917969
2014-09-18,8.140995025634766
2014-09-19,8.24506950378418
2014-09-22,8.392827987670898
2014-09-23,8.197526931762695
2014-09-24,8.34400749206543
2014-09-25,8.216802597045898
2014-09-26,8.22965145111084
2014-09-29,8.234789848327637
2014-09-30,8.263056755065918
2014-10-01,8.167978286743164
2014-10-02,8.171830177307129
2014-10-03,8.31830883026123
2014-10-06,8.311882019042969
2014-10-07,8.24506950378418
2014-10-08,8.377412796020508
2014-10-09,8.256633758544922
2014-10-10,8.278474807739258
2014-10-13,8.196245193481445
2014-10-14,8.233506202697754
2014-10-15,7.9842400550842285
2014-10-16,7.946977615356445
2014-10-17,8.106303215026855
2014-10-20,8.336296081542969
2014-10-21,8.397972106933594
2014-10-22,8.406964302062988
2014-10-23,8.602265357971191
2014-10-24,8.582993507385254
2014-10-27,8.726898193359375
2014-10-28,8.724332809448242
2014-10-29,8.701203346252441
2014-10-30,8.857956886291504
2014-10-31,8.897789001464844
2014-11-03,8.93376636505127
2014-11-04,9.0391263961792
2014-11-05,8.865665435791016
2014-11-06,8.986446380615234
2014-11-07,8.987728118896484
2014-11-10,9.054543495178223
2014-11-11,8.960748672485352
2014-11-12,9.078959465026855
2014-11-13,9.085380554199219
2014-11-14,9.007002830505371
2014-11-17,9.090518951416016
2014-11-18,9.109793663024902
2014-11-19,9.145771980285645
2014-11-20,9.220294952392578
2014-11-21,9.24855899810791
2014-11-24,9.3397855758667
2014-11-25,9.413023948669434
2014-11-26,9.365484237670898
2014-11-28,9.50810432434082
2014-12-01,9.383472442626953
2014-12-02,9.455425262451172
2014-12-03,9.302525520324707
2014-12-04,9.266550064086914
2014-12-05,9.24341869354248
2014-12-08,9.220294952392578
2014-12-09,9.15476131439209
2014-12-10,9.153481483459473
2014-12-11,9.179323196411133
2014-12-12,9.073358535766602
2014-12-15,9.034586906433105
2014-12-16,9.032001495361328
2014-12-17,9.112126350402832
2014-12-18,9.344738960266113
2014-12-19,9.260741233825684
2014-12-22,9.402897834777832
2014-12-23,9.492070198059082
2014-12-24,9.495944023132324
2014-12-26,9.448125839233398
2014-12-29,9.422286033630371
2014-12-30,9.3951416015625
2014-12-31,9.263326644897461
2015-01-02,9.252986907958984
2015-01-05,9.224555969238281
2015-01-06,9.237479209899902
2015-01-07,9.371878623962402
2015-01-08,9.5889892578125
2015-01-09,9.543761253356934
2015-01-12,9.463635444641113
2015-01-13,9.536005973815918
2015-01-14,9.66781997680664
2015-01-15,9.758282661437988
2015-01-16,9.881052017211914
2015-01-20,10.054224014282227
2015-01-21,10.175703048706055
2015-01-22,10.253238677978516
2015-01-23,10.145978927612305
2015-01-26,10.224809646606445
2015-01-27,10.235148429870605
2015-01-28,10.13951587677002
2015-01-29,10.219640731811523
2015-01-30,9.985730171203613
2015-02-02,10.144683837890625
2015-02-03,10.056811332702637
2015-02-04,10.164068222045898
2015-02-05,9.997363090515137
2015-02-06,10.078781127929688
2015-02-09,10.064563751220703
2015-02-10,10.18216323852539
2015-02-11,10.272624969482422
2015-02-12,10.118842124938965
2015-02-13,9.944375991821289
2015-02-17,9.959882736206055
2015-02-18,10.082653045654297
2015-02-19,10.10849666595459
2015-02-20,10.186039924621582
2015-02-23,10.189916610717773
2015-02-24,10.197671890258789
2015-02-25,10.213180541992188
2015-02-26,10.104623794555664
2015-02-27,10.18216323852539
2015-03-02,10.235148429870605
2015-03-03,10.208005905151367
2015-03-04,10.082653045654297
2015-03-05,10.196379661560059
2015-03-06,10.125300407409668
2015-03-09,10.18216323852539
2015-03-10,10.073609352111816
2015-03-11,9.934037208557129
2015-03-12,10.086186408996582
2015-03-13,9.973053932189941
2015-03-16,10.04847526550293
2015-03-17,9.849510192871094
2015-03-18,9.967853546142578
2015-03-19,9.897625923156738
2015-03-20,10.017268180847168
2015-03-23,10.065384864807129
2015-03-24,10.092690467834473
2015-03-25,10.035472869873047
2015-03-26,10.286458015441895
2015-03-27,10.263051986694336
2015-03-30,10.360581398010254
2015-03-31,10.205828666687012
2015-04-01,10.208428382873535
2015-04-02,10.159017562866211
2015-04-06,10.23183822631836
2015-04-07,10.316364288330078
2015-04-08,10.250044822692871
2015-04-09,10.276055335998535
2015-04-10,10.237044334411621
2015-04-13,10.156410217285156
2015-04-14,10.162915229797363
2015-04-15,10.146007537841797
2015-04-16,10.19022274017334
2015-04-17,10.010764122009277
2015-04-20,10.116101264953613
2015-04-21,10.2981595993042
2015-04-22,10.248744010925293
2015-04-23,10.266946792602539
2015-04-24,10.255243301391602
2015-04-27,10.044576644897461
2015-04-28,9.91583251953125
2015-04-29,9.792292594909668
2015-04-30,9.69865894317627
2015-05-01,9.879419326782227
2015-05-04,9.905430793762207
2015-05-05,9.824801445007324
2015-05-06,9.820901870727539
2015-05-07,9.850814819335938
2015-05-08,9.949646949768066
2015-05-11,9.931441307067871
2015-05-12,9.852109909057617
2015-05-13,10.014663696289062
2015-05-14,10.099196434020996
2015-05-15,10.066680908203125
2015-05-18,10.058880805969238
2015-05-19,10.075788497924805
2015-05-20,10.065384864807129
2015-05-21,10.103096008300781
2015-05-22,10.021166801452637
2015-05-26,9.940537452697754
2015-05-27,10.061479568481445
2015-05-28,10.012064933776855
2015-05-29,9.966551780700684
2015-06-01,9.943140029907227
2015-06-02,9.883323669433594
2015-06-03,9.901522636413574
2015-06-04,9.787092208862305
2015-06-05,9.60502815246582
2015-06-08,9.553007125854492
2015-06-09,9.528304100036621
2015-06-10,9.628435134887695
2015-06-11,9.708281517028809
2015-06-12,9.62581729888916
2015-06-15,9.52241325378418
2015-06-16,9.62581729888916
2015-06-17,9.697808265686035
2015-06-18,9.78681468963623
2015-06-19,9.764565467834473
2015-06-22,9.77503776550293
2015-06-23,9.71875
2015-06-24,9.741005897521973
2015-06-25,9.776342391967773
2015-06-26,9.799904823303223
2015-06-29,9.5983304977417
2015-06-30,9.542047500610352
2015-07-01,9.760637283325195
2015-07-02,9.709588050842285
2015-07-06,9.836557388305664
2015-07-07,10.123208045959473
2015-07-08,9.964831352233887
2015-07-09,9.992317199707031
2015-07-10,10.102261543273926
2015-07-13,10.250175476074219
2015-07-14,10.284207344055176
2015-07-15,10.251484870910645
2015-07-16,10.309073448181152
2015-07-17,10.297294616699219
2015-07-20,10.360119819641113
2015-07-21,10.311691284179688
2015-07-22,10.303837776184082
2015-07-23,10.112738609313965
2015-07-24,10.199122428894043
2015-07-27,10.162473678588867
2015-07-28,10.337873458862305
2015-07-29,10.40593433380127
2015-07-30,10.447824478149414
2015-07-31,10.500175476074219
2015-08-03,10.551227569580078
2015-08-04,10.671647071838379
2015-08-05,10.89547061920166
2015-08-06,10.771124839782715
2015-08-07,10.716148376464844
2015-08-10,10.703060150146484
2015-08-11,10.6886625289917
2015-08-12,10.682119369506836
2015-08-13,10.748871803283691
2015-08-14,10.765890121459961
2015-08-17,10.864058494567871
2015-08-18,10.835261344909668
2015-08-19,10.810392379760742
2015-08-20,10.657246589660645
2015-08-21,10.340486526489258
2015-08-24,10.045982360839844
2015-08-25,9.819536209106445
2015-08-26,10.028964042663574
2015-08-27,10.086559295654297
2015-08-28,10.09310531616211
2015-08-31,10.043364524841309
2015-09-01,9.870590209960938
2015-09-02,10.027658462524414
2015-09-03,10.072160720825195
2015-09-04,9.917707443237305
2015-09-08,10.166402816772461
2015-09-09,9.950431823730469
2015-09-10,10.004434585571289
2015-09-11,10.070295333862305
2015-09-14,10.037367820739746
2015-09-15,10.116400718688965
2015-09-16,10.176993370056152
2015-09-17,10.249443054199219
2015-09-18,10.173044204711914
2015-09-21,10.282377243041992
2015-09-22,10.176993370056152
2015-09-23,10.225733757019043
2015-09-24,10.250762939453125
2015-09-25,10.30213451385498
2015-09-28,10.167776107788086
2015-09-29,10.306085586547852
2015-09-30,10.412785530090332
2015-10-01,10.435173034667969
2015-10-02,10.481278419494629
2015-10-05,10.876448631286621
2015-10-06,10.796095848083496
2015-10-07,10.947583198547363
2015-10-08,11.012125015258789
2015-10-09,11.025299072265625
2015-10-12,11.068766593933105
2015-10-13,11.012125015258789
2015-10-14,10.906746864318848
2015-10-15,10.93045711517334
2015-10-16,11.081938743591309
2015-10-19,11.183367729187012
2015-10-20,11.160975456237793
2015-10-21,11.172830581665039
2015-10-22,11.802472114562988
2015-10-23,11.840670585632324
2015-10-26,11.839349746704102
2015-10-27,11.919706344604492
2015-10-28,11.977662086486816
2015-10-29,11.86569595336914
2015-10-30,11.772172927856445
2015-11-02,11.741877555847168
2015-11-03,11.622011184692383
2015-11-04,11.615422248840332
2015-11-05,11.552191734313965
2015-11-06,11.362512588500977
2015-11-09,11.315093040466309
2015-11-10,11.478426933288574
2015-11-11,11.65493392944336
2015-11-12,11.436278343200684
2015-11-13,11.441545486450195
2015-11-16,11.594344139099121
2015-11-17,11.481063842773438
2015-11-18,11.693136215209961
2015-11-19,11.765589714050293
2015-11-20,11.575904846191406
2015-11-23,11.741877555847168
2015-11-24,11.781392097473145
2015-11-25,11.827493667602539
2015-11-27,11.930243492126465
2015-11-30,11.822230339050293
2015-12-01,12.071183204650879
2015-12-02,11.967120170593262
2015-12-03,11.827493667602539
2015-12-04,12.173929214477539
2015-12-07,12.09489631652832
2015-12-08,12.192371368408203
2015-12-09,11.978976249694824
2015-12-10,12.06108283996582
2015-12-11,11.97633171081543
2015-12-14,12.160398483276367
2015-12-15,12.359034538269043
2015-12-16,12.458352088928223
2015-12-17,12.31930923461914
2015-12-18,12.135236740112305
2015-12-21,12.206748008728027
2015-12-22,12.38684368133545
2015-12-23,12.427892684936523
2015-12-24,12.437165260314941
2015-12-28,12.491456985473633
2015-12-29,12.57885456085205
2015-12-30,12.533829689025879
2015-12-31,12.34182071685791
2016-01-04,12.21336841583252
2016-01-05,12.36433219909668
2016-01-06,12.513968467712402
2016-01-07,12.353737831115723
2016-01-08,12.24382495880127
2016-01-11,12.262361526489258
2016-01-12,12.278254508972168
2016-01-13,11.969707489013672
2016-01-14,11.947198867797852
2016-01-15,11.806831359863281
2016-01-19,12.010757446289062
2016-01-20,11.947198867797852
2016-01-21,11.914091110229492
2016-01-22,11.990899085998535
2016-01-25,12.051813125610352
2016-01-26,12.10610580444336
2016-01-27,11.99487018585205
2016-01-28,12.192181587219238
2016-01-29,12.426567077636719
2016-02-01,12.650362968444824
2016-02-02,12.547075271606445
2016-02-03,12.34182071685791
2016-02-04,11.948525428771973
2016-02-05,11.831991195678711
2016-02-08,11.784317970275879
2016-02-09,11.960440635681152
