,CF
2014-01-02,34.740333557128906
2014-01-03,34.5009880065918
2014-01-06,34.041622161865234
2014-01-07,34.26015853881836
2014-01-08,34.72101593017578
2014-01-09,35.67688751220703
2014-01-10,36.5941162109375
2014-01-13,36.3681526184082
2014-01-14,36.51979446411133
2014-01-15,36.93157196044922
2014-01-16,36.93455123901367
2014-01-17,36.542083740234375
2014-01-21,36.646148681640625
2014-01-22,36.04109191894531
2014-01-23,35.62782669067383
2014-01-24,34.590187072753906
2014-01-27,34.457881927490234
2014-01-28,34.92169189453125
2014-01-29,34.12784194946289
2014-01-30,34.575321197509766
2014-01-31,34.31962585449219
2014-02-03,33.616455078125
2014-02-04,33.43657684326172
2014-02-05,33.8572883605957
2014-02-06,34.18137741088867
2014-02-07,34.79533767700195
2014-02-10,34.621395111083984
2014-02-11,34.34935760498047
2014-02-12,34.14331817626953
2014-02-13,34.5240364074707
2014-02-14,34.58675765991211
2014-02-18,33.77153396606445
2014-02-19,35.47811508178711
2014-02-20,35.96186065673828
2014-02-21,36.27688980102539
2014-02-24,36.250022888183594
2014-02-25,36.27091979980469
2014-02-26,36.47248458862305
2014-02-27,37.18468475341797
2014-02-28,37.460899353027344
2014-03-03,38.20294952392578
2014-03-04,38.3746452331543
2014-03-05,39.23464584350586
2014-03-06,39.43621063232422
2014-03-07,38.98232650756836
2014-03-10,39.48847198486328
2014-03-11,38.44931411743164
2014-03-12,38.18354415893555
2014-03-13,37.554962158203125
2014-03-14,37.67290496826172
2014-03-17,37.460899353027344
2014-03-18,38.02230453491211
2014-03-19,37.66991424560547
2014-03-20,37.54301071166992
2014-03-21,37.92375183105469
2014-03-24,37.73261642456055
2014-03-25,38.031246185302734
2014-03-26,37.565406799316406
2014-03-27,38.029747009277344
2014-03-28,38.489620208740234
2014-03-31,38.915138244628906
2014-04-01,39.77215576171875
2014-04-02,39.63180160522461
2014-04-03,38.79270935058594
2014-04-04,38.165618896484375
2014-04-07,37.60273361206055
2014-04-08,37.987953186035156
2014-04-09,38.1342658996582
2014-04-10,36.69345474243164
2014-04-11,35.493038177490234
2014-04-14,35.98127746582031
2014-04-15,35.96186065673828
2014-04-16,36.98609161376953
2014-04-17,36.182838439941406
2014-04-21,36.0156135559082
2014-04-22,36.12162399291992
2014-04-23,36.30976486206055
2014-04-24,35.87675476074219
2014-04-25,35.93647384643555
2014-04-28,36.13206481933594
2014-04-29,36.49787521362305
2014-04-30,36.60538101196289
2014-05-01,36.13206481933594
2014-05-02,36.33662033081055
2014-05-05,36.50831985473633
2014-05-06,36.359012603759766
2014-05-07,36.55908966064453
2014-05-08,36.03800582885742
2014-05-09,35.18546676635742
2014-05-12,36.084285736083984
2014-05-13,37.171241760253906
2014-05-14,37.1772346496582
2014-05-15,35.85805130004883
2014-05-16,36.08891296386719
2014-05-19,36.9149055480957
2014-05-20,36.99433898925781
2014-05-21,36.8024787902832
2014-05-22,36.66904830932617
2014-05-23,36.97636795043945
2014-05-27,37.07829666137695
2014-05-28,36.25830078125
2014-05-29,36.328765869140625
2014-05-30,36.47416687011719
2014-06-02,36.652565002441406
2014-06-03,36.643577575683594
2014-06-04,36.71702194213867
2014-06-05,36.709529876708984
2014-06-06,36.80097198486328
2014-06-09,36.54161834716797
2014-06-10,36.40971374511719
2014-06-11,35.86553192138672
2014-06-12,35.367855072021484
2014-06-13,35.26441192626953
2014-06-16,35.89102554321289
2014-06-17,36.2103271484375
2014-06-18,36.55961608886719
2014-06-19,36.87592697143555
2014-06-20,36.87592697143555
2014-06-23,36.80696105957031
2014-06-24,36.132381439208984
2014-06-25,36.2373161315918
2014-06-26,36.19983673095703
2014-06-27,36.0184440612793
2014-06-30,36.05741882324219
2014-07-01,36.59109878540039
2014-07-02,36.6750373840332
2014-07-03,36.79048156738281
2014-07-07,36.30776596069336
2014-07-08,36.727516174316406
2014-07-09,36.44868469238281
2014-07-10,36.046913146972656
2014-07-11,35.94499588012695
2014-07-14,36.138370513916016
2014-07-15,36.43519592285156
2014-07-16,36.77698516845703
2014-07-17,37.60447311401367
2014-07-18,37.857818603515625
2014-07-21,37.81435012817383
2014-07-22,38.051185607910156
2014-07-23,37.80537033081055
2014-07-24,38.16062927246094
2014-07-25,37.868309020996094
2014-07-28,38.22509002685547
2014-07-29,38.2310791015625
2014-07-30,38.16964340209961
2014-07-31,37.52803421020508
2014-08-01,37.86532211303711
2014-08-04,37.84131622314453
2014-08-05,37.42759704589844
2014-08-06,37.9372673034668
2014-08-07,36.54912185668945
2014-08-08,37.007843017578125
2014-08-11,37.01982498168945
2014-08-12,37.14875030517578
2014-08-13,36.90740203857422
2014-08-14,37.31915283203125
2014-08-15,38.070281982421875
2014-08-18,38.75352478027344
2014-08-19,38.696205139160156
2014-08-20,38.831966400146484
2014-08-21,39.018978118896484
2014-08-22,38.63739013671875
2014-08-25,38.901336669921875
2014-08-26,39.03708267211914
2014-08-27,39.16679382324219
2014-08-28,39.25276565551758
2014-08-29,38.86362838745117
2014-09-02,38.690185546875
2014-09-03,38.56800842285156
2014-09-04,38.3809814453125
2014-09-05,38.29350662231445
2014-09-08,38.17133331298828
2014-09-09,37.85308837890625
2014-09-10,37.93302536010742
2014-09-11,37.82292556762695
2014-09-12,37.80330276489258
2014-09-15,38.01446533203125
2014-09-16,38.379478454589844
2014-09-17,38.65851593017578
2014-09-18,39.17131042480469
2014-09-19,38.97071075439453
2014-09-22,38.57855987548828
2014-09-23,40.628299713134766
2014-09-24,41.07475662231445
2014-09-25,40.88169479370117
2014-09-26,41.908836364746094
2014-09-29,42.02345657348633
2014-09-30,42.11395263671875
2014-10-01,40.610198974609375
2014-10-02,41.62226104736328
2014-10-03,41.48048400878906
2014-10-06,41.192405700683594
2014-10-07,42.64788055419922
2014-10-08,42.27383804321289
2014-10-09,40.88169479370117
2014-10-10,40.1366081237793
2014-10-13,38.13212203979492
2014-10-14,38.10497283935547
2014-10-15,38.3508186340332
2014-10-16,38.2874755859375
2014-10-17,36.94662094116211
2014-10-20,37.45037841796875
2014-10-21,38.14568328857422
2014-10-22,38.39002990722656
2014-10-23,38.56648635864258
2014-10-24,39.27689743041992
2014-10-27,38.46393585205078
2014-10-28,39.26633834838867
2014-10-29,38.821407318115234
2014-10-30,39.10042953491211
2014-10-31,39.215057373046875
2014-11-03,38.6268310546875
2014-11-04,38.079341888427734
2014-11-05,38.25429916381836
2014-11-06,37.93605041503906
2014-11-07,37.845550537109375
2014-11-10,38.370418548583984
2014-11-11,40.242191314697266
2014-11-12,40.40449905395508
2014-11-13,40.5167350769043
2014-11-14,40.3635368347168
2014-11-17,40.9550895690918
2014-11-18,40.90654754638672
2014-11-19,41.26148223876953
2014-11-20,41.419219970703125
2014-11-21,42.22465133666992
2014-11-24,42.03504943847656
2014-11-25,41.34186553955078
2014-11-26,41.202327728271484
2014-11-28,40.67296600341797
2014-12-01,40.51520919799805
2014-12-02,40.683570861816406
2014-12-03,40.952049255371094
2014-12-04,40.94750213623047
2014-12-05,40.700260162353516
2014-12-08,40.03590393066406
2014-12-09,39.544456481933594
2014-12-10,38.29310607910156
2014-12-11,38.2111930847168
2014-12-12,37.73795700073242
2014-12-15,37.615108489990234
2014-12-16,37.748565673828125
2014-12-17,38.94532012939453
2014-12-18,39.339698791503906
2014-12-19,40.33926010131836
2014-12-22,41.02485656738281
2014-12-23,42.26557540893555
2014-12-24,41.78628921508789
2014-12-26,41.65281295776367
2014-12-29,41.39344024658203
2014-12-30,41.487483978271484
2014-12-31,41.33884048461914
2015-01-02,42.15184020996094
2015-01-05,42.007747650146484
2015-01-06,42.87686538696289
2015-01-07,44.099403381347656
2015-01-08,44.712188720703125
2015-01-09,45.076229095458984
2015-01-12,45.142974853515625
2015-01-13,45.3886833190918
2015-01-14,43.88705825805664
2015-01-15,43.796051025390625
2015-01-16,45.14448547363281
2015-01-20,46.00603103637695
2015-01-21,45.84675598144531
2015-01-22,46.603641510009766
2015-01-23,45.769405364990234
2015-01-26,46.08338165283203
2015-01-27,46.44588088989258
2015-01-28,45.67840576171875
2015-01-29,46.53388214111328
2015-01-30,46.320011138916016
2015-02-02,46.227474212646484
2015-02-03,45.661712646484375
2015-02-04,45.058013916015625
2015-02-05,45.44328689575195
2015-02-06,44.99431610107422
2015-02-09,45.05045700073242
2015-02-10,45.206668853759766
2015-02-11,45.3204231262207
2015-02-12,46.129913330078125
2015-02-13,45.946983337402344
2015-02-17,45.53690719604492
2015-02-18,45.15427017211914
2015-02-19,46.40127182006836
2015-02-20,47.01258087158203
2015-02-23,47.66655731201172
2015-02-24,47.54461669921875
2015-02-25,46.8372688293457
2015-02-26,46.74121856689453
2015-02-27,46.68329620361328
2015-03-02,47.46685791015625
2015-03-03,47.44552230834961
2015-03-04,46.486629486083984
2015-03-05,46.235107421875
2015-03-06,45.43476867675781
2015-03-09,46.38449478149414
2015-03-10,44.65424728393555
2015-03-11,44.32648468017578
2015-03-12,44.49876403808594
2015-03-13,44.61156463623047
2015-03-16,44.66796875
2015-03-17,44.122215270996094
2015-03-18,44.940834045410156
2015-03-19,44.213687896728516
2015-03-20,44.244171142578125
2015-03-23,44.20758056640625
2015-03-24,44.97285461425781
2015-03-25,44.78077697753906
2015-03-26,44.856998443603516
2015-03-27,44.00483322143555
2015-03-30,44.358497619628906
2015-03-31,43.24565505981445
2015-04-01,43.3157844543457
2015-04-02,42.71818923950195
2015-04-06,42.88589096069336
2015-04-07,42.87520980834961
2015-04-08,43.43926239013672
2015-04-09,43.41791534423828
2015-04-10,43.37370681762695
2015-04-13,43.29596710205078
2015-04-14,43.05052947998047
2015-04-15,43.702980041503906
2015-04-16,44.66035079956055
2015-04-17,44.39662551879883
2015-04-20,43.89964294433594
2015-04-21,43.571895599365234
2015-04-22,43.5444450378418
2015-04-23,44.17405319213867
2015-04-24,44.88596725463867
2015-04-27,43.98806381225586
2015-04-28,43.879825592041016
2015-04-29,44.437774658203125
2015-04-30,43.82342529296875
2015-05-01,44.89512252807617
2015-05-04,44.78840637207031
2015-05-05,44.241127014160156
2015-05-06,44.91035461425781
2015-05-07,45.74727249145508
2015-05-08,47.38911819458008
2015-05-11,47.01258087158203
2015-05-12,46.239681243896484
2015-05-13,46.7789421081543
2015-05-14,46.61809158325195
2015-05-15,46.99189758300781
2015-05-18,47.12058639526367
2015-05-19,47.53118896484375
2015-05-20,47.63996124267578
2015-05-21,48.57908248901367
2015-05-22,49.16585159301758
2015-05-26,48.885494232177734
2015-05-27,49.228668212890625
2015-05-28,49.277687072753906
2015-05-29,48.393714904785156
2015-06-01,48.50554275512695
2015-06-02,48.91307067871094
2015-06-03,49.30373764038086
2015-06-04,48.79051208496094
2015-06-05,48.69858932495117
2015-06-08,48.307918548583984
2015-06-09,48.34928512573242
2015-06-10,49.08924865722656
2015-06-11,48.911537170410156
2015-06-12,48.43660354614258
2015-06-15,48.65568161010742
2015-06-16,49.15053176879883
2015-06-17,48.516265869140625
2015-06-18,49.216400146484375
2015-06-19,48.44274139404297
2015-06-22,49.170448303222656
2015-06-23,48.74913787841797
2015-06-24,48.33550262451172
2015-06-25,48.99427032470703
2015-06-26,48.87936019897461
2015-06-29,47.92184066772461
2015-06-30,49.239383697509766
2015-07-01,49.867523193359375
2015-07-02,49.43854522705078
2015-07-06,48.68019485473633
2015-07-07,47.577152252197266
2015-07-08,46.07574462890625
2015-07-09,46.57366180419922
2015-07-10,47.27072525024414
2015-07-13,47.56948471069336
2015-07-14,48.013763427734375
2015-07-15,47.60778045654297
2015-07-16,48.05973434448242
2015-07-17,52.793701171875
2015-07-20,49.79090881347656
2015-07-21,48.97893524169922
2015-07-22,47.89120101928711
2015-07-23,47.738006591796875
2015-07-24,46.61195373535156
2015-07-27,45.263771057128906
2015-07-28,45.11823272705078
2015-07-29,45.37101364135742
2015-07-30,45.28675079345703
2015-07-31,45.348045349121094
2015-08-03,45.21015930175781
