,IP
2014-01-02,29.18819236755371
2014-01-03,29.08052635192871
2014-01-06,29.002775192260742
2014-01-07,29.283897399902344
2014-01-08,29.313785552978516
2014-01-09,29.42743492126465
2014-01-10,29.265933990478516
2014-01-13,28.787452697753906
2014-01-14,29.134355545043945
2014-01-15,29.212106704711914
2014-01-16,29.224069595336914
2014-01-17,28.913057327270508
2014-01-21,28.817350387573242
2014-01-22,28.560169219970703
2014-01-23,28.404644012451172
2014-01-24,27.25028419494629
2014-01-27,27.357942581176758
2014-01-28,27.591215133666992
2014-01-29,28.057737350463867
2014-01-30,28.1773681640625
2014-01-31,28.554180145263672
2014-02-03,27.549348831176758
2014-02-04,27.405792236328125
2014-02-05,28.015871047973633
2014-02-06,28.105588912963867
2014-02-07,28.3627872467041
2014-02-10,28.739593505859375
2014-02-11,28.972854614257812
2014-02-12,29.38255500793457
2014-02-13,29.581357955932617
2014-02-14,29.629562377929688
2014-02-18,29.64763069152832
2014-02-19,29.346397399902344
2014-02-20,29.744029998779297
2014-02-21,29.617509841918945
2014-02-24,29.454845428466797
2014-02-25,29.569311141967773
2014-02-26,29.545207977294922
2014-02-27,29.43073844909668
2014-02-28,29.454845428466797
2014-03-03,28.786102294921875
2014-03-04,29.051191329956055
2014-03-05,29.177701950073242
2014-03-06,28.99696922302246
2014-03-07,29.009008407592773
2014-03-10,28.846343994140625
2014-03-11,28.46678924560547
2014-03-12,28.364370346069336
2014-03-13,27.972761154174805
2014-03-14,27.792028427124023
2014-03-17,27.67152214050293
2014-03-18,27.56307601928711
2014-03-19,27.454635620117188
2014-03-20,27.376319885253906
2014-03-21,27.581153869628906
2014-03-24,27.44260025024414
2014-03-25,27.767925262451172
2014-03-26,27.11122703552246
2014-03-27,27.46065902709961
2014-03-28,27.59320831298828
2014-03-31,27.64140510559082
2014-04-01,27.629352569580078
2014-04-02,28.09928321838379
2014-04-03,28.002885818481445
2014-04-04,27.59922981262207
2014-04-07,27.454635620117188
2014-04-08,27.316068649291992
2014-04-09,27.731765747070312
2014-04-10,27.430540084838867
2014-04-11,27.09918212890625
2014-04-14,27.18351936340332
2014-04-15,27.038936614990234
2014-04-16,27.412458419799805
2014-04-17,27.388362884521484
2014-04-21,27.647430419921875
2014-04-22,27.786001205444336
2014-04-23,27.767925262451172
2014-04-24,27.713703155517578
2014-04-25,27.49078941345215
2014-04-28,27.94866943359375
2014-04-29,27.653451919555664
2014-04-30,28.105308532714844
2014-05-01,27.731765747070312
2014-05-02,27.647430419921875
2014-05-05,27.64140510559082
2014-05-06,27.623327255249023
2014-05-07,28.06915283203125
2014-05-08,28.026987075805664
2014-05-09,28.15953254699707
2014-05-12,28.527040481567383
2014-05-13,28.38846778869629
2014-05-14,28.370397567749023
2014-05-15,28.219768524169922
2014-05-16,28.057096481323242
2014-05-19,28.219768524169922
2014-05-20,28.051088333129883
2014-05-21,28.166423797607422
2014-05-22,28.275691986083984
2014-05-23,28.391029357910156
