,MPC
2014-01-02,31.988149642944336
2014-01-03,31.552021026611328
2014-01-06,31.712888717651367
2014-01-07,31.816566467285156
2014-01-08,31.70216941833496
2014-01-09,32.54583740234375
2014-01-10,32.520816802978516
2014-01-13,31.516281127929688
2014-01-14,31.852319717407227
2014-01-15,30.976476669311523
2014-01-16,30.636850357055664
2014-01-17,30.486703872680664
2014-01-21,30.862049102783203
2014-01-22,30.59395408630371
2014-01-23,30.54390525817871
2014-01-24,29.664485931396484
2014-01-27,29.850360870361328
2014-01-28,29.732406616210938
2014-01-29,30.92999267578125
2014-01-30,31.280332565307617
2014-01-31,31.11945343017578
2014-02-03,30.150659561157227
2014-02-04,29.7609920501709
2014-02-05,29.424964904785156
2014-02-06,29.78959083557129
2014-02-07,30.197141647338867
2014-02-10,29.500036239624023
2014-02-11,30.193561553955078
2014-02-12,30.100608825683594
2014-02-13,30.59395408630371
2014-02-14,31.510046005249023
2014-02-18,31.506450653076172
2014-02-19,31.26215934753418
2014-02-20,31.596267700195312
2014-02-21,31.36634063720703
2014-02-24,31.657344818115234
2014-02-25,32.29320526123047
2014-02-26,31.628599166870117
2014-02-27,30.231111526489258
2014-02-28,30.177230834960938
2014-03-03,29.950881958007812
2014-03-04,30.425098419189453
2014-03-05,30.96038055419922
2014-03-06,32.14592361450195
2014-03-07,32.33273696899414
2014-03-10,32.720726013183594
2014-03-11,32.79616928100586
2014-03-12,33.949363708496094
2014-03-13,33.24882888793945
2014-03-14,33.7625617980957
2014-03-17,33.615264892578125
2014-03-18,33.82004165649414
2014-03-19,32.92551040649414
2014-03-20,33.01890182495117
2014-03-21,32.580623626708984
2014-03-24,32.19261932373047
2014-03-25,32.56264877319336
2014-03-26,32.009395599365234
2014-03-27,31.35915756225586
2014-03-28,31.49567413330078
2014-03-31,31.26935386657715
2014-04-01,32.167476654052734
2014-04-02,31.31246566772461
2014-04-03,31.316055297851562
2014-04-04,31.290908813476562
2014-04-07,30.565208435058594
2014-04-08,30.14129066467285
2014-04-09,30.57957649230957
2014-04-10,30.367624282836914
2014-04-11,29.922155380249023
2014-04-14,30.381986618041992
2014-04-15,31.104080200195312
2014-04-16,31.894447326660156
2014-04-17,32.3004150390625
2014-04-21,32.38302230834961
2014-04-22,32.472843170166016
2014-04-23,32.63449478149414
2014-04-24,32.59857177734375
2014-04-25,32.594993591308594
2014-04-28,33.38175964355469
2014-04-29,33.54700469970703
2014-04-30,33.39252471923828
2014-05-01,34.28706359863281
2014-05-02,34.398433685302734
2014-05-05,34.419979095458984
2014-05-06,34.73613357543945
2014-05-07,34.20085144042969
2014-05-08,33.335060119628906
2014-05-09,32.79616928100586
2014-05-12,33.05841827392578
2014-05-13,32.96502685546875
2014-05-14,32.986576080322266
2014-05-15,32.296810150146484
2014-05-16,31.991445541381836
2014-05-19,32.081687927246094
2014-05-20,31.99144172668457
2014-05-21,31.652141571044922
2014-05-22,31.3705997467041
2014-05-23,31.45361328125
2014-05-27,31.385038375854492
2014-05-28,31.536630630493164
2014-05-29,32.417362213134766
2014-05-30,32.26576614379883
2014-06-02,32.38488006591797
2014-06-03,31.79652976989746
2014-06-04,31.70629119873047
2014-06-05,31.727941513061523
2014-06-06,31.652141571044922
2014-06-09,31.58356475830078
2014-06-10,30.930227279663086
2014-06-11,30.930227279663086
2014-06-12,31.27674674987793
2014-06-13,31.193721771240234
2014-06-16,30.995210647583008
2014-06-17,31.251476287841797
2014-06-18,31.995052337646484
2014-06-19,32.34878921508789
2014-06-20,32.34517288208008
2014-06-23,32.11778259277344
2014-06-24,31.204561233520508
2014-06-25,29.226524353027344
2014-06-26,29.212095260620117
2014-06-27,28.659835815429688
2014-06-30,28.179765701293945
2014-07-01,28.37468147277832
2014-07-02,28.833078384399414
2014-07-03,29.201269149780273
2014-07-07,28.685096740722656
2014-07-08,28.093137741088867
2014-07-09,28.186975479125977
2014-07-10,27.9415340423584
2014-07-11,28.464914321899414
2014-07-14,28.18337059020996
2014-07-15,28.522655487060547
2014-07-16,28.309696197509766
2014-07-17,27.703283309936523
2014-07-18,27.761051177978516
2014-07-21,27.40731430053711
2014-07-22,27.35677719116211
2014-07-23,27.65275764465332
2014-07-24,27.94875144958496
2014-07-25,28.363845825195312
2014-07-28,28.078697204589844
2014-07-29,28.742843627929688
2014-07-30,28.50821876525879
2014-07-31,30.132516860961914
2014-08-01,30.165014266967773
2014-08-04,30.489871978759766
2014-08-05,30.692007064819336
2014-08-06,31.31284523010254
2014-08-07,31.22260856628418
2014-08-08,31.58356475830078
2014-08-11,31.435571670532227
2014-08-12,31.247865676879883
2014-08-13,31.558290481567383
2014-08-14,32.09251022338867
2014-08-15,32.15388107299805
2014-08-18,32.70199966430664
2014-08-19,33.25011444091797
2014-08-20,33.14121627807617
2014-08-21,32.69110107421875
2014-08-22,32.825408935546875
2014-08-25,32.883487701416016
2014-08-26,32.825408935546875
2014-08-27,32.7382926940918
2014-08-28,32.95246124267578
2014-08-29,33.03594207763672
2014-09-02,32.491455078125
2014-09-03,32.821773529052734
2014-09-04,33.02143478393555
2014-09-05,33.26100158691406
2014-09-08,33.53688049316406
2014-09-09,33.29366683959961
2014-09-10,32.825408935546875
2014-09-11,32.27003860473633
2014-09-12,31.529523849487305
2014-09-15,32.13572692871094
2014-09-16,32.0086669921875
2014-09-17,32.01231384277344
2014-09-18,31.700136184692383
2014-09-19,32.17565155029297
2014-09-22,31.246379852294922
2014-09-23,30.745460510253906
2014-09-24,30.669231414794922
2014-09-25,30.593000411987305
2014-09-26,30.857990264892578
2014-09-29,30.632932662963867
2014-09-30,30.734560012817383
2014-10-01,29.92509651184082
2014-10-02,29.38424301147461
2014-10-03,29.337047576904297
2014-10-06,29.358827590942383
2014-10-07,29.337047576904297
2014-10-08,30.585744857788086
2014-10-09,29.692787170410156
2014-10-10,29.616554260253906
2014-10-13,28.97406005859375
2014-10-14,28.469505310058594
2014-10-15,27.685434341430664
2014-10-16,28.47675895690918
2014-10-17,28.767147064208984
2014-10-20,29.271711349487305
2014-10-21,30.836200714111328
2014-10-22,30.335277557373047
2014-10-23,30.683746337890625
2014-10-24,31.1411190032959
2014-10-27,31.36979866027832
2014-10-28,32.349884033203125
2014-10-29,31.729164123535156
2014-10-30,32.90526580810547
2014-10-31,32.99601745605469
2014-11-03,33.25737762451172
2014-11-04,32.89801025390625
2014-11-05,32.92705154418945
2014-11-06,33.80548858642578
2014-11-07,34.15032958984375
2014-11-10,34.157588958740234
2014-11-11,34.349979400634766
2014-11-12,34.487911224365234
2014-11-13,33.95794677734375
2014-11-14,33.53324890136719
2014-11-17,33.7631721496582
2014-11-18,34.263187408447266
2014-11-19,34.233978271484375
2014-11-20,34.73033905029297
2014-11-21,35.3726806640625
2014-11-24,35.08070373535156
2014-11-25,34.7595329284668
2014-11-26,34.91646957397461
2014-11-28,32.87995529174805
2014-12-01,33.13541793823242
2014-12-02,34.358070373535156
2014-12-03,35.04420471191406
2014-12-04,35.281436920166016
2014-12-05,33.63178253173828
2014-12-08,32.37993621826172
2014-12-09,32.39453887939453
2014-12-10,31.04416275024414
2014-12-11,30.613496780395508
2014-12-12,30.36532211303711
2014-12-15,29.697433471679688
2014-12-16,30.000354766845703
2014-12-17,30.923723220825195
2014-12-18,30.668245315551758
2014-12-19,31.825197219848633
2014-12-22,31.85803985595703
2014-12-23,32.255855560302734
2014-12-24,32.343448638916016
2014-12-26,32.744903564453125
2014-12-29,33.23397445678711
2014-12-30,33.080684661865234
2014-12-31,32.94200134277344
2015-01-02,33.445655822753906
2015-01-05,32.514976501464844
2015-01-06,32.19380569458008
2015-01-07,32.460235595703125
2015-01-08,33.223018646240234
2015-01-09,32.29600143432617
2015-01-12,31.17555046081543
2015-01-13,29.511289596557617
2015-01-14,28.33244514465332
2015-01-15,28.047773361206055
2015-01-16,28.306900024414062
2015-01-20,29.35071563720703
2015-01-21,29.544151306152344
2015-01-22,30.646339416503906
2015-01-23,31.810596466064453
2015-01-26,32.18651580810547
2015-01-27,32.3653450012207
2015-01-28,32.587989807128906
2015-01-29,32.85075759887695
2015-01-30,33.79236602783203
2015-02-02,34.28507995605469
2015-02-03,34.971221923828125
2015-02-04,35.10625457763672
2015-02-05,35.51137161254883
2015-02-06,36.08802032470703
2015-02-09,36.55882263183594
2015-02-10,37.292415618896484
2015-02-11,36.832550048828125
2015-02-12,37.00773239135742
2015-02-13,37.95402145385742
2015-02-17,38.0787239074707
2015-02-18,38.37581253051758
2015-02-19,38.749916076660156
2015-02-20,38.720584869384766
2015-02-23,39.00666809082031
2015-02-24,38.577537536621094
2015-02-25,38.38682556152344
2015-02-26,39.25974655151367
2015-02-27,38.51151657104492
2015-03-02,37.33049774169922
2015-03-03,37.693603515625
2015-03-04,37.414852142333984
2015-03-05,37.31949234008789
2015-03-06,36.12380599975586
2015-03-09,36.59328079223633
2015-03-10,35.25454330444336
2015-03-11,35.52962875366211
2015-03-12,35.08949661254883
2015-03-13,35.28388595581055
2015-03-16,35.96608352661133
2015-03-17,35.848724365234375
2015-03-18,37.048072814941406
2015-03-19,36.699649810791016
2015-03-20,37.506553649902344
2015-03-23,37.56523513793945
2015-03-24,37.30116653442383
2015-03-25,37.80731201171875
2015-03-26,37.00040054321289
2015-03-27,36.54926681518555
2015-03-30,37.74128723144531
2015-03-31,37.554237365722656
2015-04-01,37.32316207885742
2015-04-02,35.60664749145508
2015-04-06,36.14214324951172
2015-04-07,36.03211212158203
2015-04-08,36.17881774902344
2015-04-09,36.626285552978516
2015-04-10,36.8316764831543
2015-04-13,35.65433120727539
2015-04-14,35.95875549316406
2015-04-15,35.9550895690918
2015-04-16,36.67763900756836
2015-04-17,36.208160400390625
2015-04-20,36.43190383911133
2015-04-21,36.68130111694336
2015-04-22,37.45887756347656
2015-04-23,37.29749298095703
2015-04-24,37.83298110961914
2015-04-27,37.75596618652344
2015-04-28,37.598243713378906
2015-04-29,37.605587005615234
2015-04-30,36.153160095214844
2015-05-01,37.65327072143555
2015-05-04,37.1361083984375
2015-05-05,37.348838806152344
2015-05-06,37.051753997802734
2015-05-07,37.66426467895508
2015-05-08,38.46751403808594
2015-05-11,37.51388931274414
2015-05-12,37.16543960571289
2015-05-13,37.51388931274414
2015-05-14,38.40515899658203
2015-05-15,37.94300842285156
2015-05-18,38.42951202392578
2015-05-19,38.425838470458984
2015-05-20,38.45161819458008
2015-05-21,38.204689025878906
2015-05-22,37.990936279296875
2015-05-26,37.0179443359375
2015-05-27,37.2095832824707
2015-05-28,37.87667465209961
2015-05-29,38.1309700012207
2015-06-01,38.16413879394531
2015-06-02,37.97250747680664
2015-06-03,37.666603088378906
2015-06-04,36.97739028930664
2015-06-05,37.194847106933594
2015-06-08,37.02532196044922
2015-06-09,36.60884475708008
2015-06-10,37.51547622680664
