,CMS
2014-01-02,18.940160751342773
2014-01-03,18.932960510253906
2014-01-06,18.810535430908203
2014-01-07,18.940160751342773
2014-01-08,18.896955490112305
2014-01-09,19.105798721313477
2014-01-10,19.52349281311035
2014-01-13,19.249834060668945
2014-01-14,19.206626892089844
2014-01-15,19.02658462524414
2014-01-16,19.170616149902344
2014-01-17,19.033790588378906
2014-01-21,19.24263572692871
2014-01-22,19.393857955932617
2014-01-23,19.379459381103516
2014-01-24,19.113004684448242
2014-01-27,19.113004684448242
2014-01-28,19.41546630859375
2014-01-29,19.285842895507812
2014-01-30,19.60991096496582
2014-01-31,20.013200759887695
2014-02-03,19.746742248535156
2014-02-04,19.638717651367188
2014-02-05,19.536890029907227
2014-02-06,19.595077514648438
2014-02-07,19.806005477905273
2014-02-10,20.053314208984375
2014-02-11,20.32244110107422
2014-02-12,20.344255447387695
2014-02-13,20.511552810668945
2014-02-14,20.751575469970703
2014-02-18,20.707935333251953
2014-02-19,20.64247703552246
2014-02-20,20.809768676757812
2014-02-21,20.715208053588867
2014-02-24,20.613372802734375
2014-02-25,20.802494049072266
2014-02-26,20.635204315185547
2014-02-27,20.547914505004883
2014-02-28,20.67884063720703
2014-03-03,20.555194854736328
2014-03-04,20.751575469970703
2014-03-05,20.504274368286133
2014-03-06,20.3660831451416
2014-03-07,20.351533889770508
2014-03-10,20.256977081298828
2014-03-11,20.17696762084961
2014-03-12,20.489734649658203
2014-03-13,20.79521942138672
2014-03-14,20.94797134399414
2014-03-17,21.07162094116211
2014-03-18,21.035253524780273
2014-03-19,20.707935333251953
2014-03-20,20.635204315185547
2014-03-21,20.787948608398438
2014-03-24,20.817045211791992
2014-03-25,20.817045211791992
2014-03-26,20.787948608398438
2014-03-27,20.991607666015625
2014-03-28,20.969789505004883
2014-03-31,21.297100067138672
2014-04-01,21.195268630981445
2014-04-02,21.202539443969727
2014-04-03,21.246185302734375
2014-04-04,21.36983299255371
2014-04-07,21.33346176147461
2014-04-08,21.47893714904785
2014-04-09,21.39165687561035
2014-04-10,21.36983299255371
2014-04-11,21.420753479003906
2014-04-14,21.500761032104492
2014-04-15,21.806249618530273
2014-04-16,21.966270446777344
2014-04-17,21.66077995300293
2014-04-21,21.58077621459961
2014-04-22,21.602590560913086
2014-04-23,21.573497772216797
2014-04-24,21.7844295501709
2014-04-25,22.104463577270508
2014-04-28,22.00263786315918
2014-04-29,21.87898826599121
2014-04-30,22.245956420898438
2014-05-01,22.17990493774414
2014-05-02,21.702836990356445
2014-05-05,21.856969833374023
2014-05-06,21.82026481628418
2014-05-07,22.209264755249023
2014-05-08,21.930368423461914
2014-05-09,21.585405349731445
2014-05-12,21.31385040283203
2014-05-13,21.3652286529541
2014-05-14,21.467973709106445
2014-05-15,21.45329475402832
2014-05-16,21.482656478881836
2014-05-19,21.1964111328125
2014-05-20,21.247791290283203
2014-05-21,21.189075469970703
2014-05-22,21.44595718383789
2014-05-23,21.504676818847656
2014-05-27,21.45329475402832
2014-05-28,21.673479080200195
2014-05-29,21.622102737426758
2014-05-30,21.83494758605957
2014-06-02,21.812931060791016
2014-06-03,21.856969833374023
