,TPL
2014-01-02,29.37270736694336
2014-01-03,29.37270736694336
2014-01-06,29.39336585998535
2014-01-07,29.12177848815918
2014-01-08,29.062732696533203
2014-01-09,29.092262268066406
2014-01-10,29.13949203491211
2014-01-13,28.93579864501953
2014-01-14,28.912193298339844
2014-01-15,28.888568878173828
2014-01-16,29.44060516357422
2014-01-17,29.23101043701172
2014-01-21,28.98893928527832
2014-01-22,28.85610008239746
2014-01-23,28.407392501831055
2014-01-24,28.09447479248047
2014-01-27,27.71661376953125
2014-01-28,28.304073333740234
2014-01-29,27.96163558959961
2014-01-30,28.504810333251953
2014-01-31,29.83617401123047
2014-02-03,29.756473541259766
2014-02-04,30.70111083984375
2014-02-05,32.30997848510742
2014-02-06,32.96828842163086
2014-02-07,33.38746643066406
2014-02-10,35.83174133300781
2014-02-11,35.814029693603516
2014-02-12,36.01477813720703
2014-02-13,36.01477813720703
2014-02-14,36.08858108520508
2014-02-18,36.75278854370117
2014-02-19,37.31367111206055
2014-02-20,39.00518035888672
2014-02-21,39.35942077636719
2014-02-24,41.82732391357422
2014-02-25,41.87455368041992
2014-02-26,42.53875732421875
2014-02-27,39.76680374145508
2014-02-28,40.17713928222656
2014-03-03,40.528419494628906
2014-03-04,40.30659484863281
2014-03-05,40.522518157958984
2014-03-06,41.11408996582031
2014-03-07,41.17620086669922
2014-03-10,39.84221267700195
2014-03-11,39.303871154785156
2014-03-12,38.7625846862793
2014-03-13,38.15327453613281
2014-03-14,38.404701232910156
2014-03-17,38.32779312133789
2014-03-18,37.89298629760742
2014-03-19,38.369197845458984
2014-03-20,38.12370300292969
2014-03-21,38.04087829589844
2014-03-24,37.762840270996094
2014-03-25,37.81608963012695
2014-03-26,37.3516960144043
2014-03-27,37.46410369873047
2014-03-28,37.41973114013672
2014-03-31,38.304134368896484
2014-04-01,38.008338928222656
2014-04-02,38.008338928222656
2014-04-03,37.62974166870117
2014-04-04,37.64453125
2014-04-07,37.209716796875
2014-04-08,37.12099075317383
2014-04-09,37.01155090332031
2014-04-10,37.712554931640625
2014-04-11,38.141448974609375
2014-04-14,38.070457458496094
2014-04-15,38.138492584228516
2014-04-16,38.008338928222656
2014-04-17,39.434017181396484
2014-04-21,38.82175827026367
2014-04-22,39.1589469909668
2014-04-23,39.898399353027344
2014-04-24,40.614200592041016
2014-04-25,39.44585418701172
2014-04-28,38.638362884521484
2014-04-29,38.80400466918945
2014-04-30,38.89570236206055
2014-05-01,39.99897766113281
2014-05-02,40.86857986450195
2014-05-05,41.80622863769531
2014-05-06,42.59893035888672
2014-05-07,42.87992858886719
2014-05-08,44.278987884521484
2014-05-09,44.453495025634766
2014-05-12,45.867340087890625
2014-05-13,46.00932312011719
2014-05-14,46.05960464477539
2014-05-15,45.84663772583008
2014-05-16,45.99452590942383
2014-05-19,45.970863342285156
2014-05-20,46.00044631958008
2014-05-21,46.0684814453125
2014-05-22,46.142417907714844
2014-05-23,46.50625228881836
2014-05-27,47.10372543334961
2014-05-28,48.34306335449219
2014-05-29,48.80744552612305
2014-05-30,48.80152893066406
2014-06-02,46.8641357421875
2014-06-03,46.438209533691406
2014-06-04,47.74557876586914
2014-06-05,48.69208908081055
2014-06-06,48.5826416015625
2014-06-09,47.621337890625
2014-06-10,47.25456237792969
2014-06-11,47.174705505371094
2014-06-12,47.77811813354492
2014-06-13,48.020668029785156
2014-06-16,48.204044342041016
2014-06-17,48.06501770019531
2014-06-18,48.71279525756836
