,HES
2014-01-02,67.83556365966797
2014-01-03,67.13313293457031
2014-01-06,66.83206939697266
2014-01-07,67.6181411743164
2014-01-08,68.31221771240234
2014-01-09,68.01953125
2014-01-10,67.65159606933594
2014-01-13,65.95405578613281
2014-01-14,66.5059585571289
2014-01-15,64.95054626464844
2014-01-16,64.99236297607422
2014-01-17,64.49898529052734
2014-01-21,65.1596450805664
2014-01-22,65.32683563232422
2014-01-23,64.72477722167969
2014-01-24,63.76308059692383
2014-01-27,63.20281219482422
2014-01-28,64.22301483154297
2014-01-29,64.44043731689453
2014-01-30,63.99725341796875
2014-01-31,63.12755584716797
2014-02-03,61.814659118652344
2014-02-04,62.517086029052734
2014-02-05,62.4334831237793
2014-02-06,63.813270568847656
2014-02-07,64.54077911376953
2014-02-10,64.38191986083984
2014-02-11,65.43555450439453
2014-02-12,65.25160217285156
2014-02-13,65.78678131103516
2014-02-14,66.48088073730469
2014-02-18,67.28363800048828
2014-02-19,67.49272918701172
2014-02-20,68.24532318115234
2014-02-21,67.87737274169922
2014-02-24,68.11152648925781
2014-02-25,67.14986419677734
2014-02-26,66.33036041259766
2014-02-27,66.48088073730469
2014-02-28,66.92406463623047
2014-03-03,66.4641342163086
2014-03-04,67.19166564941406
2014-03-05,67.51780700683594
2014-03-06,68.1031723022461
2014-03-07,68.46273803710938
2014-03-10,68.77216339111328
2014-03-11,67.91085052490234
2014-03-12,67.57636260986328
2014-03-13,66.7735595703125
2014-03-14,67.13313293457031
2014-03-17,67.24183654785156
2014-03-18,67.9968032836914
2014-03-19,67.62770080566406
2014-03-20,68.09747314453125
2014-03-21,68.75176239013672
2014-03-24,68.4330062866211
2014-03-25,68.81885528564453
2014-03-26,68.2568359375
2014-03-27,68.78531646728516
2014-03-28,69.8087158203125
2014-03-31,69.52349853515625
2014-04-01,70.42943572998047
2014-04-02,71.26830291748047
2014-04-03,71.83030700683594
2014-04-04,71.58706665039062
2014-04-07,70.2281265258789
2014-04-08,70.46299743652344
2014-04-09,71.47801208496094
2014-04-10,70.47977447509766
2014-04-11,70.11070251464844
2014-04-14,71.23473358154297
2014-04-15,72.22456359863281
2014-04-16,72.59366607666016
2014-04-17,73.20602416992188
2014-04-21,73.63383483886719
2014-04-22,73.8267593383789
2014-04-23,73.96097564697266
2014-04-24,74.07843017578125
2014-04-25,73.34024047851562
2014-04-28,73.1724853515625
2014-04-29,73.83516693115234
2014-04-30,74.79145812988281
2014-05-01,74.57334899902344
2014-05-02,74.38040924072266
2014-05-05,74.31330871582031
2014-05-06,73.89388275146484
2014-05-07,74.59849548339844
2014-05-08,73.99453735351562
2014-05-09,73.49121856689453
2014-05-12,74.10356140136719
2014-05-13,74.38040924072266
2014-05-14,74.67401885986328
2014-05-15,73.9777603149414
2014-05-16,73.31507873535156
2014-05-19,73.76806640625
2014-05-20,73.84355926513672
2014-05-21,74.90886688232422
2014-05-22,75.73934936523438
2014-05-23,75.3786392211914
2014-05-27,75.01793670654297
2014-05-28,75.4709243774414
2014-05-29,75.9909896850586
2014-05-30,76.58658599853516
2014-06-02,76.594970703125
2014-06-03,77.50094604492188
2014-06-04,77.4338150024414
2014-06-05,77.34153747558594
2014-06-06,78.28104400634766
2014-06-09,78.9353256225586
2014-06-10,79.11148071289062
2014-06-11,79.95034790039062
2014-06-12,80.30359649658203
2014-06-13,80.69888305664062
2014-06-16,80.6484375
