,GEN
2014-01-02,8.742426872253418
2014-01-03,8.612000465393066
2014-01-06,8.623178482055664
2014-01-07,8.71634292602539
2014-01-08,8.697708129882812
2014-01-09,8.761058807373047
2014-01-10,8.746155738830566
2014-01-13,8.272886276245117
2014-01-14,8.276609420776367
2014-01-15,8.544922828674316
2014-01-16,8.604543685913086
2014-01-17,8.671624183654785
2014-01-21,8.682801246643066
2014-01-22,8.802051544189453
2014-01-23,8.802051544189453
2014-01-24,8.682801246643066
2014-01-27,8.530016899108887
2014-01-28,8.682801246643066
2014-01-29,8.999558448791504
2014-01-30,8.339962005615234
2014-01-31,7.978491306304932
2014-02-03,7.732537269592285
2014-02-04,7.60956335067749
2014-02-05,7.654285430908203
2014-02-06,7.628195762634277
2014-02-07,7.7884368896484375
2014-02-10,7.784709930419922
2014-02-11,7.911413669586182
2014-02-12,7.907684803009033
2014-02-13,7.959856033325195
2014-02-14,7.9561333656311035
2014-02-18,7.710182189941406
2014-02-19,7.654285430908203
2014-02-20,7.699329376220703
2014-02-21,7.7068376541137695
2014-02-24,7.823206901550293
2014-02-25,7.800686836242676
2014-02-26,7.9808735847473145
2014-02-27,8.070967674255371
2014-02-28,8.063461303710938
2014-03-03,8.029677391052246
2014-03-04,7.883272171020508
2014-03-05,7.868256568908691
2014-03-06,7.80819034576416
2014-03-07,7.7293596267700195
2014-03-10,7.7180986404418945
2014-03-11,7.680556774139404
2014-03-12,7.691821098327637
2014-03-13,7.526646137237549
2014-03-14,7.567939758300781
2014-03-17,7.62049674987793
2014-03-18,7.699329376220703
2014-03-19,7.725606918334961
2014-03-20,7.8494873046875
2014-03-21,6.8321709632873535
2014-03-24,7.1662702560424805
2014-03-25,7.155009746551514
2014-03-26,7.053653240203857
2014-03-27,7.233842849731445
2014-03-28,7.4290452003479
2014-03-31,7.4966139793396
2014-04-01,7.5754475593566895
2014-04-02,7.511633396148682
2014-04-03,7.519143104553223
2014-04-04,7.60172700881958
2014-04-07,7.6617913246154785
2014-04-08,7.748133182525635
2014-04-09,7.748133182525635
2014-04-10,7.658035755157471
2014-04-11,7.511633396148682
2014-04-14,7.73311710357666
2014-04-15,7.793176174163818
2014-04-16,7.763144016265869
2014-04-17,7.774406433105469
2014-04-21,7.811947345733643
2014-04-22,7.73311710357666
2014-04-23,7.748133182525635
2014-04-24,7.7218523025512695
2014-04-25,7.612985610961914
2014-04-28,7.534156799316406
2014-04-29,7.567939758300781
2014-04-30,7.612985610961914
2014-05-01,7.567939758300781
2014-05-02,7.6467742919921875
2014-05-05,7.545418739318848
2014-05-06,7.5416646003723145
2014-05-07,7.590465545654297
2014-05-08,7.5566792488098145
2014-05-09,7.804443836212158
2014-05-12,7.9808735847473145
2014-05-13,7.977118968963623
2014-05-14,8.037184715270996
2014-05-15,8.37503719329834
2014-05-16,8.423842430114746
2014-05-19,8.40882682800293
2014-05-20,8.292448997497559
2014-05-21,8.322484016418457
2014-05-22,8.341253280639648
2014-05-23,8.36002254486084
2014-05-27,8.438855171203613
2014-05-28,8.281192779541016
2014-05-29,8.322484016418457
2014-05-30,8.254910469055176
2014-06-02,8.206114768981934
2014-06-03,8.119771003723145
2014-06-04,8.116016387939453
2014-06-05,8.05970573425293
2014-06-06,8.082389831542969
2014-06-09,8.086170196533203
2014-06-10,8.048364639282227
2014-06-11,8.044588088989258
2014-06-12,8.052145004272461
2014-06-13,8.203362464904785
2014-06-16,8.154216766357422
2014-06-17,8.203362464904785
2014-06-18,8.297871589660645
2014-06-19,8.369696617126465
2014-06-20,8.403719902038574
2014-06-23,8.392378807067871
2014-06-24,8.464205741882324
2014-06-25,8.475543975830078
2014-06-26,8.520913124084473
2014-06-27,8.607858657836914
2014-06-30,8.657003402709961
2014-07-01,8.64944076538086
2014-07-02,8.59273910522461
2014-07-03,8.709929466247559
2014-07-07,8.641885757446289
2014-07-08,8.475543975830078
2014-07-09,8.554931640625
2014-07-10,8.630541801452637
2014-07-11,8.539813041687012
2014-07-14,8.505789756774902
2014-07-15,8.653223991394043
2014-07-16,8.660782814025879
2014-07-17,8.721269607543945
2014-07-18,8.770416259765625
2014-07-21,8.830903053283691
2014-07-22,8.85736083984375
2014-07-23,8.872482299804688
2014-07-24,9.023696899414062
2014-07-25,9.008577346801758
2014-07-28,9.046378135681152
2014-07-29,8.98967456817627
2014-07-30,9.07284164428711
2014-07-31,8.944311141967773
2014-08-01,8.759073257446289
2014-08-04,8.906505584716797
2014-08-05,9.042597770690918
2014-08-06,8.970772743225098
2014-08-07,9.061501502990723
2014-08-08,9.050159454345703
2014-08-11,9.182472229003906
2014-08-12,9.118206024169922
2014-08-13,9.171130180358887
2014-08-14,9.201371192932129
2014-08-15,9.16357135772705
2014-08-18,9.216493606567383
2014-08-19,9.16357135772705
2014-08-20,9.178692817687988
2014-08-21,9.182472229003906
2014-08-22,9.144667625427246
2014-08-25,9.148470878601074
2014-08-26,9.251178741455078
2014-08-27,9.209338188171387
2014-08-28,9.190314292907715
2014-08-29,9.235962867736816
2014-09-02,9.235962867736816
2014-09-03,9.239768028259277
2014-09-04,9.243571281433105
2014-09-05,9.27780532836914
2014-09-08,9.262590408325195
2014-09-09,9.338668823242188
2014-09-10,9.39572811126709
2014-09-11,9.422357559204102
2014-09-12,9.331063270568848
2014-09-15,9.201725006103516
2014-09-16,9.209338188171387
2014-09-17,9.319649696350098
2014-09-18,9.35388469696045
2014-09-19,9.27780532836914
2014-09-22,9.22835636138916
2014-09-23,9.16749095916748
2014-09-24,9.186508178710938
2014-09-25,9.026747703552246
2014-09-26,8.969691276550293
2014-09-29,8.908824920654297
2014-09-30,8.943062782287598
2014-10-01,8.76807689666748
2014-10-02,8.882194519042969
2014-10-03,8.89741325378418
2014-10-06,8.943062782287598
2014-10-07,8.82133674621582
2014-10-08,9.133255004882812
2014-10-09,8.916433334350586
2014-10-10,8.345840454101562
2014-10-13,8.463763236999512
2014-10-14,8.54745101928711
2014-10-15,8.425725936889648
2014-10-16,8.380074501037598
2014-10-17,8.490392684936523
2014-10-20,8.558860778808594
2014-10-21,9.007728576660156
2014-10-22,8.943062782287598
2014-10-23,9.079999923706055
2014-10-24,9.121843338012695
2014-10-27,9.2245512008667
2014-10-28,9.361495971679688
2014-10-29,9.3424711227417
2014-10-30,9.45278549194336
2014-10-31,9.441374778747559
2014-11-03,9.585922241210938
2014-11-04,9.506040573120117
2014-11-05,9.578317642211914
2014-11-06,9.536473274230957
2014-11-07,9.498431205749512
2014-11-10,9.528865814208984
2014-11-11,9.58211898803711
2014-11-12,9.555492401123047
2014-11-13,9.719063758850098
2014-11-14,9.639180183410645
2014-11-17,9.69243335723877
2014-11-18,9.684826850891113
2014-11-19,9.627764701843262
2014-11-20,9.719608306884766
2014-11-21,9.692821502685547
2014-11-24,9.87267017364502
2014-11-25,9.914761543273926
2014-11-26,9.92624568939209
2014-11-28,9.983643531799316
2014-12-01,10.083136558532715
2014-12-02,10.064002990722656
2014-12-03,10.121402740478516
2014-12-04,10.067828178405762
2014-12-05,10.121402740478516
2014-12-08,10.033392906188965
2014-12-09,9.956854820251465
2014-12-10,9.765524864196777
2014-12-11,9.88797664642334
2014-12-12,9.666035652160645
2014-12-15,9.73491382598877
2014-12-16,9.593327522277832
2014-12-17,9.639245986938477
2014-12-18,9.849711418151855
2014-12-19,9.884150505065918
2014-12-22,9.953028678894043
2014-12-23,10.121402740478516
2014-12-24,10.171147346496582
2014-12-26,10.155838966369629
2014-12-29,10.041043281555176
2014-12-30,9.956854820251465
2014-12-31,9.819099426269531
2015-01-02,9.792312622070312
2015-01-05,9.654552459716797
2015-01-06,9.505315780639648
2015-01-07,9.593327522277832
2015-01-08,9.769351959228516
2015-01-09,9.704299926757812
2015-01-12,9.677515983581543
2015-01-13,9.696650505065918
2015-01-14,9.646900177001953
2015-01-15,9.532105445861816
2015-01-16,9.807618141174316
2015-01-20,9.826751708984375
2015-01-21,9.803793907165527
2015-01-22,10.213240623474121
2015-01-23,10.197933197021484
2015-01-26,10.17497444152832
2015-01-27,9.92624568939209
2015-01-28,9.711952209472656
2015-01-29,9.796136856079102
2015-01-30,9.478531837463379
