,ROP
2014-01-02,129.4221954345703
2014-01-03,129.56272888183594
2014-01-06,129.0284881591797
2014-01-07,129.2815704345703
2014-01-08,129.8259735107422
2014-01-09,130.98056030273438
2014-01-10,130.83035278320312
2014-01-13,129.51629638671875
2014-01-14,131.08380126953125
2014-01-15,131.94740295410156
2014-01-16,132.21957397460938
2014-01-17,131.44981384277344
2014-01-21,133.21456909179688
2014-01-22,132.85789489746094
2014-01-23,130.4736785888672
2014-01-24,127.34791564941406
2014-01-27,127.10393524169922
2014-01-28,129.2815704345703
2014-01-29,127.82664489746094
2014-01-30,129.31907653808594
2014-01-31,128.8216094970703
2014-02-03,123.71533203125
2014-02-04,123.89366912841797
2014-02-05,123.82797241210938
2014-02-06,124.62582397460938
2014-02-07,125.68649291992188
2014-02-10,124.84172821044922
2014-02-11,125.4237060546875
2014-02-12,126.66268920898438
2014-02-13,128.1175994873047
2014-02-14,128.47430419921875
2014-02-18,127.55439758300781
2014-02-19,126.76593017578125
2014-02-20,127.22591400146484
2014-02-21,126.6439437866211
2014-02-24,127.01005554199219
2014-02-25,127.00064086914062
2014-02-26,126.70020294189453
2014-02-27,126.35295867919922
2014-02-28,127.30098724365234
2014-03-03,126.42807006835938
2014-03-04,127.95809173583984
2014-03-05,128.59629821777344
2014-03-06,130.15452575683594
2014-03-07,130.94300842285156
2014-03-10,128.65261840820312
2014-03-11,125.99629974365234
2014-03-12,125.85545349121094
2014-03-13,125.71467590332031
2014-03-14,125.84606170654297
2014-03-17,128.2490234375
2014-03-18,128.5400390625
2014-03-19,127.04759216308594
2014-03-20,126.7472152709961
2014-03-21,126.44678497314453
2014-03-24,125.98690032958984
2014-03-25,126.55008697509766
2014-03-26,125.02005004882812
2014-03-27,124.35362243652344
2014-03-28,124.63520050048828
2014-03-31,125.32041931152344
2014-04-01,126.33414459228516
2014-04-02,128.1269989013672
2014-04-03,128.47430419921875
2014-04-04,126.70964050292969
2014-04-07,124.66339111328125
