,JNPR
2014-01-02,17.411094665527344
2014-01-03,17.635696411132812
2014-01-06,17.519529342651367
2014-01-07,17.55049705505371
2014-01-08,17.751880645751953
2014-01-09,17.68216896057129
2014-01-10,18.23207664489746
2014-01-13,19.610715866088867
2014-01-14,19.68816566467285
2014-01-15,20.044437408447266
2014-01-16,19.974729537963867
2014-01-17,20.13738441467285
2014-01-21,20.160615921020508
2014-01-22,20.27679443359375
2014-01-23,20.145130157470703
2014-01-24,21.469547271728516
2014-01-27,21.62445068359375
2014-01-28,21.306896209716797
2014-01-29,21.47728729248047
2014-01-30,21.58572769165039
2014-01-31,20.609834671020508
2014-02-03,20.408458709716797
2014-02-04,20.72600746154785
2014-02-05,20.741504669189453
2014-02-06,20.919639587402344
2014-02-07,21.105531692504883
2014-02-10,21.47728729248047
2014-02-11,21.42307472229004
2014-02-12,20.989349365234375
2014-02-13,21.275917053222656
2014-02-14,21.237192153930664
2014-02-18,21.268171310424805
2014-02-19,21.066797256469727
2014-02-20,21.22945213317871
2014-02-21,21.647689819335938
2014-02-24,21.361106872558594
2014-02-25,20.981603622436523
2014-02-26,20.826692581176758
2014-02-27,20.919639587402344
2014-02-28,20.710525512695312
2014-03-03,20.516891479492188
2014-03-04,20.33875274658203
2014-03-05,20.4239501953125
2014-03-06,20.478166580200195
2014-03-07,20.33875274658203
2014-03-10,20.354246139526367
2014-03-11,19.66492462158203
2014-03-12,19.73463249206543
2014-03-13,19.44806480407715
2014-03-14,19.84306526184082
2014-03-17,19.641693115234375
2014-03-18,20.06767463684082
2014-03-19,20.485912322998047
2014-03-20,20.501407623291016
2014-03-21,20.106395721435547
2014-03-24,20.005712509155273
2014-03-25,20.292282104492188
2014-03-26,19.905029296875
2014-03-27,19.618459701538086
2014-03-28,19.84306526184082
2014-03-31,19.951496124267578
2014-04-01,20.470420837402344
2014-04-02,20.408458709716797
2014-04-03,20.756996154785156
2014-04-04,20.0599308013916
2014-04-07,19.618459701538086
2014-04-08,19.55649757385254
2014-04-09,19.602968215942383
2014-04-10,19.246692657470703
2014-04-11,18.812963485717773
2014-04-14,19.122766494750977
2014-04-15,19.27766990661621
2014-04-16,19.40159034729004
2014-04-17,19.494537353515625
2014-04-21,19.68816566467285
2014-04-22,20.052186965942383
2014-04-23,19.25442886352539
2014-04-24,19.548751831054688
2014-04-25,18.960111618041992
2014-04-28,18.611589431762695
2014-04-29,18.80521583557129
2014-04-30,19.122766494750977
2014-05-01,19.29316520690918
2014-05-02,19.169239044189453
2014-05-05,19.20796012878418
2014-05-06,19.053062438964844
2014-05-07,19.107275009155273
2014-05-08,19.08403968811035
2014-05-09,19.053062438964844
2014-05-12,19.192472457885742
2014-05-13,19.262184143066406
2014-05-14,19.060806274414062
2014-05-15,19.138259887695312
2014-05-16,18.90590476989746
2014-05-19,19.068552017211914
2014-05-20,18.82845115661621
2014-05-21,19.04531478881836
2014-05-22,19.130508422851562
2014-05-23,19.192472457885742
2014-05-27,19.378353118896484
2014-05-28,19.54100799560547
2014-05-29,19.711397171020508
2014-05-30,18.94462776184082
2014-06-02,18.975605010986328
2014-06-03,18.991098403930664
2014-06-04,19.115020751953125
2014-06-05,19.20796012878418
2014-06-06,19.27766990661621
2014-06-09,19.161495208740234
2014-06-10,19.153749465942383
2014-06-11,19.099529266357422
2014-06-12,19.076295852661133
2014-06-13,19.04531478881836
2014-06-16,19.30864715576172
2014-06-17,19.510025024414062
2014-06-18,19.55649757385254
2014-06-19,18.75100326538086
2014-06-20,18.78972816467285
2014-06-23,18.921396255493164
2014-06-24,18.68903923034668
2014-06-25,18.69678497314453
2014-06-26,18.774234771728516
2014-06-27,18.95237159729004
2014-06-30,19.006589889526367
2014-07-01,18.975605010986328
2014-07-02,19.192472457885742
2014-07-03,19.09178352355957
2014-07-07,19.138259887695312
2014-07-08,18.650314331054688
2014-07-09,18.882665634155273
2014-07-10,18.890413284301758
2014-07-11,18.797473907470703
2014-07-14,18.68903923034668
2014-07-15,18.720020294189453
2014-07-16,18.456684112548828
2014-07-17,18.472177505493164
2014-07-18,18.588356018066406
2014-07-21,18.9368839263916
2014-07-22,19.22344970703125
2014-07-23,17.372364044189453
2014-07-24,17.97648048400879
2014-07-25,18.007465362548828
2014-07-28,18.37148666381836
2014-07-29,18.363746643066406
2014-07-30,18.37148666381836
2014-07-31,18.23207664489746
2014-08-01,18.0229549407959
2014-08-04,17.968740463256836
2014-08-05,18.053932189941406
2014-08-06,18.084918975830078
2014-08-07,17.813833236694336
2014-08-08,17.999719619750977
2014-08-11,18.06168556213379
2014-08-12,18.07717514038086
2014-08-13,18.2630558013916
2014-08-14,17.813833236694336
2014-08-15,17.80609130859375
2014-08-18,18.007465362548828
2014-08-19,18.348251342773438
2014-08-20,18.42569923400879
2014-08-21,18.580602645874023
2014-08-22,18.6270751953125
2014-08-25,18.394725799560547
2014-08-26,18.208839416503906
2014-08-27,17.99197769165039
2014-08-28,18.030866622924805
2014-08-29,18.038646697998047
2014-09-02,18.038646697998047
2014-09-03,17.984195709228516
2014-09-04,18.02309226989746
2014-09-05,18.14754867553711
2014-09-08,18.287569046020508
2014-09-09,18.163103103637695
2014-09-10,18.466468811035156
2014-09-11,18.435359954833984
2014-09-12,18.01530647277832
2014-09-15,17.9141902923584
2014-09-16,17.73527717590332
2014-09-17,17.750839233398438
2014-09-18,17.72750473022461
2014-09-19,17.603044509887695
2014-09-22,17.5797119140625
2014-09-23,17.52526092529297
2014-09-24,17.540813446044922
2014-09-25,17.237451553344727
2014-09-26,17.284114837646484
2014-09-29,17.253005981445312
2014-09-30,17.22966957092285
2014-10-01,16.864072799682617
2014-10-02,17.074100494384766
2014-10-03,17.15966033935547
2014-10-06,16.84851837158203
2014-10-07,16.56070899963379
2014-10-08,16.490705490112305
2014-10-09,16.2884521484375
2014-10-10,14.810517311096191
2014-10-13,14.444920539855957
2014-10-14,14.600495338439941
2014-10-15,14.880525588989258
2014-10-16,14.927196502685547
2014-10-17,15.152771949768066
2014-10-20,15.401683807373047
