,DOV
2014-01-02,52.13929748535156
2014-01-03,52.122886657714844
2014-01-06,51.77801513671875
2014-01-07,51.87107849121094
2014-01-08,51.564537048339844
2014-01-09,51.49336624145508
2014-01-10,51.69593048095703
2014-01-13,50.98979949951172
2014-01-14,52.232364654541016
2014-01-15,52.746910095214844
2014-01-16,52.604591369628906
2014-01-17,52.062679290771484
2014-01-21,52.5608024597168
2014-01-22,52.48963165283203
2014-01-23,51.498844146728516
2014-01-24,49.44612121582031
2014-01-27,49.01914596557617
2014-01-28,49.53370666503906
2014-01-29,49.09032440185547
2014-01-30,48.86588668823242
2014-01-31,47.382450103759766
2014-02-03,45.41181945800781
2014-02-04,45.773109436035156
2014-02-05,45.313289642333984
2014-02-06,45.23666763305664
2014-02-07,46.76936721801758
2014-02-10,46.22744369506836
2014-02-11,46.39713668823242
2014-02-12,46.736534118652344
2014-02-13,46.692726135253906
2014-02-14,47.10874557495117
2014-02-18,47.67803192138672
2014-02-19,47.39339828491211
2014-02-20,48.488182067871094
2014-02-21,48.71261978149414
2014-02-24,48.97537612915039
2014-02-25,49.2654914855957
2014-02-26,49.80192565917969
2014-02-27,50.22890090942383
2014-02-28,51.619285583496094
2014-03-03,52.17515563964844
2014-03-04,52.42581558227539
2014-03-05,52.683048248291016
2014-03-06,53.81099319458008
2014-03-07,54.2661247253418
2014-03-10,54.42442321777344
2014-03-11,54.03525161743164
2014-03-12,53.87954330444336
2014-03-13,53.45545196533203
2014-03-14,52.87895202636719
2014-03-17,53.95906066894531
2014-03-18,54.27712631225586
2014-03-19,54.01206588745117
2014-03-20,53.985565185546875
2014-03-21,53.48857879638672
2014-03-24,53.587989807128906
2014-03-25,53.859649658203125
2014-03-26,53.5482177734375
2014-03-27,53.36929702758789
2014-03-28,53.66748809814453
2014-03-31,54.17109298706055
2014-04-01,54.827117919921875
2014-04-02,56.4240837097168
2014-04-03,56.58312225341797
2014-04-04,55.29759216308594
2014-04-07,54.369903564453125
2014-04-08,54.595211029052734
2014-04-09,55.450008392333984
2014-04-10,54.4560432434082
2014-04-11,53.5283317565918
2014-04-14,54.04520034790039
2014-04-15,54.30363082885742
2014-04-16,55.11869430541992
2014-04-17,56.62950134277344
2014-04-21,56.894561767578125
2014-04-22,57.080116271972656
2014-04-23,57.219242095947266
2014-04-24,57.113243103027344
2014-04-25,56.258419036865234
