,F
2014-01-02,8.919971466064453
2014-01-03,8.96041488647461
2014-01-06,9.00085163116455
2014-01-07,8.885309219360352
2014-01-08,8.977744102478027
2014-01-09,9.151060104370117
2014-01-10,9.283936500549316
2014-01-13,9.307045936584473
2014-01-14,9.474583625793457
2014-01-15,9.647897720336914
2014-01-16,9.665231704711914
2014-01-17,9.543909072875977
2014-01-21,9.480360984802246
2014-01-22,9.561241149902344
2014-01-23,9.491911888122559
2014-01-24,9.145282745361328
2014-01-27,9.075957298278809
2014-01-28,9.081732749938965
2014-01-29,8.88664436340332
2014-01-30,8.880823135375977
2014-01-31,8.711943626403809
2014-02-03,8.47317886352539
2014-02-04,8.659533500671387
2014-02-05,8.578003883361816
2014-02-06,8.647883415222168
2014-02-07,8.717766761779785
2014-02-10,8.64206314086914
2014-02-11,8.711943626403809
2014-02-12,8.735237121582031
2014-02-13,8.781825065612793
2014-02-14,8.875001907348633
2014-02-18,8.96235179901123
2014-02-19,8.880823135375977
2014-02-20,8.892473220825195
2014-02-21,8.828411102294922
2014-02-24,8.840060234069824
2014-02-25,8.822588920593262
2014-02-26,8.88664436340332
2014-02-27,8.96235179901123
2014-02-28,8.96235179901123
2014-03-03,8.851705551147461
2014-03-04,8.95070743560791
2014-03-05,9.102117538452148
2014-03-06,9.125409126281738
2014-03-07,9.096294403076172
2014-03-10,9.032236099243164
2014-03-11,8.909940719604492
2014-03-12,8.968174934387207
2014-03-13,8.840060234069824
2014-03-14,8.781825065612793
2014-03-17,8.898292541503906
2014-03-18,9.020589828491211
2014-03-19,9.014763832092285
2014-03-20,9.05552864074707
2014-03-21,9.008939743041992
2014-03-24,8.96235179901123
2014-03-25,8.927412033081055
2014-03-26,8.880823135375977
2014-03-27,8.880823135375977
2014-03-28,8.997294425964355
2014-03-31,9.084647178649902
2014-04-01,9.503938674926758
2014-04-02,9.585466384887695
2014-04-03,9.544700622558594
2014-04-04,9.393289566040039
2014-04-07,9.282647132873535
2014-04-08,9.375822067260742
