,JPM
2014-01-02,43.285343170166016
2014-01-03,43.6199951171875
2014-01-06,43.8728141784668
2014-01-07,43.36716079711914
2014-01-08,43.7761344909668
2014-01-09,43.6943359375
2014-01-10,43.49357604980469
2014-01-13,42.9061164855957
2014-01-14,42.93587112426758
2014-01-15,44.237178802490234
2014-01-16,43.865379333496094
2014-01-17,43.210994720458984
2014-01-21,43.255615234375
2014-01-22,42.82432174682617
2014-01-23,41.99148941040039
2014-01-24,40.965309143066406
2014-01-27,40.965309143066406
2014-01-28,41.44865417480469
2014-01-29,41.292484283447266
2014-01-30,41.64198684692383
2014-01-31,41.166080474853516
2014-02-03,40.38529586791992
2014-02-04,40.861202239990234
2014-02-05,41.05454635620117
2014-02-06,41.99892044067383
2014-02-07,42.10302734375
2014-02-10,42.19226837158203
2014-02-11,42.705352783203125
2014-02-12,42.77226257324219
2014-02-13,43.15150833129883
2014-02-14,43.2407341003418
2014-02-18,43.49357604980469
2014-02-19,42.57893371582031
2014-02-20,42.816898345947266
2014-02-21,42.839202880859375
2014-02-24,43.15150833129883
2014-02-25,42.407894134521484
2014-02-26,42.1996955871582
2014-02-27,42.15507507324219
2014-02-28,42.251747131347656
2014-03-03,41.79814910888672
2014-03-04,42.57893371582031
2014-03-05,43.248172760009766
2014-03-06,43.798465728759766
2014-03-07,44.170249938964844
2014-03-10,44.02152633666992
2014-03-11,43.270484924316406
2014-03-12,43.0697135925293
2014-03-13,42.69791793823242
2014-03-14,42.23686981201172
2014-03-17,42.816898345947266
2014-03-18,43.173824310302734
2014-03-19,43.352272033691406
2014-03-20,44.698204040527344
2014-03-21,44.742828369140625
2014-03-24,45.41207504272461
2014-03-25,45.30796432495117
2014-03-26,44.54203796386719
2014-03-27,44.556915283203125
2014-03-28,44.646156311035156
2014-03-31,45.14438247680664
2014-04-01,45.11463165283203
2014-04-02,45.256805419921875
2014-04-03,45.391510009765625
2014-04-04,44.75545883178711
2014-04-07,44.14933776855469
2014-04-08,44.03709030151367
2014-04-09,44.35136795043945
2014-04-10,42.95206069946289
2014-04-11,41.380645751953125
2014-04-14,41.126220703125
2014-04-15,41.006507873535156
2014-04-16,41.35071563720703
2014-04-17,41.320770263671875
2014-04-21,41.17859649658203
2014-04-22,41.76227569580078
2014-04-23,41.94186019897461
2014-04-24,42.04661560058594
2014-04-25,41.67996597290039
2014-04-28,41.522830963134766
2014-04-29,41.979278564453125
2014-04-30,41.88948440551758
2014-05-01,41.69493103027344
2014-05-02,41.590179443359375
2014-05-05,40.57249069213867
2014-05-06,39.91398620605469
2014-05-07,40.44527053833008
2014-05-08,40.67724609375
2014-05-09,40.415348052978516
2014-05-12,40.89426040649414
2014-05-13,40.87180709838867
2014-05-14,40.67724609375
2014-05-15,40.041202545166016
2014-05-16,39.89154815673828
2014-05-19,40.280662536621094
2014-05-20,40.198341369628906
2014-05-21,40.49765396118164
2014-05-22,40.81942367553711
2014-05-23,40.80445861816406
2014-05-27,41.26091766357422
2014-05-28,41.49290466308594
2014-05-29,41.69493103027344
2014-05-30,41.58268356323242
2014-06-02,41.41807174682617
2014-06-03,41.60513687133789
2014-06-04,41.665000915527344
2014-06-05,42.375885009765625
2014-06-06,42.63029861450195
2014-06-09,42.967037200927734
2014-06-10,43.32621383666992
2014-06-11,42.85478591918945
2014-06-12,42.68267822265625
2014-06-13,42.68267822265625
2014-06-16,42.555458068847656
2014-06-17,42.967037200927734
2014-06-18,43.23640823364258
2014-06-19,42.877227783203125
2014-06-20,43.06431579589844
2014-06-23,43.543212890625
2014-06-24,42.967037200927734
2014-06-25,43.04934310913086
2014-06-26,42.944583892822266
2014-06-27,43.04934310913086
2014-06-30,43.1166877746582
2014-07-01,43.38043212890625
2014-07-02,42.928306579589844
2014-07-03,42.98858642578125
2014-07-07,42.702247619628906
2014-07-08,42.016536712646484
2014-07-09,42.212459564208984
2014-07-10,41.86583709716797
2014-07-11,42.04667663574219
2014-07-14,42.4159049987793
2014-07-15,43.90787887573242
2014-07-16,44.23944854736328
2014-07-17,43.59894561767578
2014-07-18,43.87773513793945
2014-07-21,43.885292053222656
2014-07-22,44.20928955078125
2014-07-23,44.45796585083008
2014-07-24,44.586055755615234
2014-07-25,44.465492248535156
2014-07-28,44.601131439208984
2014-07-29,44.186683654785156
2014-07-30,44.39013671875
2014-07-31,43.455780029296875
2014-08-01,42.559078216552734
2014-08-04,42.68718338012695
