,WDC
2014-01-02,68.38368225097656
2014-01-03,68.87992095947266
2014-01-06,68.55733489990234
2014-01-07,70.84010314941406
2014-01-08,71.46868133544922
2014-01-09,70.23632049560547
2014-01-10,70.68297576904297
2014-01-13,69.97993469238281
2014-01-14,72.6927719116211
2014-01-15,73.59431457519531
2014-01-16,73.56948852539062
2014-01-17,73.46199035644531
2014-01-21,73.49505615234375
2014-01-22,72.84992980957031
2014-01-23,71.9980239868164
2014-01-24,70.30250549316406
2014-01-27,69.96338653564453
2014-01-28,68.954345703125
2014-01-29,69.64082336425781
2014-01-30,71.90707397460938
2014-01-31,71.27019500732422
2014-02-03,69.06185150146484
2014-02-04,69.06185150146484
2014-02-05,68.43329620361328
2014-02-06,68.93780517578125
2014-02-07,70.03782653808594
2014-02-10,70.04610443115234
2014-02-11,70.19497680664062
2014-02-12,71.18748474121094
2014-02-13,71.68373107910156
2014-02-14,71.7168197631836
2014-02-18,71.41079711914062
2014-02-19,70.6746826171875
2014-02-20,71.32808685302734
2014-02-21,72.79205322265625
2014-02-24,73.2800064086914
2014-02-25,72.6100845336914
2014-02-26,73.84246063232422
2014-02-27,73.13114929199219
2014-02-28,71.94840240478516
2014-03-03,72.7010498046875
2014-03-04,73.41236114501953
2014-03-05,73.05671691894531
2014-03-06,71.7250747680664
2014-03-07,69.68219757080078
2014-03-10,70.39347076416016
2014-03-11,68.82200622558594
2014-03-12,69.60774993896484
2014-03-13,69.64909362792969
2014-03-14,70.31903076171875
2014-03-17,70.41829681396484
2014-03-18,71.39425659179688
2014-03-19,71.02206420898438
2014-03-20,72.7754898071289
2014-03-21,73.29656982421875
2014-03-24,72.7672348022461
2014-03-25,74.31388854980469
2014-03-26,74.13129425048828
2014-03-27,74.43836212158203
2014-03-28,74.19770812988281
2014-03-31,76.19764709472656
2014-04-01,77.6250228881836
2014-04-02,78.12293243408203
2014-04-03,77.55862426757812
2014-04-04,75.1022720336914
2014-04-07,74.3553695678711
2014-04-08,75.50057220458984
2014-04-09,75.72464752197266
2014-04-10,73.16867065429688
2014-04-11,73.20187377929688
2014-04-14,74.97775268554688
2014-04-15,74.16448974609375
2014-04-16,74.91967010498047
2014-04-17,75.55867004394531
2014-04-21,76.56280517578125
2014-04-22,76.42171478271484
2014-04-23,75.0524673461914
2014-04-24,74.5213623046875
2014-04-25,72.83672332763672
2014-04-28,72.63755798339844
2014-04-29,72.57117462158203
2014-04-30,73.09400939941406
2014-05-01,68.28081512451172
2014-05-02,69.44261169433594
2014-05-05,69.62518310546875
2014-05-06,70.04840850830078
2014-05-07,69.16874694824219
2014-05-08,69.36790466308594
2014-05-09,68.00694274902344
2014-05-12,68.43017578125
2014-05-13,68.5463638305664
2014-05-14,70.81188201904297
2014-05-15,70.78699493408203
2014-05-16,71.29320526123047
2014-05-19,70.7952651977539
2014-05-20,69.57537078857422
2014-05-21,69.42601776123047
2014-05-22,69.40940856933594
