,PM
2014-01-02,49.817420959472656
2014-01-03,49.53363800048828
2014-01-06,49.186153411865234
2014-01-07,49.04138946533203
2014-01-08,48.224769592285156
2014-01-09,48.247955322265625
2014-01-10,47.81938171386719
2014-01-13,47.74989700317383
2014-01-14,47.74989700317383
2014-01-15,48.11476135253906
2014-01-16,48.948707580566406
2014-01-17,48.25953674316406
2014-01-21,48.641761779785156
2014-01-22,48.75759506225586
2014-01-23,48.38114547729492
2014-01-24,47.19971466064453
2014-01-27,46.78272247314453
2014-01-28,46.80010986328125
2014-01-29,46.00669860839844
2014-01-30,45.803985595703125
2014-01-31,45.25381851196289
2014-02-03,43.66119384765625
2014-02-04,44.52408981323242
2014-02-05,44.535682678222656
2014-02-06,45.23644256591797
2014-02-07,46.475791931152344
2014-02-10,45.64183044433594
2014-02-11,46.01826095581055
2014-02-12,45.42755126953125
2014-02-13,45.8908576965332
2014-02-14,46.55686950683594
2014-02-18,46.3367919921875
2014-02-19,46.099365234375
2014-02-20,46.16304397583008
2014-02-21,45.73448944091797
2014-02-24,45.850318908691406
2014-02-25,46.29046630859375
2014-02-26,46.04144287109375
2014-02-27,46.78272247314453
2014-02-28,46.85801696777344
2014-03-03,46.59162139892578
2014-03-04,47.24605178833008
2014-03-05,46.95068359375
2014-03-06,46.85801696777344
2014-03-07,46.52790451049805
2014-03-10,46.580020904541016
2014-03-11,46.05302047729492
2014-03-12,45.850318908691406
2014-03-13,45.88507843017578
2014-03-14,46.26729965209961
2014-03-17,46.4931640625
2014-03-18,46.60319900512695
2014-03-19,46.13410568237305
2014-03-20,46.580020904541016
2014-03-21,46.91014862060547
2014-03-24,46.574249267578125
2014-03-25,46.996158599853516
2014-03-26,47.12507247924805
2014-03-27,46.91997528076172
2014-03-28,47.47666549682617
2014-03-31,47.974761962890625
2014-04-01,48.17398452758789
2014-04-02,48.32046890258789
2014-04-03,48.21501159667969
2014-04-04,48.52558898925781
2014-04-07,48.57246780395508
2014-04-08,49.11743927001953
2014-04-09,49.152591705322266
2014-04-10,48.941619873046875
2014-04-11,48.71895217895508
2014-04-14,49.322532653808594
2014-04-15,49.445579528808594
2014-04-16,49.685848236083984
2014-04-17,48.72481155395508
2014-04-21,48.92992401123047
2014-04-22,48.95335388183594
2014-04-23,48.842018127441406
2014-04-24,48.92404556274414
2014-04-25,49.287357330322266
2014-04-28,49.79718780517578
2014-04-29,49.92023849487305
2014-04-30,50.06086349487305
2014-05-01,50.23081588745117
2014-05-02,50.03155517578125
2014-05-05,50.008121490478516
2014-05-06,49.972965240478516
2014-05-07,50.277687072753906
2014-05-08,50.5179328918457
2014-05-09,50.629276275634766
2014-05-12,50.4710578918457
2014-05-13,50.353878021240234
2014-05-14,50.24837875366211
2014-05-15,50.00226974487305
2014-05-16,50.260101318359375
2014-05-19,50.2425422668457
2014-05-20,49.937808990478516
2014-05-21,50.482791900634766
2014-05-22,50.5648307800293
2014-05-23,50.72890090942383
2014-05-27,50.92812728881836
2014-05-28,51.18596267700195
2014-05-29,51.783668518066406
2014-05-30,51.8832893371582
2014-06-02,51.75437927246094
2014-06-03,51.50239562988281
2014-06-04,51.54927062988281
2014-06-05,51.508277893066406
2014-06-06,51.76026153564453
2014-06-09,51.76026153564453
2014-06-10,51.79538345336914
2014-06-11,51.82468795776367
2014-06-12,51.707496643066406
2014-06-13,51.83053970336914
2014-06-16,52.17041778564453
2014-06-17,52.00048065185547
2014-06-18,52.668514251708984
2014-06-19,53.5240592956543
2014-06-20,53.406856536865234
2014-06-23,52.99079895019531
2014-06-24,52.91975402832031
2014-06-25,52.635528564453125
2014-06-26,51.21437072753906
2014-06-27,50.24325942993164
2014-06-30,49.92348861694336
2014-07-01,49.86429214477539
2014-07-02,50.24919128417969
2014-07-03,50.74068069458008
2014-07-07,50.97160720825195
2014-07-08,51.0959587097168
2014-07-09,50.94198989868164
2014-07-10,50.27287292480469
2014-07-11,50.574859619140625
2014-07-14,50.894630432128906
2014-07-15,50.08930206298828
2014-07-16,50.15443420410156
2014-07-17,50.065616607666016
2014-07-18,50.93605422973633
2014-07-21,50.66960906982422
2014-07-22,50.55708694458008
2014-07-23,50.37945556640625
2014-07-24,50.6518440246582
2014-07-25,50.24325942993164
2014-07-28,50.024173736572266
2014-07-29,50.12485122680664
2014-07-30,49.26029968261719
2014-07-31,48.56157684326172
2014-08-01,48.49644088745117
2014-08-04,48.632633209228516
2014-08-05,48.30696487426758
2014-08-06,49.43204116821289
2014-08-07,48.97605895996094
2014-08-08,49.645179748535156
2014-08-11,49.94718933105469
2014-08-12,49.84651184082031
2014-08-13,50.01824188232422
2014-08-14,50.29062271118164
2014-08-15,50.036014556884766
2014-08-18,50.326148986816406
2014-08-19,50.55708694458008
2014-08-20,50.3853874206543
2014-08-21,50.4208869934082
2014-08-22,49.9412727355957
2014-08-25,50.44459915161133
2014-08-26,50.48603057861328
2014-08-27,50.48011016845703
2014-08-28,50.48603057861328
2014-08-29,50.67552947998047
2014-09-02,50.62223815917969
2014-09-03,50.568939208984375
2014-09-04,50.326148986816406
2014-09-05,50.598548889160156
2014-09-08,49.73994064331055
2014-09-09,49.639278411865234
2014-09-10,49.852455139160156
2014-09-11,50.036014556884766
2014-09-12,49.75179672241211
2014-09-15,49.85836410522461
2014-09-16,50.225494384765625
2014-09-17,50.27287292480469
2014-09-18,50.166282653808594
2014-09-19,50.65776062011719
2014-09-22,50.95383834838867
2014-09-23,50.12108612060547
2014-09-24,50.59437561035156
2014-09-25,50.14503479003906
2014-09-26,49.863460540771484
2014-09-29,49.5219841003418
2014-09-30,49.96531677246094
2014-10-01,50.00724411010742
2014-10-02,50.45057678222656
2014-10-03,50.63032531738281
2014-10-06,50.666259765625
2014-10-07,50.31279373168945
2014-10-08,50.95981979370117
2014-10-09,50.27684783935547
2014-10-10,50.4925422668457
2014-10-13,50.3667106628418
2014-10-14,50.13904571533203
2014-10-15,50.07315444946289
2014-10-16,51.07965850830078
2014-10-17,51.52297592163086
2014-10-20,52.08015441894531
2014-10-21,52.391693115234375
2014-10-22,52.48154830932617
2014-10-23,52.493534088134766
2014-10-24,52.757137298583984
2014-10-27,52.745155334472656
2014-10-28,52.88294982910156
2014-10-29,52.667293548583984
2014-10-30,52.930885314941406
2014-10-31,53.3263053894043
2014-11-03,53.43412399291992
2014-11-04,53.58988952636719
2014-11-05,53.859500885009766
2014-11-06,52.4216423034668
2014-11-07,52.793094635009766
2014-11-10,52.972808837890625
2014-11-11,52.775115966796875
2014-11-12,52.661285400390625
2014-11-13,52.6373176574707
2014-11-14,51.690738677978516
2014-11-17,52.30183410644531
2014-11-18,52.19997024536133
2014-11-19,52.020259857177734
2014-11-20,51.409141540527344
2014-11-21,52.12208557128906
2014-11-24,51.822540283203125
2014-11-25,51.702728271484375
2014-11-26,51.88245391845703
2014-11-28,52.08015441894531
2014-12-01,51.822540283203125
2014-12-02,52.355751037597656
2014-12-03,52.51149368286133
2014-12-04,52.211952209472656
2014-12-05,52.205955505371094
2014-12-08,51.99628448486328
2014-12-09,51.858463287353516
2014-12-10,51.28334426879883
2014-12-11,51.50501251220703
2014-12-12,50.57638931274414
2014-12-15,49.39616012573242
2014-12-16,48.761112213134766
2014-12-17,49.036705017089844
2014-12-18,50.336761474609375
2014-12-19,49.755619049072266
2014-12-22,50.31351852416992
2014-12-23,50.513641357421875
2014-12-24,50.42266845703125
2014-12-26,50.53790283203125
2014-12-29,50.45298385620117
2014-12-30,50.02851486206055
2014-12-31,49.39176940917969
2015-01-02,49.131019592285156
2015-01-05,48.7611198425293
2015-01-06,49.179534912109375
2015-01-07,49.5494499206543
2015-01-08,50.29532241821289
2015-01-09,50.161930084228516
2015-01-12,50.362022399902344
2015-01-13,50.39234924316406
2015-01-14,50.586395263671875
2015-01-15,50.2225456237793
2015-01-16,50.149784088134766
2015-01-20,50.68342590332031
2015-01-21,51.271636962890625
2015-01-22,51.641536712646484
2015-01-23,50.2225456237793
2015-01-26,50.362022399902344
2015-01-27,49.48273849487305
2015-01-28,48.86421203613281
2015-01-29,49.25230026245117
2015-01-30,48.65803146362305
2015-02-02,49.50092697143555
2015-02-03,49.870849609375
2015-02-04,49.77381134033203
2015-02-05,50.07094955444336
2015-02-06,49.28261947631836
2015-02-09,49.01580047607422
2015-02-10,49.16741943359375
2015-02-11,50.016387939453125
2015-02-12,50.7501220703125
2015-02-13,50.252872467041016
2015-02-17,50.15585708618164
2015-02-18,50.33171463012695
2015-02-19,50.10129165649414
2015-02-20,50.35595703125
2015-02-23,50.265010833740234
2015-02-24,50.6409797668457
2015-02-25,50.61671829223633
2015-02-26,50.210411071777344
2015-02-27,50.307456970214844
2015-03-02,50.3013801574707
2015-03-03,50.149784088134766
2015-03-04,49.828407287597656
2015-03-05,49.5494499206543
2015-03-06,48.54281997680664
2015-03-09,48.78537368774414
2015-03-10,48.05769348144531
2015-03-11,47.19052505493164
2015-03-12,47.74235916137695
2015-03-13,47.087432861328125
2015-03-16,47.23297882080078
2015-03-17,47.23297882080078
2015-03-18,47.63927459716797
2015-03-19,47.821189880371094
2015-03-20,48.17897033691406
2015-03-23,48.42758560180664
2015-03-24,47.61083984375
2015-03-25,47.10114669799805
2015-03-26,46.880069732666016
2015-03-27,47.15641784667969
2015-03-30,47.19940185546875
2015-03-31,46.25983428955078
2015-04-01,46.71426010131836
2015-04-02,47.445045471191406
2015-04-06,48.02228927612305
2015-04-07,47.73981857299805
2015-04-08,47.43275451660156
2015-04-09,47.81349563598633
2015-04-10,47.83807373046875
2015-04-13,47.524871826171875
2015-04-14,47.96702194213867
2015-04-15,47.97929763793945
2015-04-16,52.17359924316406
2015-04-17,52.357810974121094
2015-04-20,52.18586349487305
2015-04-21,51.61476516723633
2015-04-22,51.3936653137207
2015-04-23,51.307701110839844
2015-04-24,50.81642150878906
2015-04-27,50.41111755371094
2015-04-28,50.896240234375
2015-04-29,50.804141998291016
2015-04-30,51.258575439453125
2015-05-01,51.20944595336914
2015-05-04,51.09891128540039
2015-05-05,50.853275299072266
2015-05-06,51.50422286987305
2015-05-07,51.59018325805664
2015-05-08,52.314823150634766
2015-05-11,51.66387939453125
2015-05-12,51.66387939453125
2015-05-13,51.909507751464844
2015-05-14,53.2973747253418
2015-05-15,53.162261962890625
2015-05-18,52.8306770324707
2015-05-19,52.60344314575195
2015-05-20,52.44993591308594
2015-05-21,52.284122467041016
2015-05-22,51.67617416381836
2015-05-26,51.41209411621094
2015-05-27,51.719154357910156
2015-05-28,51.74370574951172
2015-05-29,51.012935638427734
2015-06-01,51.086631774902344
2015-06-02,50.939247131347656
2015-06-03,50.61376953125
2015-06-04,50.251468658447266
2015-06-05,48.94343185424805
2015-06-08,49.21977615356445
2015-06-09,49.5882453918457
2015-06-10,50.5339469909668
2015-06-11,50.50937271118164
2015-06-12,50.26987838745117
2015-06-15,49.907569885253906
2015-06-16,50.24531555175781
2015-06-17,50.251468658447266
2015-06-18,51.037513732910156
2015-06-19,50.76116943359375
2015-06-22,51.04977798461914
2015-06-23,50.5711669921875
2015-06-24,50.22930908203125
2015-06-25,50.533878326416016
2015-06-26,50.56495666503906
2015-06-29,49.8004264831543
2015-06-30,49.83150100708008
2015-07-01,50.533878326416016
2015-07-02,50.45307159423828
2015-07-06,50.471710205078125
2015-07-07,51.24246597290039
2015-07-08,50.70170593261719
2015-07-09,50.49660110473633
2015-07-10,51.06843566894531
2015-07-13,51.205162048339844
2015-07-14,51.39165115356445
2015-07-15,51.38542938232422
2015-07-16,53.01395034790039
2015-07-17,53.349605560302734
2015-07-20,53.21287155151367
2015-07-21,53.16933059692383
2015-07-22,53.156917572021484
2015-07-23,53.10098648071289
2015-07-24,52.616153717041016
2015-07-27,53.16312789916992
2015-07-28,53.206642150878906
2015-07-29,53.11341094970703
2015-07-30,53.076114654541016
2015-07-31,53.16312789916992
2015-08-03,53.24393844604492
2015-08-04,53.349605560302734
2015-08-05,53.386905670166016
2015-08-06,53.30609130859375
2015-08-07,52.88964080810547
2015-08-10,53.37446212768555
2015-08-11,53.12583541870117
2015-08-12,53.231502532958984
2015-08-13,52.622379302978516
2015-08-14,52.37373352050781
2015-08-17,52.398597717285156
2015-08-18,52.224552154541016
2015-08-19,52.05051803588867
2015-08-20,51.640262603759766
2015-08-21,50.334983825683594
2015-08-24,48.694026947021484
2015-08-25,48.10352325439453
2015-08-26,49.570438385009766
2015-08-27,50.210662841796875
2015-08-28,49.94338607788086
2015-08-31,49.60152053833008
2015-09-01,48.34593963623047
2015-09-02,48.917781829833984
2015-09-03,49.38396072387695
2015-09-04,48.041378021240234
2015-09-08,49.5766487121582
2015-09-09,48.650508880615234
2015-09-10,49.02345275878906
2015-09-11,49.39640808105469
2015-09-14,49.321807861328125
2015-09-15,50.22930908203125
2015-09-16,51.0311393737793
2015-09-17,51.01871109008789
2015-09-18,50.48414611816406
2015-09-21,51.043556213378906
2015-09-22,50.20444107055664
2015-09-23,49.99311828613281
2015-09-24,49.980682373046875
2015-09-25,50.09878158569336
2015-09-28,49.67698287963867
2015-09-29,49.50700378417969
2015-09-30,49.94138717651367
2015-10-01,50.02322769165039
2015-10-02,50.33171081542969
2015-10-05,51.439693450927734
2015-10-06,51.30118942260742
2015-10-07,52.04404830932617
2015-10-08,52.97578048706055
2015-10-09,52.92540740966797
2015-10-12,53.296852111816406
2015-10-13,53.13946533203125
2015-10-14,53.18352508544922
2015-10-15,54.18449401855469
2015-10-16,55.26100540161133
2015-10-19,55.66390609741211
2015-10-20,55.852760314941406
2015-10-21,56.01645278930664
2015-10-22,56.375282287597656
2015-10-23,56.425655364990234
2015-10-26,56.46971893310547
2015-10-27,55.91573715209961
2015-10-28,56.28085708618164
2015-10-29,56.19272994995117
2015-10-30,55.651309967041016
2015-11-02,55.909420013427734
2015-11-03,55.613555908203125
2015-11-04,55.44357681274414
2015-11-05,55.50022888183594
2015-11-06,54.373355865478516
2015-11-09,53.66825866699219
2015-11-10,53.485713958740234
2015-11-11,53.54236602783203
2015-11-12,52.89392852783203
2015-11-13,52.50361251831055
2015-11-16,53.101680755615234
2015-11-17,52.78060531616211
2015-11-18,53.78159713745117
2015-11-19,54.29780578613281
2015-11-20,54.13412857055664
2015-11-23,54.51184844970703
2015-11-24,54.70700454711914
2015-11-25,54.876991271972656
2015-11-27,55.03437805175781
2015-11-30,55.01548385620117
2015-12-01,55.26100540161133
2015-12-02,54.95882797241211
2015-12-03,54.98399353027344
2015-12-04,56.46971893310547
2015-12-07,55.89683532714844
2015-12-08,55.88423538208008
2015-12-09,55.41209411621094
2015-12-10,55.229522705078125
2015-12-11,54.34187316894531
2015-12-14,54.87070083618164
2015-12-15,55.298770904541016
2015-12-16,56.75299835205078
2015-12-17,56.07939910888672
2015-12-18,54.719600677490234
2015-12-21,55.178253173828125
2015-12-22,55.84074401855469
2015-12-23,56.74531173706055
2015-12-24,56.60515594482422
2015-12-28,56.43315124511719
2015-12-29,56.92367935180664
2015-12-30,56.68161392211914
2015-12-31,56.000003814697266
2016-01-04,55.420318603515625
2016-01-05,55.97452163696289
2016-01-06,55.961769104003906
2016-01-07,55.579559326171875
2016-01-08,55.235572814941406
2016-01-11,56.80265808105469
2016-01-12,56.75166702270508
2016-01-13,56.25478744506836
2016-01-14,55.98086166381836
2016-01-15,54.96805191040039
2016-01-19,55.71969985961914
2016-01-20,54.69412612915039
2016-01-21,54.65589904785156
2016-01-22,55.337501525878906
2016-01-25,55.21648406982422
2016-01-26,55.617794036865234
2016-01-27,56.114654541015625
2016-01-28,56.7325553894043
2016-01-29,57.337738037109375
2016-02-01,56.955528259277344
2016-02-02,56.91730880737305
2016-02-03,57.197574615478516
2016-02-04,56.758056640625
2016-02-05,57.04468536376953
2016-02-08,57.153018951416016
2016-02-09,57.3441047668457
2016-02-10,56.84086227416992
2016-02-11,56.27392578125
2016-02-12,56.7325553894043
2016-02-16,57.407806396484375
2016-02-17,58.114898681640625
2016-02-18,58.38242721557617
2016-02-19,58.56717300415039
2016-02-22,58.94937515258789
2016-02-23,58.63725280761719
2016-02-24,58.26140594482422
2016-02-25,58.89204788208008
2016-02-26,58.25504684448242
2016-02-29,57.98750686645508
2016-03-01,58.312347412109375
2016-03-02,58.32511520385742
2016-03-03,59.40802001953125
2016-03-04,60.19157028198242
2016-03-07,59.81571960449219
2016-03-08,60.16606903076172
2016-03-09,61.159828186035156
2016-03-10,61.68853759765625
2016-03-11,61.465576171875
2016-03-14,61.43375015258789
2016-03-15,61.43375015258789
2016-03-16,61.905120849609375
2016-03-17,63.00080490112305
2016-03-18,62.53578567504883
2016-03-21,62.803314208984375
2016-03-22,62.26905822753906
2016-03-23,62.48148727416992
2016-03-24,62.803314208984375
2016-03-28,62.989986419677734
2016-03-29,63.633663177490234
2016-03-30,63.52425765991211
2016-03-31,63.15090560913086
2016-04-01,64.20653533935547
2016-04-04,64.59916687011719
2016-04-05,64.53479766845703
2016-04-06,65.12054443359375
2016-04-07,64.74078369140625
2016-04-08,64.93387603759766
2016-04-11,64.57986450195312
2016-04-12,65.41664123535156
2016-04-13,64.57986450195312
2016-04-14,64.21295928955078
2016-04-15,64.43827056884766
2016-04-18,64.75364685058594
2016-04-19,63.90399169921875
2016-04-20,63.16376876831055
2016-04-21,62.06309127807617
2016-04-22,62.38492202758789
2016-04-25,62.77756881713867
2016-04-26,62.59089660644531
2016-04-27,62.610206604003906
2016-04-28,62.66168975830078
2016-04-29,63.1573486328125
2016-05-02,63.44055938720703
2016-05-03,63.414791107177734
2016-05-04,63.5821647644043
2016-05-05,63.839630126953125
2016-05-06,64.57342529296875
2016-05-09,64.61849212646484
2016-05-10,65.58399963378906
2016-05-11,65.52604675292969
2016-05-12,65.77066040039062
2016-05-13,64.9403305053711
2016-05-16,65.46813201904297
2016-05-17,64.26447296142578
2016-05-18,63.69157791137695
2016-05-19,63.31182098388672
2016-05-20,63.105865478515625
2016-05-23,63.26029586791992
2016-05-24,63.62078857421875
2016-05-25,63.75594711303711
2016-05-26,63.73020935058594
2016-05-27,63.839630126953125
2016-05-31,63.51780700683594
2016-06-01,63.98126220703125
2016-06-02,63.89112091064453
2016-06-03,65.08836364746094
2016-06-06,64.57342529296875
2016-06-07,64.66353607177734
2016-06-08,65.47459411621094
2016-06-09,65.51319122314453
2016-06-10,65.20423126220703
2016-06-13,64.73434448242188
2016-06-14,64.29666137695312
2016-06-15,64.1421890258789
2016-06-16,64.4639892578125
2016-06-17,64.83734130859375
2016-06-20,65.36512756347656
2016-06-21,65.57318878173828
2016-06-22,65.69027709960938
2016-06-23,66.25590515136719
2016-06-24,63.531551361083984
2016-06-27,63.85017013549805
2016-06-28,64.07124328613281
2016-06-29,64.12324523925781
2016-06-30,66.1388931274414
2016-07-01,65.85279846191406
2016-07-05,66.47698974609375
2016-07-06,66.55500793457031
2016-07-07,66.17789459228516
2016-07-08,67.0296630859375
2016-07-11,67.21821594238281
2016-07-12,66.9061279296875
2016-07-13,67.12720489501953
2016-07-14,67.0947036743164
2016-07-15,67.38077545166016
2016-07-18,66.97116088867188
2016-07-19,64.94902038574219
2016-07-20,64.79298400878906
2016-07-21,64.6434326171875
2016-07-22,64.91649627685547
2016-07-25,64.83198547363281
2016-07-26,64.34431457519531
2016-07-27,63.284481048583984
2016-07-28,64.43534088134766
2016-07-29,65.18959045410156
2016-08-01,65.1180648803711
2016-08-02,65.00102996826172
2016-08-03,64.38983917236328
2016-08-04,64.37034606933594
2016-08-05,64.32481384277344
2016-08-08,64.07775115966797
2016-08-09,63.98020935058594
2016-08-10,64.4808578491211
2016-08-11,64.279296875
2016-08-12,64.37034606933594
2016-08-15,64.11674499511719
2016-08-16,64.67593383789062
2016-08-17,65.20909881591797
2016-08-18,65.24162292480469
2016-08-19,64.97502136230469
2016-08-22,65.09857177734375
2016-08-23,65.27413940429688
2016-08-24,65.10506439208984
2016-08-25,64.91649627685547
2016-08-26,64.43534088134766
2016-08-29,65.18959045410156
2016-08-30,65.00102996826172
2016-08-31,64.97502136230469
2016-09-01,65.42366027832031
2016-09-02,66.17140197753906
2016-09-06,66.55500793457031
2016-09-07,66.37947082519531
2016-09-08,65.8788070678711
2016-09-09,63.42103958129883
2016-09-12,65.43666076660156
2016-09-13,64.32481384277344
2016-09-14,64.12324523925781
2016-09-15,64.85798645019531
2016-09-16,64.26629638671875
2016-09-19,64.25328826904297
2016-09-20,64.5068588256836
2016-09-21,65.44316101074219
2016-09-22,66.1388931274414
2016-09-23,66.01536560058594
2016-09-26,65.12847900390625
2016-09-27,65.25331115722656
2016-09-28,65.30586242675781
2016-09-29,64.23506164550781
2016-09-30,63.86716842651367
2016-10-03,63.99856185913086
2016-10-04,63.131404876708984
2016-10-05,62.85550308227539
2016-10-06,62.82923126220703
2016-10-07,63.078861236572266
2016-10-10,63.229942321777344
2016-10-11,62.75038146972656
2016-10-12,63.12483596801758
2016-10-13,63.19709396362305
2016-10-14,62.95404052734375
2016-10-17,62.743812561035156
