,AMAT
2014-01-02,15.161109924316406
2014-01-03,15.126561164855957
2014-01-06,14.936503410339355
2014-01-07,15.005622863769531
2014-01-08,15.048809051513672
2014-01-09,15.031532287597656
2014-01-10,15.092009544372559
2014-01-13,14.962422370910645
2014-01-14,15.230228424072266
2014-01-15,15.489386558532715
2014-01-16,15.230228424072266
2014-01-17,15.161109924316406
2014-01-21,15.21295166015625
2014-01-22,15.256145477294922
2014-01-23,15.14383316040039
2014-01-24,14.832834243774414
2014-01-27,14.444090843200684
2014-01-28,14.470015525817871
2014-01-29,14.45273208618164
2014-01-30,14.495927810668945
2014-01-31,14.530484199523926
2014-02-03,14.478647232055664
2014-02-04,14.495927810668945
2014-02-05,14.590951919555664
2014-02-06,14.729172706604004
2014-02-07,14.841477394104004
2014-02-10,14.90195369720459
2014-02-11,15.359811782836914
2014-02-12,15.472112655639648
2014-02-13,16.301441192626953
2014-02-14,16.46644401550293
2014-02-18,16.370914459228516
2014-02-19,16.284072875976562
2014-02-20,16.492507934570312
2014-02-21,16.588035583496094
2014-02-24,16.561979293823242
2014-02-25,16.51856231689453
2014-02-26,16.588035583496094
2014-02-27,16.509870529174805
2014-02-28,16.46644401550293
2014-03-03,16.24932861328125
2014-03-04,16.362232208251953
2014-03-05,16.648832321166992
2014-03-06,16.83121109008789
2014-03-07,17.05702781677246
2014-03-10,16.83121109008789
2014-03-11,16.61409568786621
2014-03-12,16.944110870361328
2014-03-13,16.3969669342041
2014-03-14,16.258010864257812
2014-03-17,16.483816146850586
2014-03-18,16.822525024414062
2014-03-19,16.90937614440918
2014-03-20,17.534679412841797
2014-03-21,17.51731300354004
2014-03-24,17.456525802612305
2014-03-25,17.682323455810547
2014-03-26,17.248085021972656
2014-03-27,17.100446701049805
2014-03-28,17.5260009765625
2014-03-31,17.734434127807617
2014-04-01,17.908132553100586
2014-04-02,18.055776596069336
2014-04-03,18.099199295043945
2014-04-04,17.5867919921875
2014-04-07,17.395729064941406
2014-04-08,17.239397048950195
2014-04-09,17.360986709594727
2014-04-10,16.5793514251709
2014-04-11,16.605409622192383
2014-04-14,16.51856231689453
2014-04-15,16.37960433959961
2014-04-16,16.431713104248047
2014-04-17,16.492507934570312
2014-04-21,16.62277603149414
2014-04-22,16.813844680786133
2014-04-23,16.718311309814453
2014-04-24,16.822525024414062
2014-04-25,16.171159744262695
2014-04-28,16.21458625793457
2014-04-29,16.561979293823242
2014-04-30,16.55329704284668
2014-05-01,16.3969669342041
2014-05-02,16.46644401550293
2014-05-05,16.475130081176758
2014-05-06,16.37960433959961
2014-05-07,16.492507934570312
2014-05-08,16.779102325439453
2014-05-09,16.770418167114258
2014-05-12,16.90937614440918
2014-05-13,16.596721649169922
2014-05-14,16.45777130126953
2014-05-15,16.231962203979492
2014-05-16,17.55205726623535
2014-05-19,17.473896026611328
2014-05-20,17.342971801757812
2014-05-21,17.45643424987793
2014-05-22,17.36042594909668
2014-05-23,17.491348266601562
2014-05-27,17.962671279907227
2014-05-28,17.927757263183594
2014-05-29,17.70082664489746
2014-05-30,17.62226676940918
2014-06-02,17.91030502319336
2014-06-03,18.695846557617188
2014-06-04,18.818031311035156
2014-06-05,19.010055541992188
2014-06-06,19.04496955871582
2014-06-09,19.12352752685547
2014-06-10,19.10607147216797
2014-06-11,19.10607147216797
2014-06-12,18.983869552612305
2014-06-13,19.525026321411133
2014-06-16,19.5075626373291
2014-06-17,19.6297664642334
2014-06-18,19.525026321411133
2014-06-19,19.603578567504883
2014-06-20,19.856687545776367
2014-06-23,19.98761749267578
2014-06-24,19.847963333129883
2014-06-25,19.717042922973633
2014-06-26,19.56865692138672
2014-06-27,19.55120277404785
2014-06-30,19.682130813598633
2014-07-01,19.77814292907715
2014-07-02,19.891611099243164
2014-07-03,19.90907096862793
2014-07-07,20.039989471435547
2014-07-08,19.847963333129883
2014-07-09,20.310562133789062
2014-07-10,19.961437225341797
2014-07-11,19.943984985351562
2014-07-14,20.127273559570312
2014-07-15,19.978891372680664
2014-07-16,19.943984985351562
2014-07-17,19.874147415161133
2014-07-18,20.074899673461914
2014-07-21,19.9963436126709
2014-07-22,19.655948638916016
2014-07-23,19.11480140686035
2014-07-24,18.992597579956055
2014-07-25,18.530006408691406
2014-07-28,18.643474578857422
2014-07-29,18.495092391967773
2014-07-30,18.573646545410156
2014-07-31,18.294343948364258
2014-08-01,18.407812118530273
2014-08-04,18.44272232055664
2014-08-05,18.189603805541992
2014-08-06,18.460176467895508
2014-08-07,18.058683395385742
2014-08-08,18.18087387084961
2014-08-11,18.407812118530273
2014-08-12,18.250701904296875
2014-08-13,18.303071975708008
2014-08-14,18.460176467895508
2014-08-15,19.621034622192383
2014-08-18,19.289356231689453
2014-08-19,19.333202362060547
2014-08-20,19.201683044433594
2014-08-21,19.4647216796875
2014-08-22,19.438417434692383
2014-08-25,19.39457893371582
2014-08-26,19.491024017333984
2014-08-27,19.841737747192383
2014-08-28,19.990793228149414
2014-08-29,20.26259994506836
2014-09-02,20.104772567749023
2014-09-03,20.07847785949707
2014-09-04,19.762828826904297
2014-09-05,19.955718994140625
2014-09-08,19.876808166503906
