,APA
2014-01-02,68.22599029541016
2014-01-03,68.2739028930664
2014-01-06,68.88845825195312
2014-01-07,70.15751647949219
2014-01-08,69.15984344482422
2014-01-09,68.71287536621094
2014-01-10,68.8006820678711
2014-01-13,67.2762222290039
2014-01-14,68.39363861083984
2014-01-15,67.39591979980469
2014-01-16,68.56123352050781
2014-01-17,67.4491958618164
2014-01-21,67.59320831298828
2014-01-22,67.62523651123047
2014-01-23,66.87319946289062
2014-01-24,65.93718719482422
2014-01-27,64.9451675415039
2014-01-28,65.5931625366211
2014-01-29,64.81717681884766
2014-01-30,65.025146484375
2014-01-31,64.20916748046875
2014-02-03,62.985145568847656
2014-02-04,62.801143646240234
2014-02-05,62.4171142578125
2014-02-06,63.937129974365234
2014-02-07,65.12115478515625
2014-02-10,64.60115051269531
2014-02-11,65.10514831542969
2014-02-12,65.025146484375
2014-02-13,64.76917266845703
2014-02-14,66.71321868896484
2014-02-18,66.65721130371094
2014-02-19,67.25718688964844
2014-02-20,67.48921966552734
2014-02-21,67.6491928100586
2014-02-24,67.46520233154297
2014-02-25,66.47319030761719
2014-02-26,63.85713577270508
2014-02-27,63.673152923583984
2014-02-28,63.433135986328125
2014-03-03,63.88914108276367
2014-03-04,64.38514709472656
2014-03-05,63.20915603637695
2014-03-06,63.61714172363281
2014-03-07,64.04113006591797
2014-03-10,64.40115356445312
2014-03-11,63.64114761352539
2014-03-12,63.3531379699707
2014-03-13,63.19313049316406
2014-03-14,63.3851203918457
2014-03-17,63.49713897705078
2014-03-18,64.0331802368164
2014-03-19,63.46514129638672
2014-03-20,64.04113006591797
2014-03-21,64.56915283203125
2014-03-24,64.61714172363281
2014-03-25,65.54520416259766
2014-03-26,65.169189453125
2014-03-27,65.66519165039062
2014-03-28,66.41720581054688
2014-03-31,66.3612060546875
2014-04-01,67.00920867919922
2014-04-02,67.38521575927734
2014-04-03,68.28921508789062
2014-04-04,68.37722778320312
2014-04-07,67.27318572998047
2014-04-08,68.14521789550781
2014-04-09,66.92119598388672
2014-04-10,66.17716979980469
2014-04-11,65.67320251464844
2014-04-14,66.05717468261719
2014-04-15,66.66519165039062
2014-04-16,67.33721923828125
2014-04-17,68.29206085205078
2014-04-21,68.84574127197266
2014-04-22,69.16667938232422
2014-04-23,70.27398681640625
2014-04-24,70.57887268066406
2014-04-25,70.03325653076172
2014-04-28,69.6561508178711
2014-04-29,70.47457885742188
2014-04-30,69.64812469482422
2014-05-01,69.84068298339844
2014-05-02,69.7765121459961
2014-05-05,69.7765121459961
2014-05-06,69.34319305419922
2014-05-07,70.4184341430664
2014-05-08,70.63505554199219
2014-05-09,71.32510375976562
2014-05-12,72.24789428710938
2014-05-13,72.2318115234375
2014-05-14,72.1114730834961
2014-05-15,71.34920501708984
2014-05-16,71.23687744140625
2014-05-19,71.67817687988281
2014-05-20,71.9991455078125
2014-05-21,72.448486328125
2014-05-22,72.48859405517578
2014-05-23,72.36019897460938
2014-05-27,72.50464630126953
2014-05-28,73.62800598144531
2014-05-29,74.67112731933594
2014-05-30,74.79949188232422
2014-06-02,74.3341064453125
2014-06-03,73.82059478759766
2014-06-04,74.2218017578125
2014-06-05,74.75939178466797
2014-06-06,75.67411041259766
2014-06-09,75.94692993164062
2014-06-10,76.26789093017578
2014-06-11,76.55677032470703
2014-06-12,77.27888488769531
2014-06-13,78.3621597290039
2014-06-16,78.79541778564453
2014-06-17,78.63497161865234
2014-06-18,79.91880798339844
2014-06-19,80.25580596923828
2014-06-20,80.79340362548828
2014-06-23,81.52359008789062
2014-06-24,79.31700134277344
2014-06-25,79.74227905273438
2014-06-26,79.99102783203125
2014-06-27,80.04716491699219
2014-06-30,80.73725128173828
2014-07-01,80.64898681640625
2014-07-02,80.1194076538086
2014-07-03,80.26385498046875
2014-07-07,79.47747039794922
2014-07-08,79.00408172607422
2014-07-09,79.95892333984375
2014-07-10,79.61388397216797
2014-07-11,78.1535415649414
2014-07-14,79.07630157470703
2014-07-15,78.58683013916016
2014-07-16,80.13545989990234
2014-07-17,79.36517333984375
2014-07-18,79.30078887939453
2014-07-21,79.28470611572266
2014-07-22,82.95291137695312
2014-07-23,83.24249267578125
2014-07-24,82.53460693359375
2014-07-25,81.93128967285156
2014-07-28,81.4646987915039
2014-07-29,81.50491333007812
2014-07-30,81.48080444335938
2014-07-31,82.5828857421875
2014-08-01,80.70050811767578
2014-08-04,82.28522491455078
2014-08-05,79.9443359375
2014-08-06,80.4028549194336
2014-08-07,79.29273223876953
2014-08-08,80.74876403808594
2014-08-11,80.33851623535156
2014-08-12,79.2123031616211
2014-08-13,79.31687927246094
2014-08-14,78.78596496582031
2014-08-15,79.3812484741211
2014-08-18,79.23644256591797
2014-08-19,79.85585021972656
2014-08-20,80.71656799316406
2014-08-21,81.35211181640625
2014-08-22,80.29830169677734
2014-08-25,81.59342193603516
2014-08-26,81.68997192382812
2014-08-27,81.67388153076172
2014-08-28,81.54515838623047
2014-08-29,81.9151840209961
2014-09-02,80.57179260253906
2014-09-03,80.73268127441406
2014-09-04,79.44558715820312
2014-09-05,80.06499481201172
2014-09-08,78.77791595458984
2014-09-09,78.11829376220703
2014-09-10,78.25504302978516
2014-09-11,78.53657531738281
2014-09-12,77.41840362548828
2014-09-15,78.1263198852539
2014-09-16,78.68941497802734
2014-09-17,78.43199920654297
2014-09-18,78.03787231445312
2014-09-19,77.6356201171875
2014-09-22,76.03479766845703
2014-09-23,76.46915435791016
2014-09-24,76.3002700805664
2014-09-25,75.06145477294922
2014-09-26,76.11524200439453
2014-09-29,76.16351318359375
2014-09-30,75.51190948486328
2014-10-01,73.24343872070312
2014-10-02,71.38520050048828
2014-10-03,69.94527435302734
2014-10-06,69.33386993408203
2014-10-07,67.74110412597656
2014-10-08,68.72252655029297
2014-10-09,65.86679077148438
2014-10-10,64.28204345703125
2014-10-13,61.08041763305664
2014-10-14,59.84964370727539
2014-10-15,58.45798110961914
2014-10-16,58.90846633911133
2014-10-17,58.60279846191406
2014-10-20,58.86916732788086
2014-10-21,60.96788787841797
2014-10-22,59.6279296875
2014-10-23,61.411834716796875
2014-10-24,61.19389724731445
2014-10-27,58.966026306152344
2014-10-28,60.733802795410156
2014-10-29,61.662071228027344
2014-10-30,61.19389724731445
2014-10-31,62.3159065246582
2014-11-03,61.670166015625
2014-11-04,59.90238952636719
2014-11-05,60.99209976196289
2014-11-06,60.8952522277832
2014-11-07,61.76701736450195
2014-11-10,60.62076950073242
2014-11-11,60.87103271484375
2014-11-12,59.490699768066406
2014-11-13,58.174983978271484
2014-11-14,59.20818328857422
2014-11-17,58.19110870361328
2014-11-18,58.174983978271484
2014-11-19,58.158836364746094
2014-11-20,59.92658996582031
2014-11-21,61.1051025390625
2014-11-24,61.19389724731445
2014-11-25,59.21624755859375
2014-11-26,58.31218719482422
2014-11-28,51.733497619628906
2014-12-01,51.507511138916016
2014-12-02,50.94246292114258
2014-12-03,51.90302276611328
2014-12-04,51.05547332763672
