,ARE
2014-01-02,45.08589172363281
2014-01-03,45.55988693237305
2014-01-06,45.390098571777344
2014-01-07,45.5174446105957
2014-01-08,45.41839599609375
2014-01-09,45.36179733276367
2014-01-10,45.8075065612793
2014-01-13,45.57404708862305
2014-01-14,46.01265335083008
2014-01-15,46.5786247253418
2014-01-16,46.69889450073242
2014-01-17,46.84746170043945
2014-01-21,47.78836441040039
2014-01-22,48.347251892089844
2014-01-23,48.60193634033203
2014-01-24,48.14916229248047
2014-01-27,47.936927795410156
2014-01-28,48.46044921875
2014-01-29,48.46044921875
2014-01-30,48.99103546142578
2014-01-31,49.61359786987305
2014-02-03,49.167877197265625
2014-02-04,49.62772750854492
2014-02-05,49.684326171875
2014-02-06,50.2856559753418
2014-02-07,50.03807067871094
2014-02-10,50.696006774902344
2014-02-11,50.33517837524414
2014-02-12,50.39887237548828
2014-02-13,50.681846618652344
2014-02-14,50.943599700927734
2014-02-18,51.311466217041016
2014-02-19,51.346858978271484
2014-02-20,51.00019073486328
2014-02-21,51.5732307434082
2014-02-24,51.17704772949219
2014-02-25,51.502479553222656
2014-02-26,51.3680534362793
2014-02-27,51.311466217041016
2014-02-28,51.254878997802734
2014-03-03,51.53078079223633
2014-03-04,52.41510009765625
2014-03-05,52.132118225097656
2014-03-06,51.8562126159668
2014-03-07,51.261940002441406
2014-03-10,50.9294548034668
2014-03-11,51.84206008911133
2014-03-12,51.792545318603516
2014-03-13,51.69348907470703
2014-03-14,51.62275695800781
2014-03-17,52.04721450805664
2014-03-18,52.15334701538086
2014-03-19,50.894073486328125
2014-03-20,51.063865661621094
2014-03-21,51.757164001464844
2014-03-24,51.29025650024414
2014-03-25,51.346858978271484
2014-03-26,50.55449295043945
2014-03-27,50.9260139465332
2014-03-28,51.454715728759766
2014-03-31,51.84050750732422
2014-04-01,51.36899185180664
2014-04-02,51.704769134521484
2014-04-03,51.733333587646484
2014-04-04,51.819068908691406
2014-04-07,52.41206359863281
2014-04-08,52.16915512084961
2014-04-09,52.03341293334961
2014-04-10,51.06890106201172
2014-04-11,50.833126068115234
2014-04-14,51.769073486328125
2014-04-15,52.640708923339844
2014-04-16,52.85502624511719
2014-04-17,52.35491943359375
2014-04-21,52.462074279785156
2014-04-22,52.59068298339844
2014-04-23,52.57638168334961
2014-04-24,52.87645721435547
2014-04-25,52.41922378540039
2014-04-28,52.640708923339844
2014-04-29,52.497802734375
2014-04-30,52.7407112121582
2014-05-01,52.56210708618164
2014-05-02,53.08366775512695
2014-05-05,53.04793167114258
2014-05-06,53.35515213012695
2014-05-07,53.41944885253906
2014-05-08,53.39801025390625
2014-05-09,53.56234359741211
2014-05-12,53.79098129272461
2014-05-13,53.58376693725586
2014-05-14,53.75521469116211
2014-05-15,53.89098358154297
2014-05-16,54.283912658691406
2014-05-19,54.0552978515625
2014-05-20,53.70522689819336
2014-05-21,53.56945037841797
2014-05-22,53.30512237548828
2014-05-23,53.726661682128906
2014-05-27,53.47661590576172
2014-05-28,53.483741760253906
2014-05-29,53.91957092285156
2014-05-30,54.36251449584961
2014-06-02,54.93407440185547
2014-06-03,55.005531311035156
2014-06-04,55.02695083618164
2014-06-05,55.941444396972656
2014-06-06,55.56992721557617
2014-06-09,55.14125442504883
2014-06-10,54.762611389160156
2014-06-11,54.583984375
2014-06-12,54.948368072509766
2014-06-13,54.81976318359375
2014-06-16,54.698307037353516
2014-06-17,54.912635803222656
2014-06-18,55.277000427246094
2014-06-19,55.369895935058594
2014-06-20,54.96981430053711
2014-06-23,54.855491638183594
2014-06-24,54.96981430053711
2014-06-25,55.10554504394531
2014-06-26,55.04063415527344
2014-06-27,55.57431411743164
2014-06-30,55.99260330200195
2014-07-01,56.12962341308594
2014-07-02,56.18012237548828
2014-07-03,55.79066467285156
2014-07-07,55.783443450927734
2014-07-08,55.92047882080078
2014-07-09,55.88442611694336
2014-07-10,56.15848922729492
2014-07-11,56.237796783447266
2014-07-14,56.36762619018555
2014-07-15,56.41087341308594
2014-07-16,56.396461486816406
2014-07-17,56.02864074707031
2014-07-18,56.73542022705078
2014-07-21,56.74983215332031
2014-07-22,57.26189041137695
2014-07-23,57.15370178222656
2014-07-24,57.204193115234375
2014-07-25,56.87965774536133
2014-07-28,57.17534255981445
2014-07-29,56.612823486328125
2014-07-30,56.59838104248047
2014-07-31,56.68492126464844
2014-08-01,56.30270767211914
2014-08-04,56.115211486816406
2014-08-05,55.617584228515625
2014-08-06,55.942100524902344
2014-08-07,55.73297119140625
2014-08-08,55.98537826538086
2014-08-11,55.999820709228516
2014-08-12,56.16570281982422
2014-08-13,56.67770767211914
2014-08-14,56.533485412597656
2014-08-15,56.30994415283203
2014-08-18,57.37006759643555
2014-08-19,57.51429748535156
2014-08-20,57.91093826293945
2014-08-21,57.83881759643555
2014-08-22,57.19696807861328
2014-08-25,56.93735122680664
2014-08-26,56.93735122680664
2014-08-27,56.922935485839844
2014-08-28,56.84360122680664
2014-08-29,57.01667022705078
2014-09-02,57.05995559692383
2014-09-03,57.39888000488281
2014-09-04,57.27629089355469
2014-09-05,57.60805130004883
2014-09-08,57.52870559692383
2014-09-09,56.99504470825195
2014-09-10,56.41087341308594
2014-09-11,56.829185485839844
2014-09-12,55.24978256225586
2014-09-15,54.98293685913086
2014-09-16,55.083892822265625
2014-09-17,55.011802673339844
2014-09-18,54.312255859375
2014-09-19,54.2184944152832
2014-09-22,53.64155197143555
2014-09-23,52.934791564941406
2014-09-24,53.23048400878906
2014-09-25,53.36748123168945
2014-09-26,54.13945388793945
2014-09-29,54.31425857543945
2014-09-30,53.70978546142578
2014-10-01,54.008365631103516
2014-10-02,53.83357238769531
2014-10-03,53.98651885986328
2014-10-06,54.219547271728516
2014-10-07,54.044795989990234
2014-10-08,55.57415008544922
2014-10-09,56.00382995605469
2014-10-10,56.46992874145508
2014-10-13,57.030670166015625
2014-10-14,58.22503662109375
2014-10-15,58.25416564941406
2014-10-16,58.4726676940918
2014-10-17,58.30514144897461
2014-10-20,58.80038070678711
2014-10-21,59.492244720458984
2014-10-22,59.63790512084961
2014-10-23,60.09669876098633
2014-10-24,59.870933532714844
2014-10-27,60.00200653076172
2014-10-28,59.95103454589844
2014-10-29,59.62333679199219
2014-10-30,60.07486343383789
2014-10-31,60.446266174316406
2014-11-03,61.021583557128906
2014-11-04,60.71574020385742
2014-11-05,60.5263671875
2014-11-06,60.06027603149414
2014-11-07,59.99474334716797
2014-11-10,60.98516845703125
2014-11-11,60.795833587646484
2014-11-12,60.264198303222656
2014-11-13,60.642887115478516
2014-11-14,59.95103454589844
2014-11-17,60.40256118774414
2014-11-18,60.53365707397461
2014-11-19,60.13312530517578
2014-11-20,59.412132263183594
2014-11-21,59.8636474609375
2014-11-24,61.17452621459961
2014-11-25,61.1672477722168
2014-11-26,62.398014068603516
2014-11-28,62.572818756103516
2014-12-01,62.54365921020508
2014-12-02,63.04619598388672
2014-12-03,62.91510009765625
2014-12-04,64.17500305175781
2014-12-05,64.18228149414062
2014-12-08,65.3256607055664
2014-12-09,65.6824951171875
2014-12-10,64.79401397705078
2014-12-11,64.92509460449219
2014-12-12,64.04389953613281
2014-12-15,63.18455505371094
2014-12-16,63.555973052978516
2014-12-17,64.39347076416016
2014-12-18,64.71390533447266
2014-12-19,64.4153060913086
2014-12-22,65.4713134765625
2014-12-23,65.15087890625
2014-12-24,64.98339080810547
2014-12-26,65.38392639160156
2014-12-29,65.92732238769531
2014-12-30,65.87590789794922
2014-12-31,65.16362762451172
2015-01-02,65.93467712402344
2015-01-05,66.72772216796875
2015-01-06,67.06551361083984
2015-01-07,67.97605895996094
2015-01-08,68.75445556640625
2015-01-09,68.5561752319336
2015-01-12,69.00411224365234
2015-01-13,69.23175811767578
2015-01-14,69.6429672241211
2015-01-15,69.94404602050781
2015-01-16,71.00882720947266
2015-01-20,70.14965057373047
2015-01-21,70.46541595458984
2015-01-22,72.08096313476562
2015-01-23,72.25716400146484
2015-01-26,73.49815368652344
2015-01-27,72.91072845458984
2015-01-28,72.66104888916016
