,CVX
2014-01-02,78.21853637695312
2014-01-03,78.35089874267578
2014-01-06,78.14295959472656
2014-01-07,78.8045425415039
2014-01-08,77.6829833984375
2014-01-09,77.6829833984375
2014-01-10,76.24639892578125
2014-01-13,75.13745880126953
2014-01-14,75.33907318115234
2014-01-15,75.09335327148438
2014-01-16,74.87281799316406
2014-01-17,75.16265869140625
2014-01-21,75.83684539794922
2014-01-22,75.88093566894531
2014-01-23,74.5955810546875
2014-01-24,73.27240753173828
2014-01-27,73.360595703125
2014-01-28,73.61893463134766
2014-01-29,73.08964538574219
2014-01-30,73.37321472167969
2014-01-31,70.33619689941406
2014-02-03,70.0274658203125
2014-02-04,69.83212280273438
2014-02-05,69.00672149658203
2014-02-06,70.10939025878906
2014-02-07,70.60086059570312
2014-02-10,70.37403106689453
2014-02-11,71.56488037109375
2014-02-12,71.21526336669922
2014-02-13,71.5203857421875
2014-02-14,72.13700866699219
2014-02-18,71.64752960205078
2014-02-19,72.21326446533203
2014-02-20,72.84896850585938
2014-02-21,71.62846374511719
2014-02-24,72.56291961669922
2014-02-25,73.08413696289062
2014-02-26,73.42742919921875
2014-02-27,73.54183959960938
2014-02-28,73.31300354003906
2014-03-03,73.00151062011719
2014-03-04,73.306640625
2014-03-05,72.74089050292969
2014-03-06,73.00787353515625
2014-03-07,73.15408325195312
2014-03-10,73.6371841430664
2014-03-11,72.791748046875
2014-03-12,73.51643371582031
2014-03-13,72.75360870361328
2014-03-14,72.53111267089844
2014-03-17,73.1477279663086
2014-03-18,73.8914566040039
2014-03-19,73.2303695678711
2014-03-20,73.42742919921875
2014-03-21,73.50370025634766
2014-03-24,73.64354705810547
2014-03-25,74.43179321289062
2014-03-26,74.82591247558594
2014-03-27,74.80050659179688
2014-03-28,75.32810974121094
2014-03-31,75.58872985839844
2014-04-01,75.64594268798828
2014-04-02,75.8684310913086
2014-04-03,75.67139434814453
2014-04-04,75.51881408691406
2014-04-07,74.59072875976562
2014-04-08,74.88312530517578
2014-04-09,75.70951843261719
2014-04-10,74.1775131225586
2014-04-11,74.39366149902344
2014-04-14,75.45523834228516
2014-04-15,76.4723129272461
2014-04-16,77.44493103027344
2014-04-17,78.62094116210938
2014-04-21,78.97692108154297
2014-04-22,78.8243637084961
2014-04-23,79.26296997070312
2014-04-24,79.0150375366211
2014-04-25,78.81800079345703
2014-04-28,79.92406463623047
2014-04-29,80.07664489746094
2014-04-30,79.79057312011719
2014-05-01,79.421875
2014-05-02,79.28203582763672
2014-05-05,79.68888854980469
2014-05-06,79.44094848632812
2014-05-07,80.2419204711914
2014-05-08,79.51724243164062
2014-05-09,79.47908782958984
2014-05-12,79.6125717163086
2014-05-13,80.00035095214844
2014-05-14,80.3626937866211
2014-05-15,79.37538146972656
2014-05-16,78.97149658203125
2014-05-19,78.82402038574219
2014-05-20,78.5355453491211
2014-05-21,79.59978485107422
2014-05-22,79.25997924804688
2014-05-23,79.09330749511719
2014-05-27,78.75350952148438
2014-05-28,78.54833984375
2014-05-29,78.42013549804688
2014-05-30,78.72145080566406
2014-06-02,78.34959411621094
2014-06-03,78.56761169433594
2014-06-04,78.43938446044922
2014-06-05,79.18946075439453
2014-06-06,79.61900329589844
2014-06-09,79.73441314697266
2014-06-10,80.3563003540039
2014-06-11,80.25370025634766
2014-06-12,80.84992980957031
2014-06-13,81.58721160888672
2014-06-16,82.40782165527344
2014-06-17,82.59376525878906
2014-06-18,83.52336120605469
2014-06-19,84.6196517944336
2014-06-20,84.84402465820312
2014-06-23,85.25434112548828
2014-06-24,84.47860717773438
2014-06-25,84.13241577148438
2014-06-26,83.93364715576172
2014-06-27,83.57463836669922
2014-06-30,83.69645690917969
2014-07-01,83.69003295898438
2014-07-02,83.49128723144531
2014-07-03,84.10675811767578
2014-07-07,83.64514923095703
2014-07-08,83.27970886230469
2014-07-09,84.23497009277344
2014-07-10,83.50411987304688
2014-07-11,82.36295318603516
2014-07-14,82.86941528320312
2014-07-15,82.86941528320312
2014-07-16,83.91442108154297
2014-07-17,83.39512634277344
2014-07-18,83.5938720703125
2014-07-21,84.17086029052734
2014-07-22,84.99790954589844
2014-07-23,85.83135223388672
2014-07-24,86.45320892333984
2014-07-25,85.63259887695312
2014-07-28,85.42103576660156
2014-07-29,84.89532470703125
2014-07-30,84.96582794189453
2014-07-31,82.85660552978516
2014-08-01,81.99752807617188
2014-08-04,82.17060852050781
2014-08-05,80.11265563964844
2014-08-06,80.60630798339844
2014-08-07,80.5550537109375
2014-08-08,81.97186279296875
2014-08-11,81.87570190429688
2014-08-12,81.47821807861328
2014-08-13,81.80518341064453
2014-08-14,81.3948745727539
2014-08-15,81.53067779541016
2014-08-18,81.65996551513672
2014-08-19,82.5198745727539
2014-08-20,82.42935943603516
2014-08-21,82.71385192871094
2014-08-22,82.18367767333984
2014-08-25,82.65565490722656
2014-08-26,82.92076110839844
2014-08-27,83.17291259765625
2014-08-28,83.2440185546875
2014-08-29,83.69660186767578
2014-09-02,82.46168518066406
2014-09-03,82.66858673095703
2014-09-04,81.98324584960938
2014-09-05,82.3711929321289
2014-09-08,81.60177612304688
2014-09-09,80.93582916259766
2014-09-10,80.35391998291016
2014-09-11,80.06298828125
2014-09-12,79.30650329589844
2014-09-15,80.32807922363281
2014-09-16,80.7935791015625
2014-09-17,80.63841247558594
2014-09-18,80.26338195800781
2014-09-19,80.69013214111328
2014-09-22,79.8431396484375
2014-09-23,79.56512451171875
2014-09-24,79.1384048461914
2014-09-25,78.02632904052734
2014-09-26,78.53711700439453
2014-09-29,77.9422836303711
2014-09-30,77.14701843261719
2014-10-01,76.06725311279297
2014-10-02,75.7181167602539
2014-10-03,76.10604095458984
2014-10-06,76.35173797607422
2014-10-07,75.01336669921875
2014-10-08,76.26121520996094
2014-10-09,74.03707885742188
2014-10-10,73.63619995117188
2014-10-13,72.4336166381836
2014-10-14,70.97886657714844
2014-10-15,70.64911651611328
2014-10-16,71.80646514892578
2014-10-17,72.28490447998047
2014-10-20,72.08447265625
2014-10-21,74.41205596923828
2014-10-22,73.70732879638672
2014-10-23,75.12330627441406
2014-10-24,74.94224548339844
2014-10-27,74.36681365966797
2014-10-28,75.73104858398438
2014-10-29,75.7375259399414
2014-10-30,75.77629089355469
2014-10-31,77.55432891845703
2014-11-03,75.50475311279297
2014-11-04,74.59310150146484
2014-11-05,75.67931365966797
2014-11-06,76.6362075805664
2014-11-07,76.81079864501953
2014-11-10,76.24181365966797
2014-11-11,76.57804870605469
2014-11-12,76.06725311279297
2014-11-13,75.2913818359375
2014-11-14,75.9048080444336
2014-11-17,75.53284454345703
2014-11-18,75.35012817382812
2014-11-19,76.002685546875
2014-11-20,76.55081939697266
2014-11-21,77.37957000732422
2014-11-24,76.7335433959961
2014-11-25,75.79385375976562
2014-11-26,75.11520385742188
2014-11-28,71.04328155517578
2014-12-01,72.90959167480469
2014-12-02,74.40390014648438
2014-12-03,74.20162963867188
2014-12-04,73.26847839355469
2014-12-05,72.34838104248047
2014-12-08,69.69249725341797
2014-12-09,69.82952880859375
2014-12-10,68.42652893066406
2014-12-11,68.45919036865234
2014-12-12,66.80821228027344
2014-12-15,65.8163070678711
2014-12-16,66.3644790649414
2014-12-17,69.1834945678711
2014-12-18,71.14765930175781
2014-12-19,73.69264221191406
2014-12-22,73.10533905029297
2014-12-23,74.35822296142578
2014-12-24,74.0450210571289
2014-12-26,73.90145874023438
2014-12-29,73.94713592529297
2014-12-30,73.81009674072266
2014-12-31,73.20323944091797
2015-01-02,73.46424865722656
2015-01-05,70.52776336669922
2015-01-06,70.4951400756836
2015-01-07,70.4364013671875
2015-01-08,72.04822540283203
2015-01-09,70.61260986328125
2015-01-12,69.0921401977539
2015-01-13,67.99586486816406
2015-01-14,67.80010986328125
2015-01-15,66.9974594116211
2015-01-16,68.59622955322266
2015-01-20,69.47715759277344
2015-01-21,70.57996368408203
2015-01-22,71.07588958740234
2015-01-23,69.7251205444336
2015-01-26,71.04981231689453
2015-01-27,70.64521026611328
2015-01-28,67.67610168457031
2015-01-29,67.21280670166016
2015-01-30,66.90609741210938
2015-02-02,69.20960998535156
2015-02-03,71.47396087646484
2015-02-04,70.70394897460938
2015-02-05,71.33040618896484
2015-02-06,71.52616882324219
2015-02-09,72.0612564086914
2015-02-10,71.89810943603516
2015-02-11,71.76762390136719
2015-02-12,73.0525894165039
2015-02-13,74.31778717041016
2015-02-17,74.06739044189453
2015-02-18,72.77582550048828
2015-02-19,71.3985824584961
2015-02-20,71.5633316040039
2015-02-23,71.07571411132812
2015-02-24,71.1416015625
2015-02-25,71.55014038085938
2015-02-26,70.54855346679688
2015-02-27,70.29810333251953
2015-03-02,69.78414154052734
2015-03-03,69.29650115966797
2015-03-04,69.29650115966797
2015-03-05,69.01317596435547
2015-03-06,68.235595703125
2015-03-09,68.49915313720703
2015-03-10,67.81383514404297
2015-03-11,68.22895812988281
2015-03-12,67.49093627929688
2015-03-13,66.96377563476562
2015-03-16,67.95880889892578
2015-03-17,67.98516845703125
2015-03-18,70.31128692626953
2015-03-19,69.0263442993164
2015-03-20,70.52876281738281
2015-03-23,69.79730987548828
2015-03-24,68.66387939453125
2015-03-25,69.6325912475586
2015-03-26,69.35581970214844
2015-03-27,68.71663665771484
2015-03-30,70.44310760498047
2015-03-31,69.17789459228516
2015-04-01,69.05269622802734
2015-04-02,69.37557220458984
2015-04-06,70.4562759399414
2015-04-07,71.5238037109375
2015-04-08,70.28495788574219
2015-04-09,70.47604370117188
2015-04-10,70.4496841430664
2015-04-13,70.17952728271484
2015-04-14,71.72146606445312
2015-04-15,72.75607299804688
2015-04-16,72.59132385253906
2015-04-17,71.8993911743164
2015-04-20,72.6769790649414
2015-04-21,72.30797576904297
2015-04-22,72.15640258789062
2015-04-23,72.46614074707031
2015-04-24,72.40020751953125
2015-04-27,72.28819274902344
2015-04-28,73.22391510009766
2015-04-29,73.62590026855469
2015-04-30,73.18437194824219
2015-05-01,71.853271484375
2015-05-04,71.37884521484375
2015-05-05,71.16795349121094
2015-05-06,71.13500213623047
2015-05-07,70.88459014892578
2015-05-08,71.59628295898438
2015-05-11,70.74620056152344
2015-05-12,70.87799835205078
2015-05-13,70.97027587890625
2015-05-14,71.46448516845703
2015-05-15,71.89708709716797
2015-05-18,70.97865295410156
2015-05-19,69.89385986328125
2015-05-20,70.04691314697266
2015-05-21,70.20664978027344
2015-05-22,69.80733489990234
2015-05-26,68.74246978759766
2015-05-27,68.6226806640625
2015-05-28,68.7092056274414
2015-05-29,68.54949951171875
2015-06-01,68.30323791503906
2015-06-02,68.26993560791016
2015-06-03,67.99710083007812
2015-06-04,67.47796630859375
2015-06-05,67.61107635498047
2015-06-08,66.83240509033203
2015-06-09,66.83240509033203
2015-06-10,67.77082061767578
2015-06-11,67.29830169677734
2015-06-12,66.46637725830078
2015-06-15,66.08036041259766
2015-06-16,66.57950592041016
2015-06-17,66.39315032958984
2015-06-18,66.71926879882812
2015-06-19,66.20015716552734
2015-06-22,66.74588775634766
2015-06-23,66.61278533935547
2015-06-24,66.06704711914062
2015-06-25,65.4480972290039
2015-06-26,65.62116241455078
2015-06-29,64.3499755859375
2015-06-30,64.20358276367188
2015-07-01,63.950660705566406
2015-07-02,63.80427169799805
2015-07-06,63.07217788696289
2015-07-07,63.404930114746094
2015-07-08,62.26688003540039
2015-07-09,62.413299560546875
2015-07-10,62.83258056640625
2015-07-13,62.959041595458984
2015-07-14,63.59128189086914
2015-07-15,62.719425201416016
2015-07-16,62.879180908203125
2015-07-17,61.994014739990234
2015-07-20,61.854248046875
2015-07-21,62.493167877197266
2015-07-22,62.23359680175781
2015-07-23,61.854248046875
2015-07-24,60.29692840576172
2015-07-27,59.325252532958984
2015-07-28,61.49484634399414
2015-07-29,62.0605583190918
2015-07-30,61.914146423339844
2015-07-31,58.88599395751953
2015-08-03,56.969268798828125
2015-08-04,56.709712982177734
2015-08-05,55.924400329589844
2015-08-06,56.696414947509766
2015-08-07,55.738040924072266
2015-08-10,57.16227340698242
2015-08-11,57.089073181152344
2015-08-12,57.761260986328125
2015-08-13,57.135650634765625
2015-08-14,57.22883605957031
2015-08-17,56.08992385864258
2015-08-18,56.23142623901367
2015-08-19,54.52642059326172
2015-08-20,53.40099334716797
2015-08-21,51.05577087402344
2015-08-24,48.60271072387695
2015-08-25,47.18749237060547
2015-08-26,49.256404876708984
2015-08-27,52.322715759277344
2015-08-28,54.20295333862305
2015-08-31,54.5803337097168
2015-09-01,52.69340133666992
2015-09-02,52.60575866699219
2015-09-03,52.74056625366211
2015-09-04,51.66901779174805
2015-09-08,51.783599853515625
2015-09-09,50.48968505859375
2015-09-10,50.98837661743164
2015-09-11,51.075984954833984
2015-09-14,51.0625114440918
2015-09-15,52.005977630615234
2015-09-16,53.25273513793945
2015-09-17,53.51556396484375
2015-09-18,52.39011764526367
2015-09-21,52.6259880065918
2015-09-22,52.05990219116211
2015-09-23,51.29838180541992
2015-09-24,51.817283630371094
2015-09-25,52.3631591796875
2015-09-28,51.0625114440918
2015-09-29,51.385982513427734
2015-09-30,53.158363342285156
2015-10-01,52.794456481933594
2015-10-02,54.957740783691406
2015-10-05,56.6290283203125
2015-10-06,58.62382125854492
2015-10-07,59.38534927368164
2015-10-08,60.591670989990234
2015-10-09,60.36252975463867
2015-10-12,59.80316162109375
2015-10-13,59.560550689697266
2015-10-14,60.49058151245117
2015-10-15,61.13753890991211
2015-10-16,61.52165985107422
2015-10-19,60.67254638671875
2015-10-20,60.64556884765625
2015-10-21,60.20079040527344
2015-10-22,61.744056701660156
2015-10-23,61.48796081542969
2015-10-26,59.823402404785156
2015-10-27,59.102317810058594
2015-10-28,60.510780334472656
2015-10-29,60.57817077636719
2015-10-30,61.24531936645508
2015-11-02,63.994937896728516
2015-11-03,66.13798522949219
2015-11-04,65.21468353271484
2015-11-05,63.718631744384766
2015-11-06,63.368167877197266
2015-11-09,62.21581268310547
2015-11-10,62.829036712646484
2015-11-11,62.12818145751953
2015-11-12,60.55796813964844
2015-11-13,59.76273727416992
2015-11-16,62.38218688964844
2015-11-17,62.095672607421875
2015-11-18,62.9006233215332
2015-11-19,61.959232330322266
2015-11-20,60.717750549316406
2015-11-23,61.39989471435547
2015-11-24,62.31397247314453
2015-11-25,61.986549377441406
2015-11-27,61.64546203613281
2015-11-30,62.293514251708984
2015-12-01,63.08479309082031
2015-12-02,61.5635986328125
2015-12-03,60.608612060546875
2015-12-04,61.19525909423828
2015-12-07,59.537628173828125
2015-12-08,58.96464157104492
2015-12-09,59.75592803955078
2015-12-10,60.91557693481445
2015-12-11,58.96464157104492
2015-12-14,60.93601989746094
2015-12-15,63.275794982910156
2015-12-16,63.7396354675293
2015-12-17,61.76143264770508
2015-12-18,61.26344680786133
2015-12-21,60.87464904785156
2015-12-22,61.577232360839844
2015-12-23,63.992042541503906
2015-12-24,62.791465759277344
2015-12-28,61.6386604309082
2015-12-29,62.245750427246094
2015-12-30,61.45446014404297
2015-12-31,61.36579132080078
2016-01-04,60.608612060546875
2016-01-05,61.12702941894531
2016-01-06,58.712242126464844
2016-01-07,56.63169479370117
2016-01-08,56.02458190917969
2016-01-11,55.09686279296875
2016-01-12,56.0382194519043
2016-01-13,55.47886657714844
2016-01-14,58.302955627441406
2016-01-15,57.07510757446289
2016-01-19,55.60165786743164
2016-01-20,53.87583923339844
2016-01-21,55.28786849975586
2016-01-22,56.98643493652344
2016-01-25,55.17872619628906
2016-01-26,57.38206481933594
2016-01-27,56.8159065246582
2016-01-28,58.60990524291992
2016-01-29,58.98509979248047
2016-02-01,58.180179595947266
2016-02-02,55.417476654052734
2016-02-03,57.72312927246094
2016-02-04,57.839107513427734
2016-02-05,56.53620147705078
2016-02-08,58.65768814086914
2016-02-09,56.5634765625
2016-02-10,56.645347595214844
2016-02-11,56.61122131347656
2016-02-12,58.275665283203125
2016-02-16,58.58653259277344
2016-02-17,61.00432205200195
2016-02-18,59.912845611572266
2016-02-19,59.75397872924805
2016-02-22,61.35663604736328
2016-02-23,58.65559768676758
2016-02-24,58.904293060302734
2016-02-25,58.92501449584961
2016-02-26,58.26874923706055
2016-02-29,57.64015197753906
2016-03-01,59.49837875366211
2016-03-02,60.19609069824219
2016-03-03,60.465492248535156
2016-03-04,60.741817474365234
2016-03-07,62.634605407714844
2016-03-08,61.30134582519531
2016-03-09,64.11982727050781
2016-03-10,64.89350891113281
2016-03-11,65.33562469482422
2016-03-14,65.11457061767578
2016-03-15,65.12145233154297
2016-03-16,65.90205383300781
2016-03-17,66.93135070800781
2016-03-18,67.48400115966797
2016-03-21,66.6205062866211
2016-03-22,65.97116088867188
2016-03-23,64.6517333984375
2016-03-24,65.5221176147461
2016-03-28,65.40469360351562
2016-03-29,65.8468017578125
2016-03-30,65.7984619140625
2016-03-31,65.90205383300781
2016-04-01,65.11457061767578
2016-04-04,64.54119110107422
2016-04-05,64.01619720458984
2016-04-06,65.51524353027344
2016-04-07,65.4806900024414
2016-04-08,66.54452514648438
2016-04-11,65.79154205322266
2016-04-12,67.35965728759766
2016-04-13,67.42183685302734
2016-04-14,67.68431854248047
2016-04-15,67.16622161865234
2016-04-18,68.18172454833984
2016-04-19,69.4251480102539
2016-04-20,70.24718475341797
2016-04-21,70.04684448242188
2016-04-22,70.46825408935547
2016-04-25,70.12284088134766
2016-04-26,70.66165924072266
2016-04-27,71.73930358886719
2016-04-28,70.73764038085938
2016-04-29,70.5856704711914
2016-05-02,71.36627960205078
2016-05-03,69.9915771484375
2016-05-04,69.4873046875
2016-05-05,70.06068420410156
2016-05-06,70.36463165283203
2016-05-09,69.321533203125
2016-05-10,69.95703125
2016-05-11,69.86725616455078
2016-05-12,70.54421997070312
2016-05-13,69.59091186523438
2016-05-16,70.66165924072266
2016-05-17,70.33357238769531
2016-05-18,69.85187530517578
2016-05-19,69.70525360107422
2016-05-20,69.66338348388672
2016-05-23,69.37715911865234
2016-05-24,69.942626953125
2016-05-25,71.04561614990234
2016-05-26,70.85713958740234
2016-05-27,71.22015380859375
2016-05-31,70.5080795288086
2016-06-01,70.59883117675781
2016-06-02,70.17997741699219
2016-06-03,70.27070617675781
2016-06-06,70.62677764892578
2016-06-07,72.12767028808594
2016-06-08,71.96709442138672
2016-06-09,71.77164459228516
2016-06-10,71.19223022460938
2016-06-13,71.27599334716797
2016-06-14,70.70356750488281
2016-06-15,70.24977111816406
2016-06-16,70.55695343017578
2016-06-17,70.90601348876953
2016-06-20,71.63203430175781
2016-06-21,72.07181549072266
2016-06-22,71.40862274169922
2016-06-23,72.90955352783203
2016-06-24,71.1363754272461
2016-06-27,70.06129455566406
2016-06-28,70.94788360595703
