,JCI
2014-01-02,29.406497955322266
2014-01-03,29.24738311767578
2014-01-06,29.529443740844727
2014-01-07,29.630712509155273
2014-01-08,29.768104553222656
2014-01-09,29.64516258239746
2014-01-10,29.739166259765625
2014-01-13,29.175064086914062
2014-01-14,29.551136016845703
2014-01-15,29.847665786743164
2014-01-16,29.79704475402832
2014-01-17,29.927221298217773
2014-01-21,29.919986724853516
2014-01-22,30.007116317749023
2014-01-23,29.426284790039062
2014-01-24,28.605867385864258
2014-01-27,28.627634048461914
2014-01-28,29.00518035888672
2014-01-29,28.816408157348633
2014-01-30,28.801889419555664
2014-01-31,29.397232055664062
2014-02-03,28.71476936340332
2014-02-04,28.990671157836914
2014-02-05,29.23024559020996
2014-02-06,29.63683319091797
2014-02-07,30.166837692260742
2014-02-10,30.057941436767578
2014-02-11,30.210412979125977
2014-02-12,30.094242095947266
2014-02-13,30.304794311523438
2014-02-14,30.442729949951172
2014-02-18,30.624244689941406
2014-02-19,30.319307327270508
2014-02-20,30.67505645751953
2014-02-21,30.704099655151367
2014-02-24,30.892871856689453
2014-02-25,30.820280075073242
2014-02-26,30.94371223449707
2014-02-27,30.827533721923828
2014-02-28,30.624244689941406
2014-03-03,31.234106063842773
2014-03-04,31.51726722717285
2014-03-05,31.713302612304688
2014-03-06,31.807689666748047
2014-03-07,31.814950942993164
2014-03-10,31.706043243408203
2014-03-11,31.15424919128418
2014-03-12,31.17603874206543
2014-03-13,30.95821189880371
2014-03-14,31.13973617553711
2014-03-17,31.51726722717285
2014-03-18,31.146997451782227
2014-03-19,30.7476749420166
2014-03-20,30.76218605041504
2014-03-21,31.00904655456543
2014-03-24,30.44998550415039
2014-03-25,30.616985321044922
2014-03-26,30.754920959472656
2014-03-27,30.2612247467041
2014-03-28,30.35561752319336
2014-03-31,30.78396987915039
2014-04-01,31.17603874206543
2014-04-02,30.813013076782227
2014-04-03,30.92192268371582
2014-04-04,30.696849822998047
2014-04-07,29.81108856201172
2014-04-08,30.014373779296875
2014-04-09,30.130542755126953
2014-04-10,29.753007888793945
2014-04-11,29.49162483215332
2014-04-14,29.571489334106445
2014-04-15,29.709426879882812
2014-04-16,30.174102783203125
2014-04-17,30.653274536132812
2014-04-21,30.8565731048584
2014-04-22,30.936433792114258
2014-04-23,30.914566040039062
2014-04-24,30.77603530883789
2014-04-25,30.10524559020996
2014-04-28,29.77713966369629
2014-04-29,29.886512756347656
2014-04-30,29.820878982543945
2014-05-01,29.726099014282227
2014-05-02,29.75527000427246
2014-05-05,29.689655303955078
2014-05-06,29.609451293945312
2014-05-07,29.92296028137207
2014-05-08,30.083375930786133
2014-05-09,30.323972702026367
2014-05-12,31.388492584228516
2014-05-13,31.308300018310547
2014-05-14,31.16246223449707
2014-05-15,30.95829963684082
2014-05-16,31.104141235351562
2014-05-19,31.475982666015625
2014-05-20,31.177038192749023
2014-05-21,31.082256317138672
2014-05-22,31.18433952331543
2014-05-23,31.5634765625
2014-05-27,31.82596778869629
2014-05-28,31.877004623413086
2014-05-29,31.862417221069336
2014-05-30,31.818674087524414
2014-06-02,31.891586303710938
2014-06-03,31.55618667602539
2014-06-04,31.884294509887695
2014-06-05,31.9936580657959
2014-06-06,32.394676208496094
2014-06-09,32.69361114501953
2014-06-10,32.50404357910156
2014-06-11,32.56237030029297
2014-06-12,32.52591323852539
2014-06-13,32.62799835205078
2014-06-16,33.080039978027344
2014-06-17,33.539390563964844
2014-06-18,33.685211181640625
2014-06-19,33.87478256225586
2014-06-20,33.70708084106445
2014-06-23,33.51751708984375
2014-06-24,33.240440368652344
2014-06-25,33.41543960571289
2014-06-26,33.26960754394531
2014-06-27,33.08732604980469
2014-06-30,33.24774169921875
2014-07-01,33.4518928527832
2014-07-02,33.2623176574707
2014-07-03,33.502933502197266
2014-07-07,33.05086898803711
2014-07-08,32.839439392089844
2014-07-09,32.86859130859375
2014-07-10,32.67902374267578
2014-07-11,33.02900695800781
2014-07-14,33.00712203979492
2014-07-15,33.101905822753906
2014-07-16,33.13837432861328
2014-07-17,32.56237030029297
2014-07-18,32.985267639160156
2014-07-21,33.072750091552734
2014-07-22,33.03629684448242
2014-07-23,32.882572174072266
2014-07-24,32.80204391479492
2014-07-25,33.09485626220703
2014-07-28,33.16075134277344
2014-07-29,32.6702880859375
2014-07-30,32.56779479980469
2014-07-31,31.586889266967773
2014-08-01,31.55029296875
2014-08-04,31.711328506469727
2014-08-05,31.44780731201172
2014-08-06,31.352638244628906
2014-08-07,31.257474899291992
2014-08-08,31.821144104003906
2014-08-11,31.821144104003906
2014-08-12,31.747928619384766
2014-08-13,32.084659576416016
2014-08-14,32.187156677246094
2014-08-15,32.10662841796875
2014-08-18,32.538516998291016
2014-08-19,32.736167907714844
2014-08-20,32.92648696899414
2014-08-21,33.050941467285156
2014-08-22,32.8972053527832
2014-08-25,32.692237854003906
2014-08-26,32.494598388671875
2014-08-27,32.60440444946289
2014-08-28,32.71419906616211
2014-08-29,32.6629524230957
2014-09-02,32.318912506103516
2014-09-03,32.19446563720703
2014-09-04,32.004146575927734
2014-09-05,32.27498245239258
2014-09-08,32.34086990356445
2014-09-09,32.19446563720703
2014-09-10,32.42139434814453
2014-09-11,32.88990020751953
2014-09-12,32.450687408447266
2014-09-15,32.37015151977539
2014-09-16,32.538516998291016
2014-09-17,32.436038970947266
2014-09-18,32.970420837402344
2014-09-19,32.875244140625
2014-09-22,32.68492889404297
2014-09-23,32.46531295776367
2014-09-24,32.42139434814453
2014-09-25,32.05536651611328
2014-09-26,32.37748718261719
2014-09-29,32.4287223815918
2014-09-30,32.62635803222656
2014-10-01,32.52389144897461
2014-10-02,31.667409896850586
2014-10-03,31.843101501464844
2014-10-06,31.440494537353516
2014-10-07,31.023229598999023
2014-10-08,31.9821834564209
2014-10-09,31.0964298248291
2014-10-10,30.767013549804688
2014-10-13,30.40833282470703
2014-10-14,29.054088592529297
2014-10-15,28.51238250732422
2014-10-16,28.497739791870117
2014-10-17,29.42009162902832
2014-10-20,29.39813232421875
2014-10-21,29.9398193359375
2014-10-22,29.469263076782227
2014-10-23,30.16776466369629
2014-10-24,30.579509735107422
2014-10-27,30.439807891845703
2014-10-28,30.93978500366211
2014-10-29,31.020652770996094
2014-10-30,31.057422637939453
2014-10-31,31.56475257873535
2014-11-03,31.432418823242188
2014-11-04,31.586816787719727
2014-11-05,31.711801528930664
2014-11-06,31.939741134643555
2014-11-07,31.84414291381836
2014-11-10,32.10150146484375
2014-11-11,31.902992248535156
2014-11-12,31.880922317504883
2014-11-13,31.20449447631836
2014-11-14,31.175071716308594
2014-11-17,31.322126388549805
2014-11-18,30.84419822692871
2014-11-19,30.601564407348633
2014-11-20,30.37363624572754
2014-11-21,31.535343170166016
2014-11-24,31.263294219970703
2014-11-25,31.895631790161133
2014-11-26,31.505937576293945
2014-11-28,31.542692184448242
2014-12-01,31.520647048950195
2014-12-02,31.733856201171875
2014-12-03,31.94709014892578
2014-12-04,31.800025939941406
2014-12-05,31.880922317504883
2014-12-08,31.88827133178711
2014-12-09,31.880922317504883
2014-12-10,31.175071716308594
2014-12-11,31.013309478759766
2014-12-12,30.55010414123535
2014-12-15,30.58686637878418
2014-12-16,30.58686637878418
2014-12-17,30.770671844482422
2014-12-18,31.623579025268555
2014-12-19,31.733856201171875
2014-12-22,32.13825988769531
2014-12-23,32.62352752685547
2014-12-24,32.86616897583008
2014-12-26,32.63824462890625
2014-12-29,32.770591735839844
2014-12-30,32.51324462890625
2014-12-31,32.24855041503906
2015-01-02,32.06473159790039
2015-01-05,31.5794677734375
2015-01-06,31.23388671875
2015-01-07,31.733856201171875
2015-01-08,32.344146728515625
2015-01-09,32.14561080932617
2015-01-12,31.814754486083984
2015-01-13,31.880922317504883
2015-01-14,31.513282775878906
2015-01-15,31.358875274658203
2015-01-16,31.248594284057617
2015-01-20,30.97655487060547
2015-01-21,31.109472274780273
2015-01-22,31.441757202148438
2015-01-23,31.30144691467285
2015-01-26,31.16114616394043
2015-01-27,30.71811294555664
2015-01-28,30.44489097595215
2015-01-29,30.799327850341797
2015-01-30,30.134754180908203
2015-02-02,30.599950790405273
2015-02-03,30.90270233154297
2015-02-04,30.577804565429688
2015-02-05,31.042997360229492
2015-02-06,30.69594955444336
2015-02-09,30.83623695373535
2015-02-10,30.98394012451172
2015-02-11,30.969167709350586
2015-02-12,31.692811965942383
2015-02-13,31.892189025878906
2015-02-17,31.840486526489258
2015-02-18,31.582056045532227
2015-02-19,31.55989646911621
2015-02-20,31.530353546142578
2015-02-23,31.375286102294922
2015-02-24,31.46389389038086
2015-02-25,31.678035736083984
2015-02-26,31.522981643676758
2015-02-27,31.175920486450195
2015-03-02,31.943878173828125
2015-03-03,31.840486526489258
2015-03-04,31.604190826416016
2015-03-05,31.50821304321289
2015-03-06,31.08731460571289
2015-03-09,31.397445678710938
2015-03-10,30.74764060974121
2015-03-11,30.688568115234375
2015-03-12,31.2940731048584
2015-03-13,31.07254409790039
2015-03-16,31.24976348876953
2015-03-17,31.22023582458496
2015-03-18,31.692811965942383
2015-03-19,31.500831604003906
2015-03-20,31.855268478393555
2015-03-23,32.091552734375
2015-03-24,31.988183975219727
2015-03-25,31.847881317138672
2015-03-26,31.522981643676758
2015-03-27,31.5968074798584
2015-03-30,32.091552734375
2015-03-31,31.79619598388672
2015-04-01,31.810955047607422
2015-04-02,31.995555877685547
2015-04-06,31.892189025878906
2015-04-07,31.604190826416016
2015-04-08,31.75926971435547
2015-04-09,32.091552734375
2015-04-10,32.08417510986328
2015-04-13,31.8626708984375
2015-04-14,31.91433334350586
2015-04-15,32.02509689331055
2015-04-16,31.980777740478516
2015-04-17,31.330984115600586
2015-04-20,31.55989646911621
2015-04-21,31.434364318847656
2015-04-22,31.608732223510742
2015-04-23,31.601308822631836
2015-04-24,29.709238052368164
2015-04-27,29.68697738647461
2015-04-28,29.657306671142578
2015-04-29,29.68697738647461
2015-04-30,29.219526290893555
2015-05-01,29.405025482177734
2015-05-04,29.583093643188477
2015-05-05,29.308574676513672
2015-05-06,29.375341415405273
2015-05-07,29.367931365966797
2015-05-08,29.508901596069336
2015-05-11,29.315977096557617
2015-05-12,28.974679946899414
2015-05-13,29.145328521728516
2015-05-14,29.39019012451172
2015-05-15,29.28630828857422
2015-05-18,29.494054794311523
2015-05-19,29.820539474487305
2015-05-20,30.2954158782959
2015-05-21,30.33992576599121
2015-05-22,30.369609832763672
2015-05-26,29.991199493408203
2015-05-27,30.250896453857422
2015-05-28,30.236053466796875
2015-05-29,29.946680068969727
2015-06-01,29.87990379333496
2015-06-02,29.946680068969727
2015-06-03,30.087650299072266
2015-06-04,29.768596649169922
2015-06-05,29.842798233032227
2015-06-08,29.73892593383789
2015-06-09,29.8502140045166
2015-06-10,30.02829360961914
2015-06-11,30.124755859375
2015-06-12,29.88731575012207
2015-06-15,29.412445068359375
2015-06-16,29.620195388793945
2015-06-17,29.87990379333496
2015-06-18,30.013465881347656
2015-06-19,29.78343963623047
2015-06-22,29.6795654296875
2015-06-23,29.553424835205078
2015-06-24,29.456972122192383
2015-06-25,29.093385696411133
2015-06-26,29.22694969177246
2015-06-29,28.440439224243164
2015-06-30,28.551733016967773
2015-07-01,28.818857192993164
2015-07-02,28.499797821044922
2015-07-06,28.35140037536621
2015-07-07,28.707569122314453
2015-07-08,28.02492332458496
2015-07-09,28.17332649230957
2015-07-10,27.987823486328125
2015-07-13,28.29203987121582
2015-07-14,28.277202606201172
2015-07-15,28.32172203063965
2015-07-16,28.603681564331055
2015-07-17,28.492372512817383
2015-07-20,28.42560577392578
2015-07-21,28.25494956970215
2015-07-22,27.74393081665039
2015-07-23,27.65441131591797
2015-07-24,27.184438705444336
2015-07-27,27.07252311706543
2015-07-28,27.184438705444336
2015-07-29,27.445533752441406
2015-07-30,27.549972534179688
2015-07-31,28.340730667114258
2015-08-03,28.48247528076172
2015-08-04,28.549612045288086
2015-08-05,28.55708122253418
2015-08-06,28.594375610351562
2015-08-07,28.333276748657227
2015-08-10,28.743574142456055
2015-08-11,28.228836059570312
2015-08-12,28.27359390258789
2015-08-13,27.952808380126953
2015-08-14,28.0572509765625
2015-08-17,28.325817108154297
2015-08-18,28.400407791137695
2015-08-19,27.908056259155273
2015-08-20,27.415691375732422
2015-08-21,26.803955078125
2015-08-24,25.819236755371094
2015-08-25,25.923683166503906
2015-08-26,26.498098373413086
2015-08-27,27.16950798034668
2015-08-28,27.139665603637695
2015-08-31,27.07252311706543
2015-09-01,26.43096351623535
2015-09-02,26.856185913085938
2015-09-03,26.98301124572754
2015-09-04,26.41603660583496
2015-09-08,27.139665603637695
2015-09-09,26.751739501953125
2015-09-10,26.65476417541504
2015-09-11,26.82634735107422
2015-09-14,26.886028289794922
2015-09-15,27.318706512451172
2015-09-16,27.520130157470703
2015-09-17,27.176965713500977
2015-09-18,26.498098373413086
2015-09-21,26.490646362304688
2015-09-22,26.043045043945312
2015-09-23,25.826698303222656
2015-09-24,25.528297424316406
2015-09-25,25.714794158935547
2015-09-28,25.028474807739258
2015-09-29,24.909109115600586
2015-09-30,24.961326599121094
2015-10-01,25.267194747924805
2015-10-02,25.655120849609375
2015-10-05,26.013195037841797
2015-10-06,26.23700523376465
2015-10-07,26.54286003112793
2015-10-08,27.027767181396484
2015-10-09,27.124753952026367
2015-10-12,26.915863037109375
2015-10-13,26.6622257232666
2015-10-14,26.900949478149414
2015-10-15,27.199344635009766
2015-10-16,27.206811904907227
2015-10-19,26.968090057373047
2015-10-20,27.326168060302734
2015-10-21,27.05234146118164
2015-10-22,27.870067596435547
2015-10-23,27.720029830932617
2015-10-26,27.449951171875
2015-10-27,26.999826431274414
2015-10-28,27.172378540039062
2015-10-29,27.36742401123047
2015-10-30,27.337417602539062
2015-11-02,27.80255126953125
2015-11-03,27.825054168701172
2015-11-04,27.75753402709961
2015-11-05,27.697521209716797
2015-11-06,27.772533416748047
2015-11-09,27.584983825683594
2015-11-10,27.547475814819336
2015-11-11,28.01261329650879
2015-11-12,27.382436752319336
2015-11-13,26.48969268798828
2015-11-16,26.789772033691406
2015-11-17,26.617225646972656
2015-11-18,26.88730239868164
2015-11-19,26.879796981811523
2015-11-20,26.737258911132812
2015-11-23,26.48969268798828
2015-11-24,26.414674758911133
2015-11-25,26.444679260253906
2015-11-27,26.36965560913086
2015-11-30,26.48969268798828
2015-12-01,26.249629974365234
2015-12-02,25.57444190979004
2015-12-03,25.311874389648438
2015-12-04,25.476909637451172
2015-12-07,25.379384994506836
2015-12-08,24.92926788330078
2015-12-09,24.944272994995117
2015-12-10,24.72671127319336
2015-12-11,24.351608276367188
2015-12-14,23.833974838256836
2015-12-15,23.8864803314209
2015-12-16,24.17156410217285
2015-12-17,23.466367721557617
2015-12-18,23.136280059814453
2015-12-21,23.391353607177734
2015-12-22,23.8189640045166
2015-12-23,24.254087448120117
2015-12-24,24.081539154052734
2015-12-28,24.15655517578125
2015-12-29,24.494150161743164
2015-12-30,24.15655517578125
2015-12-31,23.923995971679688
2016-01-04,23.84897232055664
2016-01-05,23.56390380859375
2016-01-06,23.338836669921875
2016-01-07,22.746179580688477
2016-01-08,22.708667755126953
2016-01-11,22.716167449951172
2016-01-12,22.933725357055664
2016-01-13,22.363576889038086
2016-01-14,22.671152114868164
2016-01-15,22.723674774169922
2016-01-19,22.89621925354004
2016-01-20,22.52235221862793
2016-01-21,22.65074348449707
2016-01-22,23.103914260864258
2016-01-25,25.79269790649414
2016-01-26,25.664304733276367
2016-01-27,25.39240264892578
2016-01-28,25.286666870117188
2016-01-29,25.973968505859375
2016-02-01,25.73982810974121
2016-02-02,25.490591049194336
2016-02-03,25.89089012145996
2016-02-04,26.208101272583008
2016-02-05,26.419584274291992
2016-02-08,26.230762481689453
2016-02-09,26.17034149169922
2016-02-10,25.754940032958984
2016-02-11,25.11295509338379
2016-02-12,25.316879272460938
2016-02-16,25.83047103881836
2016-02-17,26.396926879882812
2016-02-18,26.057048797607422
2016-02-19,25.354644775390625
2016-02-22,25.80780601501465
2016-02-23,25.543458938598633
2016-02-24,25.981517791748047
2016-02-25,26.34404945373535
2016-02-26,26.744346618652344
2016-02-29,26.57063865661621
2016-03-01,27.20506477355957
2016-03-02,27.091773986816406
2016-03-03,27.280593872070312
2016-03-04,27.416545867919922
2016-03-07,27.439207077026367
2016-03-08,27.031347274780273
2016-03-09,27.182403564453125
2016-03-10,26.751909255981445
2016-03-11,27.401439666748047
2016-03-14,27.52227783203125
2016-03-15,27.2579402923584
2016-03-16,27.45431137084961
2016-03-17,27.70355796813965
2016-03-18,27.612916946411133
2016-03-21,27.57515525817871
2016-03-22,27.318359375
2016-03-23,26.978483200073242
2016-03-24,27.197521209716797
2016-03-28,27.318359375
2016-03-29,27.310813903808594
2016-03-30,27.658233642578125
2016-03-31,27.72620964050293
2016-04-01,27.80173683166504
2016-04-04,27.57515525817871
2016-04-05,26.751909255981445
2016-04-06,26.61595344543457
2016-04-07,26.47245216369629
2016-04-08,26.751909255981445
2016-04-11,26.918066024780273
2016-04-12,27.167308807373047
2016-04-13,27.72620964050293
2016-04-14,27.967905044555664
2016-04-15,27.786630630493164
2016-04-18,27.907482147216797
2016-04-19,27.741317749023438
2016-04-20,27.84385108947754
2016-04-21,29.499595642089844
2016-04-22,29.765430450439453
2016-04-25,29.727445602416992
2016-04-26,29.955297470092773
2016-04-27,30.16796875
2016-04-28,29.924924850463867
2016-04-29,29.256549835205078
2016-05-02,29.104642868041992
2016-05-03,28.702106475830078
2016-05-04,28.35272979736328
2016-05-05,28.284364700317383
