,ROK
2014-01-02,93.22908020019531
2014-01-03,94.39061737060547
2014-01-06,93.34123992919922
2014-01-07,93.7577896118164
2014-01-08,93.30116271972656
2014-01-09,93.2691421508789
2014-01-10,93.69366455078125
2014-01-13,92.17967224121094
2014-01-14,94.71907043457031
2014-01-15,95.21573638916016
2014-01-16,95.85660552978516
2014-01-17,95.51213836669922
2014-01-21,95.99278259277344
2014-01-22,95.3759536743164
2014-01-23,93.73374938964844
2014-01-24,90.51343536376953
2014-01-27,90.48941802978516
2014-01-28,92.131591796875
2014-01-29,92.19569396972656
2014-01-30,92.20370483398438
2014-01-31,91.99542999267578
2014-02-03,89.6963119506836
2014-02-04,89.0634765625
2014-02-05,88.04610443115234
2014-02-06,88.6308822631836
2014-02-07,90.0007553100586
2014-02-10,89.75240325927734
2014-02-11,90.90597534179688
2014-02-12,92.57218170166016
2014-02-13,93.75569915771484
2014-02-14,94.19850158691406
2014-02-18,95.40620422363281
2014-02-19,95.0036392211914
2014-02-20,95.80072021484375
2014-02-21,96.06637573242188
2014-02-24,97.06475830078125
2014-02-25,97.2982177734375
2014-02-26,98.00670623779297
2014-02-27,98.3690185546875
2014-02-28,98.9004135131836
2014-03-03,97.89401245117188
2014-03-04,99.83432006835938
2014-03-05,99.42369842529297
2014-03-06,99.3995590209961
2014-03-07,100.41407012939453
2014-03-10,99.6250228881836
2014-03-11,98.28045654296875
2014-03-12,98.06310272216797
2014-03-13,96.8151626586914
2014-03-14,96.61387634277344
2014-03-17,98.42538452148438
2014-03-18,99.25464630126953
2014-03-19,98.4092788696289
2014-03-20,98.86819458007812
2014-03-21,99.06141662597656
2014-03-24,98.3287582397461
2014-03-25,99.56863403320312
2014-03-26,98.3609619140625
2014-03-27,98.04696655273438
2014-03-28,100.03561401367188
2014-03-31,100.27714538574219
2014-04-01,100.51060485839844
2014-04-02,101.52505493164062
2014-04-03,102.153076171875
2014-04-04,100.24494171142578
2014-04-07,98.21603393554688
2014-04-08,99.00505828857422
2014-04-09,99.78604888916016
2014-04-10,97.8779067993164
2014-04-11,97.2579574584961
2014-04-14,97.78128051757812
2014-04-15,98.5703125
2014-04-16,101.2030258178711
2014-04-17,102.26576232910156
2014-04-21,102.85352325439453
2014-04-22,102.78910064697266
2014-04-23,102.37847900390625
2014-04-24,102.76494598388672
2014-04-25,100.71996307373047
2014-04-28,100.26103973388672
2014-04-29,93.09549713134766
2014-04-30,95.95366668701172
2014-05-01,96.791015625
2014-05-02,96.26766967773438
2014-05-05,96.48505401611328
2014-05-06,95.66380310058594
2014-05-07,96.27571868896484
2014-05-08,95.7498779296875
2014-05-09,95.37770080566406
2014-05-12,98.23360443115234
2014-05-13,97.64299774169922
2014-05-14,96.78539276123047
2014-05-15,96.89868927001953
2014-05-16,97.23847198486328
2014-05-19,98.23360443115234
2014-05-20,96.20291900634766
2014-05-21,96.76112365722656
2014-05-22,96.9876708984375
2014-05-23,98.10413360595703
2014-05-27,98.93746948242188
2014-05-28,98.00706481933594
2014-05-29,97.38410949707031
2014-05-30,97.95854949951172
2014-06-02,99.23680877685547
2014-06-03,99.09119415283203
2014-06-04,98.98600769042969
2014-06-05,101.37268829345703
2014-06-06,102.21407318115234
2014-06-09,103.41954803466797
2014-06-10,102.45680236816406
2014-06-11,102.07655334472656
2014-06-12,101.37268829345703
2014-06-13,101.63156127929688
2014-06-16,101.6639404296875
2014-06-17,102.69139862060547
2014-06-18,101.68822479248047
2014-06-19,101.405029296875
2014-06-20,102.94223022460938
2014-06-23,102.32733917236328
2014-06-24,100.54743957519531
2014-06-25,100.91962432861328
2014-06-26,100.89533996582031
2014-06-27,101.80956268310547
2014-06-30,101.2593994140625
2014-07-01,101.68822479248047
2014-07-02,101.33223724365234
2014-07-03,102.09272003173828
2014-07-07,101.33223724365234
2014-07-08,100.38563537597656
2014-07-09,100.78205871582031
2014-07-10,99.45523834228516
2014-07-11,99.66558837890625
2014-07-14,99.96492767333984
2014-07-15,99.7060546875
2014-07-16,99.7060546875
2014-07-17,97.62682342529297
2014-07-18,99.10736846923828
2014-07-21,99.09119415283203
2014-07-22,99.4795150756836
2014-07-23,99.22061920166016
2014-07-24,99.23680877685547
2014-07-25,99.5604019165039
2014-07-28,99.0021743774414
2014-07-29,97.06049346923828
2014-07-30,91.68846130371094
2014-07-31,90.33738708496094
2014-08-01,90.25648498535156
2014-08-04,91.32439422607422
2014-08-05,90.8632583618164
2014-08-06,90.4263687133789
2014-08-07,90.71914672851562
2014-08-08,92.02035522460938
2014-08-11,92.49205780029297
2014-08-12,92.10979461669922
2014-08-13,92.874267578125
2014-08-14,93.370361328125
2014-08-15,92.94746398925781
2014-08-18,94.06976318359375
2014-08-19,94.56584167480469
2014-08-20,95.52550506591797
2014-08-21,95.46857452392578
2014-08-22,94.7041015625
2014-08-25,95.43602752685547
2014-08-26,94.63089752197266
2014-08-27,94.63907623291016
2014-08-28,94.63907623291016
2014-08-29,94.834228515625
2014-09-02,95.29778289794922
2014-09-03,94.73664855957031
2014-09-04,95.13513946533203
2014-09-05,95.30592346191406
2014-09-08,94.80168914794922
2014-09-09,94.2812271118164
2014-09-10,94.1917724609375
2014-09-11,94.4682846069336
2014-09-12,93.85018920898438
2014-09-15,93.92337036132812
2014-09-16,94.57398986816406
2014-09-17,94.45199584960938
2014-09-18,95.73694610595703
2014-09-19,95.25714111328125
2014-09-22,93.52489471435547
2014-09-23,92.93119812011719
2014-09-24,92.14234924316406
2014-09-25,90.67037200927734
2014-09-26,91.76824951171875
2014-09-29,90.6622085571289
