,BKR
2014-01-02,29.144622802734375
2014-01-03,28.88588523864746
2014-01-06,28.783483505249023
2014-01-07,28.454675674438477
2014-01-08,28.142047882080078
2014-01-09,27.931827545166016
2014-01-10,28.600208282470703
2014-01-13,28.325319290161133
2014-01-14,28.589420318603516
2014-01-15,28.837379455566406
2014-01-16,28.96135711669922
2014-01-17,29.182348251342773
2014-01-21,30.578407287597656
2014-01-22,30.6053466796875
2014-01-23,30.69159698486328
2014-01-24,30.41669464111328
2014-01-27,30.319679260253906
2014-01-28,30.314289093017578
2014-01-29,30.082508087158203
2014-01-30,30.806737899780273
2014-01-31,30.612171173095703
2014-02-03,30.37434959411621
2014-02-04,30.833763122558594
2014-02-05,30.81214141845703
2014-02-06,31.433677673339844
2014-02-07,32.16332244873047
2014-02-10,31.925514221191406
2014-02-11,32.6929817199707
2014-02-12,32.260581970214844
2014-02-13,32.30384063720703
2014-02-14,32.25517654418945
2014-02-18,33.06049346923828
2014-02-19,32.806461334228516
2014-02-20,33.092918395996094
2014-02-21,32.97941970825195
2014-02-24,34.092777252197266
2014-02-25,33.67121505737305
2014-02-26,33.536102294921875
2014-02-27,33.703643798828125
2014-02-28,34.20088195800781
2014-03-03,34.163055419921875
2014-03-04,34.573795318603516
2014-03-05,34.071163177490234
2014-03-06,34.3089714050293
2014-03-07,34.211692810058594
2014-03-10,34.2279052734375
2014-03-11,33.6982421875
2014-03-12,33.33613967895508
2014-03-13,33.28207015991211
2014-03-14,33.400970458984375
2014-03-17,33.94145202636719
2014-03-18,33.422603607177734
2014-03-19,33.24964904785156
2014-03-20,33.15777587890625
2014-03-21,33.56852340698242
2014-03-24,33.31451416015625
2014-03-25,33.90903091430664
2014-03-26,33.94145202636719
2014-03-27,34.37383270263672
2014-03-28,35.27640914916992
2014-03-31,35.141292572021484
2014-04-01,35.4439582824707
2014-04-02,35.519615173339844
2014-04-03,35.47638702392578
2014-04-04,35.49800109863281
2014-04-07,34.292755126953125
2014-04-08,34.94131851196289
2014-04-09,35.08723831176758
2014-04-10,34.66027069091797
2014-04-11,34.24951171875
2014-04-14,34.84403991699219
2014-04-15,35.303428649902344
2014-04-16,35.838504791259766
2014-04-17,36.93025207519531
2014-04-21,37.96794509887695
2014-04-22,37.93552017211914
2014-04-23,38.0382080078125
2014-04-24,37.708526611328125
2014-04-25,37.65988540649414
2014-04-28,37.4653205871582
2014-04-29,37.58961868286133
2014-04-30,37.778785705566406
2014-05-01,37.44839096069336
2014-05-02,37.74628829956055
2014-05-05,37.95752716064453
2014-05-06,38.07667922973633
2014-05-07,38.612892150878906
2014-05-08,37.973777770996094
2014-05-09,37.30757522583008
2014-05-12,37.9683723449707
2014-05-13,37.914180755615234
2014-05-14,38.011695861816406
2014-05-15,37.3292236328125
2014-05-16,37.27507400512695
2014-05-19,37.762542724609375
2014-05-20,37.48630142211914
2014-05-21,37.713783264160156
2014-05-22,37.751705169677734
2014-05-23,37.90877914428711
2014-05-27,37.87086868286133
2014-05-28,37.90877914428711
2014-05-29,38.282493591308594
2014-05-30,38.19584655761719
2014-06-02,38.239173889160156
2014-06-03,38.19042205810547
2014-06-04,38.06584930419922
2014-06-05,38.40166473388672
2014-06-06,38.997459411621094
2014-06-09,38.862037658691406
2014-06-10,38.639976501464844
2014-06-11,38.42333221435547
2014-06-12,38.163333892822266
2014-06-13,38.53706741333008
2014-06-16,38.347503662109375
2014-06-17,38.645389556884766
2014-06-18,39.25202941894531
2014-06-19,39.53909683227539
2014-06-20,40.42194366455078
2014-06-23,39.91281509399414
2014-06-24,38.69955825805664
2014-06-25,39.45782470703125
2014-06-26,39.593231201171875
2014-06-27,40.05904006958008
2014-06-30,40.324459075927734
2014-07-01,40.36779022216797
2014-07-02,40.81193161010742
2014-07-03,40.65483856201172
2014-07-07,40.243202209472656
2014-07-08,39.90740203857422
2014-07-09,40.1348762512207
2014-07-10,39.75574493408203
2014-07-11,39.37660217285156
2014-07-14,39.76656723022461
2014-07-15,39.441585540771484
2014-07-16,40.291954040527344
2014-07-17,39.28993606567383
