,EQT
2014-01-02,44.82596206665039
2014-01-03,44.244991302490234
2014-01-06,44.35106658935547
2014-01-07,44.381378173828125
2014-01-08,44.66933822631836
2014-01-09,43.4467658996582
2014-01-10,43.45687484741211
2014-01-13,42.613189697265625
2014-01-14,43.674110412597656
2014-01-15,43.99238586425781
2014-01-16,44.997711181640625
2014-01-17,44.26519012451172
2014-01-21,45.75551223754883
2014-01-22,46.59918975830078
2014-01-23,46.41226577758789
2014-01-24,45.82119369506836
2014-01-27,45.14928436279297
2014-01-28,46.018218994140625
2014-01-29,45.59890365600586
2014-01-30,45.4675407409668
2014-01-31,46.887149810791016
2014-02-03,46.54362106323242
2014-02-04,48.31179428100586
2014-02-05,47.54391860961914
2014-02-06,47.594425201416016
2014-02-07,47.6146240234375
2014-02-10,47.705570220947266
2014-02-11,48.36231994628906
2014-02-12,48.145015716552734
2014-02-13,48.33199691772461
2014-02-14,49.35787582397461
2014-02-18,50.65157699584961
2014-02-19,50.540401458740234
2014-02-20,50.55049133300781
2014-02-21,50.94466781616211
2014-02-24,51.43992614746094
2014-02-25,51.16703414916992
2014-02-26,50.57577133178711
2014-02-27,51.12156295776367
2014-02-28,51.69258499145508
2014-03-03,50.899200439453125
2014-03-04,51.530887603759766
2014-03-05,50.73747634887695
2014-03-06,50.62630081176758
2014-03-07,50.86382293701172
2014-03-10,51.44498062133789
2014-03-11,50.86887741088867
2014-03-12,50.919410705566406
2014-03-13,51.02048110961914
2014-03-14,51.72291564941406
2014-03-17,52.05644989013672
2014-03-18,52.70835494995117
2014-03-19,52.12215042114258
2014-03-20,52.2535400390625
2014-03-21,52.19794845581055
2014-03-24,51.78860855102539
2014-03-25,50.070404052734375
2014-03-26,48.15512466430664
2014-03-27,48.938419342041016
2014-03-28,49.79248046875
2014-03-31,49.00410461425781
2014-04-01,49.85311508178711
2014-04-02,51.18724060058594
2014-04-03,52.127201080322266
2014-04-04,52.1524772644043
2014-04-07,51.24789810180664
2014-04-08,51.970550537109375
2014-04-09,52.98125076293945
2014-04-10,51.803775787353516
2014-04-11,51.56121063232422
2014-04-14,51.596588134765625
2014-04-15,51.98571014404297
2014-04-16,52.33945846557617
2014-04-17,52.92060089111328
2014-04-21,53.36026382446289
2014-04-22,53.072208404541016
2014-04-23,53.35520553588867
2014-04-24,54.66407775878906
2014-04-25,53.188446044921875
2014-04-28,53.92121505737305
2014-04-29,54.79041290283203
2014-04-30,55.078468322753906
2014-05-01,55.20985794067383
2014-05-02,55.50801467895508
2014-05-05,55.12394332885742
2014-05-06,54.69944763183594
