,GEHC
2022-12-15,59.84109878540039
2022-12-16,56.58972930908203
2022-12-19,56.350364685058594
2022-12-20,57.05848693847656
2022-12-21,56.80914688110352
2022-12-22,57.44744873046875
2022-12-23,57.34771728515625
2022-12-27,57.297855377197266
2022-12-28,57.34771728515625
2022-12-29,57.84638977050781
2022-12-30,58.22538757324219
2023-01-03,55.851688385009766
2023-01-04,60.32979965209961
2023-01-05,58.843746185302734
2023-01-06,58.79388046264648
2023-01-09,57.94612884521485
2023-01-10,59.84109878540039
2023-01-11,64.81787872314453
2023-01-12,65.47612762451172
2023-01-13,65.26668548583984
2023-01-17,63.16228103637695
2023-01-18,61.91558837890625
2023-01-19,63.770660400390625
2023-01-20,66.59317779541016
2023-01-23,69.33588409423828
2023-01-24,69.41566467285156
2023-01-25,68.52803039550781
2023-01-26,69.03668975830078
2023-01-27,69.89440155029297
2023-01-30,71.31063842773438
2023-01-31,69.33588409423828
2023-02-01,69.82459259033203
2023-02-02,70.462890625
2023-02-03,70.36315155029297
2023-02-06,71.66969299316406
2023-02-07,71.44029235839844
2023-02-08,69.98416900634766
2023-02-09,68.22882843017578
2023-02-10,69.05662536621094
2023-02-13,69.24613189697266
2023-02-14,72.41769409179688
2023-02-15,72.12846374511719
2023-02-16,70.72220611572266
2023-02-17,72.97620391845703
2023-02-21,72.27806854248047
2023-02-22,71.74946594238281
2023-02-23,75.69898223876953
2023-02-24,74.81133270263672
2023-02-27,75.83861541748047
2023-02-28,75.7987289428711
2023-03-01,75.10057830810547
2023-03-02,74.84126281738281
2023-03-03,76.1677474975586
2023-03-06,76.47692108154297
2023-03-07,76.04806518554688
2023-03-08,76.42704772949219
2023-03-09,76.1777114868164
2023-03-10,74.77144622802734
2023-03-13,76.0380859375
2023-03-14,76.93570709228516
2023-03-15,76.55671691894531
2023-03-16,76.41708374023438
2023-03-17,75.63914489746094
2023-03-20,75.00083923339844
2023-03-21,76.31735229492188
2023-03-22,74.57198333740234
2023-03-23,75.50949096679688
2023-03-24,76.25752258300781
2023-03-27,76.1777114868164
2023-03-28,76.69633483886719
2023-03-29,79.03013610839844
2023-03-30,81.92245483398438
2023-03-31,81.81275177001953
2023-04-03,81.59333038330078
2023-04-04,81.37391662597656
2023-04-05,80.90516662597656
2023-04-06,79.94771575927734
2023-04-10,80.37655639648438
2023-04-11,80.37655639648438
2023-04-12,81.53349304199219
2023-04-13,82.72035217285156
2023-04-14,82.15185546875
2023-04-17,82.50093078613281
2023-04-18,83.43843078613281
2023-04-19,85.52290344238281
2023-04-20,84.77489471435547
2023-04-21,86.25096893310547
2023-04-24,87.55750274658203
2023-04-25,80.17709350585938
2023-04-26,79.90782165527344
2023-04-27,81.3041000366211
2023-04-28,81.12457275390625
2023-05-01,80.56605529785156
2023-05-02,78.25220489501953
2023-05-03,79.4989013671875
2023-05-04,78.052734375
2023-05-05,78.78079986572266
2023-05-08,79.20965576171875
