,NTRS
2014-01-02,45.84519577026367
2014-01-03,46.153907775878906
2014-01-06,45.867794036865234
2014-01-07,46.45507049560547
2014-01-08,46.696014404296875
2014-01-09,46.29695510864258
2014-01-10,46.01837921142578
2014-01-13,45.49886703491211
2014-01-14,45.62685775756836
2014-01-15,46.078617095947266
2014-01-16,45.96566390991211
2014-01-17,45.70967483520508
2014-01-21,45.634395599365234
2014-01-22,47.140228271484375
2014-01-23,47.13269805908203
2014-01-24,46.025909423828125
2014-01-27,45.589202880859375
2014-01-28,45.7473258972168
2014-01-29,45.702144622802734
2014-01-30,46.01837921142578
2014-01-31,45.340755462646484
2014-02-03,43.970436096191406
2014-02-04,45.009456634521484
2014-02-05,44.542640686035156
2014-02-06,44.986881256103516
2014-02-07,45.72472381591797
2014-02-10,45.815086364746094
2014-02-11,46.50777816772461
2014-02-12,46.583065032958984
2014-02-13,46.7110595703125
2014-02-14,46.86918258666992
2014-02-18,46.846588134765625
2014-02-19,46.25179672241211
2014-02-20,46.3346061706543
2014-02-21,46.605655670166016
2014-02-24,47.01975631713867
2014-02-25,46.57553482055664
2014-02-26,46.470123291015625
2014-02-27,46.81645965576172
2014-02-28,46.56800842285156
2014-03-03,46.17649841308594
2014-03-04,46.89929962158203
2014-03-05,47.01279830932617
2014-03-06,47.5349006652832
2014-03-07,48.44293212890625
2014-03-10,48.51858901977539
2014-03-11,47.77704620361328
2014-03-12,47.444114685058594
2014-03-13,46.76306915283203
2014-03-14,46.94468307495117
2014-03-17,47.48193359375
2014-03-18,47.73166275024414
2014-03-19,48.36725997924805
2014-03-20,49.62335968017578
2014-03-21,49.76711654663086
2014-03-24,49.67632293701172
2014-03-25,49.4190559387207
2014-03-26,48.93477249145508
2014-03-27,48.669925689697266
2014-03-28,49.116390228271484
2014-03-31,49.60823059082031
2014-04-01,49.751991271972656
2014-04-02,49.668766021728516
2014-04-03,49.540122985839844
2014-04-04,48.548866271972656
2014-04-07,47.5424690246582
2014-04-08,47.353302001953125
2014-04-09,47.504638671875
2014-04-10,46.581485748291016
2014-04-11,45.847503662109375
2014-04-14,46.32421112060547
2014-04-15,45.121089935302734
2014-04-16,44.67464065551758
2014-04-17,44.939476013183594
2014-04-21,45.33295822143555
2014-04-22,45.620506286621094
2014-04-23,46.03667068481445
2014-04-24,45.5826530456543
2014-04-25,45.00001525878906
2014-04-28,44.795719146728516
2014-04-29,45.41617965698242
2014-04-30,45.59023666381836
2014-05-01,45.44645690917969
2014-05-02,45.77183151245117
2014-05-05,45.514556884765625
2014-05-06,44.97732162475586
2014-05-07,45.88533401489258
2014-05-08,46.188011169433594
2014-05-09,46.2409782409668
2014-05-12,46.732818603515625
2014-05-13,46.70255661010742
2014-05-14,46.06694412231445
2014-05-15,45.11351776123047
2014-05-16,45.25728988647461
2014-05-19,45.46159744262695
2014-05-20,45.0756721496582
2014-05-21,45.31024932861328
2014-05-22,45.65077209472656
2014-05-23,45.67347717285156
2014-05-27,46.03667068481445
2014-05-28,45.99127960205078
2014-05-29,45.77183151245117
2014-05-30,45.7037353515625
2014-06-02,46.02910614013672
2014-06-03,46.112342834472656
2014-06-04,46.62968063354492
2014-06-05,46.88837814331055
2014-06-06,47.32962417602539
2014-06-09,47.65676498413086
2014-06-10,47.6948127746582
2014-06-11,47.245933532714844
2014-06-12,47.32201385498047
2014-06-13,47.32962417602539
2014-06-16,47.36005783081055
2014-06-17,48.60778045654297
2014-06-18,48.988197326660156
2014-06-19,48.78276062011719
2014-06-20,48.91209030151367
2014-06-23,48.775150299072266
2014-06-24,48.60017013549805
2014-06-25,48.80559158325195
2014-06-26,48.744712829589844
2014-06-27,49.033817291259766
2014-06-30,48.851226806640625
2014-07-01,49.071876525878906
2014-07-02,48.73711013793945
2014-07-03,49.36857986450195
2014-07-07,49.300106048583984
2014-07-08,48.78276062011719
2014-07-09,48.706687927246094
2014-07-10,48.56212615966797
2014-07-11,49.00339126586914
2014-07-14,49.01860809326172
2014-07-15,49.056663513183594
2014-07-16,49.056663513183594
2014-07-17,48.950130462646484
2014-07-18,49.467491149902344
2014-07-21,49.8250617980957
2014-07-22,50.26633834838867
2014-07-23,50.50978088378906
2014-07-24,51.05757141113281
2014-07-25,51.0727653503418
2014-07-28,51.11082458496094
2014-07-29,51.05757141113281
2014-07-30,51.64337921142578
2014-07-31,50.890193939208984
2014-08-01,50.31959533691406
2014-08-04,50.593475341796875
2014-08-05,49.9696159362793
2014-08-06,50.13698959350586
2014-08-07,49.97722625732422
2014-08-08,50.31196975708008
2014-08-11,50.40327835083008
2014-08-12,50.547821044921875
2014-08-13,50.80650329589844
2014-08-14,50.95866394042969
2014-08-15,50.66194534301758
2014-08-18,51.0880012512207
2014-08-19,50.943443298339844
2014-08-20,51.14887619018555
2014-08-21,51.727081298828125
2014-08-22,51.9325065612793
2014-08-25,52.4498405456543
2014-08-26,52.4498405456543
2014-08-27,52.47267150878906
2014-08-28,52.34333419799805
2014-08-29,52.76176452636719
2014-09-02,52.868289947509766
2014-09-03,53.051753997802734
2014-09-04,52.79948806762695
2014-09-05,52.83770751953125
2014-09-08,52.455482482910156
2014-09-09,52.187931060791016
2014-09-10,52.631309509277344
2014-09-11,52.79948806762695
2014-09-12,53.166419982910156
2014-09-15,53.00587463378906
2014-09-16,52.883567810058594
2014-09-17,53.43396759033203
2014-09-18,53.76266860961914
2014-09-19,53.2275390625
2014-09-22,53.151126861572266
2014-09-23,52.78420639038086
2014-09-24,52.906497955322266
2014-09-25,52.042694091796875
2014-09-26,52.47842025756836
2014-09-29,52.157344818115234
2014-09-30,52.00446701049805
2014-10-01,51.415855407714844
2014-10-02,51.49995422363281
2014-10-03,52.073265075683594
2014-10-06,52.149715423583984
2014-10-07,50.95720291137695
2014-10-08,51.50759506225586
2014-10-09,50.024593353271484
2014-10-10,49.3442268371582
2014-10-13,48.77091979980469
2014-10-14,48.763267517089844
2014-10-15,47.845951080322266
2014-10-16,47.97590255737305
2014-10-17,48.38869857788086
2014-10-20,48.62567901611328
2014-10-21,50.047523498535156
2014-10-22,47.31848907470703
2014-10-23,48.052330017089844
2014-10-24,48.648597717285156
2014-10-27,48.648597717285156
2014-10-28,49.061397552490234
2014-10-29,49.764678955078125
2014-10-30,49.864044189453125
2014-10-31,50.682003021240234
2014-11-03,50.292137145996094
2014-11-04,50.38386917114258
2014-11-05,50.674354553222656
2014-11-06,51.0871467590332
2014-11-07,51.14067077636719
2014-11-10,51.392921447753906
2014-11-11,51.66047668457031
2014-11-12,51.8745231628418
2014-11-13,51.61459732055664
