,PNC
2014-01-02,54.99967956542969
2014-01-03,55.25815200805664
2014-01-06,55.18634033203125
2014-01-07,55.59560775756836
2014-01-08,56.52183532714844
2014-01-09,56.85929870605469
2014-01-10,56.5577392578125
2014-01-13,55.86457824707031
2014-01-14,56.31947708129883
2014-01-15,56.925994873046875
2014-01-16,58.43505859375
2014-01-17,59.3953742980957
2014-01-21,60.73115921020508
2014-01-22,60.80336380004883
2014-01-23,59.68417739868164
2014-01-24,58.507259368896484
2014-01-27,58.341209411621094
2014-01-28,58.65889358520508
2014-01-29,57.66967010498047
2014-01-30,58.93327331542969
2014-01-31,57.67690658569336
2014-02-03,56.629947662353516
2014-02-04,56.95484924316406
2014-02-05,56.90431213378906
2014-02-06,57.640811920166016
2014-02-07,57.68413543701172
2014-02-10,57.648033142089844
2014-02-11,58.485591888427734
2014-02-12,58.500038146972656
2014-02-13,58.586669921875
2014-02-14,58.93327331542969
2014-02-18,58.88273239135742
2014-02-19,57.52529525756836
2014-02-20,57.749107360839844
2014-02-21,57.92964172363281
2014-02-24,58.73108673095703
2014-02-25,58.27621841430664
2014-02-26,58.57944107055664
2014-02-27,58.73108673095703
2014-02-28,59.048805236816406
2014-03-03,58.47117614746094
2014-03-04,59.229286193847656
2014-03-05,59.88634490966797
2014-03-06,59.79972839355469
2014-03-07,60.637306213378906
2014-03-10,60.71673583984375
2014-03-11,60.088539123535156
2014-03-12,60.261810302734375
2014-03-13,59.77805709838867
2014-03-14,59.828582763671875
2014-03-17,60.77447509765625
2014-03-18,61.099395751953125
2014-03-19,61.41709899902344
2014-03-20,62.55071258544922
2014-03-21,62.72399139404297
2014-03-24,62.781768798828125
2014-03-25,62.39907455444336
2014-03-26,61.604827880859375
2014-03-27,61.47487258911133
2014-03-28,61.900875091552734
2014-03-31,62.81784439086914
2014-04-01,63.00559616088867
2014-04-02,63.25831604003906
2014-04-03,63.11391067504883
2014-04-04,62.27635192871094
2014-04-07,61.243812561035156
2014-04-08,61.106624603271484
2014-04-09,61.07774353027344
