,MCHP
2014-01-02,17.647747039794922
2014-01-03,17.795570373535156
2014-01-06,17.759613037109375
2014-01-07,17.859493255615234
2014-01-08,18.0952205657959
2014-01-09,18.067258834838867
2014-01-10,18.007328033447266
2014-01-13,18.039291381835938
2014-01-14,18.422853469848633
2014-01-15,18.514745712280273
2014-01-16,18.486774444580078
2014-01-17,18.458810806274414
2014-01-21,18.478782653808594
2014-01-22,18.40287208557129
2014-01-23,17.975366592407227
2014-01-24,17.611783981323242
2014-01-27,17.603792190551758
2014-01-28,17.99933433532715
2014-01-29,17.82354164123535
2014-01-30,18.123197555541992
2014-01-31,17.923429489135742
2014-02-03,17.427995681762695
2014-02-04,17.423994064331055
2014-02-05,17.4599552154541
2014-02-06,17.463943481445312
2014-02-07,17.755617141723633
2014-02-10,17.883466720581055
2014-02-11,17.919429779052734
2014-02-12,18.1991024017334
2014-02-13,18.302995681762695
2014-02-14,18.28301429748535
2014-02-18,18.179128646850586
2014-02-19,18.08047103881836
2014-02-20,18.201276779174805
2014-02-21,18.22543716430664
2014-02-24,18.229467391967773
2014-02-25,18.257652282714844
2014-02-26,18.33416175842285
2014-02-27,18.36638069152832
2014-02-28,18.34221649169922
2014-03-03,18.100610733032227
2014-03-04,18.64826011657715
2014-03-05,18.744905471801758
2014-03-06,18.785167694091797
2014-03-07,18.756980895996094
2014-03-10,18.728790283203125
2014-03-11,18.603961944580078
2014-03-12,18.692546844482422
2014-03-13,18.587852478027344
2014-03-14,18.551610946655273
2014-03-17,18.80127716064453
2014-03-18,19.083154678344727
2014-03-19,19.034832000732422
2014-03-20,19.365036010742188
2014-03-21,19.107316970825195
2014-03-24,19.143556594848633
2014-03-25,19.191883087158203
2014-03-26,18.98651695251465
2014-03-27,18.704635620117188
2014-03-28,18.893892288208008
2014-03-31,19.232145309448242
2014-04-01,19.26838493347168
2014-04-02,19.437511444091797
2014-04-03,19.558320999145508
2014-04-04,18.998594284057617
2014-04-07,18.88986587524414
2014-04-08,19.163684844970703
2014-04-09,19.453622817993164
2014-04-10,18.909997940063477
2014-04-11,18.708662033081055
2014-04-14,18.765033721923828
2014-04-15,18.99456024169922
2014-04-16,18.704635620117188
2014-04-17,19.058990478515625
2014-04-21,19.16771125793457
2014-04-22,19.288524627685547
2014-04-23,19.344894409179688
2014-04-24,19.485836029052734
2014-04-25,18.990537643432617
2014-04-28,18.901941299438477
2014-04-29,19.04690933227539
2014-04-30,19.143556594848633
2014-05-01,18.78919219970703
2014-05-02,18.8334903717041
2014-05-05,18.829465866088867
2014-05-06,18.664363861083984
2014-05-07,18.88181495666504
2014-05-08,18.958328247070312
2014-05-09,18.877784729003906
2014-05-12,19.19590187072754
2014-05-13,18.88181495666504
2014-05-14,18.704635620117188
2014-05-15,18.463022232055664
2014-05-16,18.68449592590332
2014-05-19,18.828960418701172
2014-05-20,18.666643142700195
2014-05-21,18.80460548400879
2014-05-22,18.84518814086914
2014-05-23,18.934465408325195
2014-05-27,19.161718368530273
2014-05-28,19.177940368652344
2014-05-29,19.1982364654541
2014-05-30,19.31591033935547
2014-06-02,19.173885345458984
2014-06-03,19.24692726135254
2014-06-04,19.38084602355957
2014-06-05,19.587797164916992
2014-06-06,19.74200439453125
2014-06-09,20.005767822265625
2014-06-10,20.054466247558594
2014-06-11,20.070701599121094
2014-06-12,19.948963165283203
2014-06-13,19.940845489501953
2014-06-16,19.83127784729004
2014-06-17,20.022005081176758
2014-06-18,19.96925163269043
2014-06-19,19.961130142211914
2014-06-20,20.030120849609375
2014-06-23,20.078819274902344
2014-06-24,19.786636352539062
2014-06-25,19.81910514831543
2014-06-26,19.656784057617188
2014-06-27,19.746065139770508
2014-06-30,19.80693244934082
2014-07-01,20.196495056152344
2014-07-02,20.12750816345215
2014-07-03,20.220844268798828
2014-07-07,20.070701599121094
2014-07-08,20.005767822265625
2014-07-09,20.143741607666016
2014-07-10,19.993602752685547
2014-07-11,19.916500091552734
2014-07-14,19.916500091552734
2014-07-15,19.721715927124023
2014-07-16,19.78257942199707
2014-07-17,19.53911018371582
2014-07-18,19.697362899780273
2014-07-21,19.701425552368164
2014-07-22,19.835336685180664
2014-07-23,19.11707878112793
2014-07-24,19.149539947509766
2014-07-25,18.62606430053711
2014-07-28,18.719398498535156
2014-07-29,18.768091201782227
2014-07-30,18.768091201782227
2014-07-31,18.268962860107422
2014-08-01,18.682878494262695
2014-08-04,18.7640380859375
2014-08-05,18.751861572265625
2014-08-06,18.930410385131836
2014-08-07,18.49214744567871
2014-08-08,18.654468536376953
2014-08-11,18.77620506286621
2014-08-12,18.902006149291992
2014-08-13,19.080554962158203
2014-08-14,19.104904174804688
2014-08-15,19.222583770751953
2014-08-18,19.08461570739746
2014-08-19,19.238357543945312
2014-08-20,19.459152221679688
2014-08-21,19.54094123840332
2014-08-22,19.532756805419922
2014-08-25,19.50821876525879
2014-08-26,19.553199768066406
2014-08-27,19.487777709960938
2014-08-28,19.634981155395508
2014-08-29,19.9661808013916
2014-09-02,19.945741653442383
2014-09-03,19.85987091064453
2014-09-04,19.88031768798828
2014-09-05,19.974361419677734
2014-09-08,20.02342987060547
2014-09-09,19.876224517822266
2014-09-10,19.745376586914062
2014-09-11,19.782182693481445
2014-09-12,19.491870880126953
2014-09-15,19.344669342041016
2014-09-16,19.65133285522461
2014-09-17,19.79444694519043
2014-09-18,20.113388061523438
2014-09-19,19.80262565612793
2014-09-22,19.62680435180664
2014-09-23,19.422359466552734
2014-09-24,19.536846160888672
2014-09-25,19.361024856567383
2014-09-26,19.463247299194336
2014-09-29,19.4305362701416
2014-09-30,19.31195831298828
2014-10-01,18.837644577026367
2014-10-02,18.923507690429688
2014-10-03,18.862178802490234
2014-10-06,18.80084228515625
2014-10-07,18.371505737304688
2014-10-08,18.890798568725586
2014-10-09,18.620929718017578
2014-10-10,16.339317321777344
2014-10-13,15.820021629333496
2014-10-14,15.623750686645508
2014-10-15,15.42748737335205
2014-10-16,16.024471282958984
2014-10-17,15.697356224060059
2014-10-20,15.995842933654785
2014-10-21,16.5969181060791
2014-10-22,16.343402862548828
2014-10-23,16.49470329284668
2014-10-24,16.780920028686523
2014-10-27,16.834074020385742
2014-10-28,17.124391555786133
2014-10-29,17.263412475585938
2014-10-30,16.801361083984375
2014-10-31,17.627323150634766
2014-11-03,17.668214797973633
2014-11-04,17.533279418945312
2014-11-05,17.823585510253906
2014-11-06,17.790878295898438
2014-11-07,17.639589309692383
2014-11-10,17.78270149230957
2014-11-11,17.73772621154785
2014-11-12,17.73772621154785
2014-11-13,17.537372589111328
2014-11-14,17.72955322265625
2014-11-17,17.85221290588379
2014-11-18,18.003503799438477
2014-11-19,17.787904739379883
2014-11-20,17.825010299682617
2014-11-21,18.047607421875
2014-11-24,18.163040161132812
2014-11-25,18.187768936157227
2014-11-26,18.571155548095703
2014-11-28,18.61237335205078
2014-12-01,18.43923568725586
2014-12-02,18.4062557220459
2014-12-03,19.20599365234375
2014-12-04,18.971025466918945
