,LH
2016-03-23,94.53028869628906
2016-03-24,94.61325073242188
2016-03-28,94.70452880859375
2016-03-29,96.0405044555664
2016-03-30,97.79136657714844
2016-03-31,97.19391632080078
2016-04-01,98.27265167236328
2016-04-04,98.14818572998047
2016-04-05,97.33497619628906
2016-04-06,99.2352066040039
2016-04-07,98.29755401611328
2016-04-08,98.34732818603516
2016-04-11,97.61711883544922
2016-04-12,97.55072784423828
2016-04-13,98.12329864501953
2016-04-14,98.75393676757812
2016-04-15,99.2103271484375
2016-04-18,98.59628295898438
2016-04-19,98.73734283447266
2016-04-20,98.75393676757812
2016-04-21,100.40524291992188
2016-04-22,101.04418182373047
2016-04-25,103.8073959350586
2016-04-26,105.16825866699219
2016-04-27,105.38399505615234
2016-04-28,104.19738006591797
2016-04-29,103.98994445800781
2016-05-02,104.43804168701172
2016-05-03,103.99825286865234
2016-05-04,103.04397583007812
2016-05-05,103.30121612548828
2016-05-06,103.13524627685547
2016-05-09,103.67462921142578
2016-05-10,105.13506317138672
2016-05-11,105.15995788574219
2016-05-12,104.35505676269531
2016-05-13,105.23463439941406
2016-05-16,105.74911499023438
2016-05-17,104.71188354492188
2016-05-18,104.78656005859375
2016-05-19,104.63717651367188
2016-05-20,105.06037902832031
2016-05-23,105.05208587646484
2016-05-24,106.34656524658203
2016-05-25,105.86528015136719
2016-05-26,105.6412353515625
2016-05-27,106.22209167480469
2016-05-31,106.17230987548828
2016-06-01,106.41295623779297
2016-06-02,107.5082778930664
2016-06-03,106.96062469482422
2016-06-06,107.8567886352539
2016-06-07,107.5248794555664
2016-06-08,109.10149383544922
2016-06-09,108.86084747314453
2016-06-10,108.12232208251953
2016-06-13,105.83210754394531
2016-06-14,106.03953552246094
2016-06-15,104.87782287597656
2016-06-16,105.6744384765625
2016-06-17,104.3052749633789
2016-06-20,105.80719757080078
2016-06-21,106.40465545654297
2016-06-22,107.67424011230469
2016-06-23,108.8525390625
2016-06-24,107.55805969238281
2016-06-27,104.16419219970703
2016-06-28,104.9442138671875
2016-06-29,107.35891723632812
2016-06-30,108.0974349975586
2016-07-01,108.94381713867188
2016-07-05,108.47914123535156
2016-07-06,109.5080795288086
2016-07-07,109.5080795288086
2016-07-08,112.27130889892578
2016-07-11,112.47875213623047
2016-07-12,113.05961608886719
2016-07-13,112.76918029785156
2016-07-14,113.11769104003906
2016-07-15,113.00982666015625
2016-07-18,113.20066833496094
2016-07-19,113.51599884033203
2016-07-20,114.611328125
2016-07-21,114.41217041015625
2016-07-22,115.19216918945312
2016-07-25,114.37899017333984
2016-07-26,114.5117416381836
2016-07-27,114.17982482910156
2016-07-28,114.93495178222656
2016-07-29,115.80622863769531
2016-08-01,115.86432647705078
2016-08-02,115.6568832397461
2016-08-03,116.27921295166016
2016-08-04,116.24603271484375
2016-08-05,116.80199432373047
2016-08-08,115.6319808959961
2016-08-09,116.14645385742188
2016-08-10,116.29580688476562
2016-08-11,116.98455047607422
2016-08-12,116.21283721923828
2016-08-15,115.98048400878906
2016-08-16,115.25027465820312
2016-08-17,114.71089935302734
2016-08-18,115.10090637207031
2016-08-19,114.55323791503906
2016-08-22,114.8685531616211
2016-08-23,114.56983184814453
2016-08-24,113.11769104003906
2016-08-25,112.37088012695312
2016-08-26,112.8853530883789
2016-08-29,114.2960205078125
2016-08-30,114.2047348022461
2016-08-31,113.62387084960938
2016-09-01,112.96003723144531
2016-09-02,114.27111053466797
2016-09-06,114.81877899169922
2016-09-07,116.55305480957031
2016-09-08,115.44111633300781
2016-09-09,112.03897094726562
2016-09-12,113.65705871582031
2016-09-13,110.64490509033203
2016-09-14,110.35448455810547
2016-09-15,111.7568359375
2016-09-16,112.33768463134766
2016-09-19,112.03067016601562
2016-09-20,111.74853515625
2016-09-21,113.44962310791016
2016-09-22,114.37068176269531
2016-09-23,114.00556945800781
2016-09-26,113.69854736328125
2016-09-27,114.33748626708984
2016-09-28,113.59068298339844
2016-09-29,112.40408325195312
2016-09-30,114.08023834228516
2016-10-03,113.12599182128906
2016-10-04,112.85216522216797
2016-10-05,113.37493133544922
2016-10-06,114.08023834228516
2016-10-07,115.2336654663086
2016-10-10,115.42452239990234
2016-10-11,113.2504653930664
2016-10-12,113.28365325927734
2016-10-13,113.1591796875
2016-10-14,112.67790222167969
2016-10-17,112.82726287841797
2016-10-18,114.76897430419922
2016-10-19,114.53663635253906
2016-10-20,116.02198791503906
2016-10-21,115.14239501953125
2016-10-24,115.89751434326172
2016-10-25,114.85196685791016
2016-10-26,104.93592071533203
2016-10-27,102.8531265258789
2016-10-28,102.89461517333984
2016-10-31,104.00654602050781
2016-11-01,102.75354766845703
2016-11-02,102.91122436523438
2016-11-03,100.9280014038086
2016-11-04,101.14374542236328
2016-11-07,103.84059143066406
2016-11-08,104.60399627685547
2016-11-09,101.00267028808594
2016-11-10,104.72845458984375
2016-11-11,103.57505798339844
2016-11-14,105.79890441894531
2016-11-15,106.23868560791016
2016-11-16,105.39230346679688
2016-11-17,105.48357391357422
2016-11-18,104.55421447753906
2016-11-21,104.6537857055664
2016-11-22,103.50037384033203
2016-11-23,104.56251525878906
2016-11-25,105.80719757080078
2016-11-28,104.31356811523438
2016-11-29,105.98146057128906
2016-11-30,104.42974090576172
2016-12-01,102.60419464111328
2016-12-02,103.29291534423828
2016-12-05,103.93186950683594
2016-12-06,103.81568908691406
2016-12-07,104.86952209472656
2016-12-08,105.43379211425781
2016-12-09,106.03953552246094
2016-12-12,107.1680679321289
2016-12-13,107.5497817993164
2016-12-14,105.6744384765625
2016-12-15,105.69933319091797
2016-12-16,106.0146484375
2016-12-19,106.0644302368164
2016-12-20,106.51252746582031
2016-12-21,106.57060241699219
2016-12-22,105.23463439941406
2016-12-23,106.40465545654297
2016-12-27,106.78636169433594
2016-12-28,105.84869384765625
2016-12-29,106.35487365722656
2016-12-30,106.52911376953125
2017-01-03,107.1016845703125
2017-01-04,107.95637512207031
2017-01-05,107.1348648071289
2017-01-06,107.32572174072266
2017-01-09,108.47914123535156
2017-01-10,109.582763671875
2017-01-11,111.97257232666016
2017-01-12,111.73193359375
2017-01-13,111.4664077758789
2017-01-17,111.18428039550781
2017-01-18,111.51618957519531
2017-01-19,110.14703369140625
2017-01-20,109.86489868164062
2017-01-23,109.98106384277344
2017-01-24,110.39596557617188
2017-01-25,112.0970458984375
2017-01-26,111.05149841308594
2017-01-27,110.88554382324219
2017-01-30,109.94788360595703
2017-01-31,111.3668212890625
2017-02-01,113.1591796875
2017-02-02,113.25877380371094
2017-02-03,114.25450897216797
2017-02-06,107.75721740722656
2017-02-07,108.37126922607422
2017-02-08,109.10978698730469
2017-02-09,111.05149841308594
2017-02-10,112.03067016601562
2017-02-13,111.96427917480469
2017-02-14,112.75257873535156
2017-02-15,113.1591796875
2017-02-16,115.44940948486328
2017-02-17,115.83113098144531
2017-02-21,115.87261199951172
2017-02-22,115.35813903808594
2017-02-23,116.39537811279297
2017-02-24,118.56944274902344
2017-02-27,118.51136779785156
2017-02-28,118.04668426513672
2017-03-01,118.44498443603516
2017-03-02,117.77285766601562
2017-03-03,118.07159423828125
2017-03-06,118.187744140625
2017-03-07,117.90563201904297
2017-03-08,117.92220306396484
2017-03-09,118.76860046386719
2017-03-10,119.44075012207031
2017-03-13,119.6896743774414
2017-03-14,118.73540496826172
2017-03-15,119.71456909179688
2017-03-16,119.639892578125
2017-03-17,119.2830810546875
2017-03-20,119.19178771972656
2017-03-21,118.22093963623047
2017-03-22,118.07987213134766
2017-03-23,117.4160385131836
2017-03-24,117.8309326171875
2017-03-27,118.2707290649414
2017-03-28,118.58604431152344
2017-03-29,118.8183822631836
2017-03-30,119.47393798828125
2017-03-31,119.05073547363281
2017-04-03,119.94690704345703
2017-04-04,119.08391571044922
2017-04-05,119.11711120605469
2017-04-06,119.50712585449219
2017-04-07,118.9843521118164
2017-04-10,119.06732177734375
2017-04-11,118.9428482055664
2017-04-12,118.30390167236328
2017-04-13,117.9139175415039
2017-04-17,118.2541275024414
2017-04-18,117.98859405517578
2017-04-19,118.4947738647461
2017-04-20,120.86798858642578
2017-04-21,118.9013671875
2017-04-24,119.99668884277344
2017-04-25,115.25027465820312
2017-04-26,115.08432006835938
2017-04-27,115.90580749511719
2017-04-28,116.29580688476562
2017-05-01,117.00942993164062
2017-05-02,117.0592269897461
2017-05-03,116.66920471191406
2017-05-04,116.91815185546875
2017-05-05,118.14624786376953
2017-05-08,117.98859405517578
2017-05-09,117.85582733154297
2017-05-10,117.58199310302734
2017-05-11,117.1090087890625
2017-05-12,115.6070785522461
2017-05-15,116.61112976074219
2017-05-16,114.62793731689453
2017-05-17,114.10516357421875
2017-05-18,114.72749328613281
2017-05-19,115.6319808959961
2017-05-22,116.42028045654297
2017-05-23,115.92240142822266
2017-05-24,116.735595703125
2017-05-25,117.66497802734375
2017-05-26,116.25431060791016
2017-05-30,114.9432373046875
2017-05-31,115.341552734375
2017-06-01,117.88902282714844
2017-06-02,117.48240661621094
2017-06-05,116.1049575805664
2017-06-06,115.58219146728516
2017-06-07,116.56134033203125
2017-06-08,116.06346130371094
2017-06-09,116.67752075195312
2017-06-12,116.76879119873047
2017-06-13,117.5322036743164
2017-06-14,117.0924072265625
2017-06-15,116.5032730102539
2017-06-16,116.81027221679688
2017-06-19,117.73965454101562
2017-06-20,119.86392211914062
2017-06-21,121.32437133789062
2017-06-22,124.7514419555664
2017-06-23,125.81358337402344
2017-06-26,126.3778305053711
2017-06-27,124.71823120117188
2017-06-28,126.93378448486328
2017-06-29,126.17039489746094
2017-06-30,127.90461730957031
2017-07-03,125.79695892333984
2017-07-05,127.23251342773438
2017-07-06,125.290771484375
2017-07-07,125.67251586914062
2017-07-10,125.73057556152344
2017-07-11,125.68909454345703
2017-07-12,126.50230407714844
2017-07-13,126.4774169921875
2017-07-14,127.2076187133789
2017-07-17,127.52295684814453
2017-07-18,127.2159194946289
2017-07-19,128.62655639648438
2017-07-20,129.54763793945312
2017-07-21,129.90444946289062
2017-07-24,131.01637268066406
2017-07-25,130.2198028564453
2017-07-26,133.7381134033203
2017-07-27,132.85023498535156
2017-07-28,132.82533264160156
2017-07-31,131.86277770996094
2017-08-01,133.1489715576172
2017-08-02,132.6427764892578
2017-08-03,133.23193359375
2017-08-04,131.64700317382812
2017-08-07,131.2819366455078
2017-08-08,130.6346893310547
2017-08-09,130.9002227783203
2017-08-10,129.7799835205078
2017-08-11,129.62232971191406
2017-08-14,129.86297607421875
2017-08-15,130.07870483398438
2017-08-16,129.81321716308594
2017-08-17,128.25315856933594
2017-08-18,127.71381378173828
2017-08-21,127.57274627685547
2017-08-22,128.9501953125
2017-08-23,127.50634002685547
2017-08-24,128.136962890625
2017-08-25,128.42742919921875
2017-08-28,127.14124298095703
2017-08-29,126.85911560058594
2017-08-30,127.65570831298828
2017-08-31,130.16998291015625
2017-09-01,130.7840576171875
2017-09-05,130.27786254882812
2017-09-06,131.50595092773438
2017-09-07,131.14085388183594
2017-09-08,130.73423767089844
2017-09-11,132.1116943359375
2017-09-12,131.66366577148438
2017-09-13,128.79251098632812
2017-09-14,127.86318969726562
2017-09-15,127.45653533935547
2017-09-18,127.5810317993164
