,RCL
2014-01-02,41.21966552734375
2014-01-03,41.21966552734375
2014-01-06,40.33708190917969
2014-01-07,40.24969482421875
2014-01-08,40.68663024902344
2014-01-09,41.6303825378418
2014-01-10,42.89748001098633
2014-01-13,42.60910415649414
2014-01-14,42.94990158081055
2014-01-15,43.474212646484375
2014-01-16,43.5965576171875
2014-01-17,43.308189392089844
2014-01-21,42.705223083496094
2014-01-22,43.281978607177734
2014-01-23,42.69648361206055
2014-01-24,41.184722900390625
2014-01-27,41.97993850708008
2014-01-28,43.395565032958984
2014-01-29,42.81009292602539
2014-01-30,44.417991638183594
2014-01-31,43.3431396484375
2014-02-03,41.94498062133789
2014-02-04,42.42558670043945
2014-02-05,42.54793930053711
2014-02-06,44.234474182128906
2014-02-07,44.225738525390625
2014-02-10,44.42671585083008
2014-02-11,45.71128463745117
2014-02-12,45.195709228515625
2014-02-13,45.85429000854492
2014-02-14,45.889408111572266
2014-02-18,45.32741928100586
2014-02-19,44.897159576416016
2014-02-20,45.107906341552734
2014-02-21,45.54694366455078
2014-02-24,46.12649917602539
2014-02-25,46.591888427734375
2014-02-26,46.5479736328125
2014-02-27,46.82019805908203
2014-02-28,46.47773742675781
2014-03-03,44.97618865966797
2014-03-04,45.36254119873047
2014-03-05,44.75666427612305
2014-03-06,45.15180969238281
2014-03-07,45.56450653076172
2014-03-10,45.03765869140625
2014-03-11,44.598609924316406
2014-03-12,44.879600524902344
2014-03-13,44.37029266357422
2014-03-14,44.21224594116211
2014-03-17,44.86203384399414
2014-03-18,46.64457321166992
2014-03-19,46.60946273803711
2014-03-20,47.803672790527344
2014-03-21,47.74220275878906
2014-03-24,46.60946273803711
2014-03-25,46.43383026123047
2014-03-26,45.60841369628906
2014-03-27,46.196746826171875
2014-03-28,47.01337432861328
2014-03-31,47.90903091430664
2014-04-01,49.278873443603516
2014-04-02,49.674015045166016
2014-04-03,48.89250946044922
2014-04-04,47.882686614990234
2014-04-07,46.328453063964844
2014-04-08,46.33723449707031
2014-04-09,47.31193161010742
2014-04-10,46.68846893310547
2014-04-11,45.4854850769043
2014-04-14,44.8181266784668
2014-04-15,44.563480377197266
2014-04-16,44.879600524902344
2014-04-17,45.081565856933594
2014-04-21,44.8093376159668
2014-04-22,45.731346130371094
2014-04-23,46.214317321777344
2014-04-24,46.03867721557617
2014-04-25,45.09911346435547
2014-04-28,45.05521774291992
2014-04-29,46.214317321777344
2014-04-30,46.653350830078125
2014-05-01,46.18796920776367
2014-05-02,46.53920364379883
