,CME
2014-01-02,50.998775482177734
2014-01-03,51.8099365234375
2014-01-06,51.28660583496094
2014-01-07,50.90718078613281
2014-01-08,50.41000747680664
2014-01-09,50.436187744140625
2014-01-10,50.037147521972656
2014-01-13,48.421356201171875
2014-01-14,49.25212860107422
2014-01-15,49.55960464477539
2014-01-16,49.38951873779297
2014-01-17,49.38298416137695
2014-01-21,49.539974212646484
2014-01-22,49.61847686767578
2014-01-23,49.39606475830078
2014-01-24,48.68302917480469
2014-01-27,47.70830154418945
2014-01-28,47.88494110107422
2014-01-29,47.322364807128906
2014-01-30,48.617618560791016
2014-01-31,48.90544891357422
2014-02-03,47.871864318847656
2014-02-04,48.15315246582031
2014-02-05,48.12043762207031
2014-02-06,49.703521728515625
2014-02-07,49.5138053894043
2014-02-10,49.428768157958984
2014-02-11,50.07640075683594
2014-02-12,50.23994445800781
2014-02-13,50.36423110961914
2014-02-14,50.442718505859375
2014-02-18,49.860504150390625
2014-02-19,48.911991119384766
2014-02-20,48.25126647949219
2014-02-21,48.21855926513672
2014-02-24,48.617618560791016
2014-02-25,47.924198150634766
2014-02-26,47.479347229003906
2014-02-27,47.85877990722656
2014-02-28,48.2905158996582
2014-03-03,48.4802360534668
2014-03-04,49.71661376953125
2014-03-05,49.9913444519043
2014-03-06,50.524497985839844
2014-03-07,50.66274642944336
2014-03-10,50.50477600097656
2014-03-11,49.96503448486328
2014-03-12,50.05716323852539
2014-03-13,49.221248626708984
2014-03-14,49.60300827026367
2014-03-17,50.19540023803711
2014-03-18,49.96503448486328
2014-03-19,49.833370208740234
2014-03-20,50.62983322143555
2014-03-21,50.97867965698242
2014-03-24,50.70881271362305
2014-03-25,50.37969970703125
2014-03-26,49.37921142578125
2014-03-27,48.65517807006836
2014-03-28,48.595947265625
2014-03-31,48.72099685668945
2014-04-01,47.82582473754883
2014-04-02,47.56911087036133
2014-04-03,47.50988006591797
2014-04-04,46.46992111206055
2014-04-07,44.488677978515625
2014-04-08,45.50233840942383
2014-04-09,45.76561737060547
2014-04-10,45.00210189819336
2014-04-11,44.067420959472656
2014-04-14,44.264896392822266
2014-04-15,44.62032699584961
2014-04-16,45.239044189453125
2014-04-17,45.614227294921875
2014-04-21,45.699806213378906
2014-04-22,46.82534408569336
2014-04-23,46.99648666381836
2014-04-24,46.6673698425293
2014-04-25,46.33168029785156
2014-04-28,46.56863784790039
2014-04-29,46.62130355834961
2014-04-30,46.33168029785156
2014-05-01,46.52256774902344
2014-05-02,45.791934967041016
2014-05-05,45.910423278808594
2014-05-06,45.120574951171875
2014-05-07,46.31193161010742
2014-05-08,45.52865982055664
2014-05-09,45.805110931396484
2014-05-12,46.6739616394043
2014-05-13,46.46331787109375
2014-05-14,45.949928283691406
2014-05-15,45.73271560668945
2014-05-16,45.20612716674805
2014-05-19,46.305355072021484
2014-05-20,45.1008186340332
