,JBL
2014-01-02,15.275168418884277
2014-01-03,15.436816215515137
2014-01-06,15.22128677368164
2014-01-07,14.924946784973145
2014-01-08,15.320059776306152
2014-01-09,15.355992317199707
2014-01-10,15.284149169921875
2014-01-13,14.89799976348877
2014-01-14,16.065410614013672
2014-01-15,15.957660675048828
2014-01-16,15.796011924743652
2014-01-17,16.173173904418945
2014-01-21,16.36176109313965
2014-01-22,16.622182846069336
2014-01-23,16.667081832885742
2014-01-24,16.12828254699707
2014-01-27,16.227060317993164
2014-01-28,16.209095001220703
2014-01-29,15.975615501403809
2014-01-30,16.39768409729004
2014-01-31,16.137252807617188
2014-02-03,15.715193748474121
2014-02-04,15.742128372192383
2014-02-05,15.59844970703125
2014-02-06,15.966638565063477
2014-02-07,16.173173904418945
2014-02-10,16.39768409729004
2014-02-11,16.774843215942383
2014-02-12,16.81993865966797
2014-02-13,16.67564582824707
2014-02-14,16.67564582824707
2014-02-18,16.657596588134766
2014-02-19,16.765832901000977
2014-02-20,16.85601043701172
2014-02-21,16.6666202545166
2014-02-24,16.85601043701172
2014-02-25,17.072465896606445
2014-02-26,17.433210372924805
2014-02-27,17.27088165283203
2014-02-28,16.693674087524414
2014-03-03,16.5133056640625
2014-03-04,16.964242935180664
2014-03-05,16.720733642578125
2014-03-06,16.576438903808594
2014-03-07,16.58545684814453
2014-03-10,16.522314071655273
2014-03-11,16.323915481567383
2014-03-12,16.31488800048828
2014-03-13,16.035314559936523
2014-03-14,15.990212440490723
2014-03-17,16.23372459411621
2014-03-18,16.594467163085938
2014-03-19,16.468210220336914
2014-03-20,15.999227523803711
2014-03-21,15.981196403503418
2014-03-24,16.035314559936523
2014-03-25,16.017276763916016
2014-03-26,15.728679656982422
2014-03-27,15.900029182434082
2014-03-28,16.017276763916016
2014-03-31,16.23372459411621
2014-04-01,16.332927703857422
2014-04-02,16.747785568237305
2014-04-03,16.711713790893555
2014-04-04,16.630550384521484
2014-04-07,16.125492095947266
2014-04-08,16.152551651000977
2014-04-09,16.477216720581055
2014-04-10,15.782783508300781
2014-04-11,15.539281845092773
2014-04-14,15.701616287231445
2014-04-15,15.647505760192871
2014-04-16,15.854934692382812
2014-04-17,15.872973442077637
2014-04-21,15.809834480285645
2014-04-22,16.044328689575195
2014-04-23,16.044328689575195
2014-04-24,16.23372459411621
2014-04-25,15.909041404724121
2014-04-28,15.755725860595703
2014-04-29,15.548299789428711
2014-04-30,15.566330909729004
2014-05-01,15.755725860595703
2014-05-02,15.872973442077637
2014-05-05,15.845914840698242
2014-05-06,15.809834480285645
2014-05-07,15.818861961364746
2014-05-08,15.881990432739258
2014-05-09,15.800822257995605
2014-05-12,16.396053314208984
2014-05-13,16.36888313293457
2014-05-14,16.169586181640625
2014-05-15,16.12430191040039
2014-05-16,16.08806610107422
2014-05-19,16.332653045654297
2014-05-20,16.187711715698242
2014-05-21,16.305477142333984
2014-05-22,16.405118942260742
2014-05-23,16.758398056030273
2014-05-27,16.993925094604492
2014-05-28,16.9395694732666
2014-05-29,17.156978607177734
2014-05-30,17.04827308654785
2014-06-02,16.9848690032959
2014-06-03,16.93051528930664
2014-06-04,16.993925094604492
2014-06-05,17.437801361083984
2014-06-06,17.646146774291992
2014-06-09,17.82731819152832
2014-06-10,17.990365982055664
2014-06-11,17.908843994140625
2014-06-12,17.83637046813965
2014-06-13,17.926959991455078
2014-06-16,17.899791717529297
2014-06-17,18.090015411376953
2014-06-18,18.207775115966797
2014-06-19,18.687883377075195
2014-06-20,18.552001953125
2014-06-23,18.778465270996094
2014-06-24,18.796586990356445
2014-06-25,18.896236419677734
2014-06-26,18.887165069580078
2014-06-27,18.94151496887207
2014-06-30,18.932466506958008
2014-07-01,18.97775650024414
2014-07-02,19.01399040222168
2014-07-03,19.06834602355957
2014-07-07,19.104572296142578
2014-07-08,18.796586990356445
2014-07-09,18.805644989013672
2014-07-10,18.67882537841797
2014-07-11,18.769411087036133
2014-07-14,18.67882537841797
2014-07-15,18.733179092407227
2014-07-16,18.642593383789062
2014-07-17,18.515771865844727
2014-07-18,18.841876983642578
2014-07-21,18.97775650024414
2014-07-22,19.13175392150879
2014-07-23,19.023046493530273
2014-07-24,18.83281707763672
2014-07-25,18.8147029876709
2014-07-28,18.696941375732422
2014-07-29,18.552001953125
2014-07-30,18.67882537841797
2014-07-31,18.080949783325195
2014-08-01,18.16248321533203
2014-08-04,18.31648063659668
2014-08-05,18.13530921936035
2014-08-06,18.16248321533203
2014-08-07,17.76390266418457
2014-08-08,18.044723510742188
2014-08-11,18.407066345214844
2014-08-12,18.21683692932129
2014-08-13,18.453306198120117
2014-08-14,18.51696014404297
2014-08-15,18.689760208129883
2014-08-18,19.089937210083008
2014-08-19,19.217260360717773
2014-08-20,19.40825653076172
2014-08-21,19.544677734375
2014-08-22,19.4719181060791
2014-08-25,19.7265682220459
2014-08-26,19.57195281982422
2014-08-27,19.49919891357422
2014-08-28,19.49919891357422
2014-08-29,19.626522064208984
2014-09-02,19.608333587646484
2014-09-03,19.57195281982422
2014-09-04,19.53557777404785
2014-09-05,19.453725814819336
2014-09-08,19.4719181060791
2014-09-09,19.290023803710938
2014-09-10,19.5810604095459
2014-09-11,19.89027214050293
2014-09-12,19.55376625061035
2014-09-15,19.50829315185547
2014-09-16,19.59923553466797
2014-09-17,19.68109703063965
2014-09-18,19.644716262817383
2014-09-19,19.40825653076172
2014-09-22,19.135404586791992
2014-09-23,18.98079490661621
2014-09-24,18.962608337402344
2014-09-25,18.544248580932617
2014-09-26,18.735239028930664
2014-09-29,18.56243896484375
2014-09-30,18.344161987304688
2014-10-01,17.980377197265625
2014-10-02,18.05312728881836
2014-10-03,18.171358108520508
2014-10-06,18.144081115722656
2014-10-07,17.7257137298584
2014-10-08,18.025842666625977
2014-10-09,17.634767532348633
2014-10-10,16.552492141723633
2014-10-13,16.597963333129883
2014-10-14,17.079988479614258
2014-10-15,16.825334548950195
2014-10-16,16.816240310668945
2014-10-17,16.816240310668945
2014-10-20,16.93447494506836
2014-10-21,17.443771362304688
2014-10-22,17.152751922607422
2014-10-23,17.56201171875
2014-10-24,17.6711483001709
2014-10-27,17.525630950927734
2014-10-28,18.289592742919922
2014-10-29,18.235023498535156
2014-10-30,18.52605628967285
2014-10-31,19.053560256958008
2014-11-03,19.36277961730957
2014-11-04,18.962608337402344
2014-11-05,19.171781539916992
2014-11-06,19.18088150024414
2014-11-07,19.217260360717773
2014-11-10,19.126310348510742
2014-11-11,19.19907569885254
2014-11-12,19.4912109375
2014-11-13,18.733470916748047
2014-11-14,18.906930923461914
2014-11-17,19.00735855102539
2014-11-18,19.226469039916992
2014-11-19,18.77911949157715
2014-11-20,18.742605209350586
2014-11-21,18.82476806640625
2014-11-24,19.107778549194336
2014-11-25,19.09865379333496
2014-11-26,19.13516616821289
2014-11-28,18.94344711303711
2014-12-01,18.48697853088379
2014-12-02,18.815637588500977
2014-12-03,19.062131881713867
2014-12-04,18.86128044128418
2014-12-05,18.906930923461914
2014-12-08,18.48697853088379
2014-12-09,18.642181396484375
2014-12-10,18.286134719848633
2014-12-11,18.350038528442383
2014-12-12,17.8114013671875
2014-12-15,17.966609954833984
2014-12-16,17.975732803344727
2014-12-17,18.322654724121094
2014-12-18,19.13516616821289
2014-12-19,19.573383331298828
2014-12-22,19.72857666015625
2014-12-23,19.81986427307129
2014-12-24,19.975067138671875
2014-12-26,20.385889053344727
2014-12-29,20.148523330688477
2014-12-30,20.1393985748291
2014-12-31,19.929418563842773
2015-01-02,19.73769760131836
2015-01-05,19.418182373046875
2015-01-06,19.189943313598633
2015-01-07,19.555116653442383
2015-01-08,20.066360473632812
2015-01-09,19.856380462646484
2015-01-12,19.609888076782227
2015-01-13,19.51859474182129
2015-01-14,19.290361404418945
2015-01-15,18.82476806640625
2015-01-16,19.235586166381836
2015-01-20,18.843029022216797
2015-01-21,18.797372817993164
2015-01-22,19.062131881713867
2015-01-23,18.97996711730957
2015-01-26,19.080385208129883
2015-01-27,18.68782615661621
2015-01-28,18.541759490966797
2015-01-29,19.12603759765625
2015-01-30,18.815637588500977
2015-02-02,18.870418548583984
2015-02-03,19.317752838134766
2015-02-04,19.153427124023438
2015-02-05,19.399919509887695
