,NUE
2014-01-02,40.236637115478516
2014-01-03,40.27478790283203
2014-01-06,40.08402633666992
2014-01-07,40.28242492675781
2014-01-08,40.49607467651367
2014-01-09,40.2442626953125
2014-01-10,40.40450668334961
2014-01-13,39.328590393066406
2014-01-14,39.351470947265625
2014-01-15,39.328590393066406
2014-01-16,39.542236328125
2014-01-17,39.20649337768555
2014-01-21,38.72576141357422
2014-01-22,38.687591552734375
2014-01-23,38.275543212890625
2014-01-24,37.207237243652344
2014-01-27,36.94779968261719
2014-01-28,37.38276290893555
2014-01-29,36.9554328918457
2014-01-30,37.077537536621094
2014-01-31,36.89439392089844
2014-02-03,35.57427978515625
2014-02-04,35.69636917114258
2014-02-05,36.00923156738281
2014-02-06,36.871490478515625
2014-02-07,36.970699310302734
2014-02-10,36.78756332397461
2014-02-11,37.314090728759766
2014-02-12,38.32896423339844
2014-02-13,38.573150634765625
2014-02-14,39.168338775634766
2014-02-18,39.168338775634766
2014-02-19,38.664710998535156
2014-02-20,38.98521041870117
2014-02-21,38.47393035888672
2014-02-24,37.924530029296875
2014-02-25,37.57352066040039
2014-02-26,37.81770324707031
2014-02-27,38.42816162109375
2014-02-28,38.33659362792969
2014-03-03,37.81770324707031
2014-03-04,38.603660583496094
2014-03-05,38.74863815307617
2014-03-06,38.603660583496094
2014-03-07,38.267906188964844
2014-03-10,37.83297348022461
2014-03-11,37.672725677490234
2014-03-12,37.352230072021484
2014-03-13,37.12331771850586
2014-03-14,37.008846282958984
2014-03-17,37.749027252197266
2014-03-18,38.06950378417969
2014-03-19,37.82533264160156
2014-03-20,37.98558044433594
2014-03-21,39.09202194213867
2014-03-24,38.847843170166016
2014-03-25,39.16069793701172
2014-03-26,38.69523620605469
2014-03-27,38.57992935180664
2014-03-28,38.480010986328125
2014-03-31,38.848960876464844
2014-04-01,38.91815185546875
2014-04-02,39.2947883605957
2014-04-03,39.62533187866211
2014-04-04,39.279422760009766
2014-04-07,39.094966888427734
2014-04-08,39.64070510864258
2014-04-09,40.36326599121094
2014-04-10,39.356300354003906
2014-04-11,38.96427917480469
2014-04-14,39.84056091308594
2014-04-15,39.72526931762695
2014-04-16,40.132659912109375
2014-04-17,40.078857421875
2014-04-21,40.009681701660156
2014-04-22,40.155731201171875
2014-04-23,40.386314392089844
2014-04-24,39.5792121887207
2014-04-25,39.28711700439453
2014-04-28,38.995025634765625
2014-04-29,39.709896087646484
2014-04-30,39.77907180786133
2014-05-01,39.88667297363281
2014-05-02,40.240272521972656
2014-05-05,39.75600814819336
2014-05-06,39.51002883911133
2014-05-07,40.32482147216797
2014-05-08,39.994300842285156
2014-05-09,39.709896087646484
2014-05-12,40.86290740966797
2014-05-13,40.44782257080078
2014-05-14,40.70148849487305
2014-05-15,40.10192108154297
2014-05-16,40.078857421875
2014-05-19,40.30176544189453
2014-05-20,39.433170318603516
2014-05-21,39.47928237915039
2014-05-22,39.15644073486328
2014-05-23,39.5638427734375
2014-05-27,39.90204620361328
2014-05-28,39.410099029541016
2014-05-29,39.74065399169922
2014-05-30,38.91815185546875
2014-06-02,38.733673095703125
2014-06-03,38.72597885131836
2014-06-04,38.58763122558594
2014-06-05,39.17951202392578
2014-06-06,39.37934875488281
2014-06-09,39.04115295410156
2014-06-10,38.96427917480469
2014-06-11,39.04115295410156
2014-06-12,38.66448974609375
2014-06-13,39.07957458496094
2014-06-16,38.733673095703125
2014-06-17,39.34093475341797
2014-06-18,39.94049072265625
2014-06-19,39.72526931762695
2014-06-20,38.83359909057617
2014-06-23,38.5568733215332
2014-06-24,38.34931182861328
2014-06-25,38.67217254638672
2014-06-26,38.602481842041016
2014-06-27,38.013946533203125
2014-06-30,38.137847900390625
2014-07-01,38.060428619384766
2014-07-02,38.45534896850586
2014-07-03,39.12904357910156
2014-07-07,38.4708251953125
2014-07-08,38.5947380065918
2014-07-09,38.87351608276367
2014-07-10,38.4708251953125
2014-07-11,38.26949691772461
2014-07-14,38.12236785888672
2014-07-15,38.408878326416016
2014-07-16,39.10582733154297
2014-07-17,38.56376266479492
2014-07-18,38.927711486816406
2014-07-21,39.067108154296875
2014-07-22,39.25295639038086
2014-07-23,39.49300765991211
2014-07-24,39.57818603515625
2014-07-25,39.7485466003418
2014-07-28,39.678855895996094
2014-07-29,39.50850296020508
2014-07-30,39.678855895996094
2014-07-31,38.88900375366211
2014-08-01,38.57150650024414
2014-08-04,38.865753173828125
2014-08-05,38.69540786743164
2014-08-06,39.20648956298828
2014-08-07,38.788330078125
2014-08-08,39.54721450805664
2014-08-11,39.46976089477539
2014-08-12,39.52398681640625
2014-08-13,40.64683151245117
2014-08-14,40.414512634277344
2014-08-15,40.26737976074219
2014-08-18,41.54509735107422
2014-08-19,41.816131591796875
2014-08-20,41.870338439941406
2014-08-21,41.622528076171875
2014-08-22,41.622528076171875
2014-08-25,41.8393440246582
2014-08-26,42.09490966796875
2014-08-27,42.05617904663086
2014-08-28,41.785152435302734
2014-08-29,42.06391525268555
2014-09-02,41.754173278808594
2014-09-03,42.60599136352539
2014-09-04,43.202239990234375
2014-09-05,43.39585494995117
2014-09-08,42.92347717285156
2014-09-09,42.74537658691406
2014-09-10,42.474342346191406
2014-09-11,42.72214126586914
2014-09-12,42.55951690673828
2014-09-15,42.86152267456055
2014-09-16,43.07060623168945
2014-09-17,44.76649856567383
2014-09-18,44.983306884765625
2014-09-19,44.63484573364258
2014-09-22,44.10826110839844
2014-09-23,43.90693283081055
2014-09-24,43.49652099609375
2014-09-25,42.784095764160156
2014-09-26,43.05694580078125
2014-09-29,42.53461837768555
2014-09-30,42.316341400146484
2014-10-01,41.18592834472656
2014-10-02,40.835113525390625
2014-10-03,40.523277282714844
2014-10-06,40.11009216308594
2014-10-07,39.39284896850586
2014-10-08,40.032127380371094
2014-10-09,38.69122314453125
2014-10-10,37.973995208740234
2014-10-13,37.59199905395508
2014-10-14,38.20787048339844
2014-10-15,38.25464630126953
2014-10-16,38.62886428833008
2014-10-17,38.90951156616211
2014-10-20,39.3538818359375
2014-10-21,40.29719161987305
2014-10-22,40.31277847290039
2014-10-23,39.852813720703125
2014-10-24,41.154747009277344
2014-10-27,40.69477844238281
2014-10-28,41.64588928222656
2014-10-29,41.115753173828125
2014-10-30,41.373023986816406
2014-10-31,42.14482116699219
2014-11-03,41.591304779052734
2014-11-04,41.21711349487305
2014-11-05,41.36524200439453
2014-11-06,41.692665100097656
2014-11-07,42.23838424682617
2014-11-10,41.67707061767578
2014-11-11,41.575721740722656
2014-11-12,41.528953552246094
2014-11-13,41.59912109375
2014-11-14,42.02789306640625
2014-11-17,42.20719528198242
2014-11-18,42.378719329833984
2014-11-19,41.856388092041016
2014-11-20,42.27735900878906
2014-11-21,42.40988540649414
2014-11-24,42.02789306640625
2014-11-25,42.60478973388672
2014-11-26,42.27735900878906
2014-11-28,41.809608459472656
2014-12-01,41.536739349365234
2014-12-02,41.42759323120117
2014-12-03,42.8542594909668
2014-12-04,42.97898864746094
2014-12-05,42.44887161254883
2014-12-08,42.1136360168457
2014-12-09,42.58140182495117
2014-12-10,41.52115249633789
2014-12-11,41.295066833496094
2014-12-12,40.44532012939453
2014-12-15,39.87620162963867
2014-12-16,38.0363655090332
2014-12-17,38.58207702636719
2014-12-18,38.49631881713867
2014-12-19,38.51191711425781
2014-12-22,38.153289794921875
2014-12-23,38.62886428833008
2014-12-24,38.45734786987305
2014-12-26,38.25464630126953
2014-12-29,38.664710998535156
2014-12-30,38.89251708984375
2014-12-31,38.53117752075195
2015-01-02,38.49973678588867
2015-01-05,37.030765533447266
2015-01-06,36.49659729003906
2015-01-07,36.83438491821289
2015-01-08,37.729915618896484
2015-01-09,37.53352355957031
2015-01-12,36.13523483276367
2015-01-13,35.868160247802734
2015-01-14,34.8862190246582
2015-01-15,34.72909927368164
2015-01-16,34.89406967163086
2015-01-20,34.634849548339844
2015-01-21,34.571998596191406
2015-01-22,35.23185348510742
2015-01-23,34.40703201293945
2015-01-26,34.82338333129883
2015-01-27,35.20829391479492
2015-01-28,34.59556198120117
2015-01-29,34.3520393371582
2015-01-30,34.2891960144043
2015-02-02,34.72909927368164
2015-02-03,35.92314529418945
2015-02-04,35.74246597290039
2015-02-05,37.415687561035156
2015-02-06,37.918426513671875
2015-02-09,37.74562072753906
2015-02-10,37.55708312988281
2015-02-11,37.47853469848633
2015-02-12,37.981285095214844
2015-02-13,38.41334533691406
2015-02-17,38.24052047729492
2015-02-18,37.90272521972656
2015-02-19,37.81631851196289
2015-02-20,38.083396911621094
2015-02-23,37.706336975097656
2015-02-24,38.216957092285156
2015-02-25,37.47853469848633
2015-02-26,37.125038146972656
2015-02-27,36.94435119628906
2015-03-02,37.022911071777344
2015-03-03,37.03861618041992
2015-03-04,37.242862701416016
2015-03-05,37.42354202270508
2015-03-06,36.94435119628906
2015-03-09,37.07004928588867
2015-03-10,36.2687873840332
2015-03-11,36.51231384277344
2015-03-12,37.062191009521484
2015-03-13,36.75583267211914
2015-03-16,37.15645980834961
2015-03-17,37.242862701416016
2015-03-18,38.7039794921875
2015-03-19,36.21379852294922
2015-03-20,37.030765533447266
2015-03-23,37.42354202270508
2015-03-24,36.93650436401367
2015-03-25,36.73225402832031
2015-03-26,37.0072021484375
2015-03-27,36.818756103515625
2015-03-30,37.475948333740234
2015-03-31,37.634315490722656
2015-04-01,36.66831588745117
2015-04-02,37.4205207824707
2015-04-06,37.0087890625
2015-04-07,37.22257614135742
2015-04-08,37.681819915771484
2015-04-09,37.84018325805664
2015-04-10,38.18065643310547
2015-04-13,37.49970245361328
2015-04-14,37.85600662231445
2015-04-15,38.41818618774414
2015-04-16,37.51554489135742
2015-04-17,36.747493743896484
2015-04-20,37.51554489135742
2015-04-21,37.06421661376953
2015-04-22,37.07213592529297
2015-04-23,38.3390007019043
2015-04-24,38.093570709228516
2015-04-27,38.48153305053711
2015-04-28,39.24166488647461
2015-04-29,38.94868850708008
2015-04-30,38.68739700317383
2015-05-01,38.79824447631836
2015-05-04,38.972450256347656
2015-05-05,38.71908950805664
2015-05-06,38.47362518310547
2015-05-07,38.52904510498047
2015-05-08,38.71908950805664
2015-05-11,38.74283218383789
2015-05-12,38.26775360107422
2015-05-13,38.60822677612305
2015-05-14,39.27333068847656
2015-05-15,39.051631927490234
2015-05-18,38.837852478027344
2015-05-19,37.96686935424805
2015-05-20,38.05396270751953
2015-05-21,37.82434844970703
2015-05-22,38.08563232421875
2015-05-26,37.36510467529297
2015-05-27,37.85600662231445
2015-05-28,37.67388916015625
2015-05-29,37.45219421386719
2015-06-01,37.681819915771484
2015-06-02,39.122901916503906
2015-06-03,39.40795135498047
2015-06-04,38.845767974853516
2015-06-05,38.73491668701172
2015-06-08,38.41818618774414
2015-06-09,38.251922607421875
2015-06-10,38.71908950805664
2015-06-11,38.71908950805664
2015-06-12,38.47362518310547
2015-06-15,37.61054992675781
2015-06-16,38.07771682739258
2015-06-17,38.10146713256836
2015-06-18,37.8797721862793
2015-06-19,37.61054992675781
2015-06-22,37.34926986694336
2015-06-23,38.08563232421875
2015-06-24,37.55513000488281
2015-06-25,37.45219421386719
2015-06-26,36.91189193725586
2015-06-29,35.9222526550293
2015-06-30,35.17203140258789
2015-07-01,35.50724411010742
2015-07-02,35.31570816040039
2015-07-06,34.828857421875
2015-07-07,35.203956604003906
2015-07-08,34.158451080322266
2015-07-09,34.286155700683594
2015-07-10,34.597408294677734
2015-07-13,35.23587417602539
2015-07-14,35.25982666015625
2015-07-15,34.73308563232422
2015-07-16,34.52558517456055
2015-07-17,34.07065963745117
2015-07-20,33.66363525390625
2015-07-21,33.982879638671875
2015-07-22,33.66363525390625
2015-07-23,34.709144592285156
2015-07-24,34.03076934814453
2015-07-27,34.95655822753906
2015-07-28,35.51521682739258
2015-07-29,36.26542663574219
2015-07-30,35.7945556640625
2015-07-31,35.2279052734375
2015-08-03,35.539161682128906
2015-08-04,35.906280517578125
2015-08-05,36.30533981323242
2015-08-06,36.472930908203125
2015-08-07,36.02598571777344
2015-08-10,37.2630500793457
2015-08-11,36.13772201538086
2015-08-12,35.706764221191406
2015-08-13,36.28139114379883
2015-08-14,36.95976638793945
2015-08-17,37.47853088378906
2015-08-18,37.07948684692383
2015-08-19,36.75226593017578
2015-08-20,35.76262664794922
2015-08-21,34.58943176269531
2015-08-24,33.07305145263672
2015-08-25,32.35476303100586
2015-08-26,33.184783935546875
2015-08-27,34.42182159423828
2015-08-28,34.56549072265625
2015-08-31,34.549530029296875
2015-09-01,33.543922424316406
2015-09-02,34.158451080322266
2015-09-03,34.22230911254883
2015-09-04,33.25660705566406
2015-09-08,33.9669189453125
2015-09-09,33.16083526611328
2015-09-10,33.38430404663086
2015-09-11,33.61574935913086
2015-09-14,32.50640106201172
2015-09-15,32.64208221435547
2015-09-16,33.23267364501953
2015-09-17,33.001224517822266
2015-09-18,32.12331771850586
2015-09-21,32.155235290527344
2015-09-22,31.229448318481445
2015-09-23,30.694730758666992
2015-09-24,30.83038902282715
2015-09-25,30.73462677001953
2015-09-28,29.818328857421875
2015-09-29,29.9472599029541
2015-09-30,30.26156997680664
2015-10-01,30.309925079345703
2015-10-02,30.624231338500977
2015-10-05,32.090972900390625
2015-10-06,32.17155075073242
2015-10-07,32.70344924926758
2015-10-08,33.25145721435547
2015-10-09,33.42070388793945
2015-10-12,33.267578125
2015-10-13,33.469058990478516
2015-10-14,33.469058990478516
2015-10-15,33.992889404296875
2015-10-16,33.97677230834961
2015-10-19,33.15475845336914
2015-10-20,32.945220947265625
2015-10-21,32.47780227661133
2015-10-22,34.331363677978516
2015-10-23,35.056671142578125
2015-10-26,34.15406799316406
2015-10-27,34.16212844848633
2015-10-28,34.37166213989258
2015-10-29,34.09764862060547
2015-10-30,34.0895881652832
2015-11-02,35.088924407958984
2015-11-03,34.9680290222168
2015-11-04,34.428077697753906
2015-11-05,34.0734748840332
2015-11-06,33.92842102050781
2015-11-09,33.6705322265625
2015-11-10,33.62217712402344
2015-11-11,33.21921920776367
2015-11-12,32.32467269897461
2015-11-13,32.74374008178711
2015-11-16,33.12252426147461
2015-11-17,32.671207427978516
2015-11-18,33.98483657836914
2015-11-19,33.6947021484375
2015-11-20,33.29981231689453
2015-11-23,32.76792526245117
2015-11-24,33.97677230834961
2015-11-25,33.557708740234375
2015-11-27,33.64635467529297
2015-11-30,33.404579162597656
2015-12-01,33.97677230834961
2015-12-02,33.2433967590332
2015-12-03,32.945220947265625
2015-12-04,33.12252426147461
2015-12-07,32.47780227661133
2015-12-08,31.800838470458984
2015-12-09,32.23603057861328
2015-12-10,33.06610870361328
2015-12-11,32.227962493896484
2015-12-14,32.348846435546875
2015-12-15,32.37302017211914
2015-12-16,31.156112670898438
2015-12-17,31.00299835205078
2015-12-18,31.325359344482422
2015-12-21,32.018428802490234
2015-12-22,33.13861846923828
2015-12-23,33.07415771484375
2015-12-24,33.098331451416016
2015-12-28,32.73567581176758
2015-12-29,32.92683029174805
2015-12-30,32.812957763671875
2015-12-31,32.780418395996094
2016-01-04,32.17036437988281
2016-01-05,32.503868103027344
2016-01-06,32.01581573486328
2016-01-07,30.380863189697266
2016-01-08,29.640655517578125
2016-01-11,29.396629333496094
2016-01-12,29.518640518188477
2016-01-13,28.973663330078125
2016-01-14,29.461706161499023
2016-01-15,28.59136390686035
2016-01-19,28.688961029052734
2016-01-20,28.453081130981445
2016-01-21,28.47747802734375
2016-01-22,28.762170791625977
2016-01-25,28.355478286743164
2016-01-26,29.721994400024414
2016-01-27,29.038728713989258
2016-01-28,29.80333709716797
2016-01-29,31.779924392700195
2016-02-01,31.869409561157227
2016-02-02,31.308151245117188
2016-02-03,32.463191986083984
2016-02-04,32.918701171875
2016-02-05,32.4713249206543
2016-02-08,32.04021453857422
2016-02-09,31.649776458740234
2016-02-10,31.682329177856445
2016-02-11,31.19428253173828
2016-02-12,32.560791015625
2016-02-16,32.68281173706055
2016-02-17,33.15459442138672
2016-02-18,32.560791015625
2016-02-19,32.04021453857422
2016-02-22,32.341190338134766
2016-02-23,31.641647338867188
2016-02-24,31.739242553710938
2016-02-25,32.33304977416992
2016-02-26,32.503868103027344
2016-02-29,31.999544143676758
2016-03-01,33.31726837158203
2016-03-02,34.358436584472656
2016-03-03,34.77328109741211
2016-03-04,34.944095611572266
2016-03-07,36.40821838378906
2016-03-08,36.05032730102539
2016-03-09,35.4158821105957
2016-03-10,36.59531021118164
2016-03-11,36.91254425048828
2016-03-14,36.725467681884766
2016-03-15,36.644126892089844
2016-03-16,37.00202178955078
2016-03-17,37.9455680847168
2016-03-18,37.986244201660156
2016-03-21,37.75034713745117
2016-03-22,37.896759033203125
2016-03-23,37.4575309753418
2016-03-24,37.807289123535156
2016-03-28,38.11638259887695
2016-03-29,38.735469818115234
2016-03-30,39.61283493041992
