,MTB
2014-01-02,85.24867248535156
2014-01-03,85.35979461669922
2014-01-06,85.09310150146484
2014-01-07,85.55985260009766
2014-01-08,85.79694366455078
2014-01-09,86.33039093017578
2014-01-10,85.94511413574219
2014-01-13,84.72262573242188
2014-01-14,85.05604553222656
2014-01-15,85.21903228759766
2014-01-16,84.959716796875
2014-01-17,82.97404479980469
2014-01-21,82.81108856201172
2014-01-22,83.42604064941406
2014-01-23,82.870361328125
2014-01-24,82.44062042236328
2014-01-27,81.98868560791016
2014-01-28,82.4258041381836
2014-01-29,82.75181579589844
2014-01-30,83.57421875
2014-01-31,82.61847686767578
2014-02-03,80.98103332519531
2014-02-04,82.1220474243164
2014-02-05,82.49994659423828
2014-02-06,83.29267883300781
2014-02-07,83.722412109375
2014-02-10,83.67794799804688
2014-02-11,84.45590209960938
2014-02-12,83.86317443847656
2014-02-13,83.9891128540039
2014-02-14,84.50776672363281
2014-02-18,84.26327514648438
2014-02-19,83.1593246459961
2014-02-20,83.30009460449219
2014-02-21,84.10028839111328
2014-02-24,85.1301040649414
2014-02-25,84.82634735107422
2014-02-26,85.73766326904297
2014-02-27,86.22962951660156
2014-02-28,86.907958984375
2014-03-03,86.22962951660156
2014-03-04,87.83975219726562
2014-03-05,87.48196411132812
2014-03-06,88.63733673095703
2014-03-07,88.9876708984375
2014-03-10,88.96531677246094
2014-03-11,88.10063934326172
2014-03-12,88.22737884521484
2014-03-13,87.43722534179688
2014-03-14,87.53411865234375
2014-03-17,87.74282836914062
2014-03-18,87.97393798828125
2014-03-19,88.1602554321289
2014-03-20,90.16544342041016
2014-03-21,90.29214477539062
2014-03-24,90.23252868652344
2014-03-25,90.32199096679688
2014-03-26,90.18035125732422
2014-03-27,89.12185668945312
2014-03-28,89.7778091430664
2014-03-31,90.41888427734375
2014-04-01,90.76923370361328
2014-04-02,90.3741455078125
2014-04-03,90.82140350341797
2014-04-04,89.8598403930664
2014-04-07,89.37531280517578
2014-04-08,90.17288970947266
2014-04-09,90.45613098144531
2014-04-10,88.30189514160156
2014-04-11,88.12300109863281
2014-04-14,90.08345031738281
2014-04-15,89.74057006835938
2014-04-16,90.67230987548828
2014-04-17,90.59779357910156
2014-04-21,90.32199096679688
2014-04-22,90.90338897705078
2014-04-23,91.67864227294922
2014-04-24,91.6189956665039
2014-04-25,91.11956024169922
2014-04-28,90.8586654663086
2014-04-29,90.64997100830078
2014-04-30,90.9481201171875
2014-05-01,90.56050109863281
2014-05-02,90.7916030883789
2014-05-05,90.53070068359375
2014-05-06,89.01001739501953
2014-05-07,90.12818145751953
2014-05-08,90.1356201171875
2014-05-09,90.47107696533203
2014-05-12,91.7233657836914
2014-05-13,90.9183120727539
2014-05-14,89.30075073242188
2014-05-15,88.4957046508789
2014-05-16,88.37645721435547
2014-05-19,89.53181457519531
2014-05-20,88.99514770507812
2014-05-21,89.48711395263672
2014-05-22,90.02379608154297
2014-05-23,90.32199096679688
2014-05-27,90.53070068359375
2014-05-28,91.02265930175781
2014-05-29,90.44538116455078
2014-05-30,90.99269104003906
2014-06-02,91.05264282226562
2014-06-03,91.68242645263672
2014-06-04,91.47247314453125
2014-06-05,92.3946304321289
2014-06-06,92.76201629638672
2014-06-09,94.17147064208984
2014-06-10,93.48172760009766
2014-06-11,92.67955780029297
2014-06-12,92.1397476196289
2014-06-13,91.9673080444336
2014-06-16,91.42003631591797
2014-06-17,92.72451782226562
2014-06-18,92.88195037841797
2014-06-19,92.67955780029297
2014-06-20,93.51171112060547
2014-06-23,93.1368637084961
2014-06-24,92.612060546875
2014-06-25,93.09188079833984
2014-06-26,92.82947540283203
2014-06-27,93.05440521240234
2014-06-30,93.00190734863281
2014-07-01,93.69163513183594
2014-07-02,92.83695220947266
2014-07-03,93.6691665649414
2014-07-07,93.45175170898438
2014-07-08,92.42462921142578
2014-07-09,92.07975006103516
2014-07-10,91.23258972167969
2014-07-11,91.47247314453125
2014-07-14,91.18760681152344
2014-07-15,92.34215545654297
2014-07-16,91.65992736816406
2014-07-17,91.39752197265625
2014-07-18,91.50997161865234
2014-07-21,91.80235290527344
2014-07-22,91.69741821289062
2014-07-23,91.81737518310547
2014-07-24,92.64205169677734
2014-07-25,93.11437225341797
2014-07-28,91.97479248046875
2014-07-29,91.637451171875
2014-07-30,91.99730682373047
2014-07-31,91.09013366699219
2014-08-01,89.8980941772461
2014-08-04,90.06304931640625
2014-08-05,89.8081283569336
2014-08-06,89.98806762695312
2014-08-07,89.08090209960938
2014-08-08,89.89059448242188
2014-08-11,89.65071868896484
2014-08-12,89.59071350097656
2014-08-13,90.13799285888672
2014-08-14,90.04054260253906
2014-08-15,89.93558502197266
2014-08-18,90.76777648925781
2014-08-19,91.01518249511719
2014-08-20,91.01518249511719
2014-08-21,92.43212890625
2014-08-22,91.9673080444336
2014-08-25,92.81448364257812
2014-08-26,93.09937286376953
2014-08-27,92.79949951171875
2014-08-28,92.48281860351562
2014-08-29,93.21417236328125
2014-09-02,93.8022689819336
2014-09-03,93.18402099609375
2014-09-04,93.56100463867188
2014-09-05,93.85505676269531
2014-09-08,93.93798828125
2014-09-09,93.34234619140625
2014-09-10,94.26976013183594
2014-09-11,94.8050537109375
2014-09-12,94.95586395263672
2014-09-15,94.75981903076172
2014-09-16,94.7748794555664
2014-09-17,95.21976470947266
2014-09-18,95.86064910888672
2014-09-19,96.26778411865234
2014-09-22,95.46102905273438
2014-09-23,94.5185546875
2014-09-24,94.75981903076172
2014-09-25,93.59870147705078
2014-09-26,94.11892700195312
2014-09-29,93.74193572998047
2014-09-30,92.95782470703125
2014-10-01,92.19629669189453
2014-10-02,92.14351654052734
2014-10-03,93.00304412841797
2014-10-06,92.64114379882812
2014-10-07,91.22364807128906
2014-10-08,93.10859680175781
2014-10-09,91.23873138427734
2014-10-10,90.44707489013672
2014-10-13,89.67801666259766
2014-10-14,90.4018325805664
2014-10-15,87.36332702636719
2014-10-16,87.58194732666016
2014-10-17,85.0938491821289
2014-10-20,85.26725006103516
2014-10-21,86.76766967773438
2014-10-22,86.64704132080078
2014-10-23,87.12957763671875
2014-10-24,87.74030303955078
2014-10-27,88.26052856445312
2014-10-28,89.3311767578125
2014-10-29,90.04744720458984
2014-10-30,90.17562866210938
2014-10-31,92.12090301513672
2014-11-03,91.75897216796875
2014-11-04,91.43476104736328
2014-11-05,92.61099243164062
2014-11-06,93.81737518310547
2014-11-07,93.90028381347656
2014-11-10,93.99077606201172
2014-11-11,94.13401794433594
2014-11-12,94.71459197998047
2014-11-13,94.5185546875
2014-11-14,94.20188903808594
2014-11-17,94.0284652709961
2014-11-18,94.06616973876953
2014-11-19,93.96062469482422
2014-11-20,94.1038589477539
2014-11-21,94.00586700439453
2014-11-24,95.03877258300781
2014-11-25,95.1669692993164
2014-11-26,95.8038330078125
2014-11-28,95.54605102539062
2014-12-01,94.16617584228516
2014-12-02,95.31861114501953
2014-12-03,96.2890853881836
2014-12-04,96.57718658447266
2014-12-05,97.06999969482422
2014-12-08,96.94107818603516
2014-12-09,96.89561462402344
2014-12-10,93.46106719970703
2014-12-11,93.9993667602539
2014-12-12,92.38442993164062
2014-12-15,91.88404083251953
2014-12-16,90.7619400024414
2014-12-17,92.39202880859375
2014-12-18,94.27230834960938
2014-12-19,94.85610961914062
2014-12-22,95.37928009033203
2014-12-23,96.51654815673828
2014-12-24,96.00096130371094
2014-12-26,96.09195709228516
2014-12-29,96.68331909179688
2014-12-30,96.53929901123047
2014-12-31,95.2427978515625
2015-01-02,95.06842041015625
2015-01-05,92.00534057617188
2015-01-06,89.94309997558594
2015-01-07,90.13262176513672
2015-01-08,91.9598617553711
2015-01-09,90.10990142822266
2015-01-12,89.51850891113281
2015-01-13,90.10990142822266
2015-01-14,87.42593383789062
2015-01-15,86.72083282470703
2015-01-16,87.21363830566406
2015-01-20,85.56839752197266
2015-01-21,85.12862396240234
2015-01-22,88.80581665039062
2015-01-23,87.35771179199219
2015-01-26,88.63143157958984
2015-01-27,88.06280517578125
2015-01-28,86.22044372558594
2015-01-29,87.4941635131836
2015-01-30,85.79585266113281
2015-02-02,87.60789489746094
2015-02-03,89.68533325195312
2015-02-04,89.91277313232422
2015-02-05,90.57239532470703
2015-02-06,92.2328109741211
2015-02-09,91.43669891357422
2015-02-10,91.85370635986328
2015-02-11,91.38363647460938
2015-02-12,93.54446411132812
2015-02-13,93.93870544433594
2015-02-17,94.03728485107422
2015-02-18,92.27069091796875
2015-02-19,91.89922332763672
2015-02-20,91.99777221679688
2015-02-23,91.89161682128906
2015-02-24,92.17973327636719
2015-02-25,92.16455841064453
2015-02-26,92.53821563720703
2015-02-27,92.27135467529297
2015-03-02,93.62108612060547
2015-03-03,93.59058380126953
2015-03-04,93.3770523071289
2015-03-05,93.9642562866211
2015-03-06,94.88697814941406
2015-03-09,94.91744995117188
2015-03-10,92.49247741699219
2015-03-11,92.77462768554688
2015-03-12,95.80965423583984
2015-03-13,95.48937225341797
2015-03-16,96.08419036865234
2015-03-17,96.61798858642578
2015-03-18,96.900146484375
2015-03-19,96.43500518798828
2015-03-20,97.6093521118164
2015-03-23,97.09842681884766
2015-03-24,96.1070785522461
2015-03-25,94.04049682617188
2015-03-26,94.64293670654297
2015-03-27,95.2987289428711
2015-03-30,96.75526428222656
2015-03-31,96.84677124023438
2015-04-01,96.282470703125
2015-04-02,97.00690460205078
2015-04-06,94.37603759765625
2015-04-07,94.9708251953125
2015-04-08,94.74967956542969
2015-04-09,95.09281921386719
2015-04-10,94.85646057128906
2015-04-13,94.71917724609375
2015-04-14,93.99474334716797
2015-04-15,94.54379272460938
2015-04-16,93.95662689208984
2015-04-17,92.1264419555664
2015-04-20,90.90633392333984
2015-04-21,91.11986541748047
2015-04-22,91.89004516601562
2015-04-23,91.65365600585938
2015-04-24,91.21135711669922
2015-04-27,90.26575469970703
2015-04-28,91.836669921875
2015-04-29,91.63837432861328
2015-04-30,91.25711059570312
2015-05-01,90.96733093261719
2015-05-04,92.82038879394531
2015-05-05,91.73753356933594
2015-05-06,92.13407135009766
2015-05-07,91.6460189819336
2015-05-08,92.6526107788086
2015-05-11,92.46195220947266
2015-05-12,92.50011444091797
2015-05-13,93.04914093017578
2015-05-14,93.64395141601562
2015-05-15,92.42384338378906
2015-05-18,93.42281341552734
2015-05-19,94.59716796875
2015-05-20,94.23877716064453
2015-05-21,94.26165008544922
2015-05-22,93.91849517822266
2015-05-26,93.10253143310547
2015-05-27,93.23977661132812
2015-05-28,93.40855407714844
2015-05-29,92.7105941772461
2015-06-01,91.92061614990234
2015-06-02,92.81796264648438
2015-06-03,94.06045532226562
2015-06-04,93.569580078125
2015-06-05,94.99613189697266
2015-06-08,95.08049011230469
2015-06-09,95.74778747558594
2015-06-10,96.96725463867188
2015-06-11,96.79850006103516
2015-06-12,96.73715209960938
2015-06-15,96.4457015991211
2015-06-16,96.89055633544922
2015-06-17,96.1005859375
2015-06-18,97.07462310791016
2015-06-19,96.35365295410156
2015-06-22,97.41974639892578
2015-06-23,98.2940902709961
2015-06-24,97.79557037353516
2015-06-25,97.634521484375
2015-06-26,98.14067840576172
2015-06-29,95.6097183227539
2015-06-30,95.81681060791016
2015-07-01,97.62684631347656
2015-07-02,96.56842041015625
2015-07-06,96.361328125
2015-07-07,95.89350128173828
2015-07-08,94.3442153930664
2015-07-09,95.24925994873047
2015-07-10,96.79850006103516
2015-07-13,97.64218139648438
2015-07-14,97.54244995117188
2015-07-15,98.15603637695312
2015-07-16,100.3265380859375
2015-07-17,100.64097595214844
2015-07-20,101.23922729492188
2015-07-21,101.1318588256836
2015-07-22,102.15959930419922
2015-07-23,101.4462890625
2015-07-24,100.94009399414062
2015-07-27,100.26520538330078
2015-07-28,101.093505859375
2015-07-29,101.36193084716797
