,QCOM
2014-01-02,53.68095779418945
2014-01-03,53.36612319946289
2014-01-06,53.22701644897461
2014-01-07,53.62239456176758
2014-01-08,53.94451904296875
2014-01-09,54.11293411254883
2014-01-10,54.08363342285156
2014-01-13,53.60773849487305
2014-01-14,53.732208251953125
2014-01-15,54.552223205566406
2014-01-16,54.70596694946289
2014-01-17,54.71327590942383
2014-01-21,55.247737884521484
2014-01-22,55.482025146484375
2014-01-23,55.54792404174805
2014-01-24,54.23738479614258
2014-01-27,53.59310531616211
2014-01-28,52.70719909667969
2014-01-29,52.07022476196289
2014-01-30,53.63703536987305
2014-01-31,54.33989715576172
2014-02-03,53.68095779418945
2014-02-04,53.087921142578125
2014-02-05,52.985416412353516
2014-02-06,53.62239456176758
2014-02-07,54.47900390625
2014-02-10,54.683990478515625
2014-02-11,55.36490249633789
2014-02-12,55.95062255859375
2014-02-13,55.965232849121094
2014-02-14,55.84810256958008
2014-02-18,55.350257873535156
2014-02-19,55.47470474243164
2014-02-20,55.60649871826172
2014-02-21,55.35756301879883
2014-02-24,55.22578430175781
2014-02-25,54.845069885253906
2014-02-26,54.94757843017578
2014-02-27,55.0500602722168
2014-02-28,55.12328338623047
2014-03-03,54.15968704223633
2014-03-04,55.98390197753906
2014-03-05,56.395816802978516
2014-03-06,56.638553619384766
2014-03-07,56.48406982421875
2014-03-10,56.690059661865234
2014-03-11,56.42522048950195
2014-03-12,56.61648941040039
2014-03-13,55.63083267211914
2014-03-14,54.97617721557617
2014-03-17,56.65327835083008
2014-03-18,56.969539642333984
2014-03-19,56.4987907409668
2014-03-20,57.44766616821289
2014-03-21,57.51388168334961
2014-03-24,57.1828727722168
2014-03-25,57.78602981567383
2014-03-26,57.6021614074707
2014-03-27,58.146453857421875
2014-03-28,58.31563186645508
2014-03-31,58.00669860839844
2014-04-01,58.91879653930664
2014-04-02,58.948238372802734
2014-04-03,59.24981689453125
2014-04-04,57.76396942138672
2014-04-07,57.432952880859375
2014-04-08,58.02876663208008
2014-04-09,58.793739318847656
2014-04-10,57.425601959228516
2014-04-11,57.381465911865234
2014-04-14,58.21265411376953
2014-04-15,58.470088958740234
2014-04-16,58.97764587402344
2014-04-17,59.816165924072266
2014-04-21,59.52931594848633
2014-04-22,59.29393005371094
2014-04-23,59.367496490478516
2014-04-24,57.27849197387695
