,PCAR
2014-01-02,26.57802391052246
2014-01-03,26.632532119750977
2014-01-06,26.873292922973633
2014-01-07,26.855113983154297
2014-01-08,26.786977767944336
2014-01-09,26.800601959228516
2014-01-10,26.88691520690918
2014-01-13,26.528060913085938
2014-01-14,26.627992630004883
2014-01-15,26.75063133239746
2014-01-16,26.91417121887207
2014-01-17,27.041353225708008
2014-01-21,26.9595947265625
2014-01-22,26.791536331176758
2014-01-23,26.459918975830078
2014-01-24,25.546886444091797
2014-01-27,25.687705993652344
2014-01-28,25.8012638092041
2014-01-29,25.68316078186035
2014-01-30,26.096519470214844
2014-01-31,25.4378662109375
2014-02-03,24.529367446899414
2014-02-04,25.01087188720703
2014-02-05,25.846689224243164
2014-02-06,26.632532119750977
2014-02-07,26.86874008178711
2014-02-10,26.568941116333008
2014-02-11,26.88691520690918
2014-02-12,26.996307373046875
2014-02-13,27.278888702392578
2014-02-14,28.04917335510254
2014-02-18,28.39101791381836
2014-02-19,28.1722469329834
2014-02-20,28.25883674621582
2014-02-21,28.42748260498047
2014-02-24,29.257007598876953
2014-02-25,29.471221923828125
2014-02-26,29.37551498413086
2014-02-27,29.621631622314453
2014-02-28,30.009057998657227
2014-03-03,29.66265296936035
2014-03-04,30.04096031188965
2014-03-05,29.767484664916992
2014-03-06,30.031843185424805
2014-03-07,30.05008888244629
2014-03-10,29.881441116333008
2014-03-11,29.981706619262695
2014-03-12,30.24150848388672
2014-03-13,29.762924194335938
2014-03-14,29.626201629638672
2014-03-17,30.31443214416504
2014-03-18,30.65172576904297
2014-03-19,30.396486282348633
2014-03-20,30.510427474975586
2014-03-21,30.715530395507812
2014-03-24,30.36911964416504
2014-03-25,30.834035873413086
2014-03-26,30.318992614746094
2014-03-27,30.04552459716797
2014-03-28,30.33722496032715
2014-03-31,30.738319396972656
2014-04-01,30.906951904296875
2014-04-02,31.11663055419922
2014-04-03,30.724637985229492
2014-04-04,29.958925247192383
2014-04-07,29.562387466430664
2014-04-08,29.886009216308594
2014-04-09,30.396486282348633
2014-04-10,29.60796356201172
2014-04-11,29.229663848876953
2014-04-14,29.302600860595703
2014-04-15,29.421100616455078
2014-04-16,29.936138153076172
2014-04-17,29.799396514892578
2014-04-21,30.031843185424805
2014-04-22,30.022729873657227
2014-04-23,30.09109878540039
2014-04-24,30.214153289794922
2014-04-25,29.927021026611328
2014-04-28,29.995384216308594
2014-04-29,28.942520141601562
2014-04-30,29.161293029785156
2014-05-01,29.2114315032959
2014-05-02,28.8468074798584
2014-05-05,28.88780975341797
2014-05-06,28.596111297607422
2014-05-07,28.659927368164062
2014-05-08,28.714622497558594
2014-05-09,28.518632888793945
2014-05-12,29.088363647460938
2014-05-13,28.892375946044922
2014-05-14,28.304418563842773
2014-05-15,27.997957229614258
2014-05-16,28.075714111328125
2014-05-19,28.427907943725586
2014-05-20,28.089439392089844
2014-05-21,28.441638946533203
2014-05-22,28.5102481842041
2014-05-23,28.793842315673828
2014-05-27,29.283267974853516
2014-05-28,29.210086822509766
2014-05-29,29.008825302124023
2014-05-30,28.981365203857422
2014-06-02,28.908199310302734
2014-06-03,28.985952377319336
2014-06-04,28.953935623168945
2014-06-05,29.25124740600586
2014-06-06,29.585153579711914
2014-06-09,29.70865249633789
2014-06-10,29.493675231933594
2014-06-11,29.246675491333008
2014-06-12,28.775541305541992
2014-06-13,28.949359893798828
2014-06-16,28.967662811279297
2014-06-17,29.0545654296875
2014-06-18,29.18262481689453
2014-06-19,29.379316329956055
2014-06-20,29.44793128967285
2014-06-23,29.287853240966797
2014-06-24,29.11859893798828
2014-06-25,29.16890525817871
2014-06-26,28.953935623168945
2014-06-27,28.77098274230957
2014-06-30,28.738950729370117
2014-07-01,29.027116775512695
2014-07-02,29.17349624633789
2014-07-03,30.760690689086914
2014-07-07,30.170637130737305
2014-07-08,30.02884864807129
2014-07-09,29.973960876464844
2014-07-10,29.717798233032227
2014-07-11,30.00596809387207
2014-07-14,30.15691375732422
2014-07-15,30.0654354095459
2014-07-16,30.303295135498047
2014-07-17,29.928203582763672
2014-07-18,30.16606330871582
2014-07-21,30.06085205078125
2014-07-22,30.193511962890625
2014-07-23,30.14777374267578
2014-07-24,29.98309898376465
2014-07-25,29.74981689453125
2014-07-28,29.644624710083008
2014-07-29,29.04541778564453
2014-07-30,29.22380256652832
2014-07-31,28.482797622680664
2014-08-01,28.116872787475586
2014-08-04,28.290695190429688
2014-08-05,28.080270767211914
2014-08-06,27.874448776245117
2014-08-07,27.80126190185547
2014-08-08,28.299837112426758
2014-08-11,28.31355857849121
2014-08-12,28.23123550415039
2014-08-13,28.451566696166992
2014-08-14,28.60763931274414
2014-08-15,28.547971725463867
2014-08-18,29.12636375427246
2014-08-19,29.172260284423828
2014-08-20,29.516544342041016
2014-08-21,29.06667709350586
2014-08-22,28.80502700805664
2014-08-25,28.993244171142578
2014-08-26,28.795852661132812
2014-08-27,28.768310546875
2014-08-28,28.777488708496094
2014-08-29,28.83256721496582
2014-09-02,28.80044937133789
2014-09-03,28.593883514404297
2014-09-04,28.60763931274414
2014-09-05,28.281726837158203
2014-09-08,28.217453002929688
2014-09-09,27.91907501220703
2014-09-10,27.795135498046875
2014-09-11,27.8502197265625
2014-09-12,27.606922149658203
2014-09-15,27.331501007080078
2014-09-16,27.175432205200195
2014-09-17,27.38199234008789
2014-09-18,27.57938003540039
2014-09-19,27.441675186157227
2014-09-22,27.216739654541016
2014-09-23,26.831132888793945
2014-09-24,26.918357849121094
2014-09-25,26.500627517700195
2014-09-26,26.42719078063965
2014-09-29,26.257335662841797
2014-09-30,26.110441207885742
2014-10-01,25.802886962890625
2014-10-02,26.19306755065918
2014-10-03,26.583255767822266
2014-10-06,26.766878128051758
2014-10-07,26.059946060180664
2014-10-08,26.968849182128906
2014-10-09,26.349149703979492
2014-10-10,25.92682647705078
2014-10-13,25.51827621459961
2014-10-14,26.197662353515625
2014-10-15,26.197662353515625
2014-10-16,26.64752960205078
2014-10-17,26.808191299438477
2014-10-20,26.587839126586914
2014-10-21,27.267227172851562
2014-10-22,27.244281768798828
2014-10-23,27.808908462524414
2014-10-24,28.185317993164062
2014-10-27,28.13481903076172
2014-10-28,28.896846771240234
2014-10-29,29.08045196533203
2014-10-30,29.309978485107422
2014-10-31,29.984779357910156
2014-11-03,30.01691436767578
2014-11-04,30.01691436767578
2014-11-05,30.27398109436035
2014-11-06,30.5585880279541
2014-11-07,30.733007431030273
2014-11-10,30.677934646606445
2014-11-11,30.535627365112305
2014-11-12,30.81197166442871
2014-11-13,30.60470962524414
2014-11-14,30.687604904174805
2014-11-17,30.655364990234375
2014-11-18,30.646169662475586
2014-11-19,30.59551429748535
2014-11-20,30.62312889099121
2014-11-21,30.84881591796875
2014-11-24,31.01462745666504
2014-11-25,31.290956497192383
2014-11-26,31.023818969726562
2014-11-28,30.86724090576172
2014-12-01,31.083696365356445
2014-12-02,31.429122924804688
2014-12-03,32.58975601196289
2014-12-04,32.34565353393555
2014-12-05,32.35487365722656
2014-12-08,32.06011199951172
2014-12-09,32.479225158691406
2014-12-10,31.461381912231445
2014-12-11,31.98640251159668
2014-12-12,31.18042755126953
2014-12-15,31.092920303344727
2014-12-16,31.18962860107422
2014-12-17,31.787992477416992
2014-12-18,32.50790023803711
2014-12-19,32.367671966552734
2014-12-22,32.344276428222656
2014-12-23,32.465816497802734
2014-12-24,32.45180892944336
2014-12-26,32.31623840332031
2014-12-29,32.53596115112305
2014-12-30,32.1619758605957
2014-12-31,31.792678833007812
2015-01-02,31.858110427856445
2015-01-05,30.787609100341797
2015-01-06,30.829689025878906
2015-01-07,31.241056442260742
2015-01-08,31.65243148803711
2015-01-09,30.49310874938965
2015-01-12,30.773584365844727
2015-01-13,30.55387306213379
2015-01-14,30.26872444152832
2015-01-15,29.618934631347656
2015-01-16,30.151851654052734
2015-01-20,30.142507553100586
2015-01-21,30.432336807250977
2015-01-22,30.2313175201416
2015-01-23,30.175228118896484
2015-01-26,30.483760833740234
2015-01-27,29.974210739135742
2015-01-28,29.65631103515625
2015-01-29,29.941503524780273
2015-01-30,28.09965705871582
2015-02-02,28.707366943359375
2015-02-03,29.33377456665039
2015-02-04,29.198213577270508
2015-02-05,29.100034713745117
2015-02-06,29.33377456665039
2015-02-09,29.52543830871582
2015-02-10,29.52543830871582
2015-02-11,29.478540420532227
2015-02-12,29.666168212890625
2015-02-13,30.125892639160156
2015-02-17,30.238473892211914
2015-02-18,30.257247924804688
2015-02-19,30.257247924804688
2015-02-20,30.299461364746094
2015-02-23,29.980470657348633
2015-02-24,29.92418670654297
2015-02-25,30.308855056762695
2015-02-26,30.327608108520508
2015-02-27,30.04615592956543
2015-03-02,30.4495792388916
2015-03-03,30.2760066986084
2015-03-04,29.41755485534668
2015-03-05,29.295581817626953
2015-03-06,28.924978256225586
2015-03-09,29.206451416015625
2015-03-10,28.380828857421875
2015-03-11,28.610687255859375
2015-03-12,29.25334930419922
2015-03-13,28.957822799682617
2015-03-16,29.33310890197754
2015-03-17,29.351869583129883
2015-03-18,29.90073585510254
2015-03-19,29.361255645751953
2015-03-20,29.83974266052246
2015-03-23,29.90542221069336
2015-03-24,30.074298858642578
2015-03-25,29.38003158569336
2015-03-26,29.234594345092773
2015-03-27,29.164226531982422
2015-03-30,29.764680862426758
2015-03-31,29.619264602661133
2015-04-01,29.037574768066406
2015-04-02,28.709190368652344
2015-04-06,29.107940673828125
2015-04-07,29.15483856201172
2015-04-08,29.44099998474121
2015-04-09,29.64271354675293
2015-04-10,29.666168212890625
2015-04-13,29.459766387939453
2015-04-14,29.6849308013916
2015-04-15,30.111818313598633
2015-04-16,29.999237060546875
2015-04-17,29.4456844329834
2015-04-20,29.966400146484375
2015-04-21,31.29866600036621
2015-04-22,31.622329711914062
2015-04-23,31.190767288208008
2015-04-24,31.026586532592773
2015-04-27,31.190767288208008
2015-04-28,31.38309097290039
2015-04-29,31.082870483398438
2015-04-30,30.655986785888672
2015-05-01,30.759187698364258
2015-05-04,30.989049911499023
2015-05-05,30.55278205871582
2015-05-06,30.407352447509766
2015-05-07,30.81548309326172
2015-05-08,31.190767288208008
2015-05-11,31.312726974487305
2015-05-12,31.0078125
2015-05-13,31.22829246520996
2015-05-14,31.345571517944336
2015-05-15,31.27496337890625
2015-05-18,30.954923629760742
2015-05-19,30.84667205810547
2015-05-20,30.776073455810547
2015-05-21,30.84667205810547
2015-05-22,30.954923629760742
2015-05-26,30.785480499267578
2015-05-27,31.157306671142578
2015-05-28,30.67252540588379
2015-05-29,29.914775848388672
2015-06-01,30.150115966796875
2015-06-02,30.39955711364746
2015-06-03,30.352489471435547
2015-06-04,30.037155151367188
2015-06-05,29.900667190551758
2015-06-08,29.815940856933594
2015-06-09,30.008901596069336
2015-06-10,30.61134147644043
2015-06-11,30.8137264251709
2015-06-12,30.59721565246582
2015-06-15,30.263057708740234
2015-06-16,30.14539909362793
2015-06-17,30.074796676635742
2015-06-18,30.521928787231445
2015-06-19,30.474863052368164
2015-06-22,30.667818069458008
2015-06-23,30.62076759338379
2015-06-24,30.545452117919922
2015-06-25,30.277179718017578
2015-06-26,30.5078067779541
2015-06-29,29.84418487548828
2015-06-30,30.032461166381836
2015-07-01,30.28659439086914
2015-07-02,30.446619033813477
2015-07-06,30.206579208374023
2015-07-07,30.314844131469727
2015-07-08,29.61827278137207
2015-07-09,29.604154586791992
2015-07-10,29.834760665893555
2015-07-13,30.404253005981445
2015-07-14,30.540752410888672
2015-07-15,30.644290924072266
2015-07-16,30.84667205810547
2015-07-17,30.347787857055664
2015-07-20,30.540752410888672
2015-07-21,30.700767517089844
2015-07-22,30.80902862548828
2015-07-23,30.7290096282959
2015-07-24,30.545452117919922
2015-07-27,30.42778205871582
2015-07-28,30.49839210510254
2015-07-29,30.90315818786621
2015-07-30,30.479562759399414
2015-07-31,30.517215728759766
2015-08-03,30.347787857055664
2015-08-04,29.71710968017578
2015-08-05,29.933612823486328
2015-08-06,29.792407989501953
2015-08-07,29.627681732177734
2015-08-10,30.037155151367188
2015-08-11,29.64649772644043
2015-08-12,29.65595245361328
2015-08-13,29.608713150024414
2015-08-14,29.72682762145996
2015-08-17,29.778791427612305
2015-08-18,29.736263275146484
