,AON
2014-01-02,73.75704956054688
2014-01-03,73.9720230102539
2014-01-06,73.20182800292969
2014-01-07,73.70335388183594
2014-01-08,73.34513854980469
2014-01-09,74.91234588623047
2014-01-10,73.9003677368164
2014-01-13,72.46749877929688
2014-01-14,74.24964141845703
2014-01-15,74.68844604492188
2014-01-16,75.24370574951172
2014-01-17,75.36011505126953
2014-01-21,74.95712280273438
2014-01-22,74.11531829833984
2014-01-23,72.79885864257812
2014-01-24,70.21969604492188
2014-01-27,70.68534851074219
2014-01-28,71.71524810791016
2014-01-29,71.24061584472656
2014-01-30,72.46572875976562
2014-01-31,72.21441650390625
2014-02-03,69.0013198852539
2014-02-04,69.46798706054688
2014-02-05,69.53083038330078
2014-02-06,69.40515899658203
2014-02-07,72.71702575683594
2014-02-10,73.282470703125
2014-02-11,74.65565490722656
2014-02-12,74.88005065917969
2014-02-13,75.6788330078125
2014-02-14,76.49557495117188
2014-02-18,76.43277740478516
2014-02-19,76.09169006347656
2014-02-20,76.6571273803711
2014-02-21,77.38414764404297
2014-02-24,77.79698944091797
2014-02-25,77.33025360107422
2014-02-26,76.58534240722656
2014-02-27,76.9712905883789
2014-02-28,76.82765197753906
2014-03-03,75.95706939697266
2014-03-04,76.91740417480469
2014-03-05,77.07896423339844
2014-03-06,77.68929290771484
2014-03-07,78.03934478759766
2014-03-10,77.78800964355469
2014-03-11,77.44695281982422
2014-03-12,76.75587463378906
2014-03-13,74.6736068725586
2014-03-14,74.87107849121094
2014-03-17,75.90322875976562
2014-03-18,76.77379608154297
2014-03-19,75.59805297851562
2014-03-20,76.66609191894531
2014-03-21,77.06103515625
2014-03-24,75.6070327758789
2014-03-25,75.30187225341797
2014-03-26,74.49412536621094
2014-03-27,74.0004653930664
2014-03-28,74.153076171875
2014-03-31,75.64295196533203
2014-04-01,76.1096420288086
2014-04-02,75.83139038085938
2014-04-03,75.58910369873047
2014-04-04,74.153076171875
2014-04-07,72.80680084228516
2014-04-08,72.87860107421875
2014-04-09,74.13511657714844
2014-04-10,71.6938705444336
2014-04-11,71.29000091552734
2014-04-14,72.19644927978516
2014-04-15,72.92345428466797
2014-04-16,73.91968536376953
2014-04-17,73.72225189208984
2014-04-21,73.62350463867188
2014-04-22,73.81200408935547
2014-04-23,73.65044403076172
2014-04-24,73.76712799072266
2014-04-25,76.24427795410156
2014-04-28,75.61600494384766
2014-04-29,76.21015167236328
2014-04-30,76.4081802368164
2014-05-01,76.86729431152344
2014-05-02,76.55220794677734
2014-05-05,76.65121459960938
2014-05-06,76.30017852783203
2014-05-07,77.74047088623047
2014-05-08,77.12832641601562
2014-05-09,76.9933090209961
2014-05-12,77.61446380615234
2014-05-13,77.81249237060547
2014-05-14,77.34437561035156
2014-05-15,77.6054458618164
2014-05-16,77.99252319335938
2014-05-19,78.26258850097656
2014-05-20,78.33457946777344
2014-05-21,78.97373962402344
2014-05-22,79.23477935791016
2014-05-23,79.60386657714844
2014-05-27,80.26997375488281
2014-05-28,80.2249984741211
2014-05-29,80.8371353149414
2014-05-30,80.96316528320312
2014-06-02,80.9361572265625
2014-06-03,80.59406280517578
2014-06-04,80.80111694335938
2014-06-05,81.0711898803711
2014-06-06,81.47626495361328
