,DD
2014-01-02,47.776519775390625
2014-01-03,47.5587158203125
2014-01-06,47.47159957885742
2014-01-07,46.94886016845703
2014-01-08,47.0033073425293
2014-01-09,46.3934326171875
2014-01-10,46.51322937011719
2014-01-13,45.62022399902344
2014-01-14,46.4478759765625
2014-01-15,46.88352584838867
2014-01-16,46.92708206176758
2014-01-17,46.9052848815918
2014-01-21,50.019954681396484
2014-01-22,49.74770736694336
2014-01-23,48.702232360839844
2014-01-24,47.27557373046875
2014-01-27,46.93795394897461
2014-01-28,46.894405364990234
2014-01-29,48.7131233215332
2014-01-30,49.34477233886719
2014-01-31,49.562564849853516
2014-02-03,48.6695556640625
2014-02-04,48.963592529296875
2014-02-05,48.84379577636719
2014-02-06,49.649696350097656
2014-02-07,49.660579681396484
2014-02-10,49.92195510864258
2014-02-11,51.011016845703125
2014-02-12,50.49915313720703
2014-02-13,50.42292404174805
2014-02-14,50.869422912597656
2014-02-18,50.94567108154297
2014-02-19,50.57537078857422
2014-02-20,51.337711334228516
2014-02-21,51.141693115234375
2014-02-24,51.13080978393555
2014-02-25,51.424835205078125
2014-02-26,52.08916091918945
2014-02-27,52.82973861694336
2014-02-28,53.047523498535156
2014-03-03,52.753482818603516
2014-03-04,53.86430740356445
2014-03-05,54.3543815612793
2014-03-06,54.21280288696289
2014-03-07,53.918766021728516
2014-03-10,54.26725387573242
2014-03-11,53.64649200439453
2014-03-12,53.39603042602539
2014-03-13,53.0802001953125
2014-03-14,52.98217010498047
2014-03-17,53.36334991455078
2014-03-18,54.09300994873047
2014-03-19,54.02766036987305
2014-03-20,54.71377182006836
2014-03-21,54.681087493896484
2014-03-24,54.626617431640625
2014-03-25,55.149383544921875
2014-03-26,53.83163070678711
2014-03-27,52.657569885253906
2014-03-28,52.88798141479492
2014-03-31,53.31591796875
2014-04-01,54.54484939575195
2014-04-02,54.75333023071289
2014-04-03,54.3802604675293
2014-04-04,53.4256477355957
2014-04-07,52.591739654541016
2014-04-08,52.74534225463867
2014-04-09,53.73288345336914
2014-04-10,52.33934783935547
2014-04-11,51.51642608642578
2014-04-14,52.11991500854492
2014-04-15,52.19670867919922
2014-04-16,53.2171745300293
2014-04-17,53.45855712890625
2014-04-21,53.49147415161133
2014-04-22,53.69995880126953
2014-04-23,54.17180252075195
2014-04-24,54.02914810180664
2014-04-25,53.2171745300293
2014-04-28,51.889488220214844
2014-04-29,53.43661880493164
2014-04-30,54.75333023071289
2014-05-01,53.44759750366211
2014-05-02,53.4256477355957
2014-05-05,54.16080093383789
2014-05-06,53.88648986816406
2014-05-07,54.33637237548828
2014-05-08,53.996219635009766
2014-05-09,54.06205749511719
2014-05-12,54.99474334716797
2014-05-13,54.917945861816406
2014-05-14,55.08250427246094
2014-05-15,53.33787536621094
2014-05-16,53.743858337402344
2014-05-19,54.13887023925781
2014-05-20,54.57777404785156
2014-05-21,54.797245025634766
2014-05-22,54.621665954589844
2014-05-23,55.60921859741211
2014-05-27,55.883506774902344
2014-05-28,56.805213928222656
2014-05-29,57.57330322265625
2014-05-30,57.18925094604492
2014-06-02,57.617183685302734
2014-06-03,57.72692108154297
2014-06-04,57.58424758911133
2014-06-05,57.73789596557617
2014-06-06,58.29747772216797
2014-06-09,58.143890380859375
2014-06-10,58.31942367553711
2014-06-11,58.001216888427734
2014-06-12,57.05758285522461
2014-06-13,57.49650955200195
2014-06-16,57.38677978515625
2014-06-17,57.05758285522461
2014-06-18,57.62815475463867
2014-06-19,57.1343994140625
2014-06-20,57.57330322265625
2014-06-23,58.03414535522461
2014-06-24,57.40870666503906
2014-06-25,57.72692108154297
2014-06-26,57.59431076049805
2014-06-27,57.03072738647461
2014-06-30,56.8650016784668
2014-07-01,56.953392028808594
2014-07-02,56.93130111694336
2014-07-03,57.51694869995117
2014-07-07,56.61083984375
2014-07-08,56.34561538696289
2014-07-09,56.577674865722656
2014-07-10,56.48926544189453
2014-07-11,57.01969528198242
2014-07-14,56.90919494628906
2014-07-15,56.953392028808594
2014-07-16,57.53907012939453
2014-07-17,57.0749397277832
2014-07-18,57.119136810302734
2014-07-21,57.306983947753906
2014-07-22,57.793216705322266
2014-07-23,59.55019760131836
2014-07-24,59.4949836730957
2014-07-25,59.351295471191406
2014-07-28,59.34024429321289
2014-07-29,59.06399154663086
2014-07-30,57.992122650146484
2014-07-31,56.43403625488281
2014-08-01,56.32353210449219
2014-08-04,57.10809326171875
2014-08-05,56.46717071533203
2014-08-06,56.898136138916016
2014-08-07,56.71029281616211
2014-08-08,57.77111053466797
2014-08-11,57.24068069458008
2014-08-12,57.24068069458008
2014-08-13,58.01422882080078
2014-08-14,57.605350494384766
2014-08-15,57.48379898071289
2014-08-18,58.434112548828125
2014-08-19,58.6551513671875
2014-08-20,58.89824295043945
2014-08-21,58.644081115722656
2014-08-22,58.688270568847656
2014-08-25,58.71038818359375
2014-08-26,58.67725372314453
2014-08-27,59.27397155761719
2014-08-28,59.27397155761719
2014-08-29,59.17451858520508
2014-09-02,59.17451858520508
2014-09-03,59.561256408691406
2014-09-04,59.99223327636719
2014-09-05,60.5557861328125
2014-09-08,60.01432800292969
2014-09-09,59.07503128051758
2014-09-10,58.96456527709961
2014-09-11,58.434112548828125
2014-09-12,58.20209884643555
2014-09-15,58.61094284057617
2014-09-16,59.09716033935547
2014-09-17,59.8375244140625
2014-09-18,59.21871566772461
2014-09-19,59.108219146728516
2014-09-22,58.41202926635742
2014-09-23,58.33468246459961
2014-09-24,59.1413459777832
2014-09-25,58.71038818359375
2014-09-26,59.611724853515625
2014-09-29,59.4448127746582
2014-09-30,58.35429382324219
2014-10-01,56.139854431152344
2014-10-02,56.10647201538086
