,BG
2014-01-02,60.95424270629883
2014-01-03,60.455718994140625
2014-01-06,60.33665466308594
2014-01-07,60.753353118896484
2014-01-08,60.5152587890625
2014-01-09,60.44085693359375
2014-01-10,60.60454559326172
2014-01-13,60.31436538696289
2014-01-14,60.87239456176758
2014-01-15,60.7012825012207
2014-01-16,60.61943054199219
2014-01-17,60.49292755126953
2014-01-21,60.52267837524414
2014-01-22,60.33665466308594
2014-01-23,59.60003662109375
2014-01-24,57.76963806152344
2014-01-27,57.31575393676758
2014-01-28,57.64313507080078
2014-01-29,56.51215362548828
2014-01-30,57.02556610107422
2014-01-31,56.370765686035156
2014-02-03,55.38117218017578
2014-02-04,54.69662094116211
2014-02-05,55.25468063354492
2014-02-06,55.89458084106445
2014-02-07,55.9466438293457
2014-02-10,55.52253723144531
2014-02-11,56.846981048583984
2014-02-12,56.49726867675781
2014-02-13,57.789615631103516
2014-02-14,58.73085403442383
2014-02-18,58.499298095703125
2014-02-19,58.56652069091797
2014-02-20,59.119327545166016
2014-02-21,59.2911262512207
2014-02-24,59.672119140625
2014-02-25,59.769222259521484
2014-02-26,59.79163360595703
2014-02-27,59.38075637817383
2014-02-28,59.47042465209961
2014-03-03,58.58894729614258
2014-03-04,58.88026428222656
2014-03-05,58.551578521728516
2014-03-06,59.94850158691406
2014-03-07,59.746822357177734
2014-03-10,60.172611236572266
2014-03-11,59.089447021484375
2014-03-12,58.57399368286133
2014-03-13,58.26771545410156
2014-03-14,58.38724899291992
2014-03-17,58.641239166259766
2014-03-18,59.044612884521484
2014-03-19,58.37229919433594
2014-03-20,58.47687911987305
2014-03-21,58.52915954589844
2014-03-24,58.23783493041992
2014-03-25,58.38724899291992
2014-03-26,57.89420700073242
2014-03-27,58.43953323364258
2014-03-28,58.99979019165039
2014-03-31,59.39572525024414
2014-04-01,59.433048248291016
2014-04-02,59.365821838378906
2014-04-03,59.38075637817383
2014-04-04,58.417110443115234
2014-04-07,58.29759216308594
2014-04-08,59.7542839050293
2014-04-09,60.030696868896484
2014-04-10,59.313541412353516
2014-04-11,58.4544677734375
2014-04-14,59.20895767211914
2014-04-15,59.44803237915039
2014-04-16,60.59843826293945
2014-04-17,59.94850158691406
2014-04-21,59.7542839050293
2014-04-22,59.84392166137695
2014-04-23,60.33695983886719
2014-04-24,60.33695983886719
2014-04-25,60.79265594482422
2014-04-28,59.672119140625
2014-04-29,59.61981201171875
2014-04-30,59.50028991699219
2014-05-01,56.28063201904297
2014-05-02,57.07247543334961
2014-05-05,56.45246505737305
2014-05-06,56.38520812988281
2014-05-07,57.59538650512695
2014-05-08,57.341392517089844
2014-05-09,57.47589111328125
2014-05-12,57.93153762817383
2014-05-13,57.968910217285156
2014-05-14,58.14887619018555
2014-05-15,57.218990325927734
2014-05-16,57.511444091796875
2014-05-19,57.42897033691406
2014-05-20,57.751434326171875
2014-05-21,57.338951110839844
2014-05-22,56.61903381347656
2014-05-23,56.79151916503906
2014-05-27,56.90401840209961
2014-05-28,57.398956298828125
2014-05-29,58.14140319824219
2014-05-30,58.276371002197266
2014-06-02,57.751434326171875
2014-06-03,57.50394821166992
2014-06-04,56.52155303955078
2014-06-05,57.083988189697266
2014-06-06,57.443939208984375
2014-06-09,57.241477966308594
2014-06-10,57.15901184082031
2014-06-11,56.85151290893555
2014-06-12,56.32658004760742
2014-06-13,56.22158432006836
2014-06-16,56.22158432006836
2014-06-17,56.514034271240234
2014-06-18,56.63404846191406
2014-06-19,56.9940071105957
2014-06-20,56.956512451171875
2014-06-23,56.72405242919922
2014-06-24,56.139102935791016
2014-06-25,56.004119873046875
2014-06-26,56.70902633666992
2014-06-27,57.15901184082031
2014-06-30,56.72405242919922
2014-07-01,56.919010162353516
2014-07-02,57.114009857177734
2014-07-03,57.039005279541016
2014-07-07,57.578948974609375
2014-07-08,57.16648864746094
2014-07-09,56.34905242919922
2014-07-10,55.82413864135742
2014-07-11,55.32917404174805
2014-07-14,55.48666000366211
2014-07-15,55.149200439453125
2014-07-16,55.704124450683594
2014-07-17,55.44166946411133
2014-07-18,55.43416976928711
2014-07-21,55.381675720214844
2014-07-22,56.16910934448242
2014-07-23,56.16910934448242
2014-07-24,56.46906661987305
2014-07-25,55.80913162231445
2014-07-28,55.6966438293457
2014-07-29,55.63665008544922
2014-07-30,55.231689453125
2014-07-31,59.123775482177734
2014-08-01,60.5936279296875
2014-08-04,60.18867111206055
2014-08-05,59.87371063232422
2014-08-06,59.993675231933594
2014-08-07,59.963687896728516
2014-08-08,60.21116638183594
2014-08-11,61.67350769042969
2014-08-12,61.48601531982422
2014-08-13,61.13356399536133
2014-08-14,61.448551177978516
2014-08-15,61.33559036254883
2014-08-18,61.32804870605469
2014-08-19,62.41996765136719
2014-08-20,61.96059799194336
2014-08-21,62.517860412597656
2014-08-22,62.35972213745117
2014-08-25,62.939544677734375
2014-08-26,63.391387939453125
2014-08-27,63.67753219604492
2014-08-28,63.46669387817383
2014-08-29,63.74534606933594
2014-09-02,64.21221160888672
2014-09-03,64.58873748779297
2014-09-04,63.926063537597656
2014-09-05,64.3402328491211
2014-09-08,64.47577667236328
2014-09-09,64.43060302734375
2014-09-10,64.27997589111328
2014-09-11,65.03305053710938
2014-09-12,64.69416046142578
2014-09-15,64.7995834350586
2014-09-16,64.90502166748047
2014-09-17,64.82218170166016
2014-09-18,64.79206848144531
2014-09-19,64.00137329101562
2014-09-22,64.19713592529297
2014-09-23,63.58719253540039
2014-09-24,63.971221923828125
2014-09-25,62.9621467590332
2014-09-26,63.6398811340332
2014-09-29,63.34620666503906
2014-09-30,63.42903518676758
2014-10-01,62.35972213745117
2014-10-02,61.81752014160156
2014-10-03,62.95463180541992
2014-10-06,64.05406188964844
2014-10-07,63.63235092163086
2014-10-08,64.02394104003906
2014-10-09,62.82661437988281
2014-10-10,62.21664810180664
2014-10-13,61.48617172241211
2014-10-14,61.92292785644531
2014-10-15,61.260284423828125
2014-10-16,60.97412109375
2014-10-17,62.05854034423828
2014-10-20,62.05854034423828
2014-10-21,63.16548538208008
2014-10-22,63.180545806884766
2014-10-23,63.225711822509766
2014-10-24,63.76038360595703
2014-10-27,63.12028121948242
2014-10-28,63.79803466796875
2014-10-29,64.00137329101562
2014-10-30,64.25740051269531
2014-10-31,66.75752258300781
2014-11-03,66.03458404541016
2014-11-04,66.0119857788086
2014-11-05,67.17921447753906
2014-11-06,66.60689544677734
2014-11-07,66.84036254882812
2014-11-10,66.83279418945312
2014-11-11,67.05120086669922
2014-11-12,66.65209197998047
2014-11-13,66.83279418945312
2014-11-14,66.96131134033203
2014-11-17,67.78528594970703
2014-11-18,68.06497955322266
2014-11-19,68.17839813232422
2014-11-20,68.53369140625
2014-11-21,69.16866302490234
2014-11-24,67.9289321899414
2014-11-25,68.28424072265625
2014-11-26,67.88359069824219
2014-11-28,68.61681365966797
2014-12-01,68.61681365966797
2014-12-02,68.3900375366211
2014-12-03,68.97968292236328
2014-12-04,67.86843872070312
2014-12-05,69.45592498779297
2014-12-08,69.85657501220703
2014-12-09,70.23455047607422
2014-12-10,68.29177856445312
2014-12-11,70.181640625
2014-12-12,68.04989624023438
2014-12-15,67.80043029785156
2014-12-16,67.17298126220703
2014-12-17,68.3371353149414
2014-12-18,69.34255981445312
2014-12-19,68.32957458496094
2014-12-22,69.65247344970703
2014-12-23,69.81877899169922
2014-12-24,69.56930541992188
2014-12-26,69.92460632324219
2014-12-29,70.03044128417969
2014-12-30,69.62222290039062
2014-12-31,68.7226791381836
2015-01-02,68.91165161132812
2015-01-05,67.51316833496094
2015-01-06,66.878173828125
2015-01-07,67.22591400146484
2015-01-08,68.45807647705078
2015-01-09,67.62655639648438
2015-01-12,67.15785217285156
2015-01-13,67.94404602050781
2015-01-14,67.90623474121094
2015-01-15,68.45807647705078
2015-01-16,69.51638793945312
2015-01-20,68.64705657958984
2015-01-21,69.25183868408203
2015-01-22,69.57687377929688
2015-01-23,69.47106170654297
2015-01-26,69.78099822998047
2015-01-27,69.50129699707031
2015-01-28,68.66973876953125
2015-01-29,69.16866302490234
2015-01-30,67.67945861816406
2015-02-02,68.48832702636719
2015-02-03,68.18595123291016
2015-02-04,67.81552124023438
2015-02-05,69.14600372314453
2015-02-06,68.54121398925781
2015-02-09,68.26909637451172
2015-02-10,69.04772186279297
2015-02-11,69.153564453125
2015-02-12,61.03480911254883
2015-02-13,62.3853874206543
2015-02-17,62.76478576660156
2015-02-18,62.89375305175781
2015-02-19,62.59783935546875
2015-02-20,62.76478576660156
2015-02-23,62.8482780456543
2015-02-24,62.65097427368164
2015-02-25,62.256404876708984
2015-02-26,61.694923400878906
2015-02-27,62.051536560058594
2015-03-02,61.914955139160156
2015-03-03,61.75563049316406
2015-03-04,62.233638763427734
2015-03-05,62.446102142333984
2015-03-06,61.30794143676758
2015-03-09,60.898223876953125
2015-03-10,60.50368118286133
2015-03-11,59.83597183227539
2015-03-12,60.44297409057617
2015-03-13,60.25326919555664
2015-03-16,60.344337463378906
2015-03-17,59.911827087402344
2015-03-18,60.7464485168457
2015-03-19,59.964942932128906
2015-03-20,60.8451042175293
2015-03-23,61.49006652832031
2015-03-24,60.632652282714844
2015-03-25,60.35951614379883
2015-03-26,59.562808990478516
2015-03-27,60.75407791137695
2015-03-30,62.06672668457031
2015-03-31,62.49161911010742
2015-04-01,63.098636627197266
2015-04-02,63.44766616821289
2015-04-06,63.72084045410156
2015-04-07,63.57666015625
2015-04-08,64.12294006347656
2015-04-09,63.97881317138672
2015-04-10,64.42643737792969
2015-04-13,64.35816955566406
2015-04-14,65.17005157470703
2015-04-15,65.97432708740234
2015-04-16,65.7467041015625
2015-04-17,64.91207885742188
2015-04-20,64.43403625488281
2015-04-21,64.16849517822266
2015-04-22,64.38094329833984
2015-04-23,65.03347778320312
2015-04-24,65.1017837524414
2015-04-27,65.49634552001953
2015-04-28,65.75431823730469
2015-04-29,66.03504943847656
2015-04-30,65.53427124023438
2015-05-01,67.36288452148438
2015-05-04,67.74223327636719
2015-05-05,66.79381561279297
2015-05-06,67.25663757324219
2015-05-07,67.90919494628906
2015-05-08,68.22028350830078
2015-05-11,68.25061798095703
2015-05-12,68.27338409423828
2015-05-13,68.75899505615234
2015-05-14,69.2142562866211
2015-05-15,69.96063232421875
2015-05-18,70.00630950927734
2015-05-19,69.63312530517578
2015-05-20,70.25000762939453
2015-05-21,69.77783966064453
2015-05-22,69.47320556640625
2015-05-26,68.88675689697266
2015-05-27,69.6407699584961
2015-05-28,69.70166778564453
2015-05-29,70.49374389648438
2015-06-01,69.80831909179688
2015-06-02,69.5036392211914
2015-06-03,69.51888275146484
2015-06-04,68.68112182617188
2015-06-05,68.56689453125
2015-06-08,68.23941040039062
2015-06-09,68.32318878173828
2015-06-10,69.87684631347656
2015-06-11,69.93016052246094
2015-06-12,69.80831909179688
2015-06-15,69.37419128417969
2015-06-16,69.42752075195312
2015-06-17,69.55699920654297
2015-06-18,70.0444107055664
2015-06-19,70.03677368164062
2015-06-22,70.17385864257812
2015-06-23,70.71460723876953
2015-06-24,69.64837646484375
2015-06-25,68.71160125732422
2015-06-26,68.11754608154297
2015-06-29,66.91422271728516
2015-06-30,66.8685302734375
2015-07-01,68.43740844726562
2015-07-02,68.17847442626953
2015-07-06,65.58902740478516
2015-07-07,66.27447509765625
2015-07-08,65.2463150024414
2015-07-09,65.1929931640625
2015-07-10,65.2844009399414
2015-07-13,65.80992126464844
2015-07-14,66.35823822021484
2015-07-15,66.03074645996094
2015-07-16,66.99799346923828
2015-07-17,67.09700012207031
2015-07-20,66.83806610107422
2015-07-21,65.87084197998047
2015-07-22,66.65528106689453
2015-07-23,66.35823822021484
2015-07-24,65.71089172363281
2015-07-27,65.16252899169922
2015-07-28,65.94699096679688
2015-07-29,65.20064544677734
2015-07-30,61.880027770996094
2015-07-31,60.81380081176758
2015-08-03,60.7833366394043
2015-08-04,60.23499298095703
2015-08-05,59.91510009765625
2015-08-06,58.82603454589844
2015-08-07,58.0491828918457
2015-08-10,58.635623931884766
2015-08-11,58.07966995239258
2015-08-12,58.886959075927734
2015-08-13,58.34620666503906
2015-08-14,58.11774826049805
2015-08-17,58.32440948486328
2015-08-18,57.83452224731445
2015-08-19,56.44147872924805
2015-08-20,55.80619812011719
2015-08-21,54.313636779785156
2015-08-24,53.7548828125
2015-08-25,52.767494201660156
2015-08-26,53.30329513549805
2015-08-27,54.90300369262695
2015-08-28,55.54595184326172
2015-08-31,55.45408248901367
2015-09-01,53.923282623291016
2015-09-02,54.2906608581543
2015-09-03,54.2447395324707
2015-09-04,53.60946273803711
2015-09-08,54.0916633605957
2015-09-09,53.364524841308594
2015-09-10,53.73191833496094
2015-09-11,53.26502990722656
2015-09-14,53.464027404785156
2015-09-15,54.321292877197266
2015-09-16,54.85707092285156
2015-09-17,54.5815315246582
2015-09-18,54.12228775024414
2015-09-21,54.38252639770508
2015-09-22,53.34156036376953
2015-09-23,53.226741790771484
2015-09-24,53.9615364074707
2015-09-25,54.45907211303711
2015-09-28,52.897621154785156
2015-09-29,55.408172607421875
2015-09-30,56.10470199584961
2015-10-01,56.18890380859375
2015-10-02,57.07676696777344
2015-10-05,57.4135627746582
2015-10-06,57.490074157714844
2015-10-07,58.22489929199219
2015-10-08,58.69945526123047
2015-10-09,59.02857971191406
2015-10-12,59.03622817993164
2015-10-13,59.296470642089844
2015-10-14,59.16634750366211
2015-10-15,59.02857971191406
2015-10-16,59.53376388549805
2015-10-19,59.556705474853516
2015-10-20,59.656219482421875
2015-10-21,59.66387176513672
2015-10-22,60.536441802978516
2015-10-23,60.7813606262207
2015-10-26,60.65889358520508
2015-10-27,60.62828063964844
2015-10-28,60.559410095214844
2015-10-29,56.70938491821289
2015-10-30,55.84446334838867
2015-11-02,55.614845275878906
2015-11-03,54.8111572265625
2015-11-04,54.3748664855957
2015-11-05,56.120025634765625
2015-11-06,55.85209655761719
2015-11-09,54.8111572265625
2015-11-10,54.038089752197266
2015-11-11,53.494651794433594
2015-11-12,52.1016731262207
2015-11-13,52.36333084106445
2015-11-16,52.61730194091797
2015-11-17,50.754878997802734
2015-11-18,51.17816162109375
2015-11-19,50.89340591430664
2015-11-20,50.4239616394043
2015-11-23,52.61730194091797
2015-11-24,51.60144805908203
2015-11-25,52.155540466308594
2015-11-27,51.57065963745117
2015-11-30,51.262821197509766
2015-12-01,50.7241096496582
2015-12-02,50.35469055175781
2015-12-03,49.562007904052734
2015-12-04,50.00837707519531
2015-12-07,50.03145980834961
2015-12-08,48.80780792236328
2015-12-09,48.83089065551758
2015-12-10,48.884765625
2015-12-11,48.45378494262695
2015-12-14,47.56875228881836
2015-12-15,48.16134262084961
2015-12-16,48.61539840698242
2015-12-17,49.28496551513672
2015-12-18,50.870330810546875
2015-12-21,50.51630783081055
2015-12-22,51.45520782470703
2015-12-23,52.14016342163086
2015-12-24,52.655784606933594
2015-12-28,52.355648040771484
2015-12-29,53.040584564208984
2015-12-30,52.90976333618164
2015-12-31,52.548038482666016
2016-01-04,51.424434661865234
2016-01-05,51.239723205566406
2016-01-06,51.37056350708008
2016-01-07,51.20894241333008
2016-01-08,50.885704040527344
2016-01-11,51.13966751098633
2016-01-12,50.15459442138672
2016-01-13,49.92372131347656
2016-01-14,49.2156982421875
2016-01-15,47.56105422973633
2016-01-19,46.8299446105957
2016-01-20,45.89873123168945
2016-01-21,45.72942352294922
2016-01-22,46.12190246582031
2016-01-25,45.42927169799805
2016-01-26,45.652462005615234
2016-01-27,45.106040954589844
2016-01-28,46.23735046386719
2016-01-29,47.72267150878906
2016-02-01,47.13008117675781
2016-02-02,44.96752166748047
2016-02-03,45.58319091796875
2016-02-04,45.79098892211914
2016-02-05,45.737117767333984
2016-02-08,44.936737060546875
2016-02-09,43.674598693847656
2016-02-10,44.96752166748047
2016-02-11,36.779014587402344
2016-02-12,39.920860290527344
2016-02-16,40.463890075683594
2016-02-17,39.09855270385742
2016-02-18,39.23818588256836
2016-02-19,37.865081787109375
2016-02-22,39.82000732421875
2016-02-23,38.55550765991211
2016-02-24,38.47018051147461
2016-02-25,39.556243896484375
2016-02-26,39.15286636352539
2016-02-29,38.57103729248047
2016-03-01,38.788238525390625
2016-03-02,39.9518928527832
2016-03-03,41.906822204589844
2016-03-04,42.58948516845703
2016-03-07,43.4040412902832
2016-03-08,42.52743148803711
2016-03-09,42.97736740112305
2016-03-10,43.21786117553711
2016-03-11,43.60573959350586
2016-03-14,42.66707229614258
2016-03-15,42.48088455200195
2016-03-16,42.52743148803711
2016-03-17,43.12476348876953
2016-03-18,43.310951232910156
2016-03-21,42.930824279785156
2016-03-22,42.736881256103516
2016-03-23,42.077484130859375
2016-03-24,43.32647705078125
2016-03-28,43.574703216552734
2016-03-29,44.16427993774414
2016-03-30,43.83070755004883
2016-03-31,43.96258544921875
2016-04-01,44.141029357910156
2016-04-04,43.419559478759766
2016-04-05,43.210105895996094
2016-04-06,43.14804458618164
2016-04-07,43.77640914916992
2016-04-08,43.63676834106445
2016-04-11,43.55143356323242
2016-04-12,43.76089859008789
2016-04-13,43.85398483276367
2016-04-14,43.86174011230469
2016-04-15,44.61423873901367
2016-04-18,44.91678237915039
2016-04-19,45.917518615722656
2016-04-20,46.17352294921875
2016-04-21,46.103702545166016
2016-04-22,46.46055603027344
2016-04-25,45.987342834472656
2016-04-26,46.52260971069336
2016-04-27,46.90273666381836
2016-04-28,48.49306106567383
2016-04-29,48.485294342041016
2016-05-02,48.50082015991211
2016-05-03,47.93450927734375
2016-05-04,48.15171432495117
2016-05-05,47.00358581542969
2016-05-06,47.282867431640625
2016-05-09,47.07341766357422
2016-05-10,47.56214904785156
2016-05-11,47.461299896240234
2016-05-12,47.60867691040039
2016-05-13,47.050148010253906
2016-05-16,47.27510070800781
2016-05-17,46.94723129272461
2016-05-18,47.52491760253906
2016-05-19,47.696651458740234
2016-05-20,48.97689437866211
2016-05-23,49.75753402709961
2016-05-24,50.311763763427734
2016-05-25,51.14704895019531
2016-05-26,51.443687438964844
2016-05-27,51.35782241821289
2016-05-31,52.35702896118164
2016-06-01,52.68488311767578
2016-06-02,52.88005828857422
2016-06-03,52.90346908569336
2016-06-06,52.65365982055664
2016-06-07,52.419471740722656
2016-06-08,51.912071228027344
2016-06-09,51.64666748046875
2016-06-10,51.053382873535156
2016-06-13,48.73489761352539
2016-06-14,48.53193283081055
2016-06-15,48.39141845703125
2016-06-16,47.91522216796875
2016-06-17,48.06354522705078
2016-06-20,48.18844985961914
2016-06-21,48.05574417114258
2016-06-22,48.040130615234375
2016-06-23,48.10258102416992
2016-06-24,45.869964599609375
2016-06-27,44.62096405029297
2016-06-28,45.43281555175781
2016-06-29,46.104164123535156
2016-06-30,46.17441940307617
2016-07-01,45.71384048461914
2016-07-05,45.089332580566406
2016-07-06,45.370361328125
2016-07-07,45.24546813964844
2016-07-08,46.83795166015625
2016-07-11,46.455440521240234
2016-07-12,47.19704818725586
2016-07-13,47.001888275146484
2016-07-14,47.2360725402832
2016-07-15,47.65761947631836
2016-07-18,47.73568344116211
2016-07-19,47.40782165527344
2016-07-20,47.94645309448242
2016-07-21,48.14942169189453
2016-07-22,48.55534362792969
2016-07-25,47.92303466796875
2016-07-26,47.774715423583984
2016-07-27,47.79814147949219
2016-07-28,51.014339447021484
2016-07-29,51.396854400634766
2016-08-01,49.20326614379883
2016-08-02,49.437461853027344
2016-08-03,50.319576263427734
2016-08-04,50.858219146728516
2016-08-05,51.68568801879883
2016-08-08,51.38905334472656
2016-08-09,51.5685920715332
2016-08-10,51.35782241821289
2016-08-11,50.85039520263672
2016-08-12,51.33439636230469
2016-08-15,51.48271942138672
2016-08-16,50.35080337524414
2016-08-17,51.04225158691406
2016-08-18,50.24079132080078
2016-08-19,50.264373779296875
2016-08-22,50.28008270263672
2016-08-23,50.37437438964844
2016-08-24,49.918636322021484
2016-08-25,49.44719314575195
2016-08-26,49.08574676513672
2016-08-29,49.34503936767578
2016-08-30,49.12503433227539
2016-08-31,50.20936584472656
2016-09-01,49.47075653076172
2016-09-02,49.94221115112305
2016-09-06,50.35080337524414
2016-09-07,50.40580368041992
2016-09-08,50.091514587402344
2016-09-09,48.65358352661133
2016-09-12,49.07004165649414
2016-09-13,47.89140701293945
2016-09-14,47.45925521850586
2016-09-15,47.45138931274414
2016-09-16,47.734256744384766
2016-09-19,46.90922927856445
2016-09-20,46.57920455932617
2016-09-21,47.40425491333008
2016-09-22,48.22141647338867
2016-09-23,47.23138427734375
2016-09-26,46.72850036621094
2016-09-27,46.60279083251953
2016-09-28,46.736351013183594
2016-09-29,46.170616149902344
2016-09-30,46.5399284362793
2016-10-03,46.66564178466797
2016-10-04,47.04279327392578
2016-10-05,47.883541107177734
2016-10-06,48.61429214477539
2016-10-07,47.89926528930664
2016-10-10,48.5435791015625
2016-10-11,47.357093811035156
2016-10-12,47.2628059387207
2016-10-13,47.27852249145508
2016-10-14,46.48491287231445
2016-10-17,46.07633590698242
2016-10-18,46.61848449707031
2016-10-19,47.19208526611328
2016-10-20,47.04279327392578
2016-10-21,47.812828063964844
2016-10-24,48.25285720825195
2016-10-25,48.284278869628906
