,NSC
2014-01-02,71.53800964355469
2014-01-03,71.58501434326172
2014-01-06,70.51167297363281
2014-01-07,70.93474578857422
2014-01-08,70.44117736816406
2014-01-09,71.53800964355469
2014-01-10,71.75740051269531
2014-01-13,70.66053009033203
2014-01-14,71.10711669921875
2014-01-15,71.42049407958984
2014-01-16,68.7567367553711
2014-01-17,69.72038269042969
2014-01-21,69.50101470947266
2014-01-22,72.81505584716797
2014-01-23,73.379150390625
2014-01-24,70.20613098144531
2014-01-27,70.76238250732422
2014-01-28,71.49885559082031
2014-01-29,70.35498046875
2014-01-30,72.67402648925781
2014-01-31,72.54083251953125
2014-02-03,70.18266296386719
2014-02-04,71.91409301757812
2014-02-05,72.31603240966797
2014-02-06,73.74246978759766
2014-02-07,74.6645278930664
2014-02-10,73.23021697998047
2014-02-11,73.37993621826172
2014-02-12,73.76609802246094
2014-02-13,72.87555694580078
2014-02-14,73.16716003417969
2014-02-18,72.03228759765625
2014-02-19,71.18113708496094
2014-02-20,71.73281860351562
2014-02-21,71.29934692382812
2014-02-24,71.92984008789062
2014-02-25,71.43333435058594
2014-02-26,71.47273254394531
2014-02-27,71.40966033935547
2014-02-28,72.43424224853516
2014-03-03,72.31603240966797
2014-03-04,74.19956970214844
2014-03-05,74.0734634399414
2014-03-06,74.47540283203125
2014-03-07,74.30992126464844
2014-03-10,74.42022705078125
2014-03-11,75.46054077148438
2014-03-12,75.72850036621094
2014-03-13,75.05860900878906
2014-03-14,74.49906158447266
2014-03-17,75.52355194091797
2014-03-18,76.17768859863281
2014-03-19,76.68207550048828
2014-03-20,76.42988586425781
2014-03-21,76.0279541015625
2014-03-24,76.09101104736328
2014-03-25,76.7451171875
2014-03-26,75.68907928466797
2014-03-27,75.07435607910156
2014-03-28,75.9333724975586
2014-03-31,76.57964324951172
2014-04-01,77.29680633544922
2014-04-02,76.98155212402344
2014-04-03,76.81607055664062
2014-04-04,76.16191101074219
2014-04-07,75.56298065185547
2014-04-08,75.08222198486328
2014-04-09,75.87821197509766
2014-04-10,74.47540283203125
2014-04-11,73.41148376464844
2014-04-14,73.9237289428711
2014-04-15,74.46754455566406
2014-04-16,75.06646728515625
2014-04-17,75.87033081054688
2014-04-21,76.35897064208984
2014-04-22,76.38260650634766
2014-04-23,74.87733459472656
2014-04-24,74.95616912841797
2014-04-25,74.10499572753906
2014-04-28,74.27838134765625
2014-04-29,74.64089965820312
2014-04-30,74.92623901367188
2014-05-01,74.17326354980469
2014-05-02,74.16533660888672
2014-05-05,74.22079467773438
2014-05-06,74.30799102783203
2014-05-07,75.26705932617188
2014-05-08,75.69508361816406
2014-05-09,75.53655242919922
