,MS
2014-01-02,23.406982421875
2014-01-03,23.76906394958496
2014-01-06,23.852039337158203
2014-01-07,23.776613235473633
2014-01-08,23.806781768798828
2014-01-09,23.79923439025879
2014-01-10,23.610660552978516
2014-01-13,23.28628921508789
2014-01-14,23.45978355407715
2014-01-15,24.304641723632812
2014-01-16,24.138681411743164
2014-01-17,25.19474983215332
2014-01-21,24.613920211791992
2014-01-22,24.357444763183594
2014-01-23,23.74643325805664
2014-01-24,22.96946907043457
2014-01-27,22.607391357421875
2014-01-28,22.728078842163086
2014-01-29,22.622303009033203
2014-01-30,22.652524948120117
2014-01-31,22.297393798828125
2014-02-03,21.874265670776367
2014-02-04,21.927154541015625
2014-02-05,22.048046112060547
2014-02-06,22.43340492248535
2014-02-07,22.43340492248535
2014-02-10,22.440956115722656
2014-02-11,22.871646881103516
2014-02-12,22.78853416442871
2014-02-13,22.599634170532227
2014-02-14,22.43340492248535
2014-02-18,22.33517837524414
2014-02-19,21.88182258605957
2014-02-20,22.161388397216797
2014-02-21,22.38051414489746
2014-02-24,22.901866912841797
2014-02-25,22.448514938354492
2014-02-26,22.622303009033203
2014-02-27,22.939645767211914
2014-02-28,23.272109985351562
2014-03-03,22.864086151123047
2014-03-04,23.498781204223633
2014-03-05,24.15614891052246
2014-03-06,24.057912826538086
2014-03-07,24.337480545043945
2014-03-10,24.27703285217285
2014-03-11,23.952131271362305
2014-03-12,23.75568199157715
2014-03-13,23.75568199157715
2014-03-14,23.498781204223633
2014-03-17,23.702791213989258
2014-03-18,23.914356231689453
2014-03-19,24.035247802734375
2014-03-20,24.77573013305664
2014-03-21,24.63216209411621
2014-03-24,24.511266708374023
2014-03-25,23.8690242767334
2014-03-26,23.589452743530273
2014-03-27,23.347665786743164
2014-03-28,23.355220794677734
2014-03-31,23.55167007446289
2014-04-01,23.58189582824707
2014-04-02,23.733013153076172
2014-04-03,23.38544273376465
2014-04-04,22.947202682495117
2014-04-07,22.30495262145996
2014-04-08,22.3125057220459
2014-04-09,22.8338623046875
2014-04-10,22.100942611694336
2014-04-11,21.511585235595703
2014-04-14,21.957382202148438
2014-04-15,22.327621459960938
2014-04-16,22.58452606201172
2014-04-17,23.241884231567383
2014-04-21,23.408111572265625
2014-04-22,23.5743408203125
2014-04-23,23.453447341918945
2014-04-24,23.37788200378418
2014-04-25,23.105878829956055
2014-04-28,22.734418869018555
2014-04-29,23.136194229125977
2014-04-30,23.447004318237305
2014-05-01,23.666845321655273
2014-05-02,23.265066146850586
2014-05-05,22.795068740844727
2014-05-06,22.33264923095703
2014-05-07,22.51458168029785
2014-05-08,22.507001876831055
2014-05-09,22.499418258666992
2014-05-12,22.99216651916504
2014-05-13,22.99216651916504
2014-05-14,22.93152618408203
2014-05-15,22.56764793395996
2014-05-16,22.848129272460938
2014-05-19,22.863300323486328
2014-05-20,22.522167205810547
2014-05-21,22.74958610534668
2014-05-22,23.03765296936035
2014-05-23,23.11345863342285
2014-05-27,23.591035842895508
2014-05-28,23.447004318237305
2014-05-29,23.598615646362305
2014-05-30,23.393938064575195
2014-06-02,23.424270629882812
2014-06-03,23.386356353759766
2014-06-04,23.651681900024414
2014-06-05,23.977657318115234
2014-06-06,24.22023582458496
2014-06-09,24.242969512939453
2014-06-10,24.318784713745117
2014-06-11,24.02313995361328
2014-06-12,24.053457260131836
2014-06-13,23.947330474853516
2014-06-16,24.038297653198242
2014-06-17,24.637168884277344
2014-06-18,24.75846290588379
2014-06-19,24.667491912841797
2014-06-20,24.477975845336914
2014-06-23,24.652332305908203
2014-06-24,24.280874252319336
2014-06-25,24.432493209838867
2014-06-26,24.174745559692383
2014-06-27,23.917007446289062
2014-06-30,24.508298873901367
2014-07-01,24.500717163085938
2014-07-02,24.62959098815918
2014-07-03,24.72814178466797
2014-07-07,24.553789138793945
2014-07-08,24.068620681762695
2014-07-09,24.265714645385742
2014-07-10,24.015560150146484
2014-07-11,23.810874938964844
2014-07-14,24.114103317260742
2014-07-15,24.25813102722168
2014-07-16,24.637168884277344
2014-07-17,24.485553741455078
2014-07-18,24.743303298950195
2014-07-21,24.675077438354492
2014-07-22,24.947978973388672
2014-07-23,25.281518936157227
2014-07-24,25.319429397583008
2014-07-25,25.198144912719727
2014-07-28,25.069259643554688
2014-07-29,24.82595443725586
2014-07-30,25.350601196289062
2014-07-31,24.590234756469727
2014-08-01,24.027565002441406
2014-08-04,24.20245361328125
2014-08-05,23.88309097290039
2014-08-06,23.997154235839844
2014-08-07,23.845081329345703
2014-08-08,24.29369354248047
2014-08-11,24.39254379272461
