,ICE
2014-01-02,39.0076789855957
2014-01-03,39.22998046875
2014-01-06,39.33071517944336
2014-01-07,39.56690979003906
2014-01-08,39.42622756958008
2014-01-09,39.516544342041016
2014-01-10,39.13446044921875
2014-01-13,38.297332763671875
2014-01-14,38.17402648925781
2014-01-15,36.62483596801758
2014-01-16,36.355628967285156
2014-01-17,35.92840576171875
2014-01-21,36.124637603759766
2014-01-22,36.468536376953125
2014-01-23,35.931861877441406
2014-01-24,35.492488861083984
2014-01-27,35.284061431884766
2014-01-28,35.93362045288086
2014-01-29,35.5654182434082
2014-01-30,36.35043716430664
2014-01-31,36.261863708496094
2014-02-03,35.33443069458008
2014-02-04,36.275753021240234
2014-02-05,36.048240661621094
2014-02-06,36.54494857788086
2014-02-07,37.432430267333984
2014-02-10,36.838462829589844
2014-02-11,37.59742736816406
2014-02-12,37.75895690917969
2014-02-13,37.672096252441406
2014-02-14,37.314334869384766
2014-02-18,37.679046630859375
2014-02-19,36.78114700317383
2014-02-20,36.51542663574219
2014-02-21,36.977394104003906
2014-02-24,37.39595413208008
2014-02-25,37.20665740966797
2014-02-26,36.27921676635742
2014-02-27,36.31221389770508
2014-02-28,36.27054214477539
2014-03-03,36.468536376953125
2014-03-04,37.32649612426758
2014-03-05,37.14934158325195
2014-03-06,37.335182189941406
2014-03-07,36.930519104003906
2014-03-10,36.5206413269043
2014-03-11,36.20280456542969
2014-03-12,36.3226432800293
2014-03-13,35.54911422729492
2014-03-14,35.70243453979492
2014-03-17,36.43938064575195
2014-03-18,35.87838363647461
2014-03-19,35.449798583984375
2014-03-20,35.4376220703125
2014-03-21,35.514286041259766
2014-03-24,35.50033950805664
2014-03-25,34.840049743652344
2014-03-26,34.75120162963867
2014-03-27,34.74250030517578
2014-03-28,34.1762809753418
2014-03-31,34.46548843383789
2014-04-01,33.648414611816406
2014-04-02,34.89405822753906
2014-04-03,35.223331451416016
2014-04-04,34.24249267578125
2014-04-07,33.49683380126953
2014-04-08,33.435848236083984
2014-04-09,33.571746826171875
2014-04-10,33.19021224975586
2014-04-11,32.949798583984375
2014-04-14,33.366172790527344
2014-04-15,33.7720947265625
2014-04-16,34.50033187866211
2014-04-17,34.54215621948242
2014-04-21,34.946327209472656
2014-04-22,35.51079559326172
2014-04-23,35.59093475341797
2014-04-24,35.848777770996094
