,HWM
2016-11-01,18.117855072021484
2016-11-02,17.179401397705078
2016-11-03,16.748472213745117
2016-11-04,16.930418014526367
2016-11-07,16.60483169555664
2016-11-08,16.75885009765625
2016-11-09,16.874366760253906
2016-11-10,17.75994873046875
2016-11-11,18.154621124267575
2016-11-14,18.37601852416992
2016-11-15,19.165348052978516
2016-11-16,18.87657356262207
2016-11-17,18.770681381225582
2016-11-18,19.165348052978516
2016-11-21,19.425249099731445
2016-11-22,19.146100997924805
2016-11-23,19.52151107788086
2016-11-25,19.762163162231445
2016-11-28,19.3963680267334
2016-11-29,18.934324264526367
2016-11-30,18.558914184570312
2016-12-01,18.770681381225582
2016-12-02,18.953577041625977
2016-12-05,19.502262115478516
2016-12-06,19.56001091003418
2016-12-07,20.09906959533691
2016-12-08,20.127946853637695
2016-12-09,20.98465919494629
2016-12-12,20.77289581298828
2016-12-13,20.397480010986328
2016-12-14,19.973934173583984
2016-12-15,19.791032791137695
2016-12-16,19.502262115478516
2016-12-19,19.271228790283203
2016-12-20,19.348243713378903
2016-12-21,19.271228790283203
2016-12-22,19.31936264038086
2016-12-23,19.040212631225582
2016-12-27,19.040212631225582
2016-12-28,18.530033111572266
2016-12-29,18.0006046295166
2016-12-30,17.84658432006836
2017-01-03,18.472280502319336
2017-01-04,18.963205337524418
2017-01-05,19.348243713378903
2017-01-06,19.858413696289062
2017-01-09,19.627395629882812
2017-01-10,19.9354248046875
2017-01-11,20.31084632873535
2017-01-12,20.21457862854004
2017-01-13,20.339723587036133
2017-01-17,19.96430397033691
2017-01-18,20.09906959533691
2017-01-19,20.512985229492188
2017-01-20,20.49373435974121
2017-01-23,20.532238006591797
2017-01-24,21.340822219848633
2017-01-25,21.84137725830078
2017-01-26,22.005016326904297
2017-01-27,21.754743576049805
2017-01-30,21.658475875854492
2017-01-31,21.937631607055664
2017-02-01,24.39874267578125
2017-02-02,24.32152557373047
2017-02-03,24.99712562561035
2017-02-06,25.28667259216309
2017-02-07,25.692028045654297
2017-02-08,26.34832763671875
2017-02-09,26.985321044921875
2017-02-10,28.58745002746582
2017-02-13,28.61640357971191
2017-02-14,28.49093437194824
2017-02-15,28.191741943359375
2017-02-16,28.46198272705078
2017-02-17,28.867340087890625
2017-02-21,29.234094619750977
2017-02-22,29.485029220581055
2017-02-23,28.5391902923584
2017-02-24,28.297908782958984
2017-02-27,28.220691680908203
2017-02-28,27.78638458251953
2017-03-01,28.51024055480957
2017-03-02,27.545101165771484
2017-03-03,27.11078834533691
2017-03-06,26.734376907348633
2017-03-07,26.039480209350582
2017-03-08,25.91400718688965
2017-03-09,25.566556930541992
2017-03-10,25.89470863342285
2017-03-13,25.865753173828125
2017-03-14,25.74028587341309
2017-03-15,26.30972671508789
2017-03-16,26.36762809753418
2017-03-17,26.54134750366211
2017-03-20,26.898454666137695
2017-03-21,25.817495346069336
2017-03-22,25.57621192932129
2017-03-23,25.74993324279785
2017-03-24,25.74993324279785
2017-03-27,25.63412094116211
2017-03-28,26.097389221191406
2017-03-29,25.28667259216309
2017-03-30,25.63412094116211
2017-03-31,25.421789169311523
2017-04-03,25.26736640930176
2017-04-04,25.46039581298828
2017-04-05,24.987476348876953
2017-04-06,25.248064041137695
2017-04-07,25.489347457885746
2017-04-10,25.605165481567383
2017-04-11,25.663074493408203
2017-04-12,24.948875427246097
2017-04-13,24.99712562561035
2017-04-17,25.759586334228516
2017-04-18,24.90061378479004
2017-04-19,25.06468391418457
2017-04-20,25.19980239868164
2017-04-21,25.09364128112793
2017-04-24,25.190156936645508
2017-04-25,26.039480209350582
2017-04-26,26.54134750366211
2017-04-27,26.27111434936523
2017-04-28,26.37727928161621
2017-05-01,26.300065994262695
2017-05-02,26.203554153442383
2017-05-03,25.903696060180664
2017-05-04,25.748931884765625
2017-05-05,26.40668487548828
2017-05-08,26.193883895874023
