,TT
2014-01-02,39.386016845703125
2014-01-03,39.437461853027344
2014-01-06,39.31525802612305
2014-01-07,39.67543411254883
2014-01-08,39.77832794189453
2014-01-09,39.9069709777832
2014-01-10,40.2928466796875
2014-01-13,39.70115661621094
2014-01-14,40.035579681396484
2014-01-15,40.415035247802734
2014-01-16,40.44076156616211
2014-01-17,40.08061218261719
2014-01-21,39.91982650756836
2014-01-22,39.752601623535156
2014-01-23,39.01942825317383
2014-01-24,37.37298583984375
2014-01-27,37.791015625
2014-01-28,37.996829986572266
2014-01-29,37.58522415161133
2014-01-30,37.96467208862305
2014-01-31,37.8103141784668
2014-02-03,36.562625885009766
2014-02-04,36.83917999267578
2014-02-05,37.10285186767578
2014-02-06,37.3408203125
2014-02-07,38.43415832519531
2014-02-10,37.996829986572266
2014-02-11,36.82632064819336
2014-02-12,37.43085861206055
2014-02-13,37.37940979003906
2014-02-14,37.578800201416016
2014-02-18,38.18977737426758
2014-02-19,37.771728515625
2014-02-20,38.40843963623047
2014-02-21,38.20906448364258
2014-02-24,38.5692253112793
2014-02-25,38.3634147644043
2014-02-26,38.781471252441406
2014-02-27,38.929386138916016
2014-02-28,39.32170486450195
2014-03-03,38.672122955322266
2014-03-04,39.37957763671875
2014-03-05,39.21235275268555
2014-03-06,39.437461853027344
2014-03-07,39.83620834350586
2014-03-10,39.20592498779297
2014-03-11,38.479183197021484
2014-03-12,38.07231521606445
2014-03-13,37.17457962036133
2014-03-14,36.74833297729492
2014-03-17,37.66542434692383
2014-03-18,37.794586181640625
2014-03-19,37.54271697998047
2014-03-20,37.8914909362793
2014-03-21,38.0141716003418
2014-03-24,37.38771057128906
2014-03-25,37.45230484008789
2014-03-26,36.502906799316406
2014-03-27,35.97332763671875
2014-03-28,36.515830993652344
2014-03-31,36.96791076660156
2014-04-01,36.916255950927734
2014-04-02,37.381263732910156
2014-04-03,37.41353988647461
2014-04-04,36.483543395996094
2014-04-07,35.643959045410156
2014-04-08,35.58582305908203
2014-04-09,36.45124816894531
2014-04-10,35.78602600097656
2014-04-11,35.12726974487305
2014-04-14,35.689151763916016
2014-04-15,35.889366149902344
2014-04-16,37.44583511352539
2014-04-17,37.342498779296875
2014-04-21,37.245635986328125
2014-04-22,37.45230484008789
2014-04-23,38.65354919433594
2014-04-24,38.492095947265625
2014-04-25,37.9560661315918
2014-04-28,37.78813934326172
2014-04-29,38.040008544921875
2014-04-30,38.621273040771484
2014-05-01,38.72460174560547
2014-05-02,38.65354919433594
2014-05-05,38.492095947265625
2014-05-06,37.87210464477539
2014-05-07,37.93022537231445
2014-05-08,38.040008544921875
2014-05-09,37.568538665771484
2014-05-12,38.259605407714844
2014-05-13,38.350013732910156
2014-05-14,37.78813934326172
2014-05-15,36.916255950927734
2014-05-16,37.20042419433594
2014-05-19,37.5362663269043
2014-05-20,36.845218658447266
2014-05-21,36.99375534057617
2014-05-22,36.909793853759766
2014-05-23,37.68479919433594
2014-05-27,37.8139762878418
2014-05-28,38.647090911865234
2014-05-29,38.608360290527344
2014-05-30,38.63419723510742
2014-06-02,38.5825309753418
2014-06-03,38.362937927246094
2014-06-04,38.86669158935547
2014-06-05,39.267112731933594
2014-06-06,40.022743225097656
2014-06-09,40.37150192260742
2014-06-10,40.66212463378906
2014-06-11,40.3314323425293
2014-06-12,40.22120666503906
2014-06-13,40.39626693725586
2014-06-16,40.74641418457031
2014-06-17,40.86313247680664
2014-06-18,41.15491485595703
2014-06-19,41.2586669921875
2014-06-20,41.492103576660156
2014-06-23,40.921485900878906
2014-06-24,40.33793258666992
2014-06-25,40.52595901489258
2014-06-26,40.57133483886719
2014-06-27,40.6556396484375
2014-06-30,40.532447814941406
2014-07-01,40.76587677001953
2014-07-02,40.66212844848633
2014-07-03,40.91501998901367
2014-07-07,40.42222213745117
2014-07-08,39.79974365234375
2014-07-09,39.92293930053711
2014-07-10,39.54685974121094
2014-07-11,39.7802734375
2014-07-14,40.350887298583984
2014-07-15,39.935909271240234
2014-07-16,40.53892135620117
2014-07-17,39.60521697998047
2014-07-18,40.3314323425293
2014-07-21,40.1044921875
2014-07-22,41.82279968261719
2014-07-23,41.6477165222168
2014-07-24,40.89555740356445
2014-07-25,40.90203857421875
2014-07-28,40.318458557128906
2014-07-29,39.670040130615234
2014-07-30,39.507938385009766
2014-07-31,38.12033462524414
2014-08-01,38.35377883911133
2014-08-04,38.457515716552734
2014-08-05,38.26948165893555
2014-08-06,37.951759338378906
2014-08-07,38.191650390625
2014-08-08,38.85953903198242
2014-08-11,39.131874084472656
2014-08-12,39.08647537231445
2014-08-13,39.44960021972656
2014-08-14,39.46255111694336
2014-08-15,39.26154708862305
2014-08-18,40.318458557128906
2014-08-19,39.90997314453125
2014-08-20,40.17581558227539
2014-08-21,40.20822525024414
2014-08-22,39.858089447021484
2014-08-25,40.09153366088867
2014-08-26,39.57928466796875
2014-08-27,39.54685974121094
2014-08-28,39.24858856201172
2014-08-29,39.03460693359375
2014-09-02,39.04758834838867
2014-09-03,38.85306167602539
2014-09-04,38.827117919921875
2014-09-05,39.0086784362793
2014-09-08,39.03460693359375
2014-09-09,38.7298469543457
2014-09-10,38.99683380126953
2014-09-11,39.25728225708008
2014-09-12,38.97727966308594
2014-09-15,38.788455963134766
2014-09-16,39.10750961303711
2014-09-17,38.983795166015625
2014-09-18,39.159610748291016
2014-09-19,38.59311294555664
2014-09-22,37.896385192871094
2014-09-23,37.772682189941406
2014-09-24,37.52523422241211
2014-09-25,36.952247619628906
2014-09-26,37.427574157714844
2014-09-29,37.284332275390625
2014-09-30,36.69828796386719
2014-10-01,36.15785217285156
2014-10-02,36.22947311401367
2014-10-03,36.730857849121094
2014-10-06,36.900146484375
2014-10-07,36.43132781982422
2014-10-08,37.50571823120117
2014-10-09,36.35969543457031
2014-10-10,35.59787368774414
2014-10-13,34.88160705566406
2014-10-14,35.21369552612305
2014-10-15,35.12253189086914
2014-10-16,35.75413513183594
2014-10-17,36.77642822265625
2014-10-20,37.21268844604492
2014-10-21,37.987552642822266
2014-10-22,37.59686279296875
2014-10-23,39.07495880126953
2014-10-24,39.23774719238281
2014-10-27,39.18564987182617
2014-10-28,40.3707389831543
2014-10-29,40.032127380371094
2014-10-30,40.194923400878906
2014-10-31,40.77442932128906
2014-11-03,40.247013092041016
2014-11-04,39.94095993041992
2014-11-05,40.500946044921875
2014-11-06,41.12604904174805
2014-11-07,41.35394287109375
2014-11-10,41.29534149169922
2014-11-11,41.05442810058594
2014-11-12,41.02186584472656
2014-11-13,40.71582794189453
2014-11-14,40.75490951538086
2014-11-17,40.70931625366211
2014-11-18,40.86558532714844
2014-11-19,40.82651901245117
2014-11-20,41.034881591796875
2014-11-21,41.3278923034668
2014-11-24,41.523250579833984
2014-11-25,41.568824768066406
2014-11-26,41.3409309387207
2014-11-28,41.06093215942383
2014-12-01,40.44886779785156
2014-12-02,41.06093215942383
2014-12-03,41.549293518066406
2014-12-04,41.20418167114258
2014-12-05,41.41254806518555
2014-12-08,40.741859436035156
2014-12-09,40.995826721191406
2014-12-10,40.72126007080078
2014-12-11,41.25078201293945
2014-12-12,40.57744216918945
2014-12-15,40.257102966308594
2014-12-16,39.73411560058594
2014-12-17,40.51858901977539
2014-12-18,41.52533721923828
2014-12-19,41.832603454589844
2014-12-22,41.96335220336914
2014-12-23,42.146392822265625
2014-12-24,42.15946960449219
2014-12-26,42.22484588623047
2014-12-29,42.22484588623047
2014-12-30,42.0025749206543
2014-12-31,41.440364837646484
2015-01-02,41.355384826660156
2015-01-05,40.63627624511719
2015-01-06,39.78640365600586
2015-01-07,40.00214385986328
2015-01-08,40.81277847290039
2015-01-09,40.368228912353516
2015-01-12,40.66240310668945
2015-01-13,40.45976257324219
2015-01-14,40.1590461730957
2015-01-15,40.23748779296875
2015-01-16,40.28324890136719
2015-01-20,40.77355194091797
2015-01-21,41.263851165771484
2015-01-22,42.32290267944336
2015-01-23,42.270606994628906
2015-01-26,42.708621978759766
2015-01-27,42.335994720458984
2015-01-28,41.74108123779297
2015-01-29,42.270606994628906
2015-01-30,43.40810775756836
2015-02-02,43.25121307373047
2015-02-03,44.09453582763672
2015-02-04,43.67613983154297
2015-02-05,43.695743560791016
2015-02-06,43.532325744628906
2015-02-09,43.40810775756836
2015-02-10,43.7938117980957
2015-02-11,43.578086853027344
2015-02-12,44.21221923828125
2015-02-13,44.251426696777344
2015-02-17,44.29719161987305
2015-02-18,44.395259857177734
2015-02-19,44.434486389160156
2015-02-20,44.983619689941406
2015-02-23,44.87248229980469
2015-02-24,44.94438934326172
2015-02-25,44.59791946411133
2015-02-26,44.41486358642578
2015-02-27,43.924560546875
2015-03-02,44.310272216796875
2015-03-03,44.09453582763672
2015-03-04,43.800357818603516
2015-03-05,44.244895935058594
2015-03-06,43.70882034301758
2015-03-09,44.23181915283203
2015-03-10,43.29697036743164
2015-03-11,43.467689514160156
2015-03-12,44.249053955078125
2015-03-13,44.13743591308594
2015-03-16,45.043548583984375
2015-03-17,44.5051383972168
2015-03-18,45.00416564941406
2015-03-19,44.56424331665039
2015-03-20,44.78748321533203
2015-03-23,44.36068344116211
2015-03-24,44.61676788330078
2015-03-25,43.84196472167969
2015-03-26,44.30158996582031
2015-03-27,44.498565673828125
2015-03-30,44.945068359375
2015-03-31,44.702117919921875
2015-04-01,44.02581024169922
2015-04-02,44.34099197387695
2015-04-06,44.55110168457031
2015-04-07,44.222801208496094
2015-04-08,44.32785415649414
2015-04-09,44.56424331665039
2015-04-10,45.0369987487793
2015-04-13,45.109230041503906
2015-04-14,45.030418395996094
2015-04-15,45.43096923828125
2015-04-16,45.17488098144531
2015-04-17,44.21623611450195
2015-04-20,44.439476013183594
2015-04-21,44.124305725097656
2015-04-22,44.31472396850586
2015-04-23,45.34560012817383
2015-04-24,45.06325149536133
2015-04-27,45.06325149536133
2015-04-28,45.43096923828125
2015-04-29,44.4197883605957
2015-04-30,43.231327056884766
2015-05-01,43.89448928833008
2015-05-04,43.920745849609375
2015-05-05,43.22473907470703
2015-05-06,43.874794006347656
2015-05-07,44.08491134643555
2015-05-08,44.28187942504883
2015-05-11,44.104610443115234
2015-05-12,44.334407806396484
2015-05-13,44.728389739990234
2015-05-14,46.08100128173828
2015-05-15,46.56034851074219
2015-05-18,46.29112243652344
2015-05-19,45.79209899902344
2015-05-20,45.529449462890625
2015-05-21,45.64765167236328
2015-05-22,45.48349380493164
2015-05-26,45.0369987487793
2015-05-27,45.64765167236328
2015-05-28,45.59511184692383
2015-05-29,45.16175079345703
2015-06-01,45.29962921142578
2015-06-02,45.463802337646484
2015-06-03,45.36528778076172
2015-06-04,45.33904266357422
2015-06-05,45.37843704223633
2015-06-08,45.0369987487793
2015-06-09,45.050132751464844
2015-06-10,45.62380599975586
2015-06-11,45.92713928222656
2015-06-12,46.06560134887695
2015-06-15,45.5248908996582
2015-06-16,45.538089752197266
2015-06-17,45.48533630371094
2015-06-18,45.782066345214844
2015-06-19,45.49192810058594
2015-06-22,45.67655563354492
2015-06-23,45.41278839111328
2015-06-24,45.2149772644043
2015-06-25,44.95121383666992
2015-06-26,45.12267303466797
2015-06-29,44.56217956542969
2015-06-30,44.45667266845703
2015-07-01,44.57535934448242
2015-07-02,44.51601028442383
2015-07-06,44.19951629638672
2015-07-07,44.37753677368164
2015-07-08,43.63900375366211
2015-07-09,43.586265563964844
2015-07-10,43.79067611694336
2015-07-13,44.33137893676758
2015-07-14,44.4764518737793
2015-07-15,44.423702239990234
2015-07-16,44.62811279296875
2015-07-17,44.59515380859375
2015-07-20,45.34025955200195
2015-07-21,44.8325309753418
2015-07-22,44.97099685668945
2015-07-23,44.15993881225586
2015-07-24,43.52032470703125
2015-07-27,42.86091995239258
2015-07-28,40.02550506591797
2015-07-29,40.55302810668945
2015-07-30,40.29585647583008
2015-07-31,40.48708724975586
2015-08-03,39.913414001464844
2015-08-04,39.15510940551758
2015-08-05,39.537559509277344
2015-08-06,39.57052230834961
2015-08-07,39.72878646850586
2015-08-10,40.61896896362305
2015-08-11,40.26288604736328
2015-08-12,40.64535140991211
2015-08-13,40.473907470703125
2015-08-14,40.58600997924805
2015-08-17,40.961856842041016
2015-08-18,40.975040435791016
2015-08-19,40.17058563232422
2015-08-20,39.293575286865234
2015-08-21,38.10005569458008
2015-08-24,36.63619613647461
2015-08-25,35.81196212768555
2015-08-26,36.51091766357422
2015-08-27,36.88677978515625
2015-08-28,36.7483024597168
2015-08-31,36.45816421508789
2015-09-01,35.33058547973633
2015-09-02,35.75918960571289
2015-09-03,35.38994216918945
2015-09-04,34.842647552490234
2015-09-08,35.535003662109375
2015-09-09,35.972557067871094
2015-09-10,35.99244689941406
2015-09-11,36.46315002441406
2015-09-14,36.43662643432617
2015-09-15,37.44436264038086
2015-09-16,37.855384826660156
2015-09-17,37.205684661865234
2015-09-18,36.430023193359375
2015-09-21,36.33719253540039
2015-09-22,35.753780364990234
2015-09-23,35.23003387451172
2015-09-24,34.91182327270508
2015-09-25,34.81900405883789
2015-09-28,33.791404724121094
2015-09-29,33.55272674560547
2015-09-30,33.658809661865234
2015-10-01,33.605770111083984
2015-10-02,34.069854736328125
2015-10-05,35.01126480102539
2015-10-06,35.34937286376953
2015-10-07,35.63444519042969
2015-10-08,36.37033462524414
2015-10-09,36.363704681396484
2015-10-12,36.18471908569336
2015-10-13,35.68748474121094
