,TGT
2014-01-02,46.17401123046875
2014-01-03,46.40056228637695
2014-01-06,46.086307525634766
2014-01-07,45.97667694091797
2014-01-08,45.81589126586914
2014-01-09,46.29093551635742
2014-01-10,45.764732360839844
2014-01-13,44.94620895385742
2014-01-14,45.09968185424805
2014-01-15,44.99005889892578
2014-01-16,44.44193649291992
2014-01-17,44.025360107421875
2014-01-21,43.26529312133789
2014-01-22,43.10449981689453
2014-01-23,42.86333084106445
2014-01-24,42.18366241455078
2014-01-27,42.176353454589844
2014-01-28,42.30791473388672
2014-01-29,41.577064514160156
2014-01-30,41.4162712097168
2014-01-31,41.394351959228516
2014-02-03,40.49543762207031
2014-02-04,40.28349304199219
2014-02-05,40.24696350097656
2014-02-06,40.82430648803711
2014-02-07,41.16779708862305
2014-02-10,41.299339294433594
2014-02-11,41.7597770690918
2014-02-12,41.62091064453125
2014-02-13,41.55513381958008
2014-02-14,41.28266525268555
2014-02-18,41.525691986083984
2014-02-19,42.20317077636719
2014-02-20,41.695064544677734
2014-02-21,41.41522216796875
2014-02-24,41.341575622558594
2014-02-25,41.61405944824219
2014-02-26,44.54492950439453
2014-02-27,44.670127868652344
2014-02-28,46.0545654296875
2014-03-03,45.62744140625
2014-03-04,45.16351318359375
2014-03-05,44.625938415527344
2014-03-06,44.72902297973633
2014-03-07,44.73640060424805
2014-03-10,45.03832244873047
2014-03-11,44.876319885253906
2014-03-12,44.994136810302734
2014-03-13,43.98527526855469
2014-03-14,43.712806701660156
2014-03-17,43.941070556640625
2014-03-18,43.9779052734375
2014-03-19,43.8011589050293
2014-03-20,43.96317672729492
2014-03-21,43.77907943725586
2014-03-24,43.78645324707031
2014-03-25,43.491886138916016
2014-03-26,43.594974517822266
2014-03-27,43.99263381958008
2014-03-28,44.169376373291016
2014-03-31,44.55967330932617
2014-04-01,44.60384750366211
2014-04-02,44.83949661254883
2014-04-03,45.450714111328125
2014-04-04,45.02360534667969
2014-04-07,44.55229187011719
2014-04-08,45.288692474365234
2014-04-09,45.07514953613281
2014-04-10,43.941070556640625
2014-04-11,43.374053955078125
2014-04-14,43.75697326660156
2014-04-15,43.8011589050293
2014-04-16,44.11781692504883
2014-04-17,44.18409729003906
2014-04-21,44.00737380981445
2014-04-22,44.41975021362305
2014-04-23,44.72902297973633
2014-04-24,45.25188446044922
2014-04-25,45.11195755004883
2014-04-28,45.78944778442383
2014-04-29,45.634796142578125
2014-04-30,45.47280502319336
2014-05-01,45.46543502807617
2014-05-02,45.664276123046875
2014-05-05,44.08837127685547
2014-05-06,42.44618225097656
2014-05-07,42.80702209472656
2014-05-08,42.946937561035156
2014-05-09,43.543426513671875
2014-05-12,43.91897964477539
2014-05-13,43.860076904296875
2014-05-14,43.646522521972656
2014-05-15,42.843841552734375
2014-05-16,43.182586669921875
2014-05-19,43.24192810058594
2014-05-20,41.99564743041992
2014-05-21,42.43332290649414
2014-05-22,41.53569412231445
2014-05-23,41.31314468383789
2014-05-27,41.37249755859375
2014-05-28,41.05351257324219
2014-05-29,41.454097747802734
2014-05-30,42.10691833496094
2014-06-02,41.90663146972656
2014-06-03,42.129180908203125
2014-06-04,42.41849136352539
2014-06-05,42.64845657348633
2014-06-06,42.789405822753906
2014-06-09,42.73006820678711
2014-06-10,42.181095123291016
2014-06-11,42.34431838989258
2014-06-12,42.46300506591797
2014-06-13,42.4555778503418
2014-06-16,42.83393478393555
2014-06-17,43.15291213989258
2014-06-18,43.54608154296875
2014-06-19,43.575775146484375
2014-06-20,43.24192810058594
2014-06-23,43.338382720947266
2014-06-24,43.54608154296875
2014-06-25,43.07132339477539
2014-06-26,42.93036651611328
2014-06-27,43.11581802368164
2014-06-30,42.98971939086914
2014-07-01,43.30128860473633
2014-07-02,43.5980224609375
2014-07-03,44.14699172973633
