,IRM
2014-01-02,14.098807334899902
2014-01-03,14.070122718811035
2014-01-06,13.998411178588867
2014-01-07,13.75458812713623
2014-01-08,13.486859321594238
2014-01-09,13.386460304260254
2014-01-10,13.319524765014648
2014-01-13,13.238247871398926
2014-01-14,13.142635345458984
2014-01-15,13.142635345458984
2014-01-16,13.11872673034668
2014-01-17,13.15219783782959
2014-01-21,13.142635345458984
2014-01-22,13.324309349060059
2014-01-23,13.329087257385254
2014-01-24,13.104391098022461
2014-01-27,13.003990173339844
2014-01-28,13.023111343383789
2014-01-29,12.78406810760498
2014-01-30,12.77928638458252
2014-01-31,12.626298904418945
2014-02-03,12.38247299194336
2014-02-04,12.61673641204834
2014-02-05,12.645421028137207
2014-02-06,12.9131498336792
2014-02-07,12.78406810760498
2014-02-10,12.898808479309082
2014-02-11,12.965741157531738
2014-02-12,12.994427680969238
2014-02-13,13.200000762939453
2014-02-14,13.391242027282715
2014-02-18,13.510765075683594
2014-02-19,13.534663200378418
2014-02-20,13.529884338378906
2014-02-21,13.678094863891602
2014-02-24,13.682873725891113
2014-02-25,13.768929481506348
2014-02-26,13.639843940734863
2014-02-27,13.582477569580078
2014-02-28,13.003990173339844
2014-03-03,13.123510360717773
2014-03-04,13.228689193725586
2014-03-05,13.209564208984375
2014-03-06,13.156975746154785
2014-03-07,13.295620918273926
2014-03-10,13.443827629089355
2014-03-11,13.200000762939453
2014-03-12,13.300403594970703
2014-03-13,13.185660362243652
2014-03-14,13.109167098999023
2014-03-17,13.281279563903809
2014-03-18,13.563349723815918
2014-03-19,13.505983352661133
2014-03-20,13.319524765014648
2014-03-21,13.329177856445312
2014-03-24,13.348490715026855
2014-03-25,13.150559425354004
2014-03-26,13.126420974731445
2014-03-27,12.996070861816406
2014-03-28,13.078141212463379
2014-03-31,13.309869766235352
2014-04-01,13.440217971801758
2014-04-02,13.570562362670898
2014-04-03,13.232630729675293
2014-04-04,13.319527626037598
2014-04-07,13.271249771118164
2014-04-08,13.251937866210938
2014-04-09,13.522289276123047
2014-04-10,13.18918228149414
2014-04-11,12.687104225158691
2014-04-14,12.716063499450684
2014-04-15,12.682271957397461
2014-04-16,13.165042877197266
2014-04-17,13.082969665527344
2014-04-21,13.169869422912598
2014-04-22,13.280906677246094
2014-04-23,13.48366928100586
2014-04-24,13.5609130859375
2014-04-25,13.329177856445312
2014-04-28,13.440217971801758
2014-04-29,13.546422004699707
2014-04-30,13.729874610900879
2014-05-01,13.657463073730469
2014-05-02,13.570562362670898
2014-05-05,13.420907974243164
2014-05-06,13.242279052734375
2014-05-07,13.097452163696289
2014-05-08,13.00572681427002
2014-05-09,13.025039672851562
2014-05-12,13.251937866210938
2014-05-13,13.387113571166992
2014-05-14,14.347814559936523
2014-05-15,14.289887428283691
2014-05-16,14.487821578979492
2014-05-19,14.550580978393555
2014-05-20,14.405746459960938
2014-05-21,14.38644027709961
2014-05-22,14.396096229553223
2014-05-23,14.51678466796875
2014-05-27,14.748514175415039
2014-05-28,14.888522148132324
2014-05-29,14.994728088378906
2014-05-30,15.033347129821777
2014-06-02,15.038171768188477
2014-06-03,14.922311782836914
2014-06-04,14.859553337097168
2014-06-05,15.067144393920898
2014-06-06,15.25541877746582
2014-06-09,15.332664489746094
2014-06-10,15.25541877746582
2014-06-11,15.110589027404785
2014-06-12,14.946447372436523
2014-06-13,14.965758323669434
2014-06-16,14.936792373657227
2014-06-17,14.869206428527832
2014-06-18,14.922311782836914
2014-06-19,14.72437572479248
2014-06-20,14.598858833312988
2014-06-23,14.740118980407715
2014-06-24,14.550148010253906
2014-06-25,14.501433372497559
2014-06-26,17.40951156616211
2014-06-27,16.95650291442871
2014-06-30,17.268251419067383
2014-07-01,17.224414825439453
2014-07-02,17.2926082611084
2014-07-03,17.243896484375
2014-07-07,17.19518280029297
2014-07-08,17.141599655151367
2014-07-09,17.253639221191406
2014-07-10,17.185440063476562
2014-07-11,17.214672088623047
2014-07-14,17.224414825439453
2014-07-15,17.073400497436523
2014-07-16,17.122119903564453
2014-07-17,16.97597885131836
2014-07-18,16.937009811401367
2014-07-21,16.74216651916504
2014-07-22,16.868818283081055
2014-07-23,16.756776809692383
2014-07-24,16.756776809692383
2014-07-25,16.586294174194336
2014-07-28,16.605775833129883
2014-07-29,16.644742965698242
2014-07-30,16.58141326904297
2014-07-31,16.323246002197266
2014-08-01,16.596031188964844
2014-08-04,16.35734748840332
2014-08-05,16.27941131591797
2014-08-06,16.1186580657959
2014-08-07,16.177112579345703
2014-08-08,16.513225555419922
2014-08-11,16.70319366455078
2014-08-12,16.80061912536621
2014-08-13,16.79574966430664
2014-08-14,16.92727279663086
2014-08-15,16.94188117980957
2014-08-18,17.258508682250977
2014-08-19,17.326705932617188
2014-08-20,17.453351974487305
2014-08-21,17.614103317260742
2014-08-22,17.36566925048828
2014-08-25,17.40951156616211
2014-08-26,17.331573486328125
2014-08-27,17.239017486572266
2014-08-28,17.263378143310547
2014-08-29,17.526424407958984
2014-09-02,17.580005645751953
2014-09-03,17.56539535522461
2014-09-04,17.53129005432129
2014-09-05,17.643329620361328
2014-09-08,17.633588790893555
2014-09-09,17.351055145263672
2014-09-10,17.433870315551758
2014-09-11,17.34131622314453
2014-09-12,17.15134048461914
2014-09-15,17.3461856842041
2014-09-16,17.321836471557617
2014-09-17,17.39977264404297
2014-09-18,17.40951156616211
2014-09-19,17.36566925048828
2014-09-22,17.204925537109375
2014-09-23,17.37527084350586
2014-09-24,17.41971206665039
2014-09-25,17.399965286254883
2014-09-26,17.399789810180664
2014-09-29,18.490680694580078
2014-09-30,17.80887222290039
2014-10-01,17.552513122558594
2014-10-02,17.80887222290039
2014-10-03,18.0543212890625
2014-10-06,17.983417510986328
2014-10-07,17.705238342285156
2014-10-08,18.16341781616211
2014-10-09,17.65069007873535
2014-10-10,17.388883590698242
2014-10-13,17.170703887939453
2014-10-14,17.536151885986328
2014-10-15,17.4706974029541
2014-10-16,17.52524185180664
2014-10-17,17.656147003173828
2014-10-20,18.076143264770508
2014-10-21,18.64340591430664
2014-10-22,18.757953643798828
2014-10-23,18.97068214416504
2014-10-24,19.41794204711914
2014-10-27,19.172494888305664
2014-10-28,19.554309844970703
2014-10-29,19.43976402282715
2014-10-30,19.297954559326172
2014-10-31,19.6743106842041
2014-11-03,19.99066734313965
2014-11-04,19.805212020874023
2014-11-05,19.696121215820312
2014-11-06,19.892488479614258
2014-11-07,20.75429344177246
2014-11-10,20.530654907226562
2014-11-11,20.634292602539062
2014-11-12,20.75429344177246
2014-11-13,20.928831100463867
2014-11-14,20.55792999267578
2014-11-17,20.650657653808594
2014-11-18,20.585203170776367
2014-11-19,20.55792999267578
2014-11-20,20.547021865844727
2014-11-21,20.54157066345215
2014-11-24,20.69429588317871
2014-11-25,20.427968978881836
2014-11-26,20.63663101196289
2014-11-28,20.87276268005371
2014-12-01,21.323057174682617
2014-12-02,21.372472763061523
2014-12-03,20.847131729125977
2014-12-04,20.780420303344727
2014-12-05,20.752626419067383
2014-12-08,20.741504669189453
2014-12-09,20.680360794067383
2014-12-10,20.552494049072266
2014-12-11,20.652555465698242
2014-12-12,20.257856369018555
2014-12-15,20.541378021240234
2014-12-16,20.663673400878906
2014-12-17,21.45863914489746
2014-12-18,22.387042999267578
2014-12-19,22.097963333129883
2014-12-22,21.825557708740234
2014-12-23,21.920061111450195
2014-12-24,22.03680992126465
2014-12-26,22.13687515258789
2014-12-29,22.153554916381836
2014-12-30,22.009010314941406
2014-12-31,21.492002487182617
2015-01-02,21.658788681030273
2015-01-05,21.764408111572266
2015-01-06,21.96454429626465
2015-01-07,21.997888565063477
2015-01-08,22.403718948364258
2015-01-09,21.947856903076172
2015-01-12,21.858909606933594
2015-01-13,22.06460189819336
2015-01-14,22.23694610595703
2015-01-15,22.43707275390625
2015-01-16,22.420392990112305
2015-01-20,22.65388298034668
2015-01-21,22.181350708007812
2015-01-22,22.425954818725586
2015-01-23,22.65388298034668
2015-01-26,22.71503448486328
2015-01-27,22.43707275390625
2015-01-28,22.331453323364258
2015-01-29,22.609411239624023
2015-01-30,22.147994995117188
2015-02-02,22.05348014831543
2015-02-03,22.34812355041504
2015-02-04,22.542707443237305
2015-02-05,22.8429012298584
2015-02-06,22.74282455444336
2015-02-09,21.975656509399414
2015-02-10,22.097963333129883
2015-02-11,22.159107208251953
2015-02-12,22.49822235107422
2015-02-13,21.886709213256836
2015-02-17,21.725486755371094
2015-02-18,21.975656509399414
2015-02-19,21.586509704589844
2015-02-20,20.407955169677734
