,CVS
2014-01-02,52.943641662597656
2014-01-03,53.05647659301758
2014-01-06,52.12394714355469
2014-01-07,52.3946647644043
2014-01-08,52.46988296508789
2014-01-09,52.582664489746094
2014-01-10,52.27434158325195
2014-01-13,51.55238723754883
2014-01-14,51.50726318359375
2014-01-15,51.356849670410156
2014-01-16,51.23651123046875
2014-01-17,51.1162109375
2014-01-21,51.588138580322266
2014-01-22,52.2299690246582
2014-01-23,51.701393127441406
2014-01-24,51.06711959838867
2014-01-27,50.991607666015625
2014-01-28,51.73915481567383
2014-01-29,50.85568618774414
2014-01-30,51.082218170166016
2014-01-31,51.13507843017578
2014-02-03,49.677734375
2014-02-04,49.919376373291016
2014-02-05,49.4134635925293
2014-02-06,49.919376373291016
2014-02-07,50.168548583984375
2014-02-10,50.54609680175781
2014-02-11,51.927940368652344
2014-02-12,51.754268646240234
2014-02-13,52.46403884887695
2014-02-14,52.781185150146484
2014-02-18,53.09831619262695
2014-02-19,52.932220458984375
2014-02-20,53.845863342285156
2014-02-21,53.76279067993164
2014-02-24,53.891170501708984
2014-02-25,54.48770523071289
2014-02-26,54.517913818359375
2014-02-27,54.48770523071289
2014-02-28,55.22769546508789
2014-03-03,54.8123893737793
2014-03-04,55.19749450683594
2014-03-05,55.25789260864258
2014-03-06,55.2880973815918
2014-03-07,55.48442459106445
2014-03-10,55.55241012573242
2014-03-11,54.895450592041016
2014-03-12,55.03136444091797
2014-03-13,54.744441986083984
2014-03-14,54.933204650878906
2014-03-17,56.1489143371582
2014-03-18,55.64301300048828
2014-03-19,55.507083892822266
2014-03-20,55.8695182800293
2014-03-21,56.59441375732422
2014-03-24,56.141326904296875
2014-03-25,56.59441375732422
2014-03-26,56.85870361328125
2014-03-27,55.9752311706543
2014-03-28,56.07341766357422
2014-03-31,56.52644729614258
2014-04-01,56.096046447753906
2014-04-02,56.45850372314453
2014-04-03,56.813411712646484
2014-04-04,56.39809036254883
2014-04-07,55.74870300292969
2014-04-08,55.25789260864258
2014-04-09,56.216880798339844
2014-04-10,55.069122314453125
2014-04-11,54.80484390258789
2014-04-14,55.40137481689453
2014-04-15,55.4542350769043
2014-04-16,55.809112548828125
2014-04-17,55.888694763183594
2014-04-21,55.83565902709961
2014-04-22,55.509742736816406
2014-04-23,55.39606857299805
2014-04-24,55.38090133666992
2014-04-25,55.509742736816406
2014-04-28,55.790164947509766
2014-04-29,55.6840705871582
2014-04-30,55.115631103515625
2014-05-01,55.39606857299805
2014-05-02,55.97965621948242
2014-05-05,56.82850646972656
2014-05-06,56.419246673583984
2014-05-07,57.52580261230469
2014-05-08,57.49546813964844
2014-05-09,57.81380844116211
2014-05-12,58.22308349609375
2014-05-13,58.018455505371094
2014-05-14,57.601593017578125
2014-05-15,57.26810836791992
2014-05-16,58.033599853515625
2014-05-19,57.80622863769531
2014-05-20,57.548526763916016
2014-05-21,58.13213348388672
2014-05-22,58.51866912841797
2014-05-23,58.450469970703125
2014-05-27,58.48835372924805
2014-05-28,58.54896545410156
2014-05-29,58.85972213745117
2014-05-30,59.359962463378906
2014-06-02,59.34480667114258
2014-06-03,58.89762878417969
2014-06-04,59.238685607910156
2014-06-05,59.58732986450195
2014-06-06,59.814720153808594
2014-06-09,59.534271240234375
2014-06-10,59.13257598876953
2014-06-11,58.6020393371582
2014-06-12,57.58643341064453
2014-06-13,57.49546813964844
2014-06-16,57.70770263671875
2014-06-17,57.753173828125
2014-06-18,58.63233947753906
2014-06-19,58.700565338134766
2014-06-20,58.200340270996094
2014-06-23,57.844120025634766
2014-06-24,57.207481384277344
2014-06-25,57.19231414794922
2014-06-26,57.252933502197266
2014-06-27,57.38938522338867
2014-06-30,57.12409973144531
2014-07-01,57.631893157958984
2014-07-02,57.79106140136719
2014-07-03,58.230674743652344
2014-07-07,58.10940170288086
2014-07-08,58.00328063964844
2014-07-09,58.238243103027344
2014-07-10,58.06393051147461
2014-07-11,58.283729553222656
2014-07-14,58.579307556152344
2014-07-15,58.67026138305664
2014-07-16,58.38224411010742
2014-07-17,57.89165496826172
2014-07-18,58.92610168457031
2014-07-21,58.599002838134766
2014-07-22,59.2303581237793
2014-07-23,59.42809295654297
2014-07-24,60.006187438964844
2014-07-25,60.181129455566406
2014-07-28,59.618263244628906
2014-07-29,59.18470764160156
2014-07-30,59.1314582824707
2014-07-31,58.08180236816406
2014-08-01,58.18064880371094
2014-08-04,58.85003662109375
2014-08-05,58.773983001708984
2014-08-06,58.591407775878906
2014-08-07,57.89165496826172
2014-08-08,59.18470764160156
2014-08-11,59.603084564208984
2014-08-12,59.8388557434082
2014-08-13,60.02138900756836
2014-08-14,60.31804275512695
2014-08-15,60.02138900756836
2014-08-18,60.20396423339844
2014-08-19,60.492977142333984
2014-08-20,60.553863525390625
2014-08-21,60.074649810791016
2014-08-22,60.27241897583008
2014-08-25,60.249576568603516
2014-08-26,60.35607147216797
2014-08-27,60.41693878173828
2014-08-28,60.41693878173828
2014-08-29,60.43214797973633
2014-09-02,60.64513397216797
2014-09-03,61.12434387207031
2014-09-04,61.0862922668457
2014-09-05,62.097930908203125
2014-09-08,61.91537857055664
2014-09-09,61.50462341308594
2014-09-10,61.54265594482422
2014-09-11,61.679595947265625
2014-09-12,61.284053802490234
2014-09-15,61.79365921020508
2014-09-16,62.53908920288086
2014-09-17,62.554298400878906
2014-09-18,61.74801254272461
2014-09-19,61.892547607421875
2014-09-22,61.30686569213867
2014-09-23,60.842899322509766
2014-09-24,61.47420120239258
2014-09-25,60.72877883911133
2014-09-26,61.071075439453125
2014-09-29,60.873294830322266
2014-09-30,60.53863525390625
2014-10-01,60.196346282958984
2014-10-02,60.89612579345703
2014-10-03,61.862117767333984
2014-10-06,61.86973571777344
2014-10-07,61.63393783569336
2014-10-08,62.76725769042969
2014-10-09,62.333717346191406
2014-10-10,62.73687744140625
2014-10-13,60.941768646240234
2014-10-14,61.36772537231445
2014-10-15,60.08224868774414
2014-10-16,59.94533157348633
2014-10-17,60.82007598876953
2014-10-20,62.1891975402832
2014-10-21,63.28438949584961
2014-10-22,63.53623962402344
2014-10-23,63.803382873535156
2014-10-24,64.32996368408203
2014-10-27,64.74972534179688
2014-10-28,65.02449798583984
2014-10-29,65.01686096191406
2014-10-30,65.29161834716797
2014-10-31,65.49002838134766
2014-11-03,65.72661590576172
2014-11-04,65.23055267333984
2014-11-05,66.77984619140625
2014-11-06,67.48963165283203
2014-11-07,67.45144653320312
2014-11-10,68.06966400146484
2014-11-11,68.50465393066406
2014-11-12,68.14595794677734
2014-11-13,68.78703308105469
2014-11-14,68.02386474609375
2014-11-17,68.7794189453125
2014-11-18,68.7794189453125
2014-11-19,68.37493896484375
2014-11-20,68.11544036865234
2014-11-21,68.1764907836914
2014-11-24,69.35182189941406
2014-11-25,68.90916442871094
2014-11-26,69.36708068847656
2014-11-28,69.72579193115234
2014-12-01,68.80994415283203
2014-12-02,68.75653076171875
2014-12-03,68.03146362304688
2014-12-04,68.56571960449219
2014-12-05,69.2220687866211
2014-12-08,69.26786041259766
2014-12-09,69.64181518554688
2014-12-10,68.77178955078125
2014-12-11,69.3976058959961
2014-12-12,68.64203643798828
2014-12-15,68.58861541748047
2014-12-16,70.45081329345703
2014-12-17,71.87035369873047
2014-12-18,72.90066528320312
2014-12-19,73.03803253173828
2014-12-22,74.11416625976562
2014-12-23,74.69420623779297
2014-12-24,74.70946502685547
2014-12-26,74.98422241210938
2014-12-29,74.44999694824219
2014-12-30,74.43470001220703
2014-12-31,73.50360870361328
2015-01-02,72.58015441894531
2015-01-05,71.86271667480469
2015-01-06,71.91617584228516
2015-01-07,73.21359252929688
2015-01-08,74.7705307006836
2015-01-09,74.73236083984375
2015-01-12,74.18284606933594
2015-01-13,74.21338653564453
2015-01-14,74.28207397460938
2015-01-15,74.15997314453125
2015-01-16,75.3581771850586
2015-01-20,75.34286499023438
2015-01-21,76.2083511352539
2015-01-22,76.80577850341797
2015-01-23,77.066162109375
2015-01-26,77.36490631103516
2015-01-27,77.2193603515625
2015-01-28,76.28494262695312
2015-01-29,76.6755599975586
2015-01-30,75.18201446533203
2015-02-02,75.9096450805664
2015-02-03,76.69087219238281
2015-02-04,76.94364166259766
2015-02-05,77.17343139648438
2015-02-06,77.05853271484375
2015-02-09,76.25431823730469
2015-02-10,77.87804412841797
2015-02-11,78.57501220703125
2015-02-12,78.88904571533203
2015-02-13,78.60564422607422
2015-02-17,79.31028747558594
2015-02-18,79.73153686523438
2015-02-19,78.59798431396484
2015-02-20,78.65924835205078
2015-02-23,79.08818054199219
2015-02-24,79.164794921875
2015-02-25,79.22606658935547
2015-02-26,79.78517150878906
2015-02-27,79.5553970336914
2015-03-02,79.80046844482422
2015-03-03,79.23368072509766
2015-03-04,78.9503173828125
2015-03-05,79.164794921875
2015-03-06,78.04655456542969
2015-03-09,78.50608825683594
2015-03-10,77.76317596435547
2015-03-11,77.78612518310547
2015-03-12,78.85840606689453
2015-03-13,79.08818054199219
2015-03-16,79.95368194580078
2015-03-17,78.90437316894531
2015-03-18,79.26432800292969
2015-03-19,79.14946746826172
2015-03-20,79.54774475097656
2015-03-23,80.0838851928711
2015-03-24,80.03025817871094
2015-03-25,78.6822738647461
2015-03-26,78.11547088623047
2015-03-27,78.50608825683594
