,FMC
2014-01-02,53.44985580444336
2014-01-03,53.263389587402344
2014-01-06,52.919166564941406
2014-01-07,53.28489685058594
2014-01-08,53.3709602355957
2014-01-09,53.32792663574219
2014-01-10,53.22752380371094
2014-01-13,52.24501037597656
2014-01-14,53.127132415771484
2014-01-15,54.310428619384766
2014-01-16,54.310428619384766
2014-01-17,54.15984344482422
2014-01-21,54.35348892211914
2014-01-22,54.453880310058594
2014-01-23,53.170166015625
2014-01-24,51.3629264831543
2014-01-27,51.41312026977539
2014-01-28,51.39878463745117
2014-01-29,51.391597747802734
2014-01-30,51.53504180908203
2014-01-31,50.65293502807617
2014-02-03,49.390743255615234
2014-02-04,49.856895446777344
2014-02-05,49.835365295410156
2014-02-06,51.31989669799805
2014-02-07,51.291202545166016
2014-02-10,51.27686309814453
2014-02-11,51.77888107299805
2014-02-12,51.50634765625
2014-02-13,51.75019073486328
2014-02-14,52.302391052246094
2014-02-18,52.19482421875
2014-02-19,52.10877227783203
2014-02-20,52.40998077392578
2014-02-21,52.1374397277832
2014-02-24,51.864933013916016
2014-02-25,52.11593246459961
2014-02-26,53.937522888183594
2014-02-27,54.683372497558594
2014-02-28,55.350318908691406
2014-03-03,55.120845794677734
2014-03-04,55.995750427246094
2014-03-05,55.76627731323242
2014-03-06,55.995750427246094
2014-03-07,55.845157623291016
2014-03-10,59.59590530395508
2014-03-11,58.190277099609375
2014-03-12,57.551998138427734
2014-03-13,57.47311782836914
2014-03-14,56.64839172363281
2014-03-17,57.21492385864258
2014-03-18,56.73443603515625
2014-03-19,55.8881950378418
2014-03-20,56.75596237182617
2014-03-21,56.58385467529297
2014-03-24,56.282630920410156
2014-03-25,56.117671966552734
2014-03-26,54.8913459777832
2014-03-27,55.43745040893555
2014-03-28,54.9344482421875
2014-03-31,55.01349639892578
2014-04-01,55.55961227416992
2014-04-02,56.29255676269531
2014-04-03,56.22069549560547
2014-04-04,55.135650634765625
2014-04-07,54.43144989013672
2014-04-08,54.97039031982422
2014-04-09,55.77517318725586
2014-04-10,54.27337646484375
2014-04-11,53.38953399658203
2014-04-14,53.84223175048828
2014-04-15,54.20151901245117
2014-04-16,55.19313430786133
2014-04-17,55.15001678466797
2014-04-21,55.178768157958984
2014-04-22,55.264991760253906
2014-04-23,55.279361724853516
2014-04-24,54.48894500732422
2014-04-25,54.32368469238281
2014-04-28,54.10808563232422
2014-04-29,54.726070404052734
2014-04-30,55.329654693603516
2014-05-01,55.128456115722656
2014-05-02,54.73324966430664
2014-05-05,54.70451736450195
2014-05-06,54.61110305786133
2014-05-07,52.66377258300781
2014-05-08,52.476959228515625
2014-05-09,52.40509033203125
2014-05-12,52.82187271118164
2014-05-13,52.34761047363281
2014-05-14,52.53445053100586
2014-05-15,51.945220947265625
2014-05-16,52.04581069946289
2014-05-19,52.69252395629883
2014-05-20,52.89372634887695
2014-05-21,53.5045166015625
2014-05-22,54.453006744384766
2014-05-23,54.42426681518555
2014-05-27,54.79793930053711
2014-05-28,54.963191986083984
2014-05-29,55.32249450683594
2014-05-30,55.01349639892578
2014-06-02,55.207515716552734
2014-06-03,54.841033935546875
2014-06-04,55.401527404785156
2014-06-05,56.22786331176758
2014-06-06,56.3715934753418
2014-06-09,56.091339111328125
2014-06-10,56.22069549560547
2014-06-11,56.041053771972656
2014-06-12,55.30092239379883
2014-06-13,55.50931167602539
2014-06-16,55.01349639892578
2014-06-17,54.46739196777344
2014-06-18,53.89254379272461
2014-06-19,53.806304931640625
2014-06-20,53.712890625
2014-06-23,51.09012222290039
2014-06-24,50.97514343261719
2014-06-25,50.745201110839844
2014-06-26,51.126853942871094
2014-06-27,50.99723434448242
2014-06-30,51.263671875
2014-07-01,51.126853942871094
2014-07-02,50.81001663208008
2014-07-03,51.40050506591797
2014-07-07,50.954044342041016
2014-07-08,50.29153823852539
2014-07-09,50.457176208496094
2014-07-10,49.78748321533203
2014-07-11,49.873897552490234
2014-07-14,49.56424331665039
2014-07-15,49.7658805847168
2014-07-16,49.85948944091797
2014-07-17,49.254608154296875
2014-07-18,49.78748321533203
2014-07-21,49.35543441772461
2014-07-22,49.54264831542969
2014-07-23,49.54264831542969
2014-07-24,49.31220245361328
2014-07-25,49.168209075927734
2014-07-28,49.28341293334961
2014-07-29,48.995361328125
2014-07-30,48.26087951660156
2014-07-31,46.964698791503906
2014-08-01,47.151920318603516
2014-08-04,47.23113250732422
2014-08-05,46.66947555541992
2014-08-06,46.662261962890625
2014-08-07,46.21580505371094
2014-08-08,46.78466796875
2014-08-11,46.73426818847656
2014-08-12,46.65504837036133
2014-08-13,46.583038330078125
2014-08-14,47.52638244628906
2014-08-15,47.55516815185547
2014-08-18,47.82162094116211
2014-08-19,47.771202087402344
2014-08-20,47.82882308959961
2014-08-21,47.48317337036133
2014-08-22,47.06551742553711
2014-08-25,47.18793487548828
2014-08-26,47.09431838989258
2014-08-27,47.32475662231445
2014-08-28,47.62718963623047
2014-08-29,47.62718963623047
2014-09-02,47.50477981567383
