,SHW
2014-01-02,54.87238311767578
2014-01-03,54.98972702026367
2014-01-06,54.95661163330078
2014-01-07,56.43666458129883
2014-01-08,57.05934524536133
2014-01-09,56.8156852722168
2014-01-10,58.00994110107422
2014-01-13,57.51359558105469
2014-01-14,58.20245361328125
2014-01-15,58.10017776489258
2014-01-16,58.21148681640625
2014-01-17,58.39498519897461
2014-01-21,59.571197509765625
2014-01-22,59.36362075805664
2014-01-23,58.695823669433594
2014-01-24,57.396270751953125
2014-01-27,57.327083587646484
2014-01-28,57.660980224609375
2014-01-29,56.89088821411133
2014-01-30,55.27248764038086
2014-01-31,55.12809371948242
2014-02-03,53.208866119384766
2014-02-04,53.53074264526367
2014-02-05,52.82381820678711
2014-02-06,53.90375900268555
2014-02-07,54.91752243041992
2014-02-10,54.85434341430664
2014-02-11,55.176231384277344
2014-02-12,56.202022552490234
2014-02-13,57.28195571899414
2014-02-14,57.507568359375
2014-02-18,57.59480667114258
2014-02-19,58.082130432128906
2014-02-20,58.178401947021484
2014-02-21,58.235538482666016
2014-02-24,58.51831817626953
2014-02-25,59.372642517089844
2014-02-26,59.730613708496094
2014-02-27,59.97496795654297
2014-02-28,60.47571563720703
2014-03-03,60.18008804321289
2014-03-04,61.287166595458984
2014-03-05,61.32033157348633
2014-03-06,61.235870361328125
2014-03-07,62.35499954223633
2014-03-10,62.17101287841797
2014-03-11,61.83316421508789
2014-03-12,61.60992431640625
2014-03-13,60.991546630859375
2014-03-14,60.95836639404297
2014-03-17,61.60389709472656
2014-03-18,61.77888488769531
2014-03-19,61.00358581542969
2014-03-20,60.97041320800781
2014-03-21,60.4545783996582
2014-03-24,59.89955520629883
2014-03-25,59.718570709228516
2014-03-26,59.05491256713867
2014-03-27,58.584320068359375
2014-03-28,58.729129791259766
2014-03-31,59.465171813964844
2014-04-01,60.056392669677734
2014-04-02,60.352054595947266
2014-04-03,60.48175048828125
2014-04-04,58.4878044128418
2014-04-07,57.410892486572266
2014-04-08,57.88752365112305
2014-04-09,58.714046478271484
2014-04-10,57.32341766357422
2014-04-11,56.87093734741211
2014-04-14,57.34755325317383
2014-04-15,57.78494644165039
2014-04-16,57.993099212646484
2014-04-17,59.60393142700195
2014-04-21,59.65519714355469
2014-04-22,61.154441833496094
2014-04-23,60.91913604736328
2014-04-24,60.6446418762207
2014-04-25,60.55113983154297
2014-04-28,59.97496795654297
2014-04-29,60.267555236816406
2014-04-30,60.28264236450195
2014-05-01,60.2977409362793
2014-05-02,60.590335845947266
2014-05-05,60.22835159301758
2014-05-06,59.857330322265625
2014-05-07,60.10467529296875
2014-05-08,59.564697265625
2014-05-09,60.270591735839844
2014-05-12,60.88595962524414
2014-05-13,60.409332275390625
2014-05-14,60.170379638671875
2014-05-15,59.99797058105469
2014-05-16,60.44866943359375
2014-05-19,60.32466125488281
2014-05-20,60.59385299682617
2014-05-21,60.630157470703125
2014-05-22,60.630157470703125
2014-05-23,61.22606658935547
2014-05-27,61.108097076416016
2014-05-28,61.01430892944336
2014-05-29,61.51643371582031
2014-05-30,61.89154052734375
2014-06-02,61.576904296875
2014-06-03,61.6374397277832
2014-06-04,61.66766357421875
2014-06-05,61.69186019897461
2014-06-06,61.837059020996094
2014-06-09,61.7977409362793
2014-06-10,61.83405303955078
2014-06-11,61.480133056640625
2014-06-12,61.168582916259766
2014-06-13,61.32285690307617
2014-06-16,61.20183181762695
2014-06-17,61.334938049316406
2014-06-18,61.62232208251953
2014-06-19,61.50132369995117
2014-06-20,61.70397186279297
2014-06-23,61.8854866027832
2014-06-24,61.939903259277344
2014-06-25,62.32709503173828
2014-06-26,62.097190856933594
2014-06-27,62.75362014770508
2014-06-30,62.587249755859375
2014-07-01,62.72032928466797
2014-07-02,62.49044418334961
2014-07-03,62.75362014770508
2014-07-07,62.08207321166992
2014-07-08,61.468055725097656
2014-07-09,62.045799255371094
2014-07-10,61.18672180175781
2014-07-11,61.33192825317383
2014-07-14,61.4710578918457
2014-07-15,61.19882583618164
2014-07-16,61.020355224609375
2014-07-17,63.809268951416016
2014-07-18,64.18134307861328
2014-07-21,64.30231475830078
2014-07-22,64.71976470947266
2014-07-23,64.9163818359375
2014-07-24,64.57152557373047
2014-07-25,64.35978698730469
2014-07-28,64.32350158691406
2014-07-29,63.745758056640625
2014-07-30,63.57030487060547
2014-07-31,62.381526947021484
2014-08-01,61.93688201904297
2014-08-04,63.031883239746094
2014-08-05,62.01552963256836
2014-08-06,62.73542404174805
2014-08-07,62.266597747802734
2014-08-08,63.19218444824219
2014-08-11,63.17103958129883
2014-08-12,63.709434509277344
2014-08-13,64.21896362304688
2014-08-14,64.23716735839844
2014-08-15,64.53738403320312
2014-08-18,64.9407730102539
2014-08-19,65.0074691772461
2014-08-20,65.21675872802734
2014-08-21,65.88700103759766
2014-08-22,65.79903411865234
2014-08-25,65.99009704589844
2014-08-26,66.05377197265625
2014-08-27,66.00225067138672
2014-08-28,66.15386962890625
2014-08-29,66.14781188964844
2014-09-02,65.98403930664062
2014-09-03,65.88092803955078
2014-09-04,65.94762420654297
2014-09-05,66.20238494873047
2014-09-08,66.09017944335938
2014-09-09,65.66556549072266
2014-09-10,65.75052642822266
2014-09-11,66.1265640258789
2014-09-12,65.3714370727539
2014-09-15,65.25921630859375
2014-09-16,65.66556549072266
2014-09-17,65.83846282958984
2014-09-18,66.67855072021484
2014-09-19,66.884765625
2014-09-22,66.43289947509766
2014-09-23,66.26004028320312
2014-09-24,67.02731323242188
2014-09-25,66.22666931152344
2014-09-26,66.9605712890625
2014-09-29,67.15770721435547
2014-09-30,66.41468811035156
