,AOS
2014-01-02,22.524330139160156
2014-01-03,22.520103454589844
2014-01-06,22.50320816040039
2014-01-07,22.283544540405273
2014-01-08,22.030080795288086
2014-01-09,22.16948699951172
2014-01-10,22.19060516357422
2014-01-13,21.7554931640625
2014-01-14,22.182159423828125
2014-01-15,22.1948299407959
2014-01-16,22.021629333496094
2014-01-17,22.030080795288086
2014-01-21,21.83576011657715
2014-01-22,22.059659957885742
2014-01-23,22.055423736572266
2014-01-24,21.202104568481445
2014-01-27,20.77121925354004
2014-01-28,20.285415649414062
2014-01-29,20.184032440185547
2014-01-30,20.19670295715332
2014-01-31,19.94746971130371
2014-02-03,19.254674911499023
2014-02-04,19.38562774658203
2014-02-05,19.559389114379883
2014-02-06,19.440717697143555
2014-02-07,19.817920684814453
2014-02-10,19.78826141357422
2014-02-11,20.06797981262207
2014-02-12,20.36465072631836
2014-02-13,20.449417114257812
2014-02-14,20.440940856933594
2014-02-18,20.46213150024414
2014-02-19,20.631664276123047
2014-02-20,20.82238006591797
2014-02-21,20.792722702026367
2014-02-24,20.716426849365234
2014-02-25,20.330747604370117
2014-02-26,20.852052688598633
2014-02-27,21.008861541748047
2014-02-28,21.063961029052734
2014-03-03,20.70795440673828
2014-03-04,20.962247848510742
2014-03-05,20.754573822021484
2014-03-06,20.623180389404297
2014-03-07,20.818147659301758
2014-03-10,20.716426849365234
2014-03-11,20.318029403686523
2014-03-12,20.156980514526367
2014-03-13,19.695016860961914
2014-03-14,19.42800521850586
2014-03-17,19.771305084228516
2014-03-18,19.923871994018555
2014-03-19,19.65687370300293
2014-03-20,19.351716995239258
2014-03-21,19.266952514648438
2014-03-24,19.309335708618164
2014-03-25,19.71196746826172
2014-03-26,19.012659072875977
2014-03-27,19.182191848754883
2014-03-28,19.449201583862305
2014-03-31,19.504291534423828
2014-04-01,19.65262794494629
2014-04-02,19.8391170501709
2014-04-03,19.826398849487305
2014-04-04,19.542434692382812
2014-04-07,18.98299217224121
2014-04-08,18.98299217224121
2014-04-09,19.1906681060791
2014-04-10,18.936368942260742
2014-04-11,19.203386306762695
2014-04-14,18.957569122314453
2014-04-15,19.368671417236328
2014-04-16,19.474628448486328
2014-04-17,19.72044563293457
2014-04-21,19.84334945678711
2014-04-22,19.805206298828125
2014-04-23,20.034074783325195
2014-04-24,20.203603744506836
