,FTV
2016-07-05,39.26859664916992
2016-07-06,38.58180618286133
2016-07-07,38.5737190246582
2016-07-08,40.561397552490234
2016-07-11,41.304744720458984
2016-07-12,40.8603515625
2016-07-13,40.9007453918457
2016-07-14,41.66834259033203
2016-07-15,41.39363098144531
2016-07-18,41.44209671020508
2016-07-19,41.65218353271485
2016-07-20,40.67451477050781
2016-07-21,40.59370803833008
2016-07-22,39.91499710083008
2016-07-25,39.57563018798828
2016-07-26,39.81804656982422
2016-07-27,39.527156829833984
2016-07-28,39.30899429321289
2016-07-29,38.95347595214844
2016-08-01,38.622196197509766
2016-08-02,38.37979888916016
2016-08-03,39.81804656982422
2016-08-04,40.42402648925781
2016-08-05,40.8684196472168
2016-08-08,40.440189361572266
2016-08-09,40.77146911621094
2016-08-10,40.76339340209961
2016-08-11,42.460182189941406
2016-08-12,42.58945846557617
2016-08-15,43.357051849365234
2016-08-16,43.26817321777344
2016-08-17,43.15505599975586
2016-08-18,42.95305633544922
2016-08-19,41.95113754272461
2016-08-22,41.41786575317383
2016-08-23,41.93498229980469
2016-08-24,41.562801361083984
2016-08-25,41.76505661010742
2016-08-26,41.96733474731445
2016-08-29,42.40425109863281
2016-08-30,42.566070556640625
2016-08-31,42.614627838134766
2016-09-01,42.58225631713867
2016-09-02,43.189064025878906
2016-09-06,42.66315841674805
2016-09-07,42.833065032958984
2016-09-08,42.33953094482422
2016-09-09,40.89934921264648
2016-09-12,41.43334197998047
2016-09-13,40.486724853515625
2016-09-14,40.47053146362305
2016-09-15,40.85081100463867
2016-09-16,40.66472625732422
2016-09-19,41.08544921875
2016-09-20,40.65662384033203
2016-09-21,41.24727249145508
2016-09-22,41.78125762939453
2016-09-23,41.166358947753906
2016-09-26,41.44143295288086
2016-09-27,41.756980895996094
2016-09-28,41.84597396850586
2016-09-29,41.02070999145508
2016-09-30,41.18254089355469
2016-10-03,41.578983306884766
2016-10-04,41.109710693359375
2016-10-05,41.214900970458984
2016-10-06,41.02070999145508
2016-10-07,40.39772033691406
2016-10-10,40.41389465332031
2016-10-11,39.82326889038086
2016-10-12,39.637176513671875
2016-10-13,39.499629974365234
2016-10-14,40.017452239990234
2016-10-17,39.693817138671875
2016-10-18,39.71808242797851
2016-10-19,39.960811614990234
2016-10-20,39.40253829956055
2016-10-21,39.378265380859375
2016-10-24,39.28117370605469
2016-10-25,38.771446228027344
2016-10-26,38.65009307861328
2016-10-27,38.42354202270508
2016-10-28,40.6242561340332
2016-10-31,41.30389404296875
2016-11-01,40.85081100463867
2016-11-02,40.71327209472656
2016-11-03,41.24727249145508
2016-11-04,41.35243606567383
2016-11-07,41.902618408203125
2016-11-08,42.59843444824219
2016-11-09,43.25379180908203
2016-11-10,43.85252380371094
2016-11-11,43.20524978637695
2016-11-14,43.545074462890625
2016-11-15,43.78779602050781
2016-11-16,44.04670715332031
2016-11-17,44.095245361328125
2016-11-18,44.20042419433594
2016-11-21,44.362247467041016
2016-11-22,44.85641860961914
2016-11-23,45.20476150512695
2016-11-25,45.34248352050781
2016-11-28,45.03464889526367
2016-11-29,44.783504486083984
2016-11-30,44.54857635498047
2016-12-01,43.90047454833984
2016-12-02,44.13540267944336
2016-12-05,43.67362976074219
2016-12-06,43.74655532836914
2016-12-07,43.94098281860352
2016-12-08,43.48732376098633
2016-12-09,43.74655532836914
2016-12-12,43.73845672607422
2016-12-13,43.625030517578125
2016-12-14,43.94908905029297
2016-12-15,44.40274429321289
2016-12-16,44.41896057128906
2016-12-19,44.52427673339844
2016-12-20,44.5971794128418
2016-12-21,43.84376525878906
2016-12-22,43.819461822509766
2016-12-23,44.15971374511719
2016-12-27,44.11921310424805
2016-12-28,43.54402542114258
2016-12-29,43.7546501159668
2016-12-30,43.44680404663086
2017-01-03,43.52781677246094
2017-01-04,43.94908905029297
2017-01-05,43.69795608520508
2017-01-06,43.6412353515625
2017-01-09,43.52781677246094
2017-01-10,43.584529876708984
2017-01-11,43.47111129760742
2017-01-12,43.479217529296875
2017-01-13,44.36224365234375
2017-01-17,43.85186767578125
2017-01-18,43.85997009277344
2017-01-19,43.965293884277344
2017-01-20,44.16781997680664
2017-01-23,43.83565902709961
2017-01-24,44.31364059448242
2017-01-25,44.69438934326172
2017-01-26,45.115665435791016
2017-01-27,45.31008529663086
2017-01-30,44.91313552856445
2017-01-31,44.80781555175781
2017-02-01,44.661991119384766
2017-02-02,44.7267951965332
2017-02-03,45.382999420166016
2017-02-06,45.212867736816406
2017-02-07,45.075157165527344
2017-02-08,45.51260757446289
2017-02-09,46.193119049072266
2017-02-10,46.29844284057617
2017-02-13,46.60627365112305
2017-02-14,46.41184997558594
2017-02-15,46.646785736083984
2017-02-16,46.492862701416016
2017-02-17,46.73589324951172
2017-02-21,47.09235382080078
2017-02-22,46.79224395751953
2017-02-23,46.443477630615234
2017-02-24,46.87335205078125
2017-02-27,46.75981140136719
2017-02-28,46.75981140136719
2017-03-01,47.78178405761719
2017-03-02,47.55467224121094
2017-03-03,47.63579177856445
2017-03-06,47.31135177612305
2017-03-07,47.205909729003906
2017-03-08,47.18156814575195
2017-03-09,47.059913635253906
2017-03-10,47.295127868652344
2017-03-13,47.66823196411133
2017-03-14,47.48979568481445
2017-03-15,48.422550201416016
2017-03-16,48.2684440612793
2017-03-17,48.325225830078125
2017-03-20,47.85478210449219
2017-03-21,47.45734024047851
2017-03-22,47.441131591796875
2017-03-23,47.47356414794922
2017-03-24,48.106231689453125
2017-03-27,47.919677734375
2017-03-28,48.33332443237305
2017-03-29,48.38199234008789
2017-03-30,48.3576545715332
2017-03-31,48.844329833984375
2017-04-03,48.77132797241211
2017-04-04,48.68210983276367
2017-04-05,48.86867141723633
2017-04-06,49.12821578979492
2017-04-07,49.04710388183594
2017-04-10,49.47698593139648
2017-04-11,49.29042434692383
2017-04-12,49.07143783569336
2017-04-13,48.93354797363281
2017-04-17,49.05520248413086
2017-04-18,48.88488006591797
2017-04-19,48.67399978637695
2017-04-20,49.16064453125
2017-04-21,48.67399978637695
2017-04-24,49.82575225830078
2017-04-25,50.55574417114258
2017-04-26,50.49085998535156
2017-04-27,50.54763412475586
2017-04-28,51.3100700378418
2017-05-01,50.5638427734375
2017-05-02,50.43408203125
2017-05-03,50.8315315246582
2017-05-04,50.953182220458984
2017-05-05,51.212738037109375
2017-05-08,51.00995635986328
2017-05-09,50.855857849121094
2017-05-10,50.75040435791016
2017-05-11,50.790958404541016
2017-05-12,50.43408203125
2017-05-15,50.466529846191406
2017-05-16,50.55574417114258
2017-05-17,49.63921356201172
2017-05-18,49.60676574707031
2017-05-19,50.15830612182617
2017-05-22,50.61251449584961
2017-05-23,50.78284454345703
2017-05-24,51.22132110595703
2017-05-25,51.67605209350586
2017-05-26,51.57049179077149
2017-05-30,51.440574645996094
2017-05-31,50.70976257324219
2017-06-01,51.14824676513672
2017-06-02,51.489288330078125
2017-06-05,51.416221618652344
2017-06-06,51.31876754760742
2017-06-07,51.44869613647461
2017-06-08,51.72477340698242
2017-06-09,51.22944641113281
2017-06-12,50.7178840637207
2017-06-13,51.375614166259766
2017-06-14,51.11576843261719
2017-06-15,51.18885040283203
2017-06-16,52.00898361206055
2017-06-19,52.60985565185547
2017-06-20,52.35000991821289
2017-06-21,52.268821716308594
2017-06-22,52.049564361572266
2017-06-23,52.049564361572266
2017-06-26,52.05769348144531
2017-06-27,51.45681381225586
2017-06-28,52.301300048828125
2017-06-29,51.042686462402344
2017-06-30,51.440574645996094
2017-07-03,51.424339294433594
2017-07-05,51.65169906616211
2017-07-06,51.424339294433594
2017-07-07,51.846580505371094
2017-07-10,52.455570220947266
2017-07-11,51.94401931762695
2017-07-12,52.53678131103515
2017-07-13,52.28507232666016
2017-07-14,52.42311096191406
