,MET
2014-01-02,32.85669708251953
2014-01-03,33.23967742919922
2014-01-06,33.097591400146484
2014-01-07,32.96786880493164
2014-01-08,33.47441101074219
2014-01-09,33.696773529052734
2014-01-10,33.41880416870117
2014-01-13,32.720794677734375
2014-01-14,33.10377502441406
2014-01-15,33.554710388183594
2014-01-16,33.02346420288086
2014-01-17,32.714599609375
2014-01-21,32.53546142578125
2014-01-22,32.42427444458008
2014-01-23,31.76949119567871
2014-01-24,30.583473205566406
2014-01-27,30.218997955322266
2014-01-28,30.65757942199707
2014-01-29,30.1757755279541
2014-01-30,30.750247955322266
2014-01-31,30.299318313598633
2014-02-03,29.070045471191406
2014-02-04,29.68828773498535
2014-02-05,29.626148223876953
2014-02-06,30.19158172607422
2014-02-07,30.514686584472656
2014-02-10,30.172943115234375
2014-02-11,30.918567657470703
2014-02-12,30.993125915527344
2014-02-13,31.07390785217285
2014-02-14,31.310020446777344
2014-02-18,31.7325496673584
2014-02-19,31.539926528930664
2014-02-20,31.50884437561035
2014-02-21,31.39079475402832
2014-02-24,31.6082763671875
2014-02-25,31.397016525268555
2014-02-26,31.04906463623047
2014-02-27,31.397016525268555
2014-02-28,31.483993530273438
2014-03-03,31.111188888549805
2014-03-04,31.807109832763672
2014-03-05,32.36632537841797
2014-03-06,32.54030227661133
2014-03-07,33.024967193603516
2014-03-10,33.15544128417969
2014-03-11,32.91933059692383
2014-03-12,32.7391471862793
2014-03-13,32.14883804321289
2014-03-14,32.13020706176758
2014-03-17,32.204769134521484
2014-03-18,32.527862548828125
2014-03-19,32.99388122558594
2014-03-20,33.33563232421875
2014-03-21,33.192726135253906
2014-03-24,33.24864196777344
2014-03-25,33.72087478637695
2014-03-26,33.29214859008789
2014-03-27,32.53408432006836
2014-03-28,32.65836715698242
2014-03-31,32.8074951171875
2014-04-01,33.205142974853516
2014-04-02,33.329410552978516
2014-04-03,33.50340270996094
2014-04-04,32.83233642578125
2014-04-07,31.9189453125
2014-04-08,32.13020706176758
2014-04-09,32.53408432006836
2014-04-10,31.297592163085938
2014-04-11,30.56439781188965
2014-04-14,30.676239013671875
2014-04-15,30.993125915527344
2014-04-16,31.409442901611328
2014-04-17,31.81332778930664
2014-04-21,31.782243728637695
2014-04-22,32.248268127441406
2014-04-23,32.254478454589844
2014-04-24,32.279319763183594
2014-04-25,31.744966506958008
2014-04-28,31.66419219970703
2014-04-29,32.21097946166992
2014-04-30,32.527862548828125
2014-05-01,32.043212890625
2014-05-02,32.2420539855957
