,INTC
2014-01-02,19.17879295349121
2014-01-03,19.171358108520508
2014-01-06,18.933382034301758
2014-01-07,19.03006362915039
2014-01-08,18.911081314086914
2014-01-09,18.82184600830078
2014-01-10,18.985445022583008
2014-01-13,18.9631290435791
2014-01-14,19.714223861694336
2014-01-15,19.833209991455078
2014-01-16,19.73653793334961
2014-01-17,19.223413467407227
2014-01-21,19.03006362915039
2014-01-22,18.82184600830078
2014-01-23,18.68797492980957
2014-01-24,18.450014114379883
2014-01-27,18.383089065551758
2014-01-28,18.516942977905273
2014-01-29,18.35333824157715
2014-01-30,18.397958755493164
2014-01-31,18.24922752380371
2014-02-03,17.810470581054688
2014-02-04,17.71380043029785
2014-02-05,17.657495498657227
2014-02-06,18.01034164428711
2014-02-07,18.175500869750977
2014-02-10,18.235565185546875
2014-02-11,18.37070083618164
2014-02-12,18.430755615234375
2014-02-13,18.54336929321289
2014-02-14,18.588424682617188
2014-02-18,18.588424682617188
2014-02-19,18.393220901489258
2014-02-20,18.573394775390625
2014-02-21,18.33316421508789
2014-02-24,18.490819931030273
2014-02-25,18.48331069946289
2014-02-26,18.618446350097656
2014-02-27,18.588424682617188
2014-02-28,18.588424682617188
2014-03-03,18.393220901489258
2014-03-04,18.47580337524414
2014-03-05,18.393220901489258
2014-03-06,18.490819931030273
2014-03-07,18.498329162597656
2014-03-10,18.648475646972656
2014-03-11,18.56589126586914
2014-03-12,18.588424682617188
2014-03-13,18.445775985717773
2014-03-14,18.393220901489258
2014-03-17,18.54336929321289
2014-03-18,18.633460998535156
2014-03-19,18.78360939025879
2014-03-20,19.091415405273438
2014-03-21,18.896221160888672
2014-03-24,18.858686447143555
2014-03-25,19.113929748535156
2014-03-26,19.053876876831055
2014-03-27,19.001323699951172
2014-03-28,19.23405647277832
2014-03-31,19.376693725585938
2014-04-01,19.511825561523438
2014-04-02,19.436756134033203
2014-04-03,19.8271427154541
2014-04-04,19.639455795288086
2014-04-07,19.8872013092041
2014-04-08,20.2025146484375
2014-04-09,20.25506591796875
2014-04-10,19.842159271240234
2014-04-11,19.65446662902832
2014-04-14,19.939756393432617
2014-04-15,20.097414016723633
2014-04-16,20.217527389526367
2014-04-17,20.300119400024414
2014-04-21,20.2325496673584
2014-04-22,20.14996337890625
2014-04-23,20.082393646240234
2014-04-24,20.082393646240234
2014-04-25,19.71453094482422
2014-04-28,19.76708221435547
2014-04-29,19.87969398498535
2014-04-30,20.037353515625
2014-05-01,19.85717010498047
2014-05-02,19.8271427154541
2014-05-05,19.815784454345703
2014-05-06,19.8385009765625
2014-05-07,19.967222213745117
2014-05-08,19.944503784179688
2014-05-09,19.914215087890625
2014-05-12,19.967222213745117
2014-05-13,20.02779769897461
2014-05-14,19.936933517456055
2014-05-15,19.694631576538086
2014-05-16,19.550764083862305
2014-05-19,19.717350006103516
2014-05-20,19.717350006103516
2014-05-21,19.8385009765625
2014-05-22,19.80063819885254
2014-05-23,19.906644821166992
2014-05-27,20.224668502807617
2014-05-28,20.353389739990234
2014-05-29,20.413965225219727
2014-05-30,20.686553955078125
2014-06-02,20.641132354736328
2014-06-03,20.944005966186523
2014-06-04,20.898569107055664
2014-06-05,20.944005966186523
2014-06-06,21.33017349243164
2014-06-09,21.133302688598633
2014-06-10,21.383176803588867
2014-06-11,21.14844512939453
2014-06-12,21.17116355895996
2014-06-13,22.617406845092773
2014-06-16,22.72340965270996
2014-06-17,22.67798614501953
2014-06-18,22.662830352783203
2014-06-19,22.783987045288086
2014-06-20,22.86728286743164
2014-06-23,22.889989852905273
2014-06-24,23.094432830810547
2014-06-25,23.382169723510742
2014-06-26,23.306446075439453
2014-06-27,23.420028686523438
2014-06-30,23.39731216430664
2014-07-01,23.4578914642334
2014-07-02,23.4578914642334
2014-07-03,23.579042434692383
2014-07-07,23.495750427246094
2014-07-08,23.31402015686035
2014-07-09,23.38974380493164
2014-07-10,23.66990852355957
2014-07-11,23.662336349487305
2014-07-14,23.84406089782715
2014-07-15,24.010643005371094
2014-07-16,26.236793518066406
2014-07-17,25.5174617767334
2014-07-18,25.5174617767334
2014-07-21,25.790050506591797
2014-07-22,26.342803955078125
2014-07-23,26.123218536376953
2014-07-24,25.933917999267578
2014-07-25,25.933917999267578
2014-07-28,25.91876983642578
2014-07-29,25.888484954833984
2014-07-30,26.009647369384766
2014-07-31,25.661331176757812
