,GWW
2014-01-02,209.84849548339844
2014-01-03,209.66607666015625
2014-01-06,208.11541748046875
2014-01-07,209.73239135742188
2014-01-08,210.1636199951172
2014-01-09,211.04263305664062
2014-01-10,218.679931640625
2014-01-13,216.97996520996094
2014-01-14,219.1360321044922
2014-01-15,218.7379913330078
2014-01-16,220.5291748046875
2014-01-17,219.0033416748047
2014-01-21,218.97018432617188
2014-01-22,217.28680419921875
2014-01-23,212.833740234375
2014-01-24,200.55270385742188
2014-01-27,198.13128662109375
2014-01-28,197.2439727783203
2014-01-29,197.4927520751953
2014-01-30,196.67181396484375
2014-01-31,194.441162109375
2014-02-03,190.13739013671875
2014-02-04,191.79586791992188
2014-02-05,191.4475555419922
2014-02-06,194.78628540039062
2014-02-07,194.8279266357422
2014-02-10,195.0693359375
2014-02-11,198.041748046875
2014-02-12,198.199951171875
2014-02-13,199.5237579345703
2014-02-14,204.54429626464844
2014-02-18,206.28445434570312
2014-02-19,206.4842987060547
2014-02-20,206.51759338378906
2014-02-21,207.51670837402344
2014-02-24,209.4899444580078
2014-02-25,208.26605224609375
2014-02-26,209.37342834472656
2014-02-27,210.5723419189453
2014-02-28,212.32913208007812
2014-03-03,210.88877868652344
2014-03-04,212.22923278808594
2014-03-05,213.9526824951172
2014-03-06,214.37730407714844
2014-03-07,213.93606567382812
2014-03-10,212.95359802246094
2014-03-11,211.34658813476562
2014-03-12,209.67315673828125
2014-03-13,204.68589782714844
2014-03-14,205.67665100097656
2014-03-17,209.5482635498047
2014-03-18,210.74720764160156
2014-03-19,208.11618041992188
2014-03-20,209.0153350830078
2014-03-21,209.78973388671875
2014-03-24,209.36508178710938
2014-03-25,211.98779296875
2014-03-26,208.74896240234375
2014-03-27,208.34927368164062
2014-03-28,207.69154357910156
2014-03-31,210.36422729492188
2014-04-01,210.68896484375
2014-04-02,212.29579162597656
2014-04-03,213.76119995117188
2014-04-04,211.97109985351562
2014-04-07,205.3353271484375
2014-04-08,210.99696350097656
2014-04-09,215.29315185546875
2014-04-10,210.00616455078125
2014-04-11,208.34097290039062
2014-04-14,207.25857543945312
2014-04-15,208.79054260253906
2014-04-16,208.31600952148438
2014-04-17,209.93954467773438
2014-04-21,209.9895477294922
2014-04-22,212.35409545898438
2014-04-23,212.28749084472656
2014-04-24,210.25595092773438
2014-04-25,207.5916748046875
2014-04-28,208.1744384765625
2014-04-29,206.66746520996094
2014-04-30,211.8129425048828
2014-05-01,210.43914794921875
2014-05-02,210.0227813720703
2014-05-05,209.56492614746094
2014-05-06,208.87384033203125
2014-05-07,210.06448364257812
2014-05-08,210.95916748046875
2014-05-09,209.7884521484375
2014-05-12,212.90744018554688
2014-05-13,212.36392211914062
2014-05-14,212.029541015625
2014-05-15,210.90899658203125
2014-05-16,212.53955078125
2014-05-19,214.15335083007812
2014-05-20,208.90216064453125
2014-05-21,211.0177764892578
2014-05-22,210.8420867919922
2014-05-23,211.74520874023438
2014-05-27,211.39401245117188
2014-05-28,212.81546020507812
2014-05-29,214.5966033935547
2014-05-30,216.04307556152344
2014-06-02,217.45626831054688
2014-06-03,220.00656127929688
2014-06-04,218.6352996826172
2014-06-05,221.59532165527344
2014-06-06,223.90318298339844
2014-06-09,223.58551025390625
2014-06-10,225.0236358642578
2014-06-11,225.1156005859375
2014-06-12,217.58168029785156
2014-06-13,217.24717712402344
2014-06-16,217.49810791015625
2014-06-17,215.96791076660156
2014-06-18,216.89602661132812
2014-06-19,218.32594299316406
2014-06-20,218.61021423339844
2014-06-23,217.34754943847656
2014-06-24,214.14505004882812
2014-06-25,213.75201416015625
2014-06-26,213.1248779296875
2014-06-27,212.72354125976562
2014-06-30,212.6148223876953
2014-07-01,210.5243682861328
2014-07-02,210.33204650878906
2014-07-03,213.710205078125
2014-07-07,209.48748779296875
2014-07-08,209.72164916992188
2014-07-09,209.0945281982422
2014-07-10,207.07933044433594
2014-07-11,204.68783569335938
2014-07-14,204.7631072998047
2014-07-15,205.56581115722656
2014-07-16,204.7631072998047
2014-07-17,201.84487915039062
2014-07-18,203.06564331054688
2014-07-21,200.8999786376953
2014-07-22,202.2127685546875
2014-07-23,201.5438232421875
2014-07-24,201.09228515625
2014-07-25,201.65255737304688
2014-07-28,200.64907836914062
2014-07-29,199.6289825439453
2014-07-30,200.7075958251953
2014-07-31,196.62710571289062
2014-08-01,196.6772003173828
2014-08-04,196.5100555419922
2014-08-05,196.3928985595703
2014-08-06,197.02847290039062
2014-08-07,195.7852325439453
2014-08-08,198.74217224121094
2014-08-11,199.59896850585938
2014-08-12,200.56497192382812
2014-08-13,201.25381469726562
2014-08-14,200.3045654296875
2014-08-15,199.2797393798828
2014-08-18,203.98394775390625
2014-08-19,206.36953735351562
2014-08-20,205.98318481445312
2014-08-21,208.209228515625
2014-08-22,207.50363159179688
2014-08-25,209.64569091796875
2014-08-26,208.99046325683594
2014-08-27,206.6468048095703
2014-08-28,206.2771759033203
2014-08-29,206.8147735595703
2014-09-02,207.84803771972656
2014-09-03,209.88092041015625
2014-09-04,211.38453674316406
2014-09-05,209.570068359375
2014-09-08,209.03245544433594
2014-09-09,207.3860626220703
2014-09-10,207.13401794433594
2014-09-11,207.1004180908203
2014-09-12,208.70480346679688
2014-09-15,208.6796875
2014-09-16,208.8896484375
2014-09-17,210.2589111328125
2014-09-18,212.5941925048828
2014-09-19,212.87977600097656
2014-09-22,211.11575317382812
2014-09-23,211.3677215576172
2014-09-24,212.23294067382812
2014-09-25,210.11610412597656
2014-09-26,211.7037353515625
2014-09-29,211.7037353515625
2014-09-30,211.39297485351562
2014-10-01,210.5360565185547
2014-10-02,212.3590087890625
2014-10-03,214.43382263183594
2014-10-06,214.66062927246094
2014-10-07,209.79689025878906
2014-10-08,211.84654235839844
2014-10-09,206.7727508544922
2014-10-10,202.1862335205078
2014-10-13,196.73435974121094
2014-10-14,200.5061798095703
2014-10-15,200.90103149414062
2014-10-16,192.97109985351562
2014-10-17,194.80238342285156
2014-10-20,193.5591583251953
2014-10-21,196.98646545410156
2014-10-22,194.49990844726562
2014-10-23,197.72569274902344
2014-10-24,199.74172973632812
2014-10-27,200.27935791015625
2014-10-28,203.81590270996094
2014-10-29,203.4462432861328
2014-10-30,204.84912109375
2014-10-31,207.31881713867188
2014-11-03,207.99085998535156
2014-11-04,209.52809143066406
2014-11-05,212.66140747070312
2014-11-06,214.9307403564453
2014-11-07,214.9644775390625
2014-11-10,209.8689727783203
2014-11-11,207.793701171875
2014-11-12,208.18173217773438
2014-11-13,206.15701293945312
2014-11-14,207.75987243652344
2014-11-17,206.21609497070312
2014-11-18,205.27964782714844
2014-11-19,206.13174438476562
2014-11-20,206.57882690429688
2014-11-21,209.39651489257812
2014-11-24,211.62374877929688
2014-11-25,210.2655029296875
2014-11-26,208.5107421875
2014-11-28,207.2621612548828
2014-12-01,204.5457305908203
2014-12-02,205.98828125
2014-12-03,209.7002716064453
2014-12-04,211.3874969482422
2014-12-05,213.2941131591797
2014-12-08,211.00784301757812
2014-12-09,210.4510498046875
2014-12-10,204.7059783935547
2014-12-11,207.66712951660156
2014-12-12,207.50677490234375
2014-12-15,205.98828125
2014-12-16,206.0388641357422
2014-12-17,205.86175537109375
2014-12-18,212.78794860839844
2014-12-19,217.49537658691406
2014-12-22,217.84124755859375
2014-12-23,217.48692321777344
2014-12-24,216.795166015625
2014-12-26,216.88796997070312
2014-12-29,218.38116455078125
2014-12-30,217.2253875732422
2014-12-31,215.031982421875
2015-01-02,215.31031799316406
2015-01-05,210.04608154296875
2015-01-06,207.0681610107422
2015-01-07,207.2537078857422
2015-01-08,211.8683624267578
2015-01-09,209.4134063720703
2015-01-12,206.81503295898438
2015-01-13,205.37242126464844
2015-01-14,204.07325744628906
2015-01-15,200.71563720703125
2015-01-16,203.55862426757812
2015-01-20,204.67222595214844
2015-01-21,206.00511169433594
2015-01-22,206.82345581054688
2015-01-23,207.52366638183594
2015-01-26,198.09194946289062
2015-01-27,195.4513702392578
2015-01-28,194.91143798828125
2015-01-29,199.02833557128906
2015-01-30,198.96090698242188
2015-02-02,202.900634765625
2015-02-03,206.32571411132812
2015-02-04,201.76170349121094
2015-02-05,203.40582275390625
2015-02-06,203.6430206298828
2015-02-09,202.2278594970703
2015-02-10,202.43963623046875
2015-02-11,201.35498046875
2015-02-12,198.56683349609375
2015-02-13,199.0413818359375
2015-02-17,198.16851806640625
2015-02-18,199.7024383544922
2015-02-19,199.61767578125
2015-02-20,201.81259155273438
2015-02-23,200.14309692382812
2015-02-24,201.27867126464844
2015-02-25,203.04136657714844
2015-02-26,203.71087646484375
2015-02-27,200.77023315429688
2015-03-02,202.71087646484375
2015-03-03,204.48202514648438
2015-03-04,199.9990692138672
2015-03-05,201.72779846191406
2015-03-06,199.38037109375
2015-03-09,199.85494995117188
2015-03-10,195.1431427001953
2015-03-11,196.75328063964844
2015-03-12,196.36346435546875
2015-03-13,195.5244598388672
2015-03-16,198.3125762939453
2015-03-17,198.7108917236328
2015-03-18,202.04141235351562
2015-03-19,200.89730834960938
2015-03-20,200.1261444091797
2015-03-23,197.93972778320312
2015-03-24,198.48202514648438
2015-03-25,199.0075225830078
2015-03-26,198.58372497558594
2015-03-27,198.8126220703125
2015-03-30,201.2617645263672
2015-03-31,199.83798217773438
2015-04-01,196.50755310058594
2015-04-02,195.27024841308594
2015-04-06,199.27865600585938
2015-04-07,197.33804321289062
2015-04-08,198.56683349609375
2015-04-09,199.0244598388672
2015-04-10,198.90579223632812
2015-04-13,199.11769104003906
2015-04-14,201.82106018066406
2015-04-15,204.93968200683594
2015-04-16,204.9735870361328
2015-04-17,202.82102966308594
2015-04-20,202.4989776611328
2015-04-21,205.93968200683594
2015-04-22,206.31256103515625
2015-04-23,207.01588439941406
2015-04-24,209.40574645996094
2015-04-27,211.3887939453125
2015-04-28,211.17694091796875
2015-04-29,211.9735565185547
2015-04-30,210.53286743164062
2015-05-01,210.96505737304688
2015-05-04,210.89727783203125
2015-05-05,208.46505737304688
2015-05-06,208.5583038330078
2015-05-07,209.30763244628906
2015-05-08,212.16015625
2015-05-11,211.86212158203125
2015-05-12,213.93124389648438
2015-05-13,209.40980529785156
2015-05-14,210.3549346923828
2015-05-15,209.511962890625
2015-05-18,209.81854248046875
2015-05-19,209.6056365966797
2015-05-20,209.4694061279297
2015-05-21,209.98033142089844
2015-05-22,209.42686462402344
2015-05-26,208.54977416992188
2015-05-27,209.07769775390625
2015-05-28,208.32839965820312
2015-05-29,204.6414031982422
2015-06-01,205.21192932128906
2015-06-02,206.0293731689453
2015-06-03,206.8383026123047
2015-06-04,203.72178649902344
2015-06-05,205.2970733642578
2015-06-08,203.9261474609375
2015-06-09,205.64622497558594
2015-06-10,206.31031799316406
2015-06-11,207.20443725585938
2015-06-12,202.78514099121094
2015-06-15,201.73779296875
2015-06-16,202.54669189453125
2015-06-17,204.34336853027344
2015-06-18,207.23846435546875
2015-06-19,206.2252197265625
2015-06-22,207.86854553222656
2015-06-23,208.96702575683594
2015-06-24,207.45135498046875
2015-06-25,203.960205078125
2015-06-26,204.6414031982422
2015-06-29,201.55894470214844
2015-06-30,201.50790405273438
2015-07-01,201.5504608154297
2015-07-02,200.52865600585938
2015-07-06,199.1407012939453
2015-07-07,201.7888946533203
2015-07-08,199.58349609375
2015-07-09,200.69895935058594
2015-07-10,201.38018798828125
2015-07-13,202.6573486328125
2015-07-14,198.62977600097656
2015-07-15,196.50953674316406
2015-07-16,197.85494995117188
2015-07-17,198.7064666748047
2015-07-20,200.1880645751953
2015-07-21,195.79432678222656
2015-07-22,191.3323516845703
2015-07-23,192.59266662597656
2015-07-24,192.24354553222656
2015-07-27,192.32872009277344
2015-07-28,192.39675903320312
2015-07-29,193.2567901611328
2015-07-30,191.59640502929688
2015-07-31,194.7469940185547
2015-08-03,191.46017456054688
2015-08-04,192.55010986328125
2015-08-05,193.33348083496094
2015-08-06,193.49612426757812
2015-08-07,193.40196228027344
2015-08-10,197.63015747070312
2015-08-11,195.19081115722656
2015-08-12,197.21075439453125
2015-08-13,193.31637573242188
2015-08-14,192.3920135498047
2015-08-17,193.8299102783203
2015-08-18,194.06101989746094
2015-08-19,193.09378051757812
2015-08-20,191.758544921875
2015-08-21,188.1723175048828
2015-08-24,182.44627380371094
2015-08-25,182.5832061767578
2015-08-26,186.306396484375
2015-08-27,191.50181579589844
2015-08-28,191.0653076171875
2015-08-31,191.24502563476562
2015-09-01,187.2222442626953
2015-09-02,190.8940887451172
2015-09-03,188.8912811279297
2015-09-04,186.9311981201172
2015-09-08,192.81137084960938
2015-09-09,190.75718688964844
2015-09-10,190.53463745117188
2015-09-11,189.9525604248047
2015-09-14,186.7086944580078
2015-09-15,190.03823852539062
2015-09-16,190.38055419921875
2015-09-17,187.16229248046875
2015-09-18,183.3792266845703
2015-09-21,183.3792266845703
2015-09-22,182.01832580566406
2015-09-23,180.49484252929688
2015-09-24,182.6259765625
2015-09-25,182.9683837890625
2015-09-28,181.256591796875
2015-09-29,181.3934783935547
2015-09-30,184.0296630859375
2015-10-01,179.2794189453125
2015-10-02,184.1495361328125
2015-10-05,188.14663696289062
2015-10-06,191.4932403564453
2015-10-07,195.01104736328125
2015-10-08,198.09230041503906
2015-10-09,196.17507934570312
2015-10-12,192.65731811523438
2015-10-13,190.59454345703125
2015-10-14,189.54176330566406
2015-10-15,189.69580078125
2015-10-16,177.7301788330078
2015-10-19,172.86004638671875
2015-10-20,172.6802978515625
2015-10-21,172.61180114746094
2015-10-22,179.24514770507812
2015-10-23,177.90139770507812
2015-10-26,176.55758666992188
2015-10-27,173.28799438476562
2015-10-28,177.42201232910156
2015-10-29,178.26939392089844
2015-10-30,179.7415771484375
2015-11-02,180.70872497558594
2015-11-03,180.64031982421875
2015-11-04,180.2978973388672
2015-11-05,180.5561065673828
2015-11-06,182.63037109375
2015-11-09,179.6696014404297
2015-11-10,181.5545196533203
2015-11-11,181.7611083984375
2015-11-12,171.9922332763672
2015-11-13,169.56509399414062
2015-11-16,170.65817260742188
2015-11-17,166.3374786376953
2015-11-18,170.63233947753906
2015-11-19,170.6840057373047
2015-11-20,171.44143676757812
2015-11-23,170.4688262939453
2015-11-24,170.8130645751953
2015-11-25,171.00242614746094
2015-11-27,171.8373565673828
2015-11-30,172.6033477783203
2015-12-01,173.5500946044922
2015-12-02,171.7598114013672
2015-12-03,171.10574340820312
2015-12-04,172.87872314453125
2015-12-07,170.78721618652344
2015-12-08,167.88671875
2015-12-09,166.21702575683594
2015-12-10,167.37887573242188
2015-12-11,164.24598693847656
2015-12-14,167.0863037109375
2015-12-15,167.4736328125
2015-12-16,169.37570190429688
2015-12-17,167.70599365234375
2015-12-18,166.91416931152344
2015-12-21,169.0142059326172
2015-12-22,173.81689453125
2015-12-23,176.9584197998047
2015-12-24,176.8292999267578
2015-12-28,175.89981079101562
2015-12-29,176.90675354003906
2015-12-30,176.18385314941406
2015-12-31,174.3677520751953
2016-01-04,173.9632110595703
2016-01-05,171.8631134033203
2016-01-06,171.32089233398438
2016-01-07,169.66836547851562
