,O
2014-01-02,21.910844802856445
2014-01-03,22.133758544921875
2014-01-06,22.251089096069336
2014-01-07,22.36255645751953
2014-01-08,22.104421615600586
2014-01-09,22.163103103637695
2014-01-10,22.620683670043945
2014-01-13,22.462276458740234
2014-01-14,22.696935653686523
2014-01-15,22.743873596191406
2014-01-16,22.620683670043945
2014-01-17,22.53266716003418
2014-01-21,23.054784774780273
2014-01-22,23.195579528808594
2014-01-23,23.195579528808594
2014-01-24,23.195579528808594
2014-01-27,23.271839141845703
2014-01-28,23.788068771362305
2014-01-29,23.782228469848633
2014-01-30,24.024991989135742
2014-01-31,24.030885696411133
2014-02-03,23.40625762939453
2014-02-04,23.52411651611328
2014-02-05,23.67142105102539
2014-02-06,23.71857452392578
2014-02-07,23.901243209838867
2014-02-10,24.154645919799805
2014-02-11,24.172325134277344
2014-02-12,24.27248764038086
2014-02-13,24.443389892578125
2014-02-14,24.584823608398438
2014-02-18,25.003189086914062
2014-02-19,25.097482681274414
2014-02-20,25.28605842590332
2014-02-21,25.580703735351562
2014-02-24,25.881240844726562
2014-02-25,26.164091110229492
2014-02-26,26.22301483154297
2014-02-27,26.283357620239258
2014-02-28,26.283357620239258
2014-03-03,26.064437866210938
2014-03-04,26.230106353759766
2014-03-05,25.8277587890625
2014-03-06,25.295230865478516
2014-03-07,24.608863830566406
2014-03-10,24.520097732543945
2014-03-11,24.774524688720703
2014-03-12,24.92837142944336
2014-03-13,25.040802001953125
2014-03-14,25.040802001953125
2014-03-17,25.111801147460938
2014-03-18,25.005292892456055
2014-03-19,24.206499099731445
2014-03-20,24.09998893737793
2014-03-21,24.31891441345215
2014-03-24,24.123659133911133
2014-03-25,24.407672882080078
2014-03-26,24.129568099975586
2014-03-27,24.141401290893555
2014-03-28,24.219871520996094
2014-03-31,24.285249710083008
2014-04-01,24.089107513427734
2014-04-02,24.196077346801758
2014-04-03,24.01183319091797
2014-04-04,24.213912963867188
2014-04-07,24.67157554626465
2014-04-08,24.91526985168457
2014-04-09,24.849864959716797
2014-04-10,24.55866050720215
2014-04-11,24.624021530151367
2014-04-14,24.624021530151367
2014-04-15,25.301584243774414
2014-04-16,25.42638397216797
2014-04-17,24.897430419921875
2014-04-21,24.921215057373047
2014-04-22,25.21242904663086
2014-04-23,25.12923240661621
2014-04-24,25.402606964111328
2014-04-25,25.491775512695312
2014-04-28,25.90188217163086
2014-04-29,25.903064727783203
2014-04-30,25.932910919189453
2014-05-01,25.7896728515625
2014-05-02,25.7896728515625
2014-05-05,25.974695205688477
2014-05-06,25.83742904663086
2014-05-07,26.386518478393555
2014-05-08,26.25520896911621
2014-05-09,26.129873275756836
2014-05-12,26.308921813964844
2014-05-13,26.0701904296875
2014-05-14,26.02244758605957
2014-05-15,25.771770477294922
2014-05-16,26.189563751220703
2014-05-19,26.064233779907227
2014-05-20,26.0701904296875
2014-05-21,25.873241424560547
2014-05-22,25.598684310913086
2014-05-23,25.622560501098633
2014-05-27,25.75387191772461
2014-05-28,25.75983428955078
2014-05-29,25.98879051208496
2014-05-30,25.952836990356445
2014-06-02,26.066709518432617
2014-06-03,25.94085121154785
2014-06-04,25.83295440673828
2014-06-05,26.438331604003906
2014-06-06,26.414369583129883
2014-06-09,25.92885971069336
2014-06-10,25.922842025756836
2014-06-11,26.0367374420166
2014-06-12,26.186588287353516
2014-06-13,26.282482147216797
2014-06-16,26.054729461669922
2014-06-17,26.180585861206055
2014-06-18,26.480276107788086
2014-06-19,26.66607666015625
2014-06-20,26.93580436706543
2014-06-23,26.66607666015625
2014-06-24,26.594158172607422
2014-06-25,26.558204650878906
2014-06-26,26.438331604003906
2014-06-27,26.614660263061523
2014-06-30,26.735044479370117
2014-07-01,26.9998722076416
2014-07-02,26.82533073425293
2014-07-03,26.620697021484375
2014-07-07,26.807275772094727
2014-07-08,26.927654266357422
